Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PCJEWELLER,EQ,2014-12-04,251.30,249.10,252.55,242.20,242.50,243.30,244.62,207153,506.74,5704,84483,40.78
PCJEWELLER,EQ,2014-12-05,243.30,242.10,244.25,238.00,239.60,239.15,241.18,127397,307.25,3935,66307,52.05
PCJEWELLER,EQ,2014-12-08,239.15,237.05,239.75,231.55,235.50,233.95,235.94,148416,350.17,4676,54152,36.49
PCJEWELLER,EQ,2014-12-09,233.95,232.00,233.50,227.40,229.00,228.95,230.30,85523,196.96,2252,35112,41.06
PCJEWELLER,EQ,2014-12-10,228.95,225.10,236.65,224.05,234.40,234.80,233.18,193448,451.08,5564,45683,23.62
PCJEWELLER,EQ,2014-12-11,234.80,235.00,237.70,230.60,231.50,232.20,233.39,97365,227.24,2805,32029,32.90
PCJEWELLER,EQ,2014-12-12,232.20,230.00,236.50,212.10,213.90,215.45,222.58,162868,362.52,3974,98592,60.53
PCJEWELLER,EQ,2014-12-15,215.45,213.30,213.30,191.10,205.80,206.70,206.67,217154,448.80,5126,70364,32.40
PCJEWELLER,EQ,2014-12-16,206.70,204.60,204.60,183.00,185.00,185.60,189.66,565113,1071.78,12466,388698,68.78
PCJEWELLER,EQ,2014-12-17,185.60,183.70,183.70,165.20,170.50,172.40,170.65,1529037,2609.26,26107,927994,60.69
PCJEWELLER,EQ,2014-12-18,172.40,177.30,205.70,177.30,199.55,199.95,197.97,1589363,3146.54,37880,443270,27.89
PCJEWELLER,EQ,2014-12-19,199.95,205.00,209.40,182.55,195.40,195.30,197.13,570647,1124.91,12124,229710,40.25
PCJEWELLER,EQ,2014-12-22,195.30,197.00,204.00,196.00,202.50,201.45,200.79,448026,899.58,11510,113852,25.41
PCJEWELLER,EQ,2014-12-23,201.45,202.90,210.00,202.80,205.30,205.35,206.11,438675,904.17,7881,187301,42.70
PCJEWELLER,EQ,2014-12-24,205.35,205.35,213.20,205.35,210.00,209.95,210.06,300096,630.37,6141,78657,26.21
PCJEWELLER,EQ,2014-12-26,209.95,209.95,215.00,207.00,211.80,210.70,211.23,271461,573.41,5051,95333,35.12
PCJEWELLER,EQ,2014-12-29,210.70,212.45,215.50,210.10,213.50,211.25,212.40,124335,264.09,3300,31901,25.66
PCJEWELLER,EQ,2014-12-30,211.25,213.25,214.40,208.50,210.35,211.95,212.33,116627,247.63,3816,36012,30.88
PCJEWELLER,EQ,2014-12-31,211.95,211.30,218.70,209.35,216.65,216.25,213.99,118916,254.47,2756,41826,35.17
PCJEWELLER,EQ,2015-01-01,216.25,218.00,219.00,213.10,214.30,215.50,216.70,110116,238.62,3366,26541,24.10
PCJEWELLER,EQ,2015-01-02,215.50,215.50,217.80,214.35,214.50,215.50,216.10,97823,211.39,2599,33497,34.24
PCJEWELLER,EQ,2015-01-05,215.50,215.50,216.85,211.40,211.80,212.70,214.10,69773,149.38,2481,19985,28.64
PCJEWELLER,EQ,2015-01-06,212.70,212.20,212.20,205.15,211.95,210.10,209.75,181065,379.78,6327,122165,67.47
PCJEWELLER,EQ,2015-01-07,210.10,208.50,228.60,208.50,215.00,214.85,217.94,289193,630.27,5190,89132,30.82
PCJEWELLER,EQ,2015-01-08,214.85,215.00,223.65,213.00,213.00,214.70,217.48,214621,466.75,4398,87929,40.97
PCJEWELLER,EQ,2015-01-09,214.70,219.40,219.40,205.40,210.00,208.45,212.06,95314,202.12,3922,37818,39.68
PCJEWELLER,EQ,2015-01-12,208.45,210.45,214.75,210.00,211.50,211.35,211.81,79946,169.33,2932,17082,21.37
PCJEWELLER,EQ,2015-01-13,211.35,211.00,222.40,209.80,220.20,220.65,218.89,310878,680.48,6339,114662,36.88
PCJEWELLER,EQ,2015-01-14,220.65,222.55,226.40,221.00,223.05,223.85,223.65,252456,564.61,7022,95886,37.98
PCJEWELLER,EQ,2015-01-15,223.85,234.90,246.50,231.55,233.00,234.15,237.59,603303,1433.41,11608,122474,20.30
PCJEWELLER,EQ,2015-01-16,234.15,232.00,248.50,229.00,242.35,242.00,240.64,491058,1181.69,10689,101958,20.76
PCJEWELLER,EQ,2015-01-19,242.00,242.50,244.15,236.70,239.50,239.55,240.28,145135,348.74,4482,45061,31.05
PCJEWELLER,EQ,2015-01-20,239.55,239.50,242.65,238.25,241.00,239.95,240.12,84250,202.30,3213,33125,39.32
PCJEWELLER,EQ,2015-01-21,239.95,238.80,263.65,238.80,258.65,258.15,255.85,1537554,3933.77,25478,303570,19.74
PCJEWELLER,EQ,2015-01-22,258.15,258.75,264.50,255.10,260.00,260.50,260.21,437982,1139.65,9080,157209,35.89
PCJEWELLER,EQ,2015-01-23,260.50,260.20,264.60,255.15,262.00,262.70,260.48,187572,488.59,4425,81444,43.42
PCJEWELLER,EQ,2015-01-27,262.70,263.00,264.50,251.35,252.60,253.30,257.25,141949,365.17,6341,57203,40.30
PCJEWELLER,EQ,2015-01-28,253.30,253.00,262.70,253.00,261.00,260.05,259.27,201339,522.01,4237,100237,49.79
PCJEWELLER,EQ,2015-01-29,260.05,258.00,262.75,250.10,253.85,254.50,256.09,418428,1071.57,9447,174534,41.71
PCJEWELLER,EQ,2015-01-30,254.50,255.75,274.80,254.75,268.10,270.65,266.35,425516,1133.36,11466,165778,38.96
