Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PDUMJEIND,EQ,2014-12-04,9.70,9.70,9.75,9.70,9.75,9.75,9.72,1002,0.10,3,1002,100.00
PDUMJEIND,EQ,2014-12-05,9.75,9.70,10.20,9.65,10.20,10.20,9.68,310,0.03,3,300,96.77
PDUMJEIND,EQ,2014-12-08,10.20,10.70,10.70,10.65,10.65,10.65,10.70,700,0.07,6,700,100.00
PDUMJEIND,EQ,2014-12-09,10.65,10.90,10.90,10.90,10.90,10.90,10.90,2,0.00,1,2,100.00
PDUMJEIND,EQ,2014-12-10,10.90,10.90,10.90,10.90,10.90,10.90,10.90,800,0.09,1,800,100.00
PDUMJEIND,EQ,2014-12-11,10.90,10.40,10.40,10.40,10.40,10.40,10.40,50,0.01,1,50,100.00
PDUMJEIND,EQ,2014-12-29,10.40,9.90,9.90,9.90,9.90,9.90,9.90,15990,1.58,4,15990,100.00
PDUMJEIND,EQ,2015-01-01,9.90,9.90,10.35,9.55,10.35,10.35,9.77,189,0.02,4,139,73.54
PDUMJEIND,EQ,2015-01-06,10.35,10.30,10.30,10.30,10.30,10.30,10.30,200,0.02,1,200,100.00
PDUMJEIND,EQ,2015-01-09,10.30,9.90,9.90,9.30,9.90,9.90,9.88,851,0.08,5,850,99.88
PDUMJEIND,EQ,2015-01-13,9.90,10.30,10.60,9.15,10.60,10.60,9.44,1227,0.12,8,1201,97.88
PDUMJEIND,EQ,2015-01-14,10.60,10.75,10.75,10.30,10.30,10.30,10.75,251,0.03,2,251,100.00
PDUMJEIND,EQ,2015-01-15,10.30,10.25,10.25,10.25,10.25,10.25,10.25,101,0.01,2,101,100.00
PDUMJEIND,EQ,2015-01-19,10.25,10.25,11.20,10.10,10.50,10.50,10.31,2191,0.23,19,1909,87.13
PDUMJEIND,EQ,2015-01-21,10.50,10.90,10.95,10.90,10.95,10.95,10.93,201,0.02,3,201,100.00
PDUMJEIND,EQ,2015-01-22,10.95,10.90,11.95,9.90,10.35,10.35,9.98,10376,1.04,37,10374,99.98
PDUMJEIND,EQ,2015-01-23,10.35,9.70,10.35,9.50,10.35,9.90,9.89,2610,0.26,18,1799,68.93
PDUMJEIND,EQ,2015-01-27,9.90,9.75,9.75,9.75,9.75,9.75,9.75,500,0.05,2,500,100.00
PDUMJEIND,EQ,2015-01-29,9.75,9.75,10.55,9.35,10.55,10.45,10.08,1508,0.15,6,1500,99.47
PDUMJEIND,EQ,2015-01-30,10.45,9.95,10.50,9.95,10.20,10.20,10.27,600,0.06,6,600,100.00
PDUMJEIND,EQ,2015-02-02,10.20,10.55,10.55,9.85,9.85,9.85,10.20,400,0.04,2,400,100.00
PDUMJEIND,EQ,2015-02-03,9.85,9.90,10.40,9.90,10.40,10.40,10.03,386,0.04,3,386,100.00
