Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PFC,EQ,2014-12-04,306.80,307.55,309.10,296.50,305.00,305.80,303.11,2440995,7398.89,46125,1158744,47.47
PFC,EQ,2014-12-05,305.80,307.00,310.10,303.15,304.20,304.85,307.09,1413119,4339.49,17056,591293,41.84
PFC,EQ,2014-12-08,304.85,303.50,305.65,291.15,292.35,292.70,297.54,1563836,4653.00,21062,344227,22.01
PFC,EQ,2014-12-09,292.70,290.40,295.00,275.50,276.50,276.75,284.50,2470958,7029.80,31170,844832,34.19
PFC,EQ,2014-12-10,276.75,278.00,295.40,277.50,294.10,293.80,286.27,3282331,9396.35,43852,944358,28.77
PFC,EQ,2014-12-11,293.80,292.00,292.75,280.00,284.25,285.70,285.64,2434498,6953.92,32330,585527,24.05
PFC,EQ,2014-12-12,285.70,284.70,289.85,276.00,276.35,276.90,282.47,2084447,5887.86,25298,762176,36.56
PFC,EQ,2014-12-15,276.90,274.25,282.60,269.20,279.50,278.75,277.71,1559251,4330.24,18933,328751,21.08
PFC,EQ,2014-12-16,278.75,276.00,278.90,261.70,264.65,264.50,269.91,2594104,7001.75,41168,921976,35.54
PFC,EQ,2014-12-17,264.50,265.80,279.40,262.00,272.90,272.10,271.10,3698029,10025.32,67192,1254294,33.92
PFC,EQ,2014-12-18,272.10,277.10,301.50,277.10,297.20,296.05,292.43,5602527,16383.69,81757,1911941,34.13
PFC,EQ,2014-12-19,296.05,300.00,303.90,292.80,299.85,299.35,298.87,3883506,11606.52,47065,1738748,44.77
PFC,EQ,2014-12-22,299.35,300.00,305.90,296.15,303.25,303.05,302.62,2100164,6355.61,23735,563985,26.85
PFC,EQ,2014-12-23,303.05,303.00,305.00,293.50,295.00,294.45,297.47,1768755,5261.53,32744,545485,30.84
PFC,EQ,2014-12-24,294.45,294.90,295.50,287.05,293.70,291.90,291.12,2803308,8160.96,28742,1058422,37.76
PFC,EQ,2014-12-26,291.90,292.60,302.70,290.10,300.85,300.80,298.98,1710259,5113.31,22149,192682,11.27
PFC,EQ,2014-12-29,300.80,302.00,306.55,298.00,298.00,298.75,302.36,1423123,4302.89,26453,363700,25.56
PFC,EQ,2014-12-30,298.75,300.20,302.80,295.25,301.40,300.95,298.76,1273144,3803.71,18079,145973,11.47
PFC,EQ,2014-12-31,300.95,299.10,304.00,298.10,301.45,301.40,301.32,1269071,3823.95,16116,257379,20.28
PFC,EQ,2015-01-01,301.40,301.40,306.90,298.25,306.90,305.85,303.82,1308742,3976.20,18656,335818,25.66
