Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PGIL,EQ,2014-12-04,223.00,225.00,226.00,222.05,224.00,223.40,224.27,3796,8.51,60,3233,85.17
PGIL,EQ,2014-12-05,223.40,221.10,223.65,216.00,218.15,217.35,219.00,13932,30.51,209,9650,69.26
PGIL,EQ,2014-12-08,217.35,219.00,225.50,219.00,222.30,222.40,223.85,4659,10.43,92,3416,73.32
PGIL,EQ,2014-12-09,222.40,224.00,225.00,221.00,224.95,222.45,222.38,41088,91.37,282,33488,81.50
PGIL,EQ,2014-12-10,222.45,224.00,228.95,223.00,223.00,223.05,223.70,4734,10.59,171,119,2.51
PGIL,EQ,2014-12-11,223.05,224.50,228.00,222.00,222.05,223.25,223.87,1889,4.23,62,1169,61.88
PGIL,EQ,2014-12-12,223.25,222.10,226.60,222.00,222.05,222.00,224.44,3158,7.09,73,1976,62.57
PGIL,EQ,2014-12-15,222.00,223.05,223.05,221.00,222.00,221.85,222.34,1229,2.73,29,1142,92.92
PGIL,EQ,2014-12-16,221.85,220.00,224.05,216.05,222.00,220.65,220.31,4184,9.22,104,3758,89.82
PGIL,EQ,2014-12-17,220.65,222.00,226.00,221.25,224.00,224.60,223.29,2629,5.87,96,1818,69.15
PGIL,EQ,2014-12-18,224.60,227.10,227.95,226.00,226.00,226.00,226.57,1026,2.32,31,878,85.58
PGIL,EQ,2014-12-19,226.00,228.00,230.90,227.00,227.00,227.00,227.93,1425,3.25,62,1208,84.77
PGIL,EQ,2014-12-22,227.00,227.00,227.00,226.00,226.00,226.00,226.92,326,0.74,16,313,96.01
PGIL,EQ,2014-12-23,226.00,230.05,230.05,224.00,224.05,224.60,226.28,6926,15.67,235,2801,40.44
PGIL,EQ,2014-12-24,224.60,225.10,225.10,223.00,225.00,225.00,224.71,1642,3.69,50,1448,88.19
PGIL,EQ,2014-12-26,225.00,225.00,225.50,223.95,224.00,224.05,224.55,623,1.40,16,621,99.68
PGIL,EQ,2014-12-29,224.05,227.05,227.05,223.25,223.50,223.55,225.30,2850,6.42,100,1199,42.07
PGIL,EQ,2014-12-30,223.55,225.00,226.60,223.40,224.00,223.95,224.29,1159,2.60,29,993,85.68
PGIL,EQ,2014-12-31,223.95,225.65,226.00,223.15,223.50,223.50,224.46,1250,2.81,28,935,74.80
PGIL,EQ,2015-01-01,223.50,224.00,224.50,223.00,224.00,223.45,223.65,1044,2.33,38,911,87.26
PGIL,EQ,2015-01-02,223.45,226.00,226.00,223.15,223.60,223.30,225.08,1066,2.40,32,772,72.42
PGIL,EQ,2015-01-05,223.30,224.05,224.05,222.50,222.50,222.50,223.37,1413,3.16,30,1378,97.52
PGIL,EQ,2015-01-06,222.50,223.05,223.80,218.00,221.00,220.55,221.33,2980,6.60,54,2696,90.47
PGIL,EQ,2015-01-07,220.55,221.00,221.05,220.00,221.00,221.00,220.80,307,0.68,16,277,90.23
PGIL,EQ,2015-01-08,221.00,223.00,224.00,221.00,222.00,222.00,222.45,1852,4.12,39,1531,82.67
PGIL,EQ,2015-01-09,222.00,222.90,225.05,221.00,222.20,222.00,222.82,1998,4.45,51,1874,93.79
