Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PIRPHYTO,EQ,2014-12-04,34.00,34.60,37.40,34.55,37.10,37.00,36.46,40855,14.89,265,25463,62.33
PIRPHYTO,EQ,2014-12-05,37.00,37.00,44.40,36.50,43.65,44.30,43.34,265640,115.12,1480,131177,49.38
PIRPHYTO,EQ,2014-12-08,44.30,44.00,50.15,44.00,44.95,44.50,47.27,145985,69.01,1909,60972,41.77
PIRPHYTO,EQ,2014-12-09,44.50,44.00,45.85,40.40,40.40,40.90,42.52,28581,12.15,360,18864,66.00
PIRPHYTO,EQ,2014-12-10,40.90,40.10,43.00,40.10,41.50,41.45,41.85,20001,8.37,185,16291,81.45
PIRPHYTO,EQ,2014-12-11,41.45,40.55,42.00,39.00,40.35,39.80,40.30,7566,3.05,102,6320,83.53
PIRPHYTO,EQ,2014-12-12,39.80,40.00,41.90,37.25,38.45,37.95,39.12,16025,6.27,189,12269,76.56
PIRPHYTO,EQ,2014-12-15,37.95,36.60,38.00,35.50,36.00,35.95,36.47,11872,4.33,131,7150,60.23
PIRPHYTO,EQ,2014-12-16,35.95,35.95,38.00,34.50,34.95,35.15,35.47,28579,10.14,219,20302,71.04
PIRPHYTO,EQ,2014-12-17,35.15,34.60,35.00,33.00,34.00,33.95,34.18,22135,7.57,139,11000,49.70
PIRPHYTO,EQ,2014-12-18,33.95,33.95,36.50,33.95,35.05,35.50,35.43,19251,6.82,128,10391,53.98
PIRPHYTO,EQ,2014-12-19,35.50,35.60,37.70,35.40,36.00,36.15,36.44,51175,18.65,232,33862,66.17
PIRPHYTO,EQ,2014-12-22,36.15,36.10,38.35,36.10,36.80,36.90,37.06,5447,2.02,67,3629,66.62
PIRPHYTO,EQ,2014-12-23,36.90,36.65,40.95,35.60,37.00,36.90,38.57,34865,13.45,388,9938,28.50
PIRPHYTO,EQ,2014-12-24,36.90,36.50,37.85,35.35,36.75,36.50,36.41,9696,3.53,85,5606,57.82
PIRPHYTO,EQ,2014-12-26,36.50,35.40,37.95,35.00,36.10,36.05,36.04,2831,1.02,35,2273,80.29
PIRPHYTO,EQ,2014-12-29,36.05,36.40,37.00,35.05,36.30,35.75,35.90,21578,7.75,113,19824,91.87
PIRPHYTO,EQ,2014-12-30,35.75,35.65,36.40,35.00,36.00,35.80,35.76,3392,1.21,71,2332,68.75
PIRPHYTO,EQ,2014-12-31,35.80,39.00,39.00,34.25,35.80,36.00,36.20,8049,2.91,75,6771,84.12
PIRPHYTO,EQ,2015-01-01,36.00,35.20,38.80,35.20,36.50,37.25,37.26,30635,11.42,259,16078,52.48
PIRPHYTO,EQ,2015-01-02,37.25,38.00,39.30,37.20,38.90,38.70,38.68,8334,3.22,115,4988,59.85
PIRPHYTO,EQ,2015-01-05,38.70,37.80,39.90,37.80,38.50,38.70,39.16,8955,3.51,82,7436,83.04
