Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PLASTIBLEN,EQ,2014-12-04,274.20,284.00,285.00,276.00,280.00,280.60,280.99,39978,112.33,1510,27312,68.32
PLASTIBLEN,EQ,2014-12-05,280.60,284.20,284.20,274.10,275.00,276.60,278.63,24506,68.28,1599,15970,65.17
PLASTIBLEN,EQ,2014-12-08,276.60,285.00,285.00,267.00,275.25,275.65,277.51,17165,47.63,674,10477,61.04
PLASTIBLEN,EQ,2014-12-09,275.65,280.55,280.55,258.05,263.00,261.30,268.32,22257,59.72,955,14860,66.77
PLASTIBLEN,EQ,2014-12-10,261.30,259.00,268.00,251.25,266.40,263.40,261.47,17760,46.44,743,9030,50.84
PLASTIBLEN,EQ,2014-12-11,263.40,265.00,271.00,257.00,265.50,266.60,266.13,12468,33.18,664,6758,54.20
PLASTIBLEN,EQ,2014-12-12,266.60,266.60,271.95,261.00,265.00,262.60,264.49,15548,41.12,637,10554,67.88
PLASTIBLEN,EQ,2014-12-15,262.60,260.15,265.00,255.00,255.00,257.10,261.52,9051,23.67,434,4717,52.12
PLASTIBLEN,EQ,2014-12-16,257.10,254.00,257.60,246.05,250.00,251.55,250.66,19374,48.56,804,11780,60.80
PLASTIBLEN,EQ,2014-12-17,251.55,250.30,250.30,241.00,246.00,244.75,245.36,9953,24.42,530,4778,48.01
PLASTIBLEN,EQ,2014-12-18,244.75,247.00,257.80,247.00,253.05,254.70,252.27,8381,21.14,405,5082,60.64
PLASTIBLEN,EQ,2014-12-19,254.70,257.00,261.35,250.00,250.00,255.30,256.13,8808,22.56,348,6186,70.23
PLASTIBLEN,EQ,2014-12-22,255.30,253.00,258.80,247.15,251.05,253.70,251.47,6773,17.03,307,4734,69.90
PLASTIBLEN,EQ,2014-12-23,253.70,252.00,255.75,246.15,249.00,249.20,250.78,11377,28.53,433,8323,73.16
PLASTIBLEN,EQ,2014-12-24,249.20,251.00,251.10,241.00,249.50,246.45,245.67,15013,36.88,669,8473,56.44
PLASTIBLEN,EQ,2014-12-26,246.45,248.00,253.65,242.30,245.50,244.60,246.22,8853,21.80,479,4609,52.06
PLASTIBLEN,EQ,2014-12-29,244.60,245.00,251.90,241.10,241.15,242.40,246.81,8907,21.98,371,4562,51.22
PLASTIBLEN,EQ,2014-12-30,242.40,244.00,245.00,228.10,233.50,232.35,234.85,21382,50.22,593,16942,79.23
PLASTIBLEN,EQ,2014-12-31,232.35,229.25,258.00,229.00,251.05,255.30,245.59,38910,95.56,1251,22073,56.73
PLASTIBLEN,EQ,2015-01-01,255.30,253.00,262.90,247.00,258.55,258.75,258.55,20375,52.68,943,13131,64.45
PLASTIBLEN,EQ,2015-01-02,258.75,256.25,271.00,256.20,268.95,268.35,266.56,18974,50.58,586,11355,59.85
PLASTIBLEN,EQ,2015-01-05,268.35,283.00,283.00,266.00,272.05,274.15,274.42,12083,33.16,366,9237,76.45
PLASTIBLEN,EQ,2015-01-06,274.15,272.00,272.00,255.00,258.00,258.75,261.01,23482,61.29,893,14129,60.17
PLASTIBLEN,EQ,2015-01-07,258.75,259.00,259.00,248.35,256.00,251.50,252.56,10804,27.29,845,4754,44.00
PLASTIBLEN,EQ,2015-01-08,251.50,258.40,259.95,253.10,255.00,254.85,256.10,5206,13.33,273,3649,70.09
PLASTIBLEN,EQ,2015-01-09,254.85,255.00,261.50,251.55,256.90,255.10,255.35,9861,25.18,614,5823,59.05
PLASTIBLEN,EQ,2015-01-12,255.10,255.20,261.80,251.00,251.20,256.80,258.43,8728,22.56,432,5624,64.44
PLASTIBLEN,EQ,2015-01-13,256.80,251.60,256.00,249.00,250.00,250.10,252.53,9805,24.76,590,6151,62.73
PLASTIBLEN,EQ,2015-01-14,250.10,249.55,255.00,248.80,249.00,250.40,250.98,3601,9.04,174,2746,76.26
PLASTIBLEN,EQ,2015-01-15,250.40,255.00,255.00,248.50,249.00,249.30,250.36,3686,9.23,191,2730,74.06
PLASTIBLEN,EQ,2015-01-16,249.30,252.00,252.00,244.50,247.65,245.90,246.81,8891,21.94,448,6494,73.04
PLASTIBLEN,EQ,2015-01-19,245.90,245.00,250.50,244.00,248.85,247.05,247.39,6086,15.06,323,4796,78.80
PLASTIBLEN,EQ,2015-01-20,247.05,241.00,256.50,241.00,250.00,250.60,252.37,11463,28.93,668,6275,54.74
PLASTIBLEN,EQ,2015-01-21,250.60,252.00,254.00,244.40,250.00,248.50,249.78,8299,20.73,410,5788,69.74
PLASTIBLEN,EQ,2015-01-22,248.50,248.40,250.90,245.00,245.65,246.55,247.56,4092,10.13,125,3073,75.10
PLASTIBLEN,EQ,2015-01-23,246.55,248.00,251.00,240.25,242.00,243.05,243.38,8314,20.23,512,5279,63.50
PLASTIBLEN,EQ,2015-01-27,243.05,242.00,258.00,238.80,242.00,242.10,246.79,11939,29.46,883,6381,53.45
PLASTIBLEN,EQ,2015-01-28,242.10,246.00,247.50,239.40,241.00,240.55,241.86,3855,9.32,230,3081,79.92
PLASTIBLEN,EQ,2015-01-29,240.55,242.00,246.00,240.25,243.00,242.05,242.20,2850,6.90,242,1424,49.96
PLASTIBLEN,EQ,2015-01-30,242.05,242.00,243.00,232.85,239.00,236.50,239.21,6601,15.79,449,4737,71.76
PLASTIBLEN,EQ,2015-02-02,236.50,250.00,264.00,245.00,251.00,251.00,251.29,19240,48.35,821,12727,66.15
PLASTIBLEN,EQ,2015-02-03,251.00,256.95,268.80,248.00,261.25,261.75,260.80,49097,128.05,2154,23456,47.77
PLASTIBLEN,EQ,2015-02-04,261.75,261.05,267.60,261.05,264.35,265.35,265.04,23383,61.97,699,14393,61.55
PLASTIBLEN,EQ,2015-02-05,265.35,265.05,269.50,263.60,265.00,263.85,266.11,18187,48.40,552,12549,69.00
PLASTIBLEN,EQ,2015-02-06,263.85,269.00,269.00,250.25,256.10,257.00,257.93,10609,27.36,676,5258,49.56
PLASTIBLEN,EQ,2015-02-09,257.00,255.90,255.90,240.00,255.00,248.90,248.39,9609,23.87,506,5686,59.17
PLASTIBLEN,EQ,2015-02-10,248.90,250.00,255.45,240.25,253.00,251.60,251.02,6548,16.44,401,3291,50.26
PLASTIBLEN,EQ,2015-02-11,251.60,253.50,256.65,242.05,243.40,244.35,249.04,9687,24.12,573,5760,59.46
PLASTIBLEN,EQ,2015-02-12,244.35,248.00,248.50,243.00,245.00,245.55,246.33,6424,15.82,239,4563,71.03
PLASTIBLEN,EQ,2015-02-13,245.55,249.00,252.90,245.00,247.55,248.60,248.62,12370,30.75,592,6978,56.41
PLASTIBLEN,EQ,2015-02-16,248.60,248.90,257.00,244.00,245.00,245.10,247.44,7189,17.79,506,4714,65.57
PLASTIBLEN,EQ,2015-02-18,245.10,245.10,250.05,229.20,238.25,238.45,239.87,19766,47.41,1216,11931,60.36
PLASTIBLEN,EQ,2015-02-19,238.45,238.05,242.75,233.25,239.95,238.95,239.70,12678,30.39,865,8085,63.77
PLASTIBLEN,EQ,2015-02-20,238.95,244.95,245.00,237.95,239.00,238.50,242.40,11087,26.87,357,6731,60.71
PLASTIBLEN,EQ,2015-02-23,238.50,239.05,242.25,237.00,242.25,239.95,240.31,9202,22.11,278,7376,80.16
PLASTIBLEN,EQ,2015-02-24,239.95,235.40,245.00,232.00,233.00,233.50,236.65,12169,28.80,524,8939,73.46
PLASTIBLEN,EQ,2015-02-25,233.50,234.05,238.90,234.05,235.50,235.40,236.98,7789,18.46,273,6180,79.34
PLASTIBLEN,EQ,2015-02-26,235.40,244.00,244.00,232.05,235.00,233.80,235.38,3093,7.28,237,1824,58.97
PLASTIBLEN,EQ,2015-02-27,233.80,232.00,241.00,232.00,238.50,238.30,236.08,35804,84.53,260,33745,94.25
PLASTIBLEN,EQ,2015-02-28,238.30,236.55,238.00,230.55,232.00,232.70,235.40,30364,71.48,417,26894,88.57
PLASTIBLEN,EQ,2015-03-02,232.70,234.10,242.40,233.20,235.30,236.05,236.80,7187,17.02,320,5375,74.79
PLASTIBLEN,EQ,2015-03-03,236.05,236.05,248.00,235.00,244.00,243.10,238.95,33034,78.93,640,27634,83.65
PLASTIBLEN,EQ,2015-03-04,243.10,241.05,244.00,232.70,237.00,237.55,238.34,26101,62.21,368,24208,92.75
PLASTIBLEN,EQ,2015-03-05,237.55,236.65,244.40,228.00,237.00,237.20,238.78,32477,77.55,424,28626,88.14
PLASTIBLEN,EQ,2015-03-09,237.20,235.15,235.15,225.00,228.55,229.25,227.63,43824,99.76,332,41771,95.32
PLASTIBLEN,EQ,2015-03-10,229.25,227.40,234.95,227.40,230.85,230.05,228.57,26366,60.26,272,25203,95.59
PLASTIBLEN,EQ,2015-03-11,230.05,230.10,238.50,222.00,225.95,224.50,227.90,15651,35.67,725,10235,65.40
PLASTIBLEN,EQ,2015-03-12,224.50,225.05,229.50,221.90,223.10,223.95,225.75,9832,22.20,588,6651,67.65
PLASTIBLEN,EQ,2015-03-13,223.95,224.05,226.90,211.00,213.00,212.15,218.22,65701,143.38,806,60564,92.18
PLASTIBLEN,EQ,2015-03-16,212.15,210.00,219.00,208.05,215.00,209.85,211.27,6129,12.95,279,4832,78.84
PLASTIBLEN,EQ,2015-03-17,209.85,213.05,220.00,205.00,205.00,208.45,213.00,16657,35.48,811,11026,66.19
PLASTIBLEN,EQ,2015-03-18,208.45,207.55,215.75,207.00,212.00,212.80,209.88,20309,42.62,785,13525,66.60
PLASTIBLEN,EQ,2015-03-19,212.80,214.85,218.00,210.40,210.40,212.40,214.14,5044,10.80,355,3222,63.88
PLASTIBLEN,EQ,2015-03-20,212.40,210.25,212.50,205.10,207.10,205.75,208.42,5292,11.03,274,4215,79.65
PLASTIBLEN,EQ,2015-03-23,205.75,205.00,206.85,195.00,195.25,196.05,200.39,9577,19.19,565,6854,71.57
PLASTIBLEN,EQ,2015-03-24,196.05,192.05,202.95,192.00,201.45,199.70,199.46,8301,16.56,258,5839,70.34
PLASTIBLEN,EQ,2015-03-25,199.70,208.00,221.00,208.00,214.85,212.00,213.63,30926,66.07,1239,20064,64.88
PLASTIBLEN,EQ,2015-03-26,212.00,218.95,218.95,208.00,213.80,212.05,211.84,12974,27.48,572,8554,65.93
PLASTIBLEN,EQ,2015-03-27,212.05,215.10,221.00,208.00,219.00,216.50,215.14,13358,28.74,504,9825,73.55
PLASTIBLEN,EQ,2015-03-30,216.50,214.05,224.90,211.55,224.90,223.25,220.67,9270,20.46,288,7222,77.91
PLASTIBLEN,EQ,2015-03-31,223.25,221.10,229.90,215.10,223.50,220.15,221.11,10135,22.41,522,7412,73.13
PLASTIBLEN,EQ,2015-04-01,220.15,223.55,228.00,222.50,224.10,224.70,224.79,7130,16.03,226,5604,78.60
PLASTIBLEN,EQ,2015-04-06,224.70,225.30,231.00,225.30,230.00,230.35,227.75,5941,13.53,205,4620,77.76
PLASTIBLEN,EQ,2015-04-07,230.35,231.00,234.00,228.00,231.00,231.20,230.10,4209,9.69,197,3142,74.65
PLASTIBLEN,EQ,2015-04-08,231.20,229.05,240.60,228.15,232.55,235.40,232.46,6333,14.72,325,4649,73.41
PLASTIBLEN,EQ,2015-04-09,235.40,239.90,239.95,230.10,235.00,235.70,233.33,5565,12.98,212,4598,82.62
PLASTIBLEN,EQ,2015-04-10,235.70,236.80,236.80,219.00,235.00,235.55,228.77,11881,27.18,830,4572,38.48
PLASTIBLEN,EQ,2015-04-13,235.55,237.95,244.80,234.25,236.05,236.45,238.48,13985,33.35,367,8957,64.05
PLASTIBLEN,EQ,2015-04-15,236.45,240.00,240.00,228.95,234.90,231.85,234.26,7797,18.27,253,6409,82.20
PLASTIBLEN,EQ,2015-04-16,231.85,237.00,237.00,225.00,232.00,232.20,231.67,4569,10.58,324,2880,63.03
PLASTIBLEN,EQ,2015-04-17,232.20,230.05,239.90,230.00,235.50,232.60,234.16,3891,9.11,241,2779,71.42
PLASTIBLEN,EQ,2015-04-20,232.60,232.60,232.60,225.00,227.10,227.35,228.60,4396,10.05,155,3737,85.01
PLASTIBLEN,EQ,2015-04-21,227.35,227.55,231.00,220.35,229.20,229.20,227.71,3446,7.85,167,2595,75.30
PLASTIBLEN,EQ,2015-04-22,229.20,229.95,230.50,225.20,228.50,226.95,228.23,5131,11.71,224,4504,87.78
PLASTIBLEN,EQ,2015-04-23,226.95,225.05,230.00,225.00,228.30,228.40,228.58,5962,13.63,90,5671,95.12
PLASTIBLEN,EQ,2015-04-24,228.40,225.25,228.00,222.00,222.00,223.00,224.13,2583,5.79,140,2124,82.23
PLASTIBLEN,EQ,2015-04-27,223.00,222.05,226.00,215.40,215.50,216.25,218.90,9978,21.84,190,7242,72.58
PLASTIBLEN,EQ,2015-04-28,216.25,217.90,228.90,217.90,224.95,222.75,221.81,4684,10.39,112,3562,76.05
