Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PODDARMENT,EQ,2016-11-22,206.10,215.80,215.80,201.00,201.20,204.90,206.78,4545,9.40,93,1381,30.39
PODDARMENT,EQ,2016-11-23,204.90,197.00,208.90,196.90,208.90,207.85,202.46,1866,3.78,55,919,49.25
PODDARMENT,EQ,2016-11-24,207.85,200.00,212.75,200.00,210.10,210.10,208.10,483,1.01,9,383,79.30
PODDARMENT,EQ,2016-11-25,210.10,219.00,221.00,215.15,221.00,216.75,218.94,667,1.46,21,534,80.06
PODDARMENT,EQ,2016-11-28,216.75,208.20,236.30,205.10,219.00,219.55,222.34,3197,7.11,107,1950,60.99
PODDARMENT,EQ,2016-11-29,219.55,218.25,226.60,218.25,220.05,220.10,220.20,312,0.69,14,193,61.86
PODDARMENT,EQ,2016-11-30,220.10,213.25,229.00,213.25,224.95,224.95,221.91,1326,2.94,26,828,62.44
PODDARMENT,EQ,2016-12-01,224.95,216.55,223.80,216.50,216.50,216.55,217.89,135,0.29,8,95,70.37
PODDARMENT,EQ,2016-12-02,216.55,218.00,218.00,210.00,218.00,218.00,214.89,331,0.71,11,-,-
PODDARMENT,EQ,2016-12-02,216.55,218.00,218.00,210.00,218.00,218.00,214.89,331,0.71,11,303,91.54
PODDARMENT,EQ,2016-12-05,218.00,207.75,226.00,207.75,223.90,218.45,213.77,1483,3.17,73,886,59.74
PODDARMENT,EQ,2016-12-06,218.45,213.35,221.00,213.35,217.50,217.50,215.88,460,0.99,28,207,45.00
PODDARMENT,EQ,2016-12-07,217.50,217.50,223.60,210.00,216.00,212.65,213.69,1058,2.26,19,958,90.55
PODDARMENT,EQ,2016-12-08,212.65,223.15,223.30,215.95,218.95,218.95,219.28,586,1.28,25,552,94.20
PODDARMENT,EQ,2016-12-09,218.95,219.50,228.00,219.50,220.00,223.00,222.49,1055,2.35,48,714,67.68
PODDARMENT,EQ,2016-12-12,223.00,225.15,229.95,225.00,229.95,229.25,226.62,463,1.05,17,410,88.55
PODDARMENT,EQ,2016-12-13,229.25,225.00,225.00,225.00,225.00,225.00,225.00,83,0.19,1,83,100.00
PODDARMENT,EQ,2016-12-14,225.00,225.95,226.00,202.65,222.70,222.70,223.63,330,0.74,14,229,69.39
PODDARMENT,EQ,2016-12-15,222.70,222.00,223.00,216.40,216.40,216.40,221.26,408,0.90,5,408,100.00
PODDARMENT,EQ,2016-12-16,216.40,215.40,225.00,208.00,208.00,210.20,212.94,1201,2.56,47,955,79.52
PODDARMENT,EQ,2016-12-19,210.20,218.60,226.65,208.60,208.60,209.70,211.94,418,0.89,27,250,59.81
PODDARMENT,EQ,2016-12-20,209.70,218.90,218.95,209.15,209.15,209.35,211.28,125,0.26,6,100,80.00
PODDARMENT,EQ,2016-12-21,209.35,208.60,219.00,208.50,208.70,208.60,211.50,526,1.11,16,434,82.51
PODDARMENT,EQ,2016-12-22,208.60,216.90,219.00,201.45,201.50,203.05,207.46,1219,2.53,50,1022,83.84
PODDARMENT,EQ,2016-12-23,203.05,203.35,220.00,201.25,220.00,207.10,203.25,508,1.03,40,290,57.09
PODDARMENT,EQ,2016-12-26,207.10,205.00,205.00,196.00,197.25,197.50,198.35,360,0.71,27,328,91.11
PODDARMENT,EQ,2016-12-27,197.50,196.25,204.95,195.00,197.50,198.45,201.59,295,0.59,16,281,95.25
PODDARMENT,EQ,2016-12-28,198.45,198.45,201.10,180.00,200.00,200.00,198.53,2166,4.30,31,2090,96.49
PODDARMENT,EQ,2016-12-29,200.00,201.00,202.50,201.00,202.50,202.50,202.41,52,0.11,3,52,100.00
PODDARMENT,EQ,2016-12-30,202.50,216.00,216.00,207.95,207.95,207.95,210.08,120,0.25,3,120,100.00
PODDARMENT,EQ,2017-01-02,207.95,202.15,206.00,170.50,202.10,202.65,192.47,2667,5.13,101,1630,61.12
PODDARMENT,EQ,2017-01-03,202.65,202.10,213.00,200.10,210.00,210.00,207.88,1914,3.98,65,1565,81.77
PODDARMENT,EQ,2017-01-04,210.00,209.00,211.45,207.55,211.00,211.00,209.84,664,1.39,30,541,81.48
PODDARMENT,EQ,2017-01-05,211.00,213.00,216.90,213.00,216.50,216.50,214.21,600,1.29,19,512,85.33
PODDARMENT,EQ,2017-01-06,216.50,210.85,217.80,210.00,210.00,211.05,211.09,753,1.59,10,752,99.87
PODDARMENT,EQ,2017-01-09,211.05,219.00,222.00,218.10,218.20,219.30,220.28,5301,11.68,103,3248,61.27
PODDARMENT,EQ,2017-01-10,219.30,227.00,227.00,221.00,224.75,224.20,223.45,1588,3.55,72,1436,90.43
PODDARMENT,EQ,2017-01-11,224.20,224.00,225.00,221.00,224.00,222.85,223.30,764,1.71,36,659,86.26
PODDARMENT,EQ,2017-01-12,222.85,222.00,229.00,217.50,226.00,218.05,221.01,2509,5.55,77,2121,84.54
PODDARMENT,EQ,2017-01-13,218.05,216.40,223.90,216.40,223.90,223.90,223.44,318,0.71,29,301,94.65
PODDARMENT,EQ,2017-01-16,223.90,223.90,226.35,211.75,224.80,219.25,220.43,2500,5.51,77,1830,73.20
PODDARMENT,EQ,2017-01-17,219.25,224.80,228.00,221.00,225.00,221.80,224.35,3855,8.65,116,2500,64.85
PODDARMENT,EQ,2017-01-18,221.80,221.50,225.45,219.25,224.00,222.45,221.22,1967,4.35,54,1614,82.05
PODDARMENT,EQ,2017-01-19,222.45,224.85,226.00,220.00,226.00,223.80,222.75,1029,2.29,24,1003,97.47
PODDARMENT,EQ,2017-01-20,223.80,221.00,224.15,219.50,224.00,223.85,221.72,2541,5.63,43,2296,90.36
PODDARMENT,EQ,2017-01-23,223.85,229.95,232.00,227.00,229.90,229.95,227.91,1957,4.46,24,1739,88.86
PODDARMENT,EQ,2017-01-24,229.95,231.00,231.00,218.70,229.70,228.30,227.40,2638,6.00,53,2107,79.87
PODDARMENT,EQ,2017-01-25,228.30,229.00,230.50,226.00,227.95,227.95,228.71,771,1.76,28,698,90.53
PODDARMENT,EQ,2017-01-27,227.95,245.05,272.00,245.05,266.00,265.50,264.93,116154,307.73,3367,45067,38.80
PODDARMENT,EQ,2017-01-30,265.50,264.90,289.40,264.00,269.90,266.95,270.36,40329,109.03,1636,18077,44.82
PODDARMENT,EQ,2017-01-31,266.95,273.70,273.70,256.30,268.00,263.20,262.02,9164,24.01,330,6409,69.94
PODDARMENT,EQ,2017-02-01,263.20,256.20,266.00,256.20,265.70,264.50,261.36,7103,18.56,182,5749,80.94
PODDARMENT,EQ,2017-02-02,264.50,266.00,272.00,261.35,265.00,266.95,265.26,5226,13.86,184,3814,72.98
PODDARMENT,EQ,2017-02-03,266.95,266.00,271.00,264.00,265.60,267.40,268.41,9295,24.95,212,7740,83.27
PODDARMENT,EQ,2017-02-06,267.40,266.00,267.05,262.35,263.00,263.15,265.64,4125,10.96,191,2902,70.35
PODDARMENT,EQ,2017-02-07,263.15,259.10,269.00,259.05,264.00,262.20,262.93,8197,21.55,321,4770,58.19
PODDARMENT,EQ,2017-02-08,262.20,265.00,272.00,260.25,266.95,266.30,266.42,2651,7.06,118,1653,62.35
PODDARMENT,EQ,2017-02-09,266.30,266.05,275.00,266.00,271.95,269.70,271.22,6614,17.94,268,4205,63.58
PODDARMENT,EQ,2017-02-10,269.70,273.40,275.05,268.40,271.10,273.25,273.19,9086,24.82,188,6163,67.83
PODDARMENT,EQ,2017-02-13,273.25,270.05,270.05,259.90,262.50,262.50,262.34,11481,30.12,330,9004,78.43
PODDARMENT,EQ,2017-02-14,262.50,268.80,268.80,259.05,261.00,260.45,261.39,3106,8.12,134,2269,73.05
PODDARMENT,EQ,2017-02-15,260.45,261.50,263.95,250.00,250.10,252.45,255.07,8263,21.08,294,6666,80.67
PODDARMENT,EQ,2017-02-16,252.45,259.00,259.00,248.00,248.40,248.90,250.20,5916,14.80,213,4708,79.58
PODDARMENT,EQ,2017-02-17,248.90,253.00,255.00,249.00,249.70,249.55,252.12,7435,18.75,179,5935,79.83
PODDARMENT,EQ,2017-02-20,249.55,246.00,253.60,246.00,249.10,249.40,250.96,8933,22.42,240,6854,76.73
PODDARMENT,EQ,2017-02-21,249.40,248.50,257.40,248.50,253.00,254.10,253.10,14983,37.92,198,11322,75.57
PODDARMENT,EQ,2017-02-22,254.10,249.10,257.40,249.10,252.25,253.65,252.44,7430,18.76,183,6202,83.47
