Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
POLARIS,EQ,2014-12-04,197.90,198.95,208.90,198.00,205.00,205.60,204.72,889782,1821.57,10806,476185,53.52
POLARIS,EQ,2014-12-05,205.60,206.95,224.85,206.55,209.25,210.35,216.94,1773496,3847.34,20814,619850,34.95
POLARIS,EQ,2014-12-08,210.35,211.10,218.50,204.50,205.00,205.45,211.53,727124,1538.11,9646,293647,40.38
POLARIS,EQ,2014-12-09,205.45,206.40,210.45,195.50,196.00,196.10,202.73,586682,1189.39,7410,300933,51.29
POLARIS,EQ,2014-12-10,196.10,197.20,201.80,196.10,198.00,198.70,199.18,368936,734.86,5037,149273,40.46
POLARIS,EQ,2014-12-11,198.70,198.50,199.80,194.25,196.80,196.60,197.31,280413,553.28,6367,119225,42.52
POLARIS,EQ,2014-12-12,196.60,197.95,200.00,186.00,187.10,187.75,192.87,421092,812.18,5891,167274,39.72
POLARIS,EQ,2014-12-15,187.75,186.00,192.00,182.40,184.60,185.35,186.73,513864,959.55,12929,173335,33.73
POLARIS,EQ,2014-12-16,185.35,183.60,188.40,176.40,178.15,177.65,182.23,383117,698.17,7882,144044,37.60
POLARIS,EQ,2014-12-17,177.65,175.90,178.90,159.00,163.95,164.20,168.08,565070,949.78,10513,263612,46.65
POLARIS,EQ,2014-12-18,164.20,165.25,194.70,165.25,189.70,192.10,184.60,1973731,3643.51,29161,397655,20.15
POLARIS,EQ,2014-12-19,192.10,192.35,192.35,177.10,179.85,179.40,183.89,876471,1611.73,13696,323120,36.87
POLARIS,EQ,2014-12-22,179.40,181.40,182.75,176.00,176.30,176.70,178.61,513940,917.93,10812,219396,42.69
POLARIS,EQ,2014-12-23,176.70,177.45,180.90,169.65,170.10,170.40,175.31,683051,1197.46,11352,282556,41.37
POLARIS,EQ,2014-12-24,170.40,171.10,173.10,169.45,170.50,170.45,171.20,357578,612.19,4813,150838,42.18
POLARIS,EQ,2014-12-26,170.45,171.20,175.35,169.55,170.15,170.80,171.77,402155,690.78,5835,139395,34.66
POLARIS,EQ,2014-12-29,170.80,171.35,173.70,168.50,168.65,169.55,171.40,314004,538.19,5359,151165,48.14
POLARIS,EQ,2014-12-30,169.55,169.60,170.80,168.20,169.00,168.80,169.49,227885,386.24,3793,103854,45.57
POLARIS,EQ,2014-12-31,168.80,168.30,173.50,168.05,171.30,171.55,171.33,395445,677.51,7283,150443,38.04
POLARIS,EQ,2015-01-01,171.55,170.65,179.70,170.50,175.50,175.55,175.87,682940,1201.07,9691,183830,26.92
POLARIS,EQ,2015-01-02,175.55,175.55,181.10,174.40,175.90,176.45,177.70,1118644,1987.79,16437,471012,42.11
POLARIS,EQ,2015-01-05,176.45,176.40,177.80,172.25,173.70,174.40,174.62,485636,848.04,6848,175816,36.20
POLARIS,EQ,2015-01-06,174.40,172.60,172.70,167.10,168.45,168.55,169.10,460929,779.43,5109,266041,57.72
POLARIS,EQ,2015-01-07,168.55,168.25,169.65,162.65,166.80,167.00,165.51,526660,871.68,6329,208309,39.55
POLARIS,EQ,2015-01-08,167.00,168.00,171.80,166.55,167.35,168.30,168.90,419907,709.23,6157,164850,39.26
POLARIS,EQ,2015-01-09,168.30,168.25,172.00,162.90,163.40,164.45,167.38,714635,1196.13,8814,272306,38.10
POLARIS,EQ,2015-01-12,164.45,164.45,167.40,159.00,159.55,159.75,162.04,788085,1277.01,7772,421756,53.52
POLARIS,EQ,2015-01-13,159.75,161.30,171.00,159.95,166.25,166.70,166.90,1523935,2543.43,19303,570548,37.44
POLARIS,EQ,2015-01-14,166.70,165.70,169.90,164.65,168.00,168.30,167.60,575960,965.31,6601,245700,42.66
POLARIS,EQ,2015-01-15,168.30,169.55,172.30,165.40,167.30,168.05,168.73,592257,999.32,8532,229062,38.68
POLARIS,EQ,2015-01-16,168.05,167.20,169.50,162.55,163.40,163.75,165.58,417962,692.07,4817,214508,51.32
POLARIS,EQ,2015-01-19,163.75,164.60,170.50,164.60,168.00,167.70,168.42,603970,1017.21,7069,254592,42.15
POLARIS,EQ,2015-01-20,167.70,168.00,171.80,166.40,166.90,167.50,168.97,579909,979.86,6422,253317,43.68
POLARIS,EQ,2015-01-21,167.50,167.70,168.60,164.00,166.05,166.80,166.30,555629,923.99,5393,250755,45.13
POLARIS,EQ,2015-01-22,166.80,170.55,177.45,168.40,169.50,170.30,173.31,2280439,3952.25,31231,763695,33.49
POLARIS,EQ,2015-01-23,170.30,169.80,169.80,155.40,158.50,158.85,160.53,1451904,2330.68,20525,683918,47.10
POLARIS,EQ,2015-01-27,158.85,160.00,162.70,158.55,159.00,159.85,160.12,471018,754.20,7706,279055,59.25
POLARIS,EQ,2015-01-28,159.85,159.85,164.00,154.15,156.10,156.40,159.97,1966216,3145.38,11459,1545557,78.61
POLARIS,EQ,2015-01-29,156.40,157.65,157.90,142.00,145.00,146.05,148.17,1607280,2381.50,22103,841013,52.33
POLARIS,EQ,2015-01-30,146.05,147.45,154.60,147.40,147.70,148.55,150.72,724906,1092.58,8879,284848,39.29
POLARIS,EQ,2015-02-02,148.55,148.00,151.80,144.50,146.50,147.20,147.82,613433,906.78,9520,236467,38.55
POLARIS,EQ,2015-02-03,147.20,148.00,148.00,139.40,139.90,139.90,142.02,903535,1283.24,9907,530663,58.73
POLARIS,EQ,2015-02-04,139.90,141.05,143.45,136.60,138.30,137.60,139.39,1167554,1627.48,10951,558178,47.81
POLARIS,EQ,2015-02-05,137.60,138.80,141.50,137.55,138.05,138.20,139.56,481927,672.59,5793,174392,36.19
POLARIS,EQ,2015-02-06,138.20,139.15,140.30,133.40,135.45,135.45,136.67,452621,618.62,5283,195087,43.10
POLARIS,EQ,2015-02-09,135.45,134.75,140.00,133.30,136.00,135.20,137.07,504270,691.20,7478,208842,41.41
POLARIS,EQ,2015-02-10,135.20,135.30,139.30,132.90,135.80,135.60,136.25,485491,661.48,6125,189546,39.04
POLARIS,EQ,2015-02-11,135.60,136.10,137.70,133.85,136.60,136.10,135.52,327418,443.71,5345,145116,44.32
POLARIS,EQ,2015-02-12,136.10,136.55,144.00,135.50,143.00,142.90,141.30,1023930,1446.82,12129,338083,33.02
POLARIS,EQ,2015-02-13,142.90,143.60,144.00,141.35,142.80,142.80,142.77,486467,694.55,5129,227130,46.69
