Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
POWERGRID,EQ,2014-12-04,137.20,137.10,137.70,135.70,136.50,136.50,136.84,2540536,3476.51,31129,1792574,70.56
POWERGRID,EQ,2014-12-05,136.50,136.30,138.20,136.00,137.00,136.75,137.19,3206282,4398.81,35608,2288551,71.38
POWERGRID,EQ,2014-12-08,136.75,136.75,138.30,135.45,136.15,135.85,136.87,1733162,2372.11,23152,845447,48.78
POWERGRID,EQ,2014-12-09,135.85,135.40,136.85,134.60,135.00,134.95,135.55,2709825,3673.29,33955,1590857,58.71
POWERGRID,EQ,2014-12-10,134.95,134.60,137.80,134.30,137.35,137.25,136.15,2089358,2844.56,9890,1303821,62.40
POWERGRID,IL,2014-12-10,139.25,136.50,136.50,136.50,-,136.50,136.50,210000,286.65,1,210000,100.00
POWERGRID,EQ,2014-12-11,137.25,137.90,138.00,134.75,135.75,135.95,136.17,1812647,2468.35,7144,1119700,61.77
POWERGRID,EQ,2014-12-12,135.95,136.10,136.35,133.55,134.00,134.80,134.56,2707135,3642.59,21989,1485457,54.87
POWERGRID,EQ,2014-12-15,134.80,133.75,135.20,132.95,134.15,134.45,134.49,1570483,2112.22,15900,807129,51.39
POWERGRID,EQ,2014-12-16,134.45,133.55,134.85,132.15,133.00,133.05,133.26,2706277,3606.46,20679,1183289,43.72
POWERGRID,EQ,2014-12-17,133.05,132.60,134.35,129.60,131.20,131.00,131.22,3802717,4990.09,22248,2292107,60.28
POWERGRID,EQ,2014-12-18,131.00,132.05,133.35,129.55,131.45,131.60,131.13,3234628,4241.62,16872,1579066,48.82
POWERGRID,EQ,2014-12-19,131.60,132.65,136.15,130.50,135.60,135.80,134.01,2725413,3652.23,18930,1616399,59.31
POWERGRID,EQ,2014-12-22,135.80,135.90,137.25,134.75,136.50,136.85,136.46,2119167,2891.83,22102,1293595,61.04
POWERGRID,EQ,2014-12-23,136.85,136.80,139.75,136.45,138.45,139.05,138.26,3737261,5166.96,23157,2224190,59.51
POWERGRID,EQ,2014-12-24,139.05,138.95,138.95,134.10,138.00,136.30,136.35,4902706,6685.03,21270,2747074,56.03
POWERGRID,EQ,2014-12-26,136.30,138.50,139.75,136.50,136.75,137.10,138.14,1299518,1795.20,11457,266739,20.53
