Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PRAJIND,EQ,2014-12-04,65.40,65.85,68.25,65.85,66.95,66.95,66.98,794567,532.21,5717,444778,55.98
PRAJIND,EQ,2014-12-05,66.95,67.45,69.20,66.95,67.70,67.80,68.14,638899,435.36,5479,288280,45.12
PRAJIND,EQ,2014-12-08,67.80,67.35,70.40,67.00,69.00,69.65,68.76,794583,546.36,6911,388145,48.85
PRAJIND,EQ,2014-12-09,69.65,68.90,69.30,65.90,66.70,66.35,67.40,460682,310.50,4068,213603,46.37
PRAJIND,EQ,2014-12-10,66.35,65.75,71.90,65.65,71.65,71.40,70.11,2301354,1613.39,12227,880080,38.24
PRAJIND,EQ,2014-12-11,71.40,75.80,77.15,70.35,70.35,71.25,73.44,5087324,3736.32,29635,1696788,33.35
PRAJIND,EQ,2014-12-12,71.25,70.90,71.55,67.20,67.55,67.55,69.08,1048754,724.51,8206,405594,38.67
PRAJIND,EQ,2014-12-15,67.55,65.95,68.20,65.40,66.50,66.25,66.54,719802,478.97,6219,263397,36.59
PRAJIND,EQ,2014-12-16,66.25,65.60,65.90,60.55,60.80,60.90,62.55,952314,595.64,7597,554160,58.19
PRAJIND,EQ,2014-12-17,60.90,61.30,61.60,58.00,59.05,58.80,59.44,998222,593.36,14183,446698,44.75
PRAJIND,EQ,2014-12-18,58.80,60.45,62.50,60.10,62.20,62.05,61.35,674001,413.52,6717,287895,42.71
PRAJIND,EQ,2014-12-19,62.05,63.20,64.30,61.15,61.30,61.55,62.73,797040,499.98,7708,379870,47.66
PRAJIND,EQ,2014-12-22,61.55,61.20,62.50,61.20,62.10,61.95,61.89,322991,199.90,3526,131670,40.77
PRAJIND,EQ,2014-12-23,61.95,61.65,63.60,61.65,61.90,61.85,62.58,446481,279.43,3526,188598,42.24
PRAJIND,EQ,2014-12-24,61.85,61.60,62.55,61.50,62.00,61.90,61.91,252117,156.08,2605,113939,45.19
PRAJIND,EQ,2014-12-26,61.90,61.60,62.65,60.00,60.30,60.30,60.80,516247,313.86,4011,264013,51.14
PRAJIND,EQ,2014-12-29,60.30,61.20,61.55,59.50,60.15,60.05,60.58,461878,279.79,4075,239835,51.93
PRAJIND,EQ,2014-12-30,60.05,60.00,61.90,60.00,61.20,61.20,60.94,448084,273.05,4546,153721,34.31
PRAJIND,EQ,2014-12-31,61.20,61.20,61.80,60.15,60.30,60.45,60.65,544711,330.39,5629,319360,58.63
PRAJIND,EQ,2015-01-01,60.45,60.30,61.70,60.25,61.50,61.40,61.12,373692,228.39,3679,164375,43.99
PRAJIND,EQ,2015-01-02,61.40,61.75,62.60,61.30,61.45,61.45,61.73,747418,461.40,4954,398381,53.30
PRAJIND,EQ,2015-01-05,61.45,61.40,62.75,61.20,61.60,61.45,61.87,461615,285.58,3553,197489,42.78
PRAJIND,EQ,2015-01-06,61.45,61.00,61.00,58.60,58.80,58.80,59.64,623800,372.02,5772,331146,53.09
PRAJIND,EQ,2015-01-07,58.80,58.80,61.45,58.60,60.35,60.30,60.19,1212382,729.76,7718,252752,20.85
PRAJIND,EQ,2015-01-08,60.30,61.45,62.00,60.35,60.55,60.70,60.88,510170,310.58,4496,252161,49.43
PRAJIND,EQ,2015-01-09,60.70,61.90,62.15,60.35,60.65,60.50,61.15,705424,431.38,6140,286534,40.62
PRAJIND,EQ,2015-01-12,60.50,61.00,61.80,60.55,60.85,60.95,61.10,627238,383.24,4680,175243,27.94
PRAJIND,EQ,2015-01-13,60.95,61.50,61.65,58.85,59.20,59.20,59.81,713434,426.72,4604,411421,57.67
PRAJIND,EQ,2015-01-14,59.20,59.05,59.85,58.55,59.05,58.95,59.08,377849,223.25,2966,164810,43.62
PRAJIND,EQ,2015-01-15,58.95,59.25,59.95,58.65,59.50,59.10,59.15,573949,339.49,7136,348917,60.79
PRAJIND,EQ,2015-01-16,59.10,59.45,59.70,58.65,59.00,58.95,59.08,579639,342.45,4134,262159,45.23
PRAJIND,EQ,2015-01-19,58.95,58.95,60.10,58.95,59.80,59.45,59.58,598057,356.31,4296,254523,42.56
PRAJIND,EQ,2015-01-20,59.45,60.00,60.70,58.20,60.00,59.20,59.72,1440912,860.58,7821,429667,29.82
PRAJIND,EQ,2015-01-21,59.20,57.00,57.90,55.55,55.85,55.85,56.63,1107440,627.19,8100,587075,53.01
