Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PRAKASH,EQ,2014-12-04,62.85,63.60,64.80,60.40,60.65,60.75,62.43,542785,338.85,3923,280130,51.61
PRAKASH,EQ,2014-12-05,60.75,61.15,61.15,59.30,59.50,60.00,59.98,400235,240.07,3280,219101,54.74
PRAKASH,EQ,2014-12-08,60.00,59.55,60.40,59.30,59.50,59.45,59.87,198976,119.12,1362,110770,55.67
PRAKASH,EQ,2014-12-09,59.45,59.30,59.70,56.90,57.25,57.15,58.22,180613,105.15,1616,114207,63.23
PRAKASH,EQ,2014-12-10,57.15,57.45,58.90,57.20,57.90,57.70,58.03,146562,85.05,1245,58479,39.90
PRAKASH,EQ,2014-12-11,57.70,57.60,57.75,55.95,56.30,56.25,56.56,175972,99.53,1621,95284,54.15
PRAKASH,EQ,2014-12-12,56.25,56.10,57.30,55.30,55.75,55.80,56.29,138297,77.85,1045,81595,59.00
PRAKASH,EQ,2014-12-15,55.80,55.50,56.50,54.60,54.60,55.05,55.52,130131,72.25,1133,85629,65.80
PRAKASH,EQ,2014-12-16,55.05,54.60,55.40,52.65,54.95,54.70,54.20,544176,294.92,2947,337600,62.04
PRAKASH,EQ,2014-12-17,54.70,54.75,55.15,52.55,53.60,53.55,53.54,231065,123.71,1921,123260,53.34
PRAKASH,EQ,2014-12-18,53.55,54.50,56.75,54.40,56.75,56.20,55.53,132854,73.78,1180,76571,57.64
PRAKASH,EQ,2014-12-19,56.20,56.00,57.60,55.65,56.60,56.60,56.87,113926,64.79,1081,52563,46.14
PRAKASH,EQ,2014-12-22,56.60,57.20,57.30,56.20,56.85,57.05,56.79,56526,32.10,597,35013,61.94
PRAKASH,EQ,2014-12-23,57.05,56.60,62.50,56.05,56.60,56.60,58.20,664886,386.96,5293,169145,25.44
PRAKASH,EQ,2014-12-24,56.60,57.30,57.70,56.25,56.80,56.60,56.74,151406,85.91,1361,93607,61.83
PRAKASH,EQ,2014-12-26,56.60,56.15,57.30,55.80,56.35,56.30,56.36,87245,49.17,782,43700,50.09
PRAKASH,EQ,2014-12-29,56.30,56.05,59.50,56.05,56.70,56.75,57.46,1835167,1054.46,4225,1371703,74.75
PRAKASH,EQ,2014-12-30,56.75,56.95,57.50,55.95,56.20,56.20,56.78,925373,525.43,1630,764535,82.62
PRAKASH,EQ,2014-12-31,56.20,56.20,57.45,56.20,56.80,56.90,57.03,161807,92.29,1218,87900,54.32
PRAKASH,EQ,2015-01-01,56.90,57.70,59.40,57.70,58.20,58.20,58.62,933458,547.21,3779,498071,53.36
PRAKASH,EQ,2015-01-02,58.20,58.20,59.05,57.60,57.90,58.00,58.48,331733,193.99,1413,173405,52.27
PRAKASH,EQ,2015-01-05,58.00,58.00,59.20,57.60,57.95,58.00,58.60,350665,205.49,1448,187325,53.42
PRAKASH,EQ,2015-01-06,58.00,57.20,57.65,55.50,55.80,55.80,56.22,308463,173.41,1804,222071,71.99
PRAKASH,EQ,2015-01-07,55.80,55.70,56.60,55.10,55.60,55.70,55.65,98714,54.94,640,59077,59.85
PRAKASH,EQ,2015-01-08,55.70,56.25,56.75,54.70,55.90,55.75,55.75,209793,116.96,1182,106456,50.74
PRAKASH,EQ,2015-01-09,55.75,56.20,57.95,55.40,55.75,55.60,56.39,283552,159.90,1752,142587,50.29
PRAKASH,EQ,2015-01-12,55.60,56.60,56.90,55.50,55.80,55.75,56.01,126455,70.83,912,65631,51.90
PRAKASH,EQ,2015-01-13,55.75,56.35,56.55,54.60,55.45,55.20,55.70,131525,73.25,947,76408,58.09
PRAKASH,EQ,2015-01-14,55.20,55.60,55.85,54.75,55.65,55.55,55.32,126909,70.21,814,75346,59.37
PRAKASH,EQ,2015-01-15,55.55,55.80,56.50,55.15,55.50,55.45,55.72,144979,80.79,2406,86686,59.79
