Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PRATIBHA,EQ,2014-12-04,48.30,48.00,49.75,46.20,46.40,46.40,47.54,529752,251.84,3633,317032,59.85
PRATIBHA,EQ,2014-12-05,46.40,46.40,47.40,45.50,45.60,45.80,46.25,433621,200.54,3009,217237,50.10
PRATIBHA,EQ,2014-12-08,45.80,46.25,46.50,44.10,44.20,44.35,45.32,240019,108.78,1396,163931,68.30
PRATIBHA,EQ,2014-12-09,44.35,44.00,45.50,43.70,44.10,44.15,44.57,206120,91.86,1510,111469,54.08
PRATIBHA,EQ,2014-12-10,44.15,43.70,46.75,43.70,45.10,45.20,45.36,174017,78.93,1171,97375,55.96
PRATIBHA,EQ,2014-12-11,45.20,45.00,45.65,44.30,44.50,44.55,44.93,142754,64.14,905,75229,52.70
PRATIBHA,EQ,2014-12-12,44.55,44.50,46.00,43.55,43.70,43.90,44.56,201495,89.79,1111,133737,66.37
PRATIBHA,EQ,2014-12-15,43.90,43.50,46.30,43.40,45.80,45.75,44.94,260993,117.30,2455,144616,55.41
PRATIBHA,EQ,2014-12-16,45.75,45.00,45.65,41.70,42.20,42.30,43.03,544587,234.36,1651,439057,80.62
PRATIBHA,EQ,2014-12-17,42.30,42.30,42.90,40.90,41.25,41.40,41.86,270657,113.30,1228,190023,70.21
PRATIBHA,EQ,2014-12-18,41.40,42.30,44.30,42.30,44.00,43.80,43.32,108693,47.09,717,70768,65.11
PRATIBHA,EQ,2014-12-19,43.80,44.20,44.90,43.55,44.00,43.80,44.06,160082,70.54,941,117949,73.68
PRATIBHA,EQ,2014-12-22,43.80,44.00,44.20,42.30,43.30,43.30,43.44,90178,39.18,559,55309,61.33
PRATIBHA,EQ,2014-12-23,43.30,42.90,43.80,42.50,43.00,42.85,43.05,67553,29.08,458,36254,53.67
PRATIBHA,EQ,2014-12-24,42.85,42.50,43.40,41.95,42.30,42.15,42.61,122762,52.31,908,99571,81.11
PRATIBHA,EQ,2014-12-26,42.15,44.25,44.25,42.20,42.80,42.75,42.86,42971,18.42,305,26967,62.76
PRATIBHA,EQ,2014-12-29,42.75,43.05,44.05,42.55,42.70,42.65,43.27,82901,35.87,1031,45276,54.61
PRATIBHA,EQ,2014-12-30,42.65,43.50,44.60,43.00,43.50,43.30,43.63,100157,43.70,1361,54017,53.93
PRATIBHA,EQ,2014-12-31,43.30,43.40,44.25,43.35,43.95,43.80,43.83,85661,37.54,767,64419,75.20
PRATIBHA,EQ,2015-01-01,43.80,43.95,45.70,43.75,45.40,45.10,44.89,119834,53.80,1627,51890,43.30
PRATIBHA,EQ,2015-01-02,45.10,45.10,46.00,45.00,45.60,45.55,45.60,124869,56.93,1180,66008,52.86
PRATIBHA,EQ,2015-01-05,45.55,45.10,45.75,44.50,44.75,44.70,45.20,75243,34.01,623,43236,57.46
