Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PRECOT,EQ,2014-12-04,72.00,72.50,72.50,72.50,72.50,72.50,72.50,50,0.04,1,50,100.00
PRECOT,EQ,2014-12-05,72.50,72.50,72.50,69.30,71.20,71.20,70.47,2127,1.50,28,1240,58.30
PRECOT,EQ,2014-12-08,71.20,70.50,71.90,67.65,69.40,69.35,69.25,1498,1.04,26,1370,91.46
PRECOT,EQ,2014-12-09,69.35,71.90,83.20,71.90,80.00,77.95,81.77,87577,71.62,829,35618,40.67
PRECOT,EQ,2014-12-10,77.95,79.25,81.70,77.25,77.60,78.30,79.63,12147,9.67,184,5140,42.31
PRECOT,EQ,2014-12-11,78.30,80.00,80.00,75.10,77.90,76.15,76.88,1023,0.79,31,986,96.38
PRECOT,EQ,2014-12-12,76.15,78.85,78.85,71.20,72.00,73.50,74.41,3689,2.74,69,2972,80.56
PRECOT,EQ,2014-12-15,73.50,71.70,74.95,71.70,71.80,71.95,72.40,2116,1.53,37,1466,69.28
PRECOT,EQ,2014-12-16,71.95,72.00,72.00,68.25,71.05,70.75,71.32,1820,1.30,30,1741,95.66
PRECOT,EQ,2014-12-17,70.75,70.00,70.00,66.40,68.00,68.00,68.13,1400,0.95,30,1163,83.07
PRECOT,EQ,2014-12-18,68.00,68.45,70.95,68.45,70.95,70.75,70.13,3099,2.17,20,2849,91.93
PRECOT,EQ,2014-12-19,70.75,70.95,73.95,69.25,69.25,69.50,70.34,2849,2.00,68,1828,64.16
PRECOT,EQ,2014-12-22,69.50,70.00,72.50,69.05,72.05,72.25,69.96,2642,1.85,26,2404,90.99
PRECOT,EQ,2014-12-23,72.25,72.95,72.95,71.00,72.00,71.85,71.93,773,0.56,49,760,98.32
PRECOT,EQ,2014-12-24,71.85,69.80,73.75,69.80,71.00,71.00,71.53,229,0.16,12,229,100.00
PRECOT,EQ,2014-12-26,71.00,71.95,71.95,68.05,69.20,69.70,70.20,3351,2.35,57,2271,67.77
PRECOT,EQ,2014-12-29,69.70,71.85,71.85,68.40,68.40,68.95,69.79,674,0.47,22,552,81.90
PRECOT,EQ,2014-12-30,68.95,70.20,71.75,70.20,71.30,71.30,70.51,225,0.16,10,220,97.78
PRECOT,EQ,2014-12-31,71.30,71.75,73.40,70.30,70.30,70.40,71.98,2753,1.98,26,2560,92.99
PRECOT,EQ,2015-01-01,70.40,71.95,73.75,71.00,72.80,71.50,72.31,912,0.66,20,760,83.33
PRECOT,EQ,2015-01-02,71.50,71.15,71.95,70.20,70.20,70.45,70.91,351,0.25,10,200,56.98
PRECOT,EQ,2015-01-05,70.45,73.95,73.95,70.30,73.75,73.00,72.30,1389,1.00,28,843,60.69
PRECOT,EQ,2015-01-06,73.00,70.60,72.00,70.20,70.20,70.20,70.37,898,0.63,12,797,88.75
PRECOT,EQ,2015-01-07,70.20,70.10,70.10,68.10,68.10,68.30,69.07,1636,1.13,18,1536,93.89
PRECOT,EQ,2015-01-08,68.30,68.80,68.85,68.80,68.85,68.85,68.85,22,0.02,4,20,90.91
PRECOT,EQ,2015-01-09,68.85,68.85,71.50,68.85,71.45,71.45,71.45,1121,0.80,12,510,45.50
PRECOT,EQ,2015-01-12,71.45,67.60,70.60,67.60,70.20,70.20,69.43,2035,1.41,22,1470,72.24
PRECOT,EQ,2015-01-13,70.20,71.80,71.80,69.10,69.10,69.10,69.70,549,0.38,16,510,92.90
PRECOT,EQ,2015-01-14,69.10,72.15,72.15,70.20,70.20,71.30,71.08,516,0.37,25,396,76.74
PRECOT,EQ,2015-01-15,71.30,71.70,71.70,69.00,70.00,69.95,69.43,991,0.69,15,946,95.46
PRECOT,EQ,2015-01-16,69.95,71.45,71.45,68.50,69.85,69.85,69.29,1944,1.35,23,1029,52.93
PRECOT,EQ,2015-01-19,69.85,70.00,70.00,69.20,69.40,69.35,69.48,602,0.42,14,408,67.77
PRECOT,EQ,2015-01-20,69.35,71.90,74.50,70.50,73.80,73.15,73.13,4004,2.93,26,4000,99.90
PRECOT,EQ,2015-01-21,73.15,72.50,73.80,72.50,72.50,72.50,73.02,2784,2.03,12,2784,100.00
PRECOT,EQ,2015-01-22,72.50,71.50,72.95,69.00,69.95,69.85,70.12,3585,2.51,41,2640,73.64
PRECOT,EQ,2015-01-23,69.85,70.00,71.00,69.20,69.20,70.20,70.50,2542,1.79,38,2124,83.56
PRECOT,EQ,2015-01-27,70.20,69.10,69.80,68.25,68.25,68.55,68.74,3810,2.62,27,3510,92.13
PRECOT,EQ,2015-01-28,68.55,68.30,70.00,68.30,69.80,69.10,69.12,3269,2.26,41,2386,72.99
PRECOT,EQ,2015-01-29,69.10,68.50,69.45,68.20,69.40,69.30,68.99,263,0.18,12,245,93.16
PRECOT,EQ,2015-01-30,69.30,69.30,69.30,69.30,69.30,69.30,69.30,230,0.16,4,230,100.00
PRECOT,EQ,2015-02-02,69.30,69.30,69.90,69.30,69.90,69.90,69.50,150,0.10,2,150,100.00
PRECOT,EQ,2015-02-03,69.90,69.90,69.95,68.00,69.95,69.95,68.42,1040,0.71,24,840,80.77
PRECOT,EQ,2015-02-04,69.95,67.65,70.00,63.00,67.00,67.05,66.04,9181,6.06,141,5620,61.21
PRECOT,EQ,2015-02-05,67.05,66.35,67.10,66.35,67.00,67.00,66.98,1166,0.78,17,833,71.44
PRECOT,EQ,2015-02-06,67.00,65.80,67.40,65.00,66.95,66.95,66.27,1663,1.10,23,1407,84.61
PRECOT,EQ,2015-02-09,66.95,65.00,67.00,63.60,67.00,66.90,65.38,1076,0.70,18,870,80.86
PRECOT,EQ,2015-02-10,66.90,65.00,67.00,63.10,67.00,66.85,65.76,397,0.26,20,250,62.97
PRECOT,EQ,2015-02-11,66.85,66.50,66.95,65.25,65.25,66.25,66.15,1721,1.14,26,1630,94.71
PRECOT,EQ,2015-02-12,66.25,65.05,65.80,65.05,65.55,65.65,65.42,217,0.14,6,147,67.74
