Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PRISMCEM,EQ,2014-12-04,79.95,80.00,80.75,77.60,78.00,78.15,78.80,126231,99.48,1621,68182,54.01
PRISMCEM,EQ,2014-12-05,78.15,78.90,80.25,77.60,79.35,79.55,79.54,394783,314.02,2812,218162,55.26
PRISMCEM,EQ,2014-12-08,79.55,81.00,85.15,79.75,83.85,83.60,83.35,1733106,1444.53,13588,835294,48.20
PRISMCEM,EQ,2014-12-09,83.60,84.65,85.25,77.25,78.95,78.25,81.71,769716,628.90,6925,391641,50.88
PRISMCEM,EQ,2014-12-10,78.25,77.35,82.50,77.20,82.50,82.20,80.79,481278,388.80,4652,204863,42.57
PRISMCEM,EQ,2014-12-11,82.20,82.50,83.40,80.00,81.55,81.55,81.32,408758,332.40,3371,237929,58.21
PRISMCEM,EQ,2014-12-12,81.55,81.20,82.40,79.80,80.10,80.05,80.49,313399,252.26,1858,205970,65.72
PRISMCEM,EQ,2014-12-15,80.05,79.20,81.80,78.05,79.00,79.70,80.13,161718,129.59,1871,91153,56.37
PRISMCEM,EQ,2014-12-16,79.70,79.20,80.35,75.25,75.75,75.75,77.81,266831,207.62,4053,155101,58.13
PRISMCEM,EQ,2014-12-17,75.75,75.15,79.95,73.35,76.65,76.70,75.15,1776034,1334.65,4577,1599114,90.04
PRISMCEM,EQ,2014-12-18,76.70,78.65,80.60,78.50,79.60,80.00,79.47,131562,104.56,1480,72916,55.42
PRISMCEM,EQ,2014-12-19,80.00,81.00,82.00,77.75,78.60,78.20,79.93,127875,102.21,1652,63392,49.57
PRISMCEM,EQ,2014-12-22,78.20,77.55,78.90,77.05,77.50,77.50,77.67,90782,70.51,1275,53913,59.39
PRISMCEM,EQ,2014-12-23,77.50,77.55,79.10,77.30,77.50,77.55,77.67,240740,186.99,1442,183968,76.42
PRISMCEM,EQ,2014-12-24,77.55,78.20,79.50,77.05,77.60,77.45,78.12,139122,108.68,2327,72624,52.20
PRISMCEM,EQ,2014-12-26,77.45,77.90,79.35,77.25,77.65,77.55,77.81,95360,74.20,1650,48843,51.22
PRISMCEM,EQ,2014-12-29,77.55,77.90,80.00,77.85,79.40,79.15,79.29,142895,113.30,2654,81562,57.08
PRISMCEM,EQ,2014-12-30,79.15,78.90,80.95,78.75,80.85,80.25,79.86,158372,126.47,2666,73009,46.10
PRISMCEM,EQ,2014-12-31,80.25,80.70,81.50,79.90,80.45,80.25,80.54,119248,96.04,1257,51822,43.46
PRISMCEM,EQ,2015-01-01,80.25,80.50,81.00,79.75,80.25,80.35,80.31,63129,50.70,930,24174,38.29
PRISMCEM,EQ,2015-01-02,80.35,79.60,81.45,79.60,80.00,79.95,80.17,142443,114.19,1210,97063,68.14
PRISMCEM,EQ,2015-01-05,79.95,81.20,81.20,77.60,78.50,78.60,78.86,165114,130.21,2554,88514,53.61
PRISMCEM,EQ,2015-01-06,78.60,78.20,78.25,76.80,77.95,77.35,77.52,131063,101.59,2395,72143,55.04
PRISMCEM,EQ,2015-01-07,77.35,77.00,79.50,77.00,79.10,78.75,78.19,126723,99.08,2002,88065,69.49
PRISMCEM,EQ,2015-01-08,78.75,78.85,80.90,78.55,78.60,78.90,79.59,121695,96.86,1812,56616,46.52
PRISMCEM,EQ,2015-01-09,78.90,79.75,79.80,77.45,79.00,78.45,78.40,70441,55.23,1588,40607,57.65
PRISMCEM,EQ,2015-01-12,78.45,80.60,80.60,79.00,79.10,80.00,79.94,129453,103.48,1773,69756,53.89
PRISMCEM,EQ,2015-01-13,80.00,79.50,94.10,79.50,90.00,89.95,89.76,6056967,5436.53,41189,2337269,38.59
PRISMCEM,EQ,2015-01-14,89.95,92.00,94.50,87.60,88.65,88.40,91.53,1697533,1553.78,15097,619771,36.51
PRISMCEM,EQ,2015-01-15,88.40,90.00,92.15,86.40,90.50,90.55,90.19,1060449,956.44,9601,428187,40.38
PRISMCEM,EQ,2015-01-16,90.55,89.35,98.40,88.50,97.05,96.55,95.41,2972647,2836.30,26270,1317519,44.32
PRISMCEM,EQ,2015-01-19,96.55,97.95,100.40,96.55,99.00,99.10,98.75,1521557,1502.55,14179,745287,48.98
PRISMCEM,EQ,2015-01-20,99.10,99.80,108.15,97.50,101.15,101.10,102.52,2620439,2686.45,22860,1056819,40.33
PRISMCEM,EQ,2015-01-21,101.10,101.85,102.80,98.00,101.00,101.30,100.86,647451,653.02,6508,216732,33.47
PRISMCEM,EQ,2015-01-22,101.30,101.95,108.70,100.10,104.90,105.70,104.76,1622097,1699.29,12831,623668,38.45
PRISMCEM,EQ,2015-01-23,105.70,106.30,106.45,102.00,102.60,102.80,103.75,515717,535.04,5847,282793,54.83
PRISMCEM,EQ,2015-01-27,102.80,103.00,105.25,100.25,100.70,101.25,101.98,918411,936.60,12471,612301,66.67
PRISMCEM,EQ,2015-01-28,101.25,101.20,105.00,100.80,104.30,103.75,102.69,1004518,1031.56,8843,626648,62.38
PRISMCEM,EQ,2015-01-29,103.75,104.30,105.40,102.60,104.40,104.05,104.08,795591,828.03,8054,520090,65.37
PRISMCEM,EQ,2015-01-30,104.05,104.00,107.00,102.35,103.25,103.35,104.33,786683,820.75,12321,452750,57.55
PRISMCEM,EQ,2015-02-02,103.35,104.00,108.00,103.80,106.00,106.40,106.06,608025,644.86,4915,318873,52.44
PRISMCEM,EQ,2015-02-03,106.40,107.00,107.80,104.80,106.00,106.25,106.30,319984,340.15,6099,162061,50.65
PRISMCEM,EQ,2015-02-04,106.25,105.20,107.20,97.90,99.50,100.05,103.96,725430,754.17,5350,580334,80.00
PRISMCEM,EQ,2015-02-05,100.05,100.90,103.50,97.70,98.25,98.65,100.45,1510528,1517.35,15403,464420,30.75
PRISMCEM,EQ,2015-02-06,98.65,98.15,99.50,87.25,91.00,91.50,91.53,763222,698.57,10881,333919,43.75
PRISMCEM,EQ,2015-02-09,91.50,90.00,94.10,89.10,92.30,91.60,91.99,302279,278.05,5162,130599,43.20
PRISMCEM,EQ,2015-02-10,91.60,91.10,94.80,91.10,94.00,93.05,93.55,272719,255.13,4177,113290,41.54
PRISMCEM,EQ,2015-02-11,93.05,93.10,97.55,93.10,97.00,96.75,95.74,210608,201.63,4358,80151,38.06
PRISMCEM,EQ,2015-02-12,96.75,97.70,103.20,97.00,103.00,102.35,101.25,587305,594.63,8178,224614,38.24
PRISMCEM,EQ,2015-02-13,102.35,102.90,103.30,100.00,103.00,102.90,102.08,271743,277.40,4761,131307,48.32
PRISMCEM,EQ,2015-02-16,102.90,103.00,104.35,101.35,102.30,102.00,102.81,444581,457.08,3773,326934,73.54
PRISMCEM,EQ,2015-02-18,102.00,102.50,114.35,102.50,112.75,110.25,107.96,786625,849.27,8509,397574,50.54
PRISMCEM,EQ,2015-02-19,110.25,113.00,115.90,108.40,114.40,114.45,113.53,1498211,1700.96,11819,964282,64.36
PRISMCEM,EQ,2015-02-20,114.45,114.50,114.60,110.80,112.10,112.30,112.35,395688,444.57,5161,262349,66.30
PRISMCEM,EQ,2015-02-23,112.30,112.95,119.60,111.15,113.30,114.20,115.46,996654,1150.75,9363,525376,52.71
PRISMCEM,EQ,2015-02-24,114.20,114.00,114.95,110.10,111.25,111.10,111.52,529678,590.67,3043,398224,75.18
PRISMCEM,EQ,2015-02-25,111.10,113.00,114.85,107.50,109.10,108.60,110.93,391054,433.81,6396,158795,40.61
PRISMCEM,EQ,2015-02-26,108.60,109.45,112.75,108.25,112.00,111.20,110.18,287049,316.26,3934,163504,56.96
PRISMCEM,EQ,2015-02-27,111.20,112.45,112.80,108.10,111.70,112.10,111.03,607070,674.01,2599,494913,81.52
PRISMCEM,EQ,2015-02-28,112.10,113.30,113.40,108.50,112.00,112.05,111.26,227720,253.37,3383,95681,42.02
PRISMCEM,EQ,2015-03-02,112.05,113.00,119.00,112.50,118.00,117.85,116.72,1202756,1403.91,14475,508467,42.28
PRISMCEM,EQ,2015-03-03,117.85,120.00,122.80,119.20,121.05,121.75,121.09,978930,1185.35,12506,426183,43.54
PRISMCEM,EQ,2015-03-04,121.75,121.75,132.95,120.25,130.95,130.40,127.80,1681723,2149.24,16835,880810,52.38
PRISMCEM,EQ,2015-03-05,130.40,131.00,131.30,125.00,126.55,127.20,127.68,1107293,1413.84,10396,729426,65.87
PRISMCEM,EQ,2015-03-09,127.20,126.40,126.40,119.95,120.55,121.40,122.72,235269,288.72,3635,112018,47.61
PRISMCEM,EQ,2015-03-10,121.40,120.80,123.75,115.60,118.50,118.15,119.98,219226,263.02,3234,87686,40.00
PRISMCEM,EQ,2015-03-11,118.15,117.00,119.85,112.00,112.15,113.15,114.25,287825,328.85,4107,121921,42.36
PRISMCEM,EQ,2015-03-12,113.15,112.70,119.80,112.70,114.75,115.20,116.43,367471,427.85,6408,116389,31.67
PRISMCEM,EQ,2015-03-13,115.20,116.25,116.25,109.40,110.90,110.40,111.48,387760,432.27,5764,200045,51.59
PRISMCEM,EQ,2015-03-16,110.40,111.35,112.00,107.00,109.50,108.80,108.61,442702,480.83,2596,368576,83.26
PRISMCEM,EQ,2015-03-17,108.80,109.80,111.10,107.50,109.25,108.35,109.02,394015,429.54,2717,329834,83.71
PRISMCEM,EQ,2015-03-18,108.35,110.95,115.45,110.85,114.70,114.65,114.03,509453,580.92,5609,182779,35.88
PRISMCEM,EQ,2015-03-19,114.65,117.00,118.60,111.00,111.60,112.35,115.30,519167,598.62,8512,234473,45.16
PRISMCEM,EQ,2015-03-20,112.35,111.50,113.30,108.00,109.90,108.45,110.30,311681,343.77,4423,190119,61.00
PRISMCEM,EQ,2015-03-23,108.45,109.00,110.80,106.25,106.50,106.90,108.29,165626,179.36,2592,100362,60.60
PRISMCEM,EQ,2015-03-24,106.90,104.60,106.90,100.00,100.85,100.50,103.07,307667,317.11,4864,189585,61.62
PRISMCEM,EQ,2015-03-25,100.50,101.00,103.90,94.70,95.00,96.15,101.37,851798,863.50,7147,727985,85.46
PRISMCEM,EQ,2015-03-26,96.15,94.95,96.80,92.50,94.60,94.30,93.82,348824,327.25,6341,182987,52.46
PRISMCEM,EQ,2015-03-27,94.30,97.90,99.90,92.70,95.50,95.25,95.49,304480,290.76,5024,164958,54.18
PRISMCEM,EQ,2015-03-30,95.25,97.90,100.60,96.05,99.70,99.25,98.82,532151,525.90,8407,291017,54.69
PRISMCEM,EQ,2015-03-31,99.25,102.00,104.95,100.00,100.00,100.65,102.82,723698,744.10,12223,404738,55.93
PRISMCEM,EQ,2015-04-01,100.65,100.80,104.55,100.30,104.20,103.90,102.72,634511,651.77,13079,346919,54.68
PRISMCEM,EQ,2015-04-06,103.90,104.80,119.80,103.00,117.35,116.75,114.27,1556581,1778.66,32762,701664,45.08
PRISMCEM,EQ,2015-04-07,116.75,117.70,121.70,113.10,118.40,118.95,117.98,829088,978.13,14694,329690,39.77
PRISMCEM,EQ,2015-04-08,118.95,118.70,133.45,115.75,129.00,128.10,123.82,2668386,3303.98,16316,1648523,61.78
PRISMCEM,EQ,2015-04-09,128.10,129.45,132.30,120.65,122.50,121.80,126.92,2032057,2579.04,12719,1578134,77.66
PRISMCEM,EQ,2015-04-10,121.80,122.60,124.40,119.40,121.65,121.50,122.15,785871,959.94,4606,543937,69.21
PRISMCEM,EQ,2015-04-13,121.50,122.45,125.90,120.00,120.60,120.55,122.43,297711,364.49,4104,118604,39.84
PRISMCEM,EQ,2015-04-15,120.55,121.65,122.30,115.55,117.50,116.85,119.12,306261,364.83,5240,156881,51.22
