Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PSL,EQ,2014-12-04,14.95,15.45,15.80,15.00,15.70,15.65,15.48,146738,22.72,604,75143,51.21
PSL,EQ,2014-12-05,15.65,15.65,16.00,15.05,15.25,15.25,15.51,60336,9.36,371,32660,54.13
PSL,EQ,2014-12-08,15.25,15.50,15.50,14.95,15.05,15.00,15.08,47163,7.11,281,37835,80.22
PSL,EQ,2014-12-09,15.00,15.00,15.40,14.60,14.70,14.80,14.93,29041,4.34,212,19943,68.67
PSL,EQ,2014-12-10,14.80,15.20,15.20,14.70,14.90,14.80,14.89,24234,3.61,162,18416,75.99
PSL,EQ,2014-12-11,14.80,14.70,15.00,14.55,14.90,14.80,14.73,66526,9.80,243,54029,81.21
PSL,EQ,2014-12-12,14.80,15.50,17.30,15.45,16.25,16.25,16.48,822948,135.58,4265,254658,30.94
PSL,EQ,2014-12-15,16.25,15.90,16.00,15.55,15.70,15.70,15.76,103258,16.27,456,54449,52.73
PSL,EQ,2014-12-16,15.70,15.80,15.85,14.40,14.60,14.65,14.77,140593,20.76,797,77053,54.81
PSL,EQ,2014-12-17,14.65,14.50,14.75,14.00,14.35,14.40,14.33,77268,11.07,493,42741,55.32
PSL,EQ,2014-12-18,14.40,15.00,15.40,14.70,15.20,15.10,15.20,49397,7.51,336,27855,56.39
PSL,EQ,2014-12-19,15.10,15.50,15.60,15.00,15.00,15.05,15.21,79056,12.02,392,39774,50.31
PSL,EQ,2014-12-22,15.05,14.65,15.45,14.55,14.60,14.65,14.82,66830,9.90,339,45186,67.61
PSL,EQ,2014-12-23,14.65,14.60,15.15,14.35,14.50,14.45,14.67,55783,8.18,373,28577,51.23
PSL,EQ,2014-12-24,14.45,14.30,14.75,14.30,14.50,14.40,14.51,32650,4.74,192,22627,69.30
PSL,EQ,2014-12-26,14.40,14.30,14.80,14.30,14.50,14.45,14.57,39272,5.72,182,33026,84.10
PSL,EQ,2014-12-29,14.45,14.30,15.45,14.30,14.70,14.70,14.86,57031,8.47,444,31608,55.42
PSL,EQ,2014-12-30,14.70,14.60,15.15,14.50,14.80,14.70,14.76,66339,9.79,441,25709,38.75
PSL,EQ,2014-12-31,14.70,15.00,15.00,14.50,14.65,14.60,14.63,52673,7.71,259,34381,65.27
PSL,EQ,2015-01-01,14.60,14.55,15.55,14.55,15.30,15.30,15.15,103248,15.64,565,64569,62.54
PSL,EQ,2015-01-02,15.30,16.00,16.00,15.40,15.45,15.55,15.64,79689,12.47,488,42291,53.07
PSL,EQ,2015-01-05,15.55,15.55,16.30,15.50,16.25,16.15,15.97,140168,22.38,782,65515,46.74
PSL,EQ,2015-01-06,16.15,16.00,16.00,15.00,15.15,15.15,15.51,61395,9.52,348,46525,75.78
PSL,EQ,2015-01-07,15.15,15.15,15.50,15.15,15.40,15.35,15.35,54500,8.37,267,36029,66.11
PSL,EQ,2015-01-08,15.35,16.50,16.50,15.45,15.55,15.55,15.61,83660,13.06,370,52114,62.29
PSL,EQ,2015-01-09,15.55,16.00,16.15,15.20,15.25,15.25,15.41,57892,8.92,276,47452,81.97
PSL,EQ,2015-01-12,15.25,15.70,15.70,14.80,15.15,15.20,15.05,32311,4.86,257,19710,61.00
PSL,EQ,2015-01-13,15.20,15.10,15.20,14.80,14.85,14.90,15.00,24531,3.68,193,19800,80.71
PSL,EQ,2015-01-14,14.90,14.90,15.20,14.80,14.80,14.85,14.95,47620,7.12,175,32012,67.22
PSL,EQ,2015-01-15,14.85,15.75,15.75,14.75,14.95,14.85,14.92,55420,8.27,349,38599,69.65
PSL,EQ,2015-01-16,14.85,14.80,15.20,14.50,15.00,14.90,14.89,91001,13.55,470,53234,58.50
PSL,EQ,2015-01-19,14.90,15.25,15.25,14.60,14.80,14.80,14.85,107404,15.95,442,74384,69.26
PSL,EQ,2015-01-20,14.80,14.90,17.10,14.75,16.75,16.85,16.36,520624,85.17,2179,298934,57.42
PSL,EQ,2015-01-21,16.85,18.00,18.40,17.30,17.80,17.80,17.85,1301089,232.21,5566,524988,40.35
PSL,EQ,2015-01-22,17.80,18.00,18.00,17.05,17.25,17.20,17.39,178556,31.05,789,90141,50.48
PSL,EQ,2015-01-23,17.20,17.30,17.50,16.50,16.50,16.60,16.79,138799,23.30,822,66458,47.88
PSL,EQ,2015-01-27,16.60,16.60,16.60,15.55,16.25,16.20,16.01,93875,15.03,538,52952,56.41
PSL,EQ,2015-01-28,16.20,16.45,16.45,15.80,16.20,16.00,16.03,46447,7.45,268,28826,62.06
PSL,EQ,2015-01-29,16.00,16.00,16.30,15.55,15.90,15.90,15.91,51513,8.20,218,38558,74.85
PSL,EQ,2015-01-30,15.90,16.75,16.75,15.65,15.80,15.75,15.85,57989,9.19,238,39911,68.83
PSL,EQ,2015-02-02,15.75,16.00,16.00,15.50,15.55,15.60,15.70,46793,7.35,278,36597,78.21
PSL,EQ,2015-02-03,15.60,15.70,15.90,15.55,15.65,15.60,15.66,50630,7.93,256,35074,69.28
PSL,EQ,2015-02-04,15.60,15.50,16.25,15.50,15.85,15.85,15.87,66646,10.58,368,38044,57.08
PSL,EQ,2015-02-05,15.85,15.70,16.30,15.10,15.10,15.35,15.68,136447,21.39,598,97866,71.72
PSL,EQ,2015-02-06,15.35,15.45,15.50,15.00,15.20,15.10,15.17,46634,7.07,279,26684,57.22
PSL,EQ,2015-02-09,15.10,15.00,15.00,14.50,14.65,14.65,14.80,119504,17.69,406,89497,74.89
PSL,EQ,2015-02-10,14.65,14.60,15.00,14.50,15.00,14.70,14.71,76883,11.31,454,50239,65.34
PSL,EQ,2015-02-11,14.70,15.10,15.40,14.55,14.75,14.80,14.85,30974,4.60,208,20664,66.71
PSL,EQ,2015-02-12,14.80,14.65,15.00,14.50,14.75,14.75,14.73,48112,7.09,272,36838,76.57
PSL,EQ,2015-02-13,14.75,15.50,15.50,14.75,14.80,14.80,14.88,40779,6.07,227,34410,84.38
PSL,EQ,2015-02-16,14.80,14.80,15.00,14.55,14.60,14.65,14.66,47211,6.92,263,33314,70.56
PSL,EQ,2015-02-18,14.65,14.50,15.40,14.40,14.85,15.10,14.87,102476,15.23,524,65266,63.69
PSL,EQ,2015-02-19,15.10,15.50,15.50,14.70,14.95,15.00,14.95,62125,9.29,311,39869,64.18
PSL,EQ,2015-02-20,15.00,15.05,15.25,14.75,15.10,15.15,15.03,106051,15.94,532,57887,54.58
PSL,BE,2015-02-23,15.15,15.00,15.30,14.55,14.95,14.80,14.88,31901,4.75,102,-,-
PSL,BE,2015-02-24,14.80,14.70,15.00,14.55,14.85,14.65,14.64,18178,2.66,105,-,-
