Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PSUBNKBEES,EQ,2014-12-04,477.24,482.60,508.00,462.01,478.90,475.70,479.23,6671,31.97,164,4571,68.52
PSUBNKBEES,EQ,2014-12-05,475.70,465.00,480.00,465.00,473.00,475.14,475.35,22386,106.41,108,21465,95.89
PSUBNKBEES,EQ,2014-12-08,475.14,473.00,484.00,465.00,468.80,468.66,471.39,1474,6.95,96,1072,72.73
PSUBNKBEES,EQ,2014-12-09,468.66,465.00,469.95,456.10,458.00,458.26,460.33,2431,11.19,81,1733,71.29
PSUBNKBEES,EQ,2014-12-10,458.26,460.00,472.00,458.30,471.70,470.05,469.48,9693,45.51,88,9185,94.76
PSUBNKBEES,EQ,2014-12-11,470.05,463.00,480.00,460.00,468.00,462.51,466.26,13905,64.83,106,13390,96.30
PSUBNKBEES,EQ,2014-12-12,462.51,470.00,470.01,458.20,462.00,463.25,465.61,1096,5.10,72,635,57.94
PSUBNKBEES,EQ,2014-12-15,463.25,460.10,467.00,456.90,457.00,459.30,461.18,1504,6.94,98,933,62.03
PSUBNKBEES,EQ,2014-12-16,459.30,462.50,462.50,438.05,440.00,440.55,447.12,3460,15.47,195,2922,84.45
PSUBNKBEES,EQ,2014-12-17,440.55,440.00,456.10,430.25,446.00,445.20,438.66,4912,21.55,147,3431,69.85
PSUBNKBEES,EQ,2014-12-18,445.20,457.12,464.49,450.05,461.45,460.66,456.04,665,3.03,73,386,58.05
PSUBNKBEES,EQ,2014-12-19,460.66,491.00,491.00,449.90,450.00,454.33,461.67,6731,31.08,121,6101,90.64
PSUBNKBEES,EQ,2014-12-22,454.33,454.05,472.75,451.50,470.00,468.94,465.16,1113,5.18,91,797,71.61
PSUBNKBEES,EQ,2014-12-23,468.94,467.45,489.00,459.00,459.00,465.49,467.98,3832,17.93,237,2915,76.07
PSUBNKBEES,EQ,2014-12-24,465.49,460.05,471.10,455.00,458.90,456.02,459.01,1641,7.53,134,1029,62.71
PSUBNKBEES,EQ,2014-12-26,456.02,455.00,466.80,455.00,465.00,465.00,463.74,1031,4.78,65,923,89.52
PSUBNKBEES,EQ,2014-12-29,465.00,466.05,469.90,459.05,461.50,464.95,465.33,3704,17.24,165,3488,94.17
PSUBNKBEES,EQ,2014-12-30,464.95,462.00,465.00,455.00,460.90,458.48,458.06,2039,9.34,106,1806,88.57
PSUBNKBEES,EQ,2014-12-31,458.48,460.20,466.90,460.20,463.00,465.67,464.46,1102,5.12,64,1004,91.11
PSUBNKBEES,EQ,2015-01-01,465.67,466.90,474.90,465.50,466.55,469.56,469.29,4025,18.89,131,2628,65.29
PSUBNKBEES,EQ,2015-01-02,469.56,466.00,489.00,466.00,474.50,475.46,478.75,4311,20.64,227,3325,77.13
PSUBNKBEES,EQ,2015-01-05,475.46,492.00,492.00,467.93,472.00,478.15,477.12,3962,18.90,148,3530,89.10
PSUBNKBEES,EQ,2015-01-06,478.15,477.00,477.00,447.00,450.00,449.36,455.57,4008,18.26,201,3269,81.56
PSUBNKBEES,EQ,2015-01-07,449.36,449.35,464.99,447.00,457.00,456.32,453.75,1476,6.70,115,902,61.11
PSUBNKBEES,EQ,2015-01-08,456.32,464.00,464.00,456.00,456.00,456.44,458.71,725,3.33,60,519,71.59
