Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PTC,EQ,2014-12-04,98.70,98.75,100.10,96.85,97.50,97.50,97.94,1196787,1172.17,7606,445949,37.26
PTC,EQ,2014-12-05,97.50,98.15,99.50,96.85,97.00,97.25,98.39,1278719,1258.16,10324,453586,35.47
PTC,EQ,2014-12-08,97.25,97.25,97.90,96.00,96.60,96.60,96.91,1450631,1405.75,19709,671415,46.28
PTC,EQ,2014-12-09,96.60,95.65,96.95,93.00,93.50,93.25,94.47,1028270,971.37,10749,374125,36.38
PTC,EQ,2014-12-10,93.25,92.35,95.50,92.20,95.45,95.30,94.77,1119560,1061.04,9103,355213,31.73
PTC,EQ,2014-12-11,95.30,95.00,95.85,92.85,93.90,93.95,93.91,931652,874.92,8429,205534,22.06
PTC,EQ,2014-12-12,93.95,95.00,95.20,91.65,91.90,92.15,93.66,1397426,1308.77,13165,520529,37.25
PTC,EQ,2014-12-15,92.15,91.20,93.00,90.10,91.25,91.15,91.69,1013626,929.38,8573,273179,26.95
PTC,EQ,2014-12-16,91.15,90.20,90.95,86.20,87.00,86.55,88.43,1612351,1425.79,18021,518829,32.18
PTC,EQ,2014-12-17,86.55,85.70,87.80,82.50,85.70,86.20,85.36,2003951,1710.49,20566,443378,22.13
PTC,EQ,2014-12-18,86.20,87.00,91.25,87.00,90.85,90.75,89.37,2091719,1869.43,18875,593163,28.36
PTC,EQ,2014-12-19,90.75,92.10,94.20,91.65,93.10,93.40,92.87,2681279,2490.14,19752,1028271,38.35
PTC,EQ,2014-12-22,93.40,93.50,94.40,92.50,92.95,92.95,93.15,1115174,1038.75,10731,415794,37.29
PTC,EQ,2014-12-23,92.95,92.75,94.10,91.05,91.20,91.55,92.28,1084899,1001.14,9092,268815,24.78
PTC,EQ,2014-12-24,91.55,91.30,92.50,90.45,91.65,91.00,91.17,7288467,6644.95,13670,1865615,25.60
PTC,EQ,2014-12-26,91.00,92.00,93.40,91.50,93.20,93.00,92.44,813462,751.93,5343,174927,21.50
PTC,EQ,2014-12-29,93.00,93.10,94.35,92.85,93.20,93.35,93.71,1171515,1097.88,7088,435892,37.21
PTC,EQ,2014-12-30,93.35,92.85,94.10,92.20,93.00,93.00,93.18,1043525,972.32,6569,436016,41.78
PTC,EQ,2014-12-31,93.00,93.25,95.20,93.20,94.35,94.50,94.40,1392137,1314.16,6000,695772,49.98
PTC,EQ,2015-01-01,94.50,94.05,96.15,93.70,95.40,95.00,95.03,1783641,1695.01,12072,525480,29.46
PTC,EQ,2015-01-02,95.00,95.40,96.80,95.40,95.85,95.95,96.10,2092554,2010.97,11913,1041432,49.77
PTC,EQ,2015-01-05,95.95,96.25,97.50,95.60,96.15,96.10,96.55,1686261,1628.15,10545,697738,41.38
PTC,EQ,2015-01-06,96.10,95.50,95.50,91.65,91.85,92.25,93.93,1647571,1547.50,11212,662141,40.19
PTC,EQ,2015-01-07,92.25,92.35,92.90,89.70,91.65,91.30,91.47,1370256,1253.38,9731,425278,31.04
PTC,EQ,2015-01-08,91.30,92.10,94.70,92.10,94.70,93.85,93.30,1491295,1391.34,11090,522220,35.02
PTC,EQ,2015-01-09,93.85,95.00,95.65,92.90,94.00,93.90,94.06,1840532,1731.21,12121,863239,46.90
PTC,EQ,2015-01-12,93.90,95.55,95.55,93.60,94.05,93.95,94.19,1643256,1547.85,9754,900716,54.81
PTC,EQ,2015-01-13,93.95,93.85,94.65,92.00,92.15,92.25,92.86,1215764,1128.93,10050,614738,50.56
PTC,EQ,2015-01-14,92.25,92.10,93.20,91.05,91.45,91.40,91.94,1268916,1166.70,13484,508226,40.05
PTC,EQ,2015-01-15,91.40,92.55,94.40,91.90,93.40,93.65,93.53,1783554,1668.17,10879,701359,39.32
PTC,EQ,2015-01-16,93.65,93.80,95.20,92.70,94.85,94.80,94.49,2058310,1944.80,12349,695634,33.80
PTC,EQ,2015-01-19,94.80,94.40,95.25,93.35,93.95,93.80,94.25,992522,935.43,6838,312429,31.48
PTC,EQ,2015-01-20,93.80,93.80,94.50,93.00,93.30,93.45,93.57,796710,745.51,4736,319073,40.05
PTC,EQ,2015-01-21,93.45,93.55,94.10,92.20,92.40,92.50,92.91,884425,821.72,6521,354473,40.08
PTC,EQ,2015-01-22,92.50,92.90,93.05,91.10,92.25,92.40,92.10,1039831,957.72,6728,371736,35.75
PTC,EQ,2015-01-23,92.40,93.40,95.20,91.10,94.50,94.50,93.80,3248079,3046.77,13905,1331263,40.99
PTC,EQ,2015-01-27,94.50,95.35,99.80,95.10,99.65,99.10,97.98,5615243,5501.69,29857,2028677,36.13
PTC,EQ,2015-01-28,99.10,99.95,100.80,97.00,97.75,97.90,98.75,3031417,2993.53,17573,910985,30.05
PTC,EQ,2015-01-29,97.90,97.50,100.05,95.90,99.80,99.30,98.64,8653782,8535.82,19969,1844183,21.31
PTC,EQ,2015-01-30,99.30,99.85,101.90,98.00,99.70,99.90,99.96,2867081,2865.82,21731,1025464,35.77
PTC,EQ,2015-02-02,99.90,99.90,102.00,99.40,99.70,100.10,100.82,2055784,2072.72,14527,616469,29.99
PTC,EQ,2015-02-03,100.10,100.35,100.60,97.50,97.50,97.80,98.73,2919928,2882.81,11585,2039304,69.84
PTC,EQ,2015-02-04,97.80,98.25,98.55,96.00,96.10,96.80,97.50,1270279,1238.47,7283,451404,35.54
PTC,EQ,2015-02-05,96.80,96.40,96.40,92.55,92.75,93.85,94.69,2603089,2464.81,15008,892624,34.29
PTC,EQ,2015-02-06,93.85,88.00,89.80,83.65,87.70,88.85,86.60,10465248,9062.68,48742,4553465,43.51
PTC,EQ,2015-02-09,88.85,87.05,87.80,82.00,82.60,82.65,84.24,2676457,2254.71,18028,942989,35.23
PTC,EQ,2015-02-10,82.65,83.00,85.25,79.05,83.40,83.10,83.04,2518756,2091.61,15645,517009,20.53
PTC,EQ,2015-02-11,83.10,84.00,85.60,82.60,84.65,84.65,84.31,1924993,1623.02,14175,509661,26.48
PTC,EQ,2015-02-12,84.65,85.60,86.10,84.05,84.80,84.45,84.90,1484317,1260.15,10095,500441,33.72
PTC,EQ,2015-02-13,84.45,85.70,85.90,83.50,83.80,83.75,84.46,1145963,967.90,6794,473854,41.35
PTC,EQ,2015-02-16,83.75,83.65,85.15,83.20,84.45,84.55,84.21,1030007,867.37,10252,423134,41.08
PTC,EQ,2015-02-18,84.55,85.00,87.15,83.85,86.60,86.85,85.76,1577865,1353.24,13211,570264,36.14
PTC,EQ,2015-02-19,86.85,87.25,87.75,85.10,86.70,86.95,86.32,1201414,1037.08,13434,462851,38.53
PTC,EQ,2015-02-20,86.95,87.00,87.45,85.25,86.30,86.15,86.32,1578315,1362.45,13026,713097,45.18
PTC,EQ,2015-02-23,86.15,87.00,90.40,86.60,87.25,87.35,88.61,3775730,3345.81,21742,1088124,28.82
PTC,EQ,2015-02-24,87.35,87.90,87.90,84.65,85.25,85.55,85.92,2002536,1720.56,13979,595586,29.74
PTC,EQ,2015-02-25,85.55,87.00,88.30,86.40,87.10,87.20,87.44,2213859,1935.82,12202,783934,35.41
PTC,EQ,2015-02-26,87.20,87.30,87.70,85.85,86.00,86.20,86.83,2101468,1824.64,12279,962876,45.82
