Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RAJESHEXPO,EQ,2014-12-04,173.35,174.95,176.95,170.75,172.00,172.25,173.42,77600,134.58,1593,39093,50.38
RAJESHEXPO,EQ,2014-12-05,172.25,173.70,176.50,169.50,169.50,170.95,173.44,121624,210.95,2169,40998,33.71
RAJESHEXPO,EQ,2014-12-08,170.95,171.00,173.95,168.00,169.45,168.45,170.26,42421,72.23,1003,16787,39.57
RAJESHEXPO,EQ,2014-12-09,168.45,170.10,170.10,162.00,166.00,163.75,165.22,70429,116.37,1402,25038,35.55
RAJESHEXPO,EQ,2014-12-10,163.75,164.70,168.75,164.70,166.95,166.15,166.39,50707,84.37,1316,19439,38.34
RAJESHEXPO,EQ,2014-12-11,166.15,164.50,167.20,164.10,165.85,165.55,165.41,45913,75.94,962,11928,25.98
RAJESHEXPO,EQ,2014-12-12,165.55,166.70,169.80,160.20,161.90,161.10,163.37,64334,105.10,1270,23328,36.26
RAJESHEXPO,EQ,2014-12-15,161.10,160.00,160.00,151.00,153.05,152.50,154.65,108635,168.01,4904,50034,46.06
RAJESHEXPO,EQ,2014-12-16,152.50,152.00,164.25,145.00,147.45,146.65,149.00,115809,172.56,4069,41479,35.82
RAJESHEXPO,EQ,2014-12-17,146.65,145.20,147.35,136.05,138.00,138.70,141.74,132110,187.25,2489,84307,63.82
RAJESHEXPO,EQ,2014-12-18,138.70,139.65,149.20,139.65,145.60,144.30,144.11,141530,203.96,2890,63993,45.22
RAJESHEXPO,EQ,2014-12-19,144.30,146.40,149.00,134.00,135.00,136.20,138.35,401992,556.17,7280,250889,62.41
RAJESHEXPO,EQ,2014-12-22,136.20,137.35,145.00,137.35,143.25,142.50,141.98,141704,201.19,2789,35523,25.07
RAJESHEXPO,EQ,2014-12-23,142.50,143.30,143.30,139.55,141.00,141.50,141.53,45722,64.71,1330,17461,38.19
RAJESHEXPO,EQ,2014-12-24,141.50,142.00,143.40,138.20,138.25,138.90,140.44,50575,71.03,1214,21050,41.62
RAJESHEXPO,EQ,2014-12-26,138.90,138.00,141.50,137.50,138.90,138.65,139.48,42196,58.86,820,14958,35.45
RAJESHEXPO,EQ,2014-12-29,138.65,140.00,141.55,138.35,139.00,138.95,140.14,47507,66.58,1060,18855,39.69
RAJESHEXPO,EQ,2014-12-30,138.95,138.90,144.35,138.90,143.85,143.25,142.46,112037,159.61,2880,45748,40.83
RAJESHEXPO,EQ,2014-12-31,143.25,143.70,143.70,140.10,142.60,142.30,142.56,38759,55.26,841,13745,35.46
RAJESHEXPO,EQ,2015-01-01,142.30,141.50,153.40,141.50,148.50,148.35,150.80,291610,439.74,5169,40560,13.91
RAJESHEXPO,EQ,2015-01-02,148.35,149.25,152.30,148.25,148.25,149.25,150.32,103684,155.86,1730,30059,28.99
RAJESHEXPO,EQ,2015-01-05,149.25,148.35,153.90,148.35,151.00,150.75,151.81,94916,144.10,1778,20414,21.51
RAJESHEXPO,EQ,2015-01-06,150.75,149.00,149.05,140.10,141.50,141.65,145.13,61751,89.62,1459,28867,46.75
RAJESHEXPO,EQ,2015-01-07,141.65,143.20,146.95,140.65,141.65,141.55,143.45,84757,121.59,1672,31600,37.28
RAJESHEXPO,EQ,2015-01-08,141.55,143.90,144.60,142.05,142.95,142.65,143.05,45743,65.44,873,17768,38.84
RAJESHEXPO,EQ,2015-01-09,142.65,144.10,145.45,138.50,141.00,140.50,141.89,68309,96.92,2055,29765,43.57
RAJESHEXPO,EQ,2015-01-12,140.50,142.50,142.95,139.00,139.50,139.60,140.13,42830,60.02,832,21896,51.12
RAJESHEXPO,EQ,2015-01-13,139.60,140.90,144.60,140.05,141.40,141.10,142.32,87875,125.06,1415,21582,24.56
RAJESHEXPO,EQ,2015-01-14,141.10,139.50,144.00,139.15,140.20,139.90,141.64,72227,102.31,1540,20183,27.94
RAJESHEXPO,EQ,2015-01-15,139.90,139.20,144.00,139.20,141.20,141.40,141.81,82968,117.66,1456,31544,38.02
RAJESHEXPO,EQ,2015-01-16,141.40,141.95,143.70,140.10,141.55,141.55,142.23,64121,91.20,1118,18764,29.26
RAJESHEXPO,EQ,2015-01-19,141.55,142.90,169.85,141.85,168.00,169.25,164.20,2624775,4309.86,34107,314488,11.98
RAJESHEXPO,EQ,2015-01-20,169.25,167.90,169.80,160.15,162.00,161.30,164.81,1321309,2177.67,17811,177264,13.42
RAJESHEXPO,EQ,2015-01-21,161.30,162.00,166.30,157.10,161.60,161.45,162.34,430530,698.93,8072,67317,15.64
RAJESHEXPO,EQ,2015-01-22,161.45,161.95,163.45,158.00,158.30,158.65,160.75,191214,307.38,2959,51278,26.82
RAJESHEXPO,EQ,2015-01-23,158.65,159.00,162.50,155.30,160.00,159.60,159.67,209668,334.78,3139,65160,31.08
RAJESHEXPO,EQ,2015-01-27,159.60,157.60,187.00,157.60,173.65,175.55,179.94,1952611,3513.52,28333,272808,13.97
RAJESHEXPO,EQ,2015-01-28,175.55,174.40,174.95,168.10,170.00,170.35,170.82,396147,676.71,6466,75690,19.11
RAJESHEXPO,EQ,2015-01-29,170.35,171.35,187.00,170.10,171.60,172.45,180.19,1202302,2166.38,19328,211653,17.60
RAJESHEXPO,EQ,2015-01-30,172.45,173.80,175.70,166.05,170.80,169.90,170.79,270782,462.48,4646,80597,29.76
RAJESHEXPO,EQ,2015-02-02,169.90,169.90,184.90,169.90,173.45,174.00,179.94,924029,1662.69,12514,190926,20.66
RAJESHEXPO,EQ,2015-02-03,174.00,175.20,179.00,169.00,170.40,169.80,172.64,281480,485.94,4544,105102,37.34
RAJESHEXPO,EQ,2015-02-04,169.80,171.40,177.15,167.30,170.40,169.80,171.95,246687,424.19,4416,63463,25.73
RAJESHEXPO,EQ,2015-02-05,169.80,171.00,174.50,165.65,167.00,166.45,169.76,203591,345.62,3209,75159,36.92
RAJESHEXPO,EQ,2015-02-06,166.45,169.00,172.80,161.95,163.60,164.30,167.53,249777,418.46,3577,84866,33.98
RAJESHEXPO,EQ,2015-02-09,164.30,160.00,168.00,159.05,166.45,165.75,164.12,193946,318.30,3662,69168,35.66
RAJESHEXPO,EQ,2015-02-10,165.75,164.90,174.80,163.00,165.00,163.80,168.34,347848,585.57,5972,88151,25.34
RAJESHEXPO,EQ,2015-02-11,163.80,165.60,168.45,164.10,167.50,166.20,165.93,137361,227.93,1581,53030,38.61
RAJESHEXPO,EQ,2015-02-12,166.20,167.50,169.60,164.50,167.50,166.90,166.52,140104,233.30,2638,55806,39.83
RAJESHEXPO,EQ,2015-02-13,166.90,168.30,172.00,166.05,170.70,169.45,168.91,199325,336.69,2532,66218,33.22
RAJESHEXPO,EQ,2015-02-16,169.45,175.00,181.80,171.95,174.00,174.05,177.24,598802,1061.32,9325,126738,21.17
RAJESHEXPO,EQ,2015-02-18,174.05,175.65,179.00,173.45,176.05,175.40,175.66,210139,369.12,2963,69344,33.00
RAJESHEXPO,EQ,2015-02-19,175.40,178.00,180.40,169.00,172.50,171.90,174.79,268921,470.05,4161,79846,29.69
