Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RAJOIL,BE,2014-12-04,1.65,1.70,1.70,1.65,1.65,1.70,1.67,17732,0.30,32,-,-
RAJOIL,BE,2014-12-05,1.70,1.65,1.75,1.65,1.70,1.70,1.66,16812,0.28,16,-,-
RAJOIL,BE,2014-12-08,1.70,1.70,1.75,1.70,1.70,1.70,1.72,2988,0.05,6,-,-
RAJOIL,BE,2014-12-09,1.70,1.70,1.75,1.70,1.75,1.75,1.73,39944,0.69,21,-,-
RAJOIL,BE,2014-12-10,1.75,1.70,1.80,1.70,1.70,1.70,1.75,62491,1.09,26,-,-
RAJOIL,BE,2014-12-11,1.70,1.65,1.75,1.65,1.70,1.70,1.67,13290,0.22,12,-,-
RAJOIL,BE,2014-12-12,1.70,1.70,1.75,1.65,1.65,1.65,1.71,9076,0.16,10,-,-
RAJOIL,BE,2014-12-15,1.65,1.60,1.70,1.60,1.65,1.65,1.66,41310,0.69,27,-,-
RAJOIL,BE,2014-12-16,1.65,1.65,1.65,1.60,1.60,1.60,1.61,20706,0.33,21,-,-
RAJOIL,BE,2014-12-17,1.60,1.55,1.60,1.55,1.60,1.60,1.55,14982,0.23,17,-,-
RAJOIL,BE,2014-12-18,1.60,1.55,1.60,1.55,1.60,1.60,1.55,22165,0.34,12,-,-
RAJOIL,BE,2014-12-19,1.60,1.60,1.65,1.55,1.65,1.65,1.59,17567,0.28,14,-,-
RAJOIL,BE,2014-12-22,1.65,1.60,1.70,1.60,1.70,1.65,1.62,4064,0.07,18,-,-
RAJOIL,BE,2014-12-24,1.65,1.60,1.60,1.60,1.60,1.60,1.60,1300,0.02,4,-,-
RAJOIL,BE,2014-12-26,1.60,1.60,1.60,1.55,1.55,1.55,1.58,12080,0.19,11,-,-
RAJOIL,BE,2014-12-29,1.55,1.55,1.60,1.50,1.50,1.50,1.54,49876,0.77,31,-,-
RAJOIL,BE,2014-12-30,1.50,1.45,1.55,1.45,1.50,1.50,1.51,6290,0.09,12,-,-
RAJOIL,BE,2014-12-31,1.50,1.50,1.50,1.50,1.50,1.50,1.50,18403,0.28,20,-,-
RAJOIL,BE,2015-01-01,1.50,1.55,1.55,1.50,1.50,1.50,1.51,10476,0.16,7,-,-
RAJOIL,BE,2015-01-02,1.50,1.50,1.55,1.50,1.50,1.50,1.52,4780,0.07,11,-,-
RAJOIL,BE,2015-01-05,1.50,1.45,1.55,1.45,1.55,1.55,1.53,18738,0.29,18,-,-
RAJOIL,BE,2015-01-06,1.55,1.55,1.60,1.50,1.50,1.50,1.53,43927,0.67,30,-,-
RAJOIL,BE,2015-01-07,1.50,1.50,1.55,1.45,1.55,1.50,1.47,19014,0.28,17,-,-
RAJOIL,BE,2015-01-08,1.50,1.50,1.55,1.50,1.50,1.50,1.52,22866,0.35,21,-,-
RAJOIL,BE,2015-01-09,1.50,1.55,1.55,1.50,1.55,1.50,1.55,18691,0.29,22,-,-
RAJOIL,BE,2015-01-12,1.50,1.55,1.55,1.45,1.55,1.50,1.48,47351,0.70,18,-,-
RAJOIL,BE,2015-01-13,1.50,1.50,1.55,1.45,1.45,1.45,1.47,16665,0.24,14,-,-
