Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RAJSREESUG,EQ,2014-12-04,23.90,24.50,24.95,21.00,22.85,23.05,22.88,17925,4.10,131,11500,64.16
RAJSREESUG,EQ,2014-12-05,23.05,23.50,24.50,23.20,23.50,23.45,23.53,3062,0.72,37,2745,89.65
RAJSREESUG,EQ,2014-12-08,23.45,22.85,23.60,22.80,23.40,23.35,23.07,908,0.21,16,751,82.71
RAJSREESUG,EQ,2014-12-09,23.35,23.30,23.30,22.00,22.50,22.50,22.50,13923,3.13,66,8903,63.94
RAJSREESUG,EQ,2014-12-10,22.50,22.25,23.00,21.50,22.20,22.50,22.21,16541,3.67,76,12232,73.95
RAJSREESUG,EQ,2014-12-11,22.50,23.45,24.90,23.20,24.65,24.50,24.13,9058,2.19,66,6292,69.46
RAJSREESUG,EQ,2014-12-12,24.50,24.00,24.00,22.60,22.60,22.75,23.54,6222,1.46,51,4469,71.83
RAJSREESUG,EQ,2014-12-15,22.75,22.60,23.60,21.50,22.75,22.75,22.68,2729,0.62,55,1950,71.45
RAJSREESUG,EQ,2014-12-16,22.75,22.60,22.90,21.40,22.90,22.75,22.34,4538,1.01,34,3605,79.44
RAJSREESUG,EQ,2014-12-17,22.75,22.50,22.50,21.40,22.00,22.00,21.78,1603,0.35,37,1405,87.65
RAJSREESUG,EQ,2014-12-18,22.00,23.70,23.70,22.05,22.05,22.40,22.51,3721,0.84,22,3105,83.45
RAJSREESUG,EQ,2014-12-19,22.40,22.75,22.90,21.20,21.90,21.50,21.95,12516,2.75,93,8787,70.21
RAJSREESUG,EQ,2014-12-22,21.50,24.70,24.90,22.10,23.40,23.20,22.69,8255,1.87,49,6519,78.97
RAJSREESUG,EQ,2014-12-23,23.20,22.80,23.50,22.25,23.40,23.10,22.92,7061,1.62,38,5095,72.16
RAJSREESUG,EQ,2014-12-24,23.10,22.80,23.30,21.65,22.90,22.30,22.37,2363,0.53,30,2013,85.19
RAJSREESUG,EQ,2014-12-26,22.30,22.80,23.10,22.00,22.00,22.00,22.42,6109,1.37,40,5482,89.74
RAJSREESUG,EQ,2014-12-29,22.00,22.20,22.90,22.20,22.55,22.65,22.43,7591,1.70,36,6521,85.90
RAJSREESUG,EQ,2014-12-30,22.65,22.50,24.00,19.65,22.35,22.35,21.24,26629,5.66,133,13938,52.34
RAJSREESUG,EQ,2014-12-31,22.35,22.40,22.80,22.10,22.80,22.70,22.49,5080,1.14,24,4270,84.06
RAJSREESUG,EQ,2015-01-01,22.70,22.95,23.85,22.95,23.10,23.10,23.23,942,0.22,12,842,89.38
RAJSREESUG,EQ,2015-01-02,23.10,23.10,24.50,22.60,23.30,23.20,24.17,4544,1.10,25,4328,95.25
RAJSREESUG,EQ,2015-01-05,23.20,24.00,24.00,21.60,22.50,22.30,22.25,12028,2.68,71,7720,64.18
RAJSREESUG,EQ,2015-01-06,22.30,22.20,23.00,21.75,22.90,22.75,22.69,1897,0.43,26,1586,83.61
RAJSREESUG,EQ,2015-01-07,22.75,22.05,23.10,21.80,22.85,22.85,22.40,1303,0.29,23,800,61.40
RAJSREESUG,EQ,2015-01-08,22.85,22.20,23.95,22.20,23.85,23.65,23.42,5035,1.18,64,3405,67.63
RAJSREESUG,EQ,2015-01-09,23.65,23.50,23.75,22.45,23.70,23.65,23.30,2731,0.64,24,2617,95.83
RAJSREESUG,EQ,2015-01-12,23.65,23.60,23.95,22.25,22.25,22.40,22.68,16968,3.85,190,13213,77.87
RAJSREESUG,EQ,2015-01-13,22.40,22.40,23.20,22.40,22.80,22.80,22.83,3665,0.84,42,2916,79.56
