Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RANASUG,EQ,2014-12-04,3.15,3.30,3.30,3.10,3.20,3.20,3.18,81203,2.58,115,52367,64.49
RANASUG,EQ,2014-12-05,3.20,3.20,3.25,3.15,3.20,3.20,3.19,69334,2.21,89,40820,58.87
RANASUG,EQ,2014-12-08,3.20,3.15,3.35,3.15,3.25,3.25,3.27,81801,2.68,115,63156,77.21
RANASUG,EQ,2014-12-09,3.25,3.30,3.40,3.15,3.25,3.20,3.27,143582,4.69,120,122372,85.23
RANASUG,EQ,2014-12-10,3.20,3.15,3.55,3.15,3.50,3.50,3.42,395489,13.52,416,198823,50.27
RANASUG,EQ,2014-12-11,3.50,3.80,3.80,3.55,3.60,3.60,3.65,413705,15.09,480,209569,50.66
RANASUG,EQ,2014-12-12,3.60,3.75,3.75,3.25,3.35,3.30,3.37,131598,4.44,163,83752,63.64
RANASUG,EQ,2014-12-15,3.30,3.20,3.40,3.05,3.20,3.15,3.23,107070,3.46,124,63036,58.87
RANASUG,EQ,2014-12-16,3.15,3.60,3.60,2.95,3.10,3.10,3.11,131145,4.07,226,80692,61.53
RANASUG,EQ,2014-12-17,3.10,3.30,3.30,2.95,3.00,3.00,3.04,133299,4.06,163,86624,64.98
RANASUG,EQ,2014-12-18,3.00,3.20,3.25,3.10,3.20,3.20,3.18,122535,3.90,145,70468,57.51
RANASUG,EQ,2014-12-19,3.20,3.20,3.30,3.05,3.05,3.05,3.16,114040,3.60,126,93093,81.63
RANASUG,EQ,2014-12-22,3.05,3.55,3.55,3.10,3.15,3.15,3.16,123072,3.88,120,104301,84.75
RANASUG,EQ,2014-12-23,3.15,3.10,3.10,3.00,3.10,3.05,3.06,68966,2.11,90,55704,80.77
RANASUG,EQ,2014-12-24,3.05,3.50,3.50,3.05,3.15,3.10,3.09,96567,2.99,122,63454,65.71
RANASUG,EQ,2014-12-26,3.10,3.15,3.20,3.05,3.10,3.15,3.13,55694,1.74,69,26395,47.39
RANASUG,EQ,2014-12-29,3.15,3.10,3.15,3.05,3.10,3.10,3.08,85565,2.64,85,56525,66.06
RANASUG,EQ,2014-12-30,3.10,3.00,3.15,3.00,3.00,3.05,3.05,124094,3.79,109,98188,79.12
