Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RAYMOND,EQ,2014-12-04,536.95,535.00,565.00,522.50,553.60,552.65,552.03,1229048,6784.69,25088,341216,27.76
RAYMOND,EQ,2014-12-05,552.65,553.55,573.00,547.20,568.00,563.80,564.19,643274,3629.30,11803,219382,34.10
RAYMOND,EQ,2014-12-08,563.80,566.00,578.45,548.20,568.00,565.75,567.81,492688,2797.54,9316,187201,38.00
RAYMOND,EQ,2014-12-09,565.75,564.90,579.15,545.00,546.00,548.10,564.58,464699,2623.61,10687,130656,28.12
RAYMOND,EQ,2014-12-10,548.10,545.50,557.30,532.00,534.65,535.30,543.44,268980,1461.75,6323,96350,35.82
RAYMOND,EQ,2014-12-11,535.30,535.00,535.50,511.75,521.00,520.55,523.50,326460,1709.01,12078,94717,29.01
RAYMOND,EQ,2014-12-12,520.55,521.25,531.90,505.55,506.15,508.20,520.62,318545,1658.40,10073,120635,37.87
RAYMOND,EQ,2014-12-15,508.20,508.00,524.00,502.05,518.05,518.25,517.24,264061,1365.82,6422,88530,33.53
RAYMOND,EQ,2014-12-16,518.25,514.95,518.65,490.00,496.00,493.70,500.90,251221,1258.36,5197,137107,54.58
RAYMOND,EQ,2014-12-17,493.70,493.55,493.70,470.00,475.60,477.75,479.55,328764,1576.59,9801,185082,56.30
RAYMOND,EQ,2014-12-18,477.75,481.20,504.00,481.20,498.00,501.00,496.41,442645,2197.34,12608,198988,44.95
RAYMOND,EQ,2014-12-19,501.00,506.60,520.15,505.00,507.10,508.50,512.01,334057,1710.40,6572,162566,48.66
RAYMOND,EQ,2014-12-22,508.50,505.40,515.00,491.00,515.00,507.95,504.07,207400,1045.44,6363,83684,40.35
RAYMOND,EQ,2014-12-23,507.95,510.15,517.50,498.50,501.50,501.35,507.66,185688,942.66,5915,59434,32.01
RAYMOND,EQ,2014-12-24,501.35,498.10,510.45,493.50,498.00,496.35,503.26,118629,597.01,3267,35681,30.08
RAYMOND,EQ,2014-12-26,496.35,498.95,507.60,495.00,499.00,500.45,500.75,98148,491.48,2749,24729,25.20
RAYMOND,EQ,2014-12-29,500.45,503.00,512.00,496.60,506.00,505.65,506.13,131219,664.14,3312,33771,25.74
RAYMOND,EQ,2014-12-30,505.65,507.00,509.80,490.70,498.00,497.95,499.72,117686,588.10,3383,39803,33.82
RAYMOND,EQ,2014-12-31,497.95,498.10,511.90,497.45,503.00,503.65,505.08,181460,916.52,4434,47344,26.09
RAYMOND,EQ,2015-01-01,503.65,504.00,514.70,503.00,510.00,509.60,510.08,173110,883.00,4635,51036,29.48
RAYMOND,EQ,2015-01-02,509.60,509.60,523.90,509.60,515.55,516.00,518.17,451524,2339.65,8475,239012,52.93
RAYMOND,EQ,2015-01-05,516.00,515.00,521.55,512.00,512.50,512.80,515.19,284715,1466.81,4527,198598,69.75
RAYMOND,EQ,2015-01-06,512.80,511.95,519.95,503.00,510.95,509.65,513.66,498395,2560.06,7710,299133,60.02
RAYMOND,EQ,2015-01-07,509.65,510.00,534.00,510.00,533.00,529.00,524.48,624475,3275.26,20263,234554,37.56
RAYMOND,EQ,2015-01-08,529.00,537.50,543.40,531.00,532.75,533.40,536.82,390885,2098.35,5709,233331,59.69
RAYMOND,EQ,2015-01-09,533.40,536.00,538.70,519.00,521.10,523.15,525.86,139258,732.30,3878,48247,34.65
RAYMOND,EQ,2015-01-12,523.15,524.80,541.00,515.00,535.70,536.85,532.33,230742,1228.30,6237,62101,26.91
RAYMOND,EQ,2015-01-13,536.85,532.10,537.00,521.00,527.00,525.55,529.08,139670,738.97,2962,66670,47.73
RAYMOND,EQ,2015-01-14,525.55,527.00,533.00,519.25,526.50,525.50,524.81,138652,727.66,2858,65961,47.57
RAYMOND,EQ,2015-01-15,525.50,530.00,540.10,523.05,528.00,529.75,532.86,196868,1049.03,4884,60157,30.56
RAYMOND,EQ,2015-01-16,529.75,531.95,552.70,525.75,541.50,541.05,542.65,375579,2038.09,10166,116062,30.90
RAYMOND,EQ,2015-01-19,541.05,543.00,555.45,522.55,533.20,534.60,541.30,216467,1171.74,6640,68053,31.44
RAYMOND,EQ,2015-01-20,534.60,536.00,538.80,525.00,526.50,526.00,531.27,150309,798.55,4501,65173,43.36
RAYMOND,EQ,2015-01-21,526.00,528.70,535.80,528.00,529.00,530.60,531.47,229078,1217.49,5876,87954,38.39
RAYMOND,EQ,2015-01-22,530.60,531.00,531.00,515.45,518.40,521.20,523.50,205627,1076.45,5551,93959,45.69
RAYMOND,EQ,2015-01-23,521.20,527.50,528.00,506.30,509.00,510.75,516.00,142952,737.64,4463,65914,46.11
RAYMOND,EQ,2015-01-27,510.75,512.00,521.70,475.00,509.00,510.00,507.51,220704,1120.09,6302,69528,31.50
RAYMOND,EQ,2015-01-28,510.00,511.00,518.00,503.00,508.50,510.20,512.67,98378,504.36,2918,24962,25.37
RAYMOND,EQ,2015-01-29,510.20,510.00,526.00,506.05,514.55,515.85,517.15,138848,718.05,4847,47134,33.95
RAYMOND,EQ,2015-01-30,515.85,518.00,520.70,506.05,509.00,510.00,512.95,80270,411.74,3073,23595,29.39
RAYMOND,EQ,2015-02-02,510.00,510.95,517.90,505.00,505.25,507.50,511.55,110183,563.64,4191,26429,23.99
RAYMOND,EQ,2015-02-03,507.50,510.15,520.00,504.50,515.00,515.70,514.06,123950,637.18,3601,36474,29.43
RAYMOND,EQ,2015-02-04,515.70,518.30,519.90,501.10,506.00,505.65,510.05,103959,530.24,2164,54999,52.90
RAYMOND,EQ,2015-02-05,505.65,508.20,549.70,507.00,529.50,531.50,537.01,788886,4236.37,18530,191594,24.29
RAYMOND,EQ,2015-02-06,531.50,533.00,534.20,509.50,510.00,512.00,519.49,127613,662.94,3806,47359,37.11
RAYMOND,EQ,2015-02-09,512.00,508.00,519.00,503.30,507.85,507.80,509.66,116765,595.11,5795,40484,34.67
RAYMOND,EQ,2015-02-10,507.80,506.90,516.75,480.55,498.00,495.30,498.77,166869,832.30,4562,75398,45.18
RAYMOND,EQ,2015-02-11,495.30,497.05,511.00,497.00,507.00,507.85,505.91,95365,482.46,3155,36635,38.42
RAYMOND,EQ,2015-02-12,507.85,511.40,514.70,505.60,512.00,510.50,510.17,96629,492.97,2847,37730,39.05
RAYMOND,EQ,2015-02-13,510.50,512.20,516.75,506.35,509.00,508.25,511.54,76542,391.55,2955,23478,30.67
RAYMOND,EQ,2015-02-16,508.25,511.65,531.20,507.50,516.00,513.30,520.98,228709,1191.54,6851,52131,22.79
RAYMOND,EQ,2015-02-18,513.30,520.00,525.00,512.50,513.50,515.25,519.95,124610,647.91,3707,39440,31.65
RAYMOND,EQ,2015-02-19,515.25,518.00,520.30,506.00,511.60,514.25,513.64,165329,849.20,3228,102810,62.19
RAYMOND,EQ,2015-02-20,514.25,516.95,524.00,508.65,519.50,517.40,513.12,139978,718.25,3584,86582,61.85
RAYMOND,EQ,2015-02-23,517.40,520.00,520.75,498.50,500.25,501.80,508.60,104199,529.96,2376,64599,62.00
RAYMOND,EQ,2015-02-24,501.80,504.00,508.40,493.90,493.90,496.30,500.39,102403,512.42,3708,48321,47.19
RAYMOND,EQ,2015-02-25,496.30,499.00,505.70,487.50,491.05,489.60,496.65,200082,993.70,4132,101463,50.71
RAYMOND,EQ,2015-02-26,489.60,491.25,501.75,488.45,495.95,493.00,495.16,87889,435.19,7286,33353,37.95
RAYMOND,EQ,2015-02-27,493.00,496.60,504.30,491.40,498.05,497.85,499.26,123192,615.05,6250,38146,30.96
