Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RBL,EQ,2014-12-04,303.80,310.00,319.85,305.20,306.40,310.95,310.76,5712,17.75,194,4135,72.39
RBL,EQ,2014-12-05,310.95,300.05,307.00,300.00,301.50,301.40,302.89,5254,15.91,112,4657,88.64
RBL,EQ,2014-12-08,301.40,299.85,300.00,291.65,294.00,293.20,294.35,1468,4.32,46,1279,87.13
RBL,EQ,2014-12-09,293.20,282.15,291.40,282.15,285.00,284.90,285.88,3352,9.58,66,3106,92.66
RBL,EQ,2014-12-10,284.90,290.00,291.90,280.35,290.25,287.45,287.98,642,1.85,33,409,63.71
RBL,EQ,2014-12-11,287.45,291.00,291.00,285.10,288.95,287.75,288.47,1779,5.13,44,1421,79.88
RBL,EQ,2014-12-12,287.75,285.00,293.35,285.00,285.25,285.80,285.72,2337,6.68,78,1857,79.46
RBL,EQ,2014-12-15,285.80,292.50,292.50,285.55,287.80,286.85,287.06,572,1.64,43,253,44.23
RBL,EQ,2014-12-16,286.85,280.40,286.05,280.40,283.00,283.00,284.42,5177,14.72,68,4710,90.98
RBL,EQ,2014-12-17,283.00,280.05,284.95,276.30,284.70,282.75,281.63,1774,5.00,60,790,44.53
RBL,EQ,2014-12-18,282.75,290.05,298.25,290.05,297.00,297.30,295.54,2190,6.47,72,1436,65.57
RBL,EQ,2014-12-19,297.30,298.05,301.95,293.00,294.00,294.00,296.46,1423,4.22,70,919,64.58
RBL,EQ,2014-12-22,294.00,296.00,300.00,294.00,297.00,294.65,296.27,1989,5.89,47,1665,83.71
RBL,EQ,2014-12-23,294.65,292.05,293.95,286.30,286.30,289.75,291.76,1243,3.63,50,924,74.34
RBL,EQ,2014-12-24,289.75,288.00,291.80,281.10,287.30,287.05,286.74,992,2.84,50,478,48.19
RBL,EQ,2014-12-26,287.05,285.00,303.90,278.05,290.25,290.25,291.79,6040,17.62,120,5124,84.83
RBL,EQ,2014-12-29,290.25,292.00,297.85,292.00,296.00,295.30,294.97,939,2.77,51,656,69.86
RBL,EQ,2014-12-30,295.30,297.80,298.05,294.05,297.00,295.05,296.68,643,1.91,25,534,83.05
RBL,EQ,2014-12-31,295.05,293.00,293.00,285.55,290.15,290.30,291.69,309,0.90,21,234,75.73
RBL,EQ,2015-01-01,290.30,293.00,299.80,290.00,292.00,291.75,290.94,1093,3.18,41,965,88.29
RBL,EQ,2015-01-02,291.75,291.00,294.00,290.00,293.70,292.35,290.96,9355,27.22,129,7023,75.07
RBL,EQ,2015-01-05,292.35,293.70,294.00,288.00,291.00,289.85,290.45,4810,13.97,91,3938,81.87
RBL,EQ,2015-01-06,289.85,288.00,288.70,285.00,285.00,285.95,287.00,2515,7.22,63,2059,81.87
RBL,EQ,2015-01-07,285.95,285.00,293.00,278.10,291.00,290.60,288.05,4091,11.78,82,2964,72.45
RBL,EQ,2015-01-08,290.60,306.40,306.40,282.00,291.25,291.50,293.37,1459,4.28,105,600,41.12
RBL,EQ,2015-01-09,291.50,291.00,291.00,291.00,291.00,291.00,291.00,671,1.95,8,671,100.00
RBL,EQ,2015-01-12,291.00,290.00,290.00,282.60,285.10,287.10,285.98,1795,5.13,69,1539,85.74
RBL,EQ,2015-01-13,287.10,271.55,296.60,271.55,285.45,286.20,288.88,1403,4.05,65,807,57.52
RBL,EQ,2015-01-14,286.20,288.20,290.00,282.55,285.10,285.50,286.38,1469,4.21,56,597,40.64
RBL,EQ,2015-01-15,285.50,273.50,299.40,273.50,290.55,294.85,291.44,1205,3.51,69,712,59.09
RBL,EQ,2015-01-16,294.85,298.45,300.00,293.00,298.00,296.40,297.39,3638,10.82,98,3184,87.52
RBL,EQ,2015-01-19,296.40,298.00,313.90,290.35,299.55,298.75,300.74,1079,3.25,54,853,79.05
RBL,EQ,2015-01-20,298.75,300.00,303.00,295.00,297.80,297.70,299.11,1853,5.54,55,1435,77.44
RBL,EQ,2015-01-21,297.70,297.40,297.50,292.00,295.00,293.90,294.39,1702,5.01,91,991,58.23
RBL,EQ,2015-01-22,293.90,300.00,300.05,291.10,293.80,293.95,295.98,1106,3.27,32,487,44.03
RBL,EQ,2015-01-23,293.95,298.95,309.80,292.40,294.80,295.35,297.93,844,2.51,43,525,62.20
RBL,EQ,2015-01-27,295.35,331.10,354.40,331.10,354.40,354.40,351.35,52740,185.30,1362,22975,43.56
RBL,EQ,2015-01-28,354.40,362.80,371.00,341.25,346.05,346.30,354.11,30994,109.75,1468,11981,38.66
RBL,EQ,2015-01-29,346.30,348.00,354.00,345.05,348.50,351.15,348.94,2955,10.31,140,1790,60.58
RBL,EQ,2015-01-30,351.15,349.00,349.00,332.00,335.00,337.15,341.43,3746,12.79,142,3044,81.26
RBL,EQ,2015-02-02,337.15,321.00,350.00,321.00,335.65,336.70,337.67,1841,6.22,127,1123,61.00
RBL,EQ,2015-02-03,336.70,332.50,344.95,326.00,330.00,333.05,331.42,2845,9.43,88,2020,71.00
RBL,EQ,2015-02-04,333.05,348.40,348.40,330.05,334.00,332.45,333.67,1186,3.96,51,628,52.95
RBL,EQ,2015-02-05,332.45,320.35,333.50,320.00,329.00,329.45,326.96,2671,8.73,133,1820,68.14
RBL,EQ,2015-02-06,329.45,344.50,344.50,318.60,321.00,321.40,321.42,1096,3.52,41,948,86.50
RBL,EQ,2015-02-09,321.40,302.00,319.05,302.00,316.00,316.05,315.99,5124,16.19,93,4516,88.13
RBL,EQ,2015-02-10,316.05,327.50,330.00,305.00,320.00,317.15,320.26,2939,9.41,97,2433,82.78
RBL,EQ,2015-02-11,317.15,330.50,330.50,320.00,330.00,329.85,327.94,2391,7.84,35,1794,75.03
RBL,EQ,2015-02-12,329.85,328.00,331.95,325.00,330.00,327.30,327.46,5834,19.10,47,5258,90.13
RBL,EQ,2015-02-13,327.30,328.00,332.65,326.05,331.90,330.05,329.81,1867,6.16,31,1688,90.41
RBL,EQ,2015-02-16,330.05,320.20,332.90,320.20,327.00,330.90,328.85,2549,8.38,81,1923,75.44
RBL,EQ,2015-02-18,330.90,333.95,335.00,326.75,327.50,329.95,330.66,4007,13.25,100,3380,84.35
RBL,EQ,2015-02-19,329.95,322.00,334.70,320.10,326.85,326.45,324.26,2305,7.47,51,1474,63.95
RBL,EQ,2015-02-20,326.45,315.60,330.00,315.60,318.50,318.15,322.20,2493,8.03,105,1999,80.18
RBL,EQ,2015-02-23,318.15,338.50,338.50,319.95,322.00,322.00,322.07,607,1.95,24,515,84.84
RBL,EQ,2015-02-24,322.00,335.00,335.00,312.65,313.20,313.25,315.66,2473,7.81,50,2168,87.67
RBL,EQ,2015-02-25,313.25,320.00,323.55,300.10,308.00,307.70,306.75,2433,7.46,74,1871,76.90
RBL,EQ,2015-02-26,307.70,313.95,328.00,310.00,325.00,320.95,317.12,3471,11.01,52,2799,80.64
RBL,EQ,2015-02-27,320.95,329.65,329.65,317.20,321.00,321.00,319.25,310,0.99,11,270,87.10
RBL,EQ,2015-02-28,321.00,321.00,327.00,316.65,320.00,320.00,321.14,1238,3.98,32,639,51.62
RBL,EQ,2015-03-02,320.00,320.05,323.90,320.00,320.00,320.00,320.46,914,2.93,23,790,86.43
RBL,EQ,2015-03-03,320.00,321.00,323.90,315.05,316.50,318.85,320.00,4509,14.43,37,4313,95.65
RBL,EQ,2015-03-04,318.85,310.70,323.30,310.70,320.00,320.00,320.15,2595,8.31,43,2424,93.41
RBL,EQ,2015-03-05,320.00,323.00,324.30,313.00,316.00,319.15,318.32,1071,3.41,54,643,60.04
RBL,EQ,2015-03-09,319.15,316.00,325.00,316.00,323.00,323.00,319.88,1324,4.24,48,975,73.64
RBL,EQ,2015-03-10,323.00,318.85,325.00,318.85,321.00,321.00,321.29,1625,5.22,32,1310,80.62
RBL,EQ,2015-03-11,321.00,320.15,320.95,320.00,320.00,320.00,320.36,276,0.88,8,236,85.51
RBL,EQ,2015-03-12,320.00,325.00,325.00,320.00,321.00,321.05,320.56,471,1.51,22,310,65.82
RBL,EQ,2015-03-13,321.05,321.05,325.00,321.00,323.00,322.95,322.62,1776,5.73,41,1590,89.53
RBL,EQ,2015-03-16,322.95,339.50,339.50,321.40,330.45,330.50,330.73,2509,8.30,165,1013,40.37
RBL,EQ,2015-03-17,330.50,324.50,332.90,324.50,332.90,327.60,325.38,1772,5.77,48,1553,87.64
RBL,EQ,2015-03-18,327.60,325.20,334.70,325.00,329.00,328.70,327.98,2532,8.30,47,2258,89.18
RBL,EQ,2015-03-19,328.70,328.95,335.00,326.70,326.70,328.35,329.66,290,0.96,9,254,87.59
RBL,EQ,2015-03-20,328.35,315.00,325.90,315.00,325.90,321.55,322.12,901,2.90,15,749,83.13
RBL,EQ,2015-03-23,321.55,322.00,323.00,320.00,322.00,320.40,321.48,3865,12.43,19,3829,99.07
RBL,EQ,2015-03-24,320.40,339.70,339.70,318.00,318.00,318.00,335.16,253,0.85,9,253,100.00
RBL,EQ,2015-03-25,318.00,330.00,330.00,298.00,306.80,301.60,310.92,2633,8.19,65,2410,91.53
RBL,EQ,2015-03-26,301.60,292.00,323.95,286.05,294.60,294.30,295.11,3452,10.19,116,2241,64.92
RBL,EQ,2015-03-27,294.30,294.00,309.95,290.10,290.10,290.10,298.44,588,1.75,25,495,84.18
RBL,EQ,2015-03-30,290.10,300.00,309.75,295.30,303.95,306.40,302.50,140,0.42,18,94,67.14
RBL,EQ,2015-03-31,306.40,314.65,315.00,297.25,301.15,302.05,306.54,3014,9.24,35,2674,88.72
RBL,EQ,2015-04-01,302.05,305.00,315.00,305.00,315.00,315.00,314.32,537,1.69,9,537,100.00
RBL,EQ,2015-04-06,315.00,314.95,315.00,311.00,315.00,314.50,314.32,1113,3.50,20,1027,92.27
RBL,EQ,2015-04-07,314.50,311.00,311.00,302.40,310.00,309.90,310.65,2472,7.68,20,2388,96.60
RBL,EQ,2015-04-08,309.90,315.00,333.00,310.00,322.10,326.25,323.69,2008,6.50,51,1303,64.89
RBL,EQ,2015-04-09,326.25,332.05,335.00,323.50,335.00,334.80,332.51,1403,4.67,54,1133,80.76
RBL,EQ,2015-04-10,334.80,330.00,343.00,330.00,338.00,339.95,336.32,1329,4.47,40,1040,78.25
RBL,EQ,2015-04-13,339.95,338.00,359.85,333.45,346.55,346.65,349.43,4564,15.95,122,3835,84.03
RBL,EQ,2015-04-15,346.65,350.00,352.00,345.00,352.00,350.15,350.04,2900,10.15,19,2816,97.10
RBL,EQ,2015-04-16,350.15,350.00,350.00,336.90,337.30,337.70,343.98,272,0.94,18,209,76.84
RBL,EQ,2015-04-17,337.70,330.00,333.05,330.00,333.05,333.05,331.68,331,1.10,7,178,53.78
RBL,EQ,2015-04-20,333.05,325.30,325.30,301.10,301.10,313.55,319.32,1035,3.30,40,808,78.07
RBL,EQ,2015-04-21,313.55,308.95,318.95,308.95,318.95,318.95,309.98,622,1.93,13,511,82.15
RBL,EQ,2015-04-22,318.95,326.90,326.90,311.00,311.10,311.30,315.57,691,2.18,11,511,73.95
RBL,EQ,2015-04-23,311.30,325.60,325.60,309.60,318.75,315.15,313.08,308,0.96,13,273,88.64
RBL,EQ,2015-04-24,315.15,306.40,311.75,295.00,296.10,304.10,305.18,1486,4.53,60,865,58.21
RBL,EQ,2015-04-27,304.10,300.00,304.45,291.80,295.00,296.25,296.04,1833,5.43,59,1516,82.71
RBL,EQ,2015-04-28,296.25,295.00,300.00,292.00,295.20,297.70,297.02,550,1.63,26,226,41.09
RBL,EQ,2015-04-29,297.70,300.00,310.00,294.00,295.00,295.40,299.27,1692,5.06,33,1351,79.85
RBL,EQ,2015-04-30,295.40,301.00,301.00,292.25,292.75,292.90,294.29,397,1.17,22,357,89.92
RBL,EQ,2015-05-04,292.90,300.00,307.00,300.00,300.50,302.05,300.31,1181,3.55,17,1074,90.94
RBL,EQ,2015-05-05,302.05,300.00,301.00,300.00,300.05,300.35,300.24,260,0.78,8,210,80.77
RBL,EQ,2015-05-06,300.35,297.10,297.10,295.10,295.10,296.05,296.62,475,1.41,18,475,100.00
RBL,EQ,2015-05-07,296.05,305.00,305.00,276.20,278.95,278.85,283.95,1465,4.16,72,1231,84.03
RBL,EQ,2015-05-08,278.85,287.80,287.95,281.10,287.00,287.00,286.14,308,0.88,20,245,79.55
RBL,EQ,2015-05-11,287.00,285.30,286.15,280.30,280.30,280.55,284.86,740,2.11,22,600,81.08
RBL,EQ,2015-05-12,280.55,280.60,280.60,275.10,275.10,278.20,279.76,332,0.93,12,296,89.16
RBL,EQ,2015-05-13,278.20,277.10,291.00,277.10,291.00,280.25,280.21,549,1.54,8,539,98.18
RBL,EQ,2015-05-14,280.25,290.80,290.80,274.50,279.20,279.20,275.93,3009,8.30,64,2369,78.73
RBL,EQ,2015-05-15,279.20,284.90,292.35,280.00,288.00,290.15,285.10,2275,6.49,56,1553,68.26
RBL,EQ,2015-05-18,290.15,296.00,296.00,293.35,293.35,293.35,294.68,4,0.01,2,2,50.00
RBL,EQ,2015-05-19,293.35,288.35,297.75,288.35,292.00,292.00,295.64,336,0.99,23,265,78.87
RBL,EQ,2015-05-20,292.00,297.90,300.00,292.65,295.00,297.30,296.51,833,2.47,34,423,50.78
RBL,EQ,2015-05-21,297.30,295.00,305.95,290.30,290.30,291.15,294.76,1491,4.39,49,1228,82.36
RBL,EQ,2015-05-22,291.15,295.10,299.00,293.00,299.00,299.00,296.17,1592,4.72,16,1496,93.97
RBL,EQ,2015-05-25,299.00,298.80,299.00,286.00,287.00,289.00,291.36,2930,8.54,64,1871,63.86
RBL,EQ,2015-05-26,289.00,296.00,296.50,287.35,290.00,288.10,288.16,663,1.91,23,551,83.11
RBL,EQ,2015-05-27,288.10,289.95,290.00,277.15,280.00,281.10,284.83,1146,3.26,63,963,84.03
RBL,EQ,2015-05-28,281.10,277.60,293.00,277.60,284.00,282.30,280.52,202,0.57,16,197,97.52
RBL,EQ,2015-05-29,282.30,290.00,290.00,277.00,277.00,278.35,279.62,1073,3.00,36,856,79.78
RBL,EQ,2015-06-01,278.35,278.00,287.80,275.10,285.95,281.85,282.06,1166,3.29,24,1112,95.37
RBL,EQ,2015-06-02,281.85,285.00,285.00,270.20,270.20,275.55,276.80,245,0.68,17,140,57.14
RBL,EQ,2015-06-03,275.55,275.00,287.20,275.00,287.20,280.65,276.76,1405,3.89,44,965,68.68
RBL,EQ,2015-06-04,280.65,285.00,285.00,270.10,279.00,279.00,274.03,686,1.88,18,594,86.59
RBL,EQ,2015-06-05,279.00,270.90,280.00,266.40,275.50,275.10,274.86,198,0.54,31,77,38.89
RBL,EQ,2015-06-08,275.10,285.00,287.15,275.30,286.00,281.90,283.68,1067,3.03,44,702,65.79
RBL,EQ,2015-06-09,281.90,278.10,287.00,278.10,281.05,281.05,282.84,45,0.13,8,28,62.22
RBL,EQ,2015-06-10,281.05,288.00,290.00,283.55,285.50,285.55,288.28,1242,3.58,34,981,78.99
RBL,EQ,2015-06-11,285.55,292.00,296.90,281.00,281.00,282.15,284.19,818,2.32,21,615,75.18
RBL,EQ,2015-06-12,282.15,275.00,280.00,257.00,279.00,278.75,272.37,687,1.87,29,525,76.42
RBL,EQ,2015-06-15,278.75,281.00,287.45,276.15,276.50,277.30,277.95,181,0.50,12,111,61.33
RBL,EQ,2015-06-16,277.30,280.00,283.00,276.50,283.00,282.80,281.97,382,1.08,22,303,79.32
RBL,EQ,2015-06-17,282.80,285.00,290.00,284.00,287.90,287.10,286.92,583,1.67,38,548,94.00
RBL,EQ,2015-06-18,287.10,290.00,296.00,288.40,291.00,291.75,291.47,823,2.40,40,517,62.82
RBL,EQ,2015-06-19,291.75,300.00,300.00,282.00,292.00,292.00,295.16,320,0.94,12,320,100.00
RBL,EQ,2015-06-22,292.00,302.00,302.00,295.10,298.80,298.05,297.66,448,1.33,33,284,63.39
RBL,EQ,2015-06-23,298.05,305.00,308.00,300.50,300.60,301.20,303.51,437,1.33,31,330,75.51
RBL,EQ,2015-06-24,301.20,295.00,307.00,295.00,304.00,305.95,305.55,712,2.18,45,449,63.06
RBL,EQ,2015-06-25,305.95,305.00,305.00,305.00,305.00,305.00,305.00,18,0.05,3,18,100.00
RBL,EQ,2015-06-26,305.00,287.00,305.00,287.00,295.00,295.00,296.92,393,1.17,27,272,69.21
RBL,EQ,2015-06-29,295.00,300.00,300.00,288.90,292.00,294.25,290.94,465,1.35,23,255,54.84
RBL,EQ,2015-06-30,294.25,285.00,296.00,285.00,292.90,293.75,293.49,1910,5.61,41,1337,70.00
RBL,EQ,2015-07-01,293.75,307.85,307.85,300.10,303.00,303.00,301.50,573,1.73,23,513,89.53
RBL,EQ,2015-07-02,303.00,305.00,309.90,300.15,305.00,303.90,303.82,2930,8.90,54,2334,79.66
RBL,EQ,2015-07-03,303.90,307.00,310.00,301.00,309.00,303.05,304.50,1316,4.01,83,995,75.61
RBL,EQ,2015-07-06,303.05,300.00,316.00,300.00,316.00,314.55,311.53,1443,4.50,50,963,66.74
RBL,EQ,2015-07-07,314.55,320.00,320.00,308.00,308.00,309.10,312.87,1798,5.63,73,1578,87.76
RBL,EQ,2015-07-08,309.10,302.20,318.00,302.20,313.90,313.80,312.10,1066,3.33,63,642,60.23
RBL,EQ,2015-07-09,313.80,299.25,308.80,299.25,303.00,303.00,303.26,155,0.47,9,150,96.77
RBL,EQ,2015-07-10,303.00,314.00,314.00,292.00,302.40,304.90,304.83,471,1.44,41,224,47.56
RBL,EQ,2015-07-13,304.90,328.00,328.00,293.00,307.05,309.25,309.45,1115,3.45,41,901,80.81
RBL,EQ,2015-07-14,309.25,310.00,317.90,305.10,305.10,305.25,311.19,1968,6.12,51,1297,65.90
RBL,EQ,2015-07-15,305.25,319.00,319.00,297.00,306.60,307.90,312.36,1595,4.98,76,1297,81.32
RBL,EQ,2015-07-16,307.90,317.45,317.45,308.50,310.00,311.45,312.95,871,2.73,20,755,86.68
RBL,EQ,2015-07-17,311.45,320.90,323.95,307.90,320.00,318.50,318.95,1753,5.59,60,1294,73.82
RBL,EQ,2015-07-20,318.50,318.50,326.00,311.00,318.10,318.25,321.84,1763,5.67,57,871,49.40
RBL,EQ,2015-07-21,318.25,329.00,344.00,320.00,332.00,332.10,336.32,7386,24.84,234,5317,71.99
RBL,EQ,2015-07-22,332.10,333.00,349.70,333.00,346.00,346.35,342.80,5460,18.72,174,3509,64.27
RBL,EQ,2015-07-23,346.35,345.00,352.95,344.00,347.00,347.00,347.70,1527,5.31,81,1120,73.35
RBL,EQ,2015-07-24,347.00,338.90,353.00,335.20,335.20,337.50,344.22,1805,6.21,80,1330,73.68
RBL,EQ,2015-07-27,337.50,325.10,344.00,325.10,339.80,334.90,332.05,947,3.14,30,539,56.92
RBL,EQ,2015-07-28,334.90,339.80,352.00,332.55,342.00,340.70,342.84,1837,6.30,186,1071,58.30
RBL,EQ,2015-07-29,340.70,351.80,351.80,338.20,339.15,340.20,342.79,642,2.20,22,204,31.78
RBL,EQ,2015-07-30,340.20,376.95,376.95,336.50,339.80,339.10,344.48,1245,4.29,65,616,49.48
RBL,EQ,2015-07-31,339.10,344.65,348.95,338.50,344.95,341.85,341.95,1393,4.76,81,1079,77.46
RBL,EQ,2015-08-03,341.85,348.50,348.50,324.80,347.00,347.00,344.05,2195,7.55,27,2145,97.72
RBL,EQ,2015-08-04,347.00,349.95,349.95,334.90,335.50,335.30,338.64,715,2.42,34,511,71.47
RBL,EQ,2015-08-05,335.30,329.50,349.80,326.00,326.00,329.20,333.19,1611,5.37,48,1415,87.83
RBL,EQ,2015-08-06,329.20,333.00,333.00,324.00,328.00,328.05,328.17,685,2.25,35,541,78.98
RBL,EQ,2015-08-07,328.05,334.90,334.90,324.05,325.00,326.10,327.07,1475,4.82,66,1302,88.27
RBL,EQ,2015-08-10,326.10,335.00,336.00,330.00,330.00,332.10,332.71,1696,5.64,52,1135,66.92
RBL,EQ,2015-08-11,332.10,315.00,335.30,315.00,326.80,325.60,328.39,954,3.13,31,453,47.48
RBL,EQ,2015-08-12,325.60,324.95,327.00,300.10,310.20,314.40,315.95,979,3.09,26,897,91.62
RBL,EQ,2015-08-13,314.40,309.00,320.50,305.00,305.00,306.70,311.69,739,2.30,34,622,84.17
