Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RCOM,EQ,2014-12-04,102.60,102.50,103.25,100.40,101.00,101.30,101.57,3467374,3521.75,16101,663629,19.14
RCOM,EQ,2014-12-05,101.30,101.30,105.80,100.25,102.00,102.50,103.12,7175833,7399.97,35148,1210009,16.86
RCOM,EQ,2014-12-08,102.50,102.60,103.00,98.60,99.00,99.05,100.27,4388234,4400.16,21163,1109603,25.29
RCOM,EQ,2014-12-09,99.05,98.65,100.55,95.15,95.80,95.85,97.33,5138613,5001.48,30842,1281633,24.94
RCOM,EQ,2014-12-10,95.85,95.90,98.40,95.10,95.60,95.60,96.43,5234363,5047.48,28096,1168627,22.33
RCOM,EQ,2014-12-11,95.60,95.60,95.95,92.00,92.60,92.55,93.38,5212499,4867.66,28691,1049337,20.13
RCOM,EQ,2014-12-12,92.55,93.00,93.90,88.60,88.85,89.50,91.00,7859993,7152.57,33494,2424895,30.85
RCOM,EQ,2014-12-15,89.50,88.90,89.15,86.05,87.00,86.85,87.52,5887544,5152.60,25909,1721427,29.24
RCOM,EQ,2014-12-16,86.85,86.00,86.25,82.70,84.45,83.75,84.00,6514663,5472.47,28506,1495665,22.96
RCOM,EQ,2014-12-17,83.75,83.25,84.45,80.50,83.70,83.20,83.01,6702674,5563.70,34239,1867943,27.87
RCOM,EQ,2014-12-18,83.20,84.15,86.85,84.15,85.75,85.80,85.58,3744983,3204.79,17366,862499,23.03
RCOM,EQ,2014-12-19,85.80,86.15,86.65,82.30,82.70,82.95,83.78,6225829,5215.76,28689,1842617,29.60
RCOM,EQ,2014-12-22,82.95,83.15,83.60,81.50,82.05,82.15,82.38,4799948,3954.41,19326,1711195,35.65
RCOM,EQ,2014-12-23,82.15,81.65,82.75,78.50,79.00,79.10,80.01,12639776,10113.53,45678,7104001,56.20
RCOM,EQ,2014-12-24,79.10,78.90,81.30,77.65,79.85,79.25,79.63,12472905,9932.28,45457,4720982,37.85
RCOM,EQ,2014-12-26,79.25,79.85,81.40,78.50,80.35,80.50,80.24,6244836,5010.55,28332,977779,15.66
RCOM,EQ,2014-12-29,80.50,80.50,82.45,80.50,80.70,80.75,81.44,4373137,3561.41,22036,919739,21.03
RCOM,EQ,2014-12-30,80.75,81.00,81.50,79.15,79.85,79.90,80.08,3816536,3056.21,19013,823030,21.56
RCOM,EQ,2014-12-31,79.90,79.70,80.70,79.30,80.15,80.05,79.98,3280097,2623.28,15595,571715,17.43
RCOM,EQ,2015-01-01,80.05,80.00,84.20,80.00,83.15,83.25,82.99,8181248,6789.84,40222,1256832,15.36
RCOM,EQ,2015-01-02,83.25,83.15,83.90,82.25,83.05,82.80,83.15,4638938,3857.43,20983,892546,19.24
RCOM,EQ,2015-01-05,82.80,82.85,83.70,81.15,81.70,81.60,82.27,4063660,3343.17,23696,884930,21.78
RCOM,EQ,2015-01-06,81.60,82.00,83.20,79.15,79.50,79.60,81.31,7410790,6025.48,37306,1242361,16.76
RCOM,EQ,2015-01-07,79.60,79.05,80.70,77.70,78.55,78.45,79.02,5911165,4671.18,25446,1903153,32.20
RCOM,EQ,2015-01-08,78.45,79.00,80.20,78.10,78.75,78.65,79.10,9269630,7332.72,27694,3221291,34.75
RCOM,EQ,2015-01-09,78.65,79.65,79.85,76.05,77.00,77.05,77.45,6091842,4718.43,29150,1139881,18.71
RCOM,EQ,2015-01-12,77.05,77.40,78.90,76.10,77.70,78.00,77.38,4819823,3729.69,21266,681649,14.14
RCOM,EQ,2015-01-13,78.00,78.10,78.55,75.85,76.50,76.45,76.78,4428542,3400.44,28742,1080625,24.40
RCOM,EQ,2015-01-14,76.45,76.35,77.40,75.05,75.30,75.40,75.89,3799782,2883.67,20509,836665,22.02
RCOM,EQ,2015-01-15,75.40,75.55,78.95,75.30,77.85,78.45,77.61,5782662,4487.65,26751,1700067,29.40
RCOM,EQ,2015-01-16,78.45,78.15,78.90,77.15,78.05,78.25,78.00,3403671,2654.75,17744,829015,24.36
RCOM,EQ,2015-01-19,78.25,78.45,80.95,77.90,79.55,79.60,79.84,4671966,3730.22,22281,824509,17.65
RCOM,EQ,2015-01-20,79.60,79.70,82.30,79.05,80.50,80.60,80.76,6325061,5107.85,31945,999876,15.81
RCOM,EQ,2015-01-21,80.60,80.95,80.95,79.05,80.00,80.10,79.94,4372968,3495.70,21244,1108113,25.34
RCOM,EQ,2015-01-22,80.10,80.25,80.75,79.15,79.70,79.80,79.94,3261659,2607.25,19477,893910,27.41
RCOM,EQ,2015-01-23,79.80,80.00,82.75,78.60,81.80,82.20,81.15,6794137,5513.75,32423,1397543,20.57
RCOM,EQ,2015-01-27,82.20,82.85,83.75,81.55,81.90,82.00,82.48,4508023,3718.26,22084,1264566,28.05
RCOM,EQ,2015-01-28,82.00,81.75,82.65,79.10,79.30,79.65,80.86,4904691,3966.11,23025,1422514,29.00
RCOM,EQ,2015-01-29,79.65,80.00,80.50,78.30,79.10,78.70,79.08,8029834,6350.31,28265,3104230,38.66
RCOM,EQ,2015-01-30,78.70,79.30,83.30,78.75,79.45,79.60,80.87,7752952,6269.65,34765,1964829,25.34
RCOM,EQ,2015-02-02,79.60,80.00,81.20,79.25,80.50,80.55,80.24,4644341,3726.66,21789,845810,18.21
RCOM,EQ,2015-02-03,80.55,81.05,81.15,77.00,77.50,77.50,78.31,7739062,6060.56,29999,3431927,44.35
RCOM,EQ,2015-02-04,77.50,78.30,78.90,77.20,77.60,77.70,78.00,3350346,2613.20,18530,647542,19.33
RCOM,EQ,2015-02-05,77.70,77.80,78.30,71.00,71.25,72.25,74.48,10436036,7773.11,37324,4038626,38.70
RCOM,EQ,2015-02-06,72.25,71.50,72.60,70.10,70.90,70.75,71.43,6612868,4723.63,30484,1736637,26.26
RCOM,EQ,2015-02-09,70.75,70.40,70.75,67.30,67.45,67.70,68.88,6851888,4719.38,31288,1372577,20.03
RCOM,EQ,2015-02-10,67.70,67.50,70.65,66.50,68.25,68.40,68.87,8620304,5936.95,34860,2799028,32.47
RCOM,EQ,2015-02-11,68.40,69.00,70.95,68.80,70.50,70.35,69.91,4265377,2981.91,22208,1320830,30.97
RCOM,EQ,2015-02-12,70.35,70.40,71.80,69.90,71.05,71.15,70.84,4297268,3044.11,19479,1295365,30.14
RCOM,EQ,2015-02-13,71.15,71.45,72.50,70.55,71.90,72.05,71.56,4124981,2951.67,25408,739839,17.94
RCOM,EQ,2015-02-16,72.05,74.00,76.40,73.50,75.10,75.10,74.95,7351525,5510.12,36516,1136046,15.45
RCOM,EQ,2015-02-18,75.10,75.45,75.70,72.90,73.30,73.40,73.88,4247674,3138.14,19544,967461,22.78
RCOM,EQ,2015-02-19,73.40,73.55,73.85,69.70,71.30,71.35,71.32,5040893,3595.28,24553,1134609,22.51
RCOM,EQ,2015-02-20,71.35,71.10,73.10,71.10,72.05,72.00,72.09,3928888,2832.44,18649,522818,13.31
RCOM,EQ,2015-02-23,72.00,72.35,72.35,69.30,69.90,70.25,71.11,4599543,3270.87,20183,787723,17.13
RCOM,EQ,2015-02-24,70.25,70.30,70.50,68.40,69.25,68.80,69.06,6225309,4298.97,29877,2355401,37.84
RCOM,EQ,2015-02-25,68.80,69.15,70.35,67.30,68.75,69.00,68.69,8668504,5954.67,37878,2925227,33.75
RCOM,EQ,2015-02-26,69.00,68.90,69.25,67.05,67.70,67.40,67.74,6875956,4657.53,22065,3216770,46.78
RCOM,EQ,2015-02-27,67.40,68.00,70.05,67.30,69.95,69.80,68.94,5915744,4078.50,28031,2204132,37.26
RCOM,EQ,2015-02-28,69.80,70.45,70.65,67.10,68.60,68.50,68.88,6411637,4416.33,23209,1434385,22.37
RCOM,EQ,2015-03-02,68.50,69.05,69.10,65.30,65.80,65.80,66.82,7567847,5057.11,29153,2802566,37.03
RCOM,EQ,2015-03-03,65.80,65.80,67.20,65.25,65.90,66.15,66.23,6321559,4186.65,31713,2064672,32.66
RCOM,EQ,2015-03-04,66.15,67.00,69.90,66.00,66.75,66.75,67.92,13818919,9386.22,53531,4190200,30.32
RCOM,EQ,2015-03-05,66.75,67.15,68.20,66.00,66.80,66.85,66.96,6560325,4392.56,28482,2422059,36.92
RCOM,EQ,2015-03-09,66.85,66.50,67.00,62.40,62.50,62.85,64.14,9698835,6221.26,37488,4465807,46.04
RCOM,EQ,2015-03-10,62.85,62.60,67.15,61.65,64.30,64.50,64.54,14695106,9484.04,57937,3299729,22.45
RCOM,EQ,2015-03-11,64.50,64.50,66.95,63.95,66.15,66.40,65.76,10208334,6712.81,41096,3369958,33.01
