Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RECLTD,EQ,2014-12-04,344.55,345.40,347.90,333.05,336.30,337.50,337.93,2957130,9993.12,34841,1327599,44.89
RECLTD,N1,2014-12-04,1031.00,1010.00,1010.00,1010.00,1010.00,1010.00,1010.00,100,1.01,1,100,100.00
RECLTD,N2,2014-12-04,1022.00,1022.00,1025.00,1022.00,1025.00,1025.00,1024.50,600,6.15,3,600,100.00
RECLTD,N6,2014-12-04,1125.00,1125.00,1125.00,1125.00,1125.00,1125.00,1125.00,5,0.06,1,5,100.00
RECLTD,N8,2014-12-04,1089.99,1080.00,1132.00,1075.00,1075.00,1090.58,1085.43,206,2.24,6,206,100.00
RECLTD,N9,2014-12-04,1142.93,1141.00,1146.98,1139.99,1145.00,1145.00,1141.92,1785,20.38,21,1730,96.92
RECLTD,EQ,2014-12-05,337.50,339.00,342.50,330.40,331.10,333.40,336.74,2557253,8611.26,33437,1404494,54.92
RECLTD,N1,2014-12-05,1010.00,1010.21,1014.00,1010.21,1014.00,1014.00,1013.41,71,0.72,5,61,85.92
RECLTD,N2,2014-12-05,1025.00,1025.00,1035.00,1025.00,1035.00,1030.93,1028.25,900,9.25,24,900,100.00
RECLTD,N6,2014-12-05,1125.00,1125.00,1125.00,1125.00,1125.00,1125.00,1125.00,100,1.13,1,100,100.00
RECLTD,N9,2014-12-05,1145.00,1143.99,1144.00,1141.00,1144.00,1142.95,1142.97,2246,25.67,25,1980,88.16
RECLTD,NF,2014-12-05,1199.75,1238.00,1238.00,1238.00,1238.00,1238.00,1238.00,30,0.37,1,30,100.00
RECLTD,NG,2014-12-05,1180.00,1225.00,1225.00,1225.00,1225.00,1225.00,1225.00,5,0.06,1,5,100.00
RECLTD,EQ,2014-12-08,333.40,333.00,333.30,318.00,318.40,320.00,324.31,1802458,5845.52,23940,632727,35.10
RECLTD,N1,2014-12-08,1014.00,1014.50,1014.50,1014.50,1014.50,1014.50,1014.50,420,4.26,5,420,100.00
RECLTD,N2,2014-12-08,1030.93,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,50,0.51,1,50,100.00
RECLTD,N3,2014-12-08,954.45,963.01,975.00,963.00,974.99,974.96,970.36,99,0.96,11,88,88.89
RECLTD,N9,2014-12-08,1142.95,1145.00,1145.00,1135.00,1138.99,1138.99,1138.19,1907,21.71,31,1900,99.63
RECLTD,EQ,2014-12-09,320.00,317.95,325.80,306.35,309.00,309.50,314.86,3022901,9517.97,36926,806780,26.69
RECLTD,N1,2014-12-09,1014.50,1015.00,1015.00,1014.10,1014.10,1014.12,1014.38,400,4.06,10,400,100.00
RECLTD,N2,2014-12-09,1027.00,1030.00,1030.00,1021.55,1021.55,1021.55,1029.24,669,6.89,4,669,100.00
RECLTD,N6,2014-12-09,1125.00,1147.74,1147.74,1135.99,1135.99,1135.99,1141.87,100,1.14,2,100,100.00
RECLTD,N8,2014-12-09,1090.58,1085.00,1099.99,1085.00,1099.99,1099.99,1092.50,100,1.09,2,100,100.00
RECLTD,N9,2014-12-09,1138.99,1144.40,1145.00,1143.90,1143.90,1143.90,1144.89,2701,30.92,68,2695,99.78
RECLTD,NA,2014-12-09,1200.00,1125.00,1135.00,1125.00,1132.00,1132.00,1130.77,66,0.75,3,33,50.00
RECLTD,NF,2014-12-09,1238.00,1154.99,1237.00,1154.99,1235.00,1171.19,1171.19,50,0.59,3,40,80.00
RECLTD,EQ,2014-12-10,309.50,311.00,326.00,309.20,324.25,324.40,318.13,3273304,10413.39,49927,1208211,36.91
RECLTD,N1,2014-12-10,1014.12,1013.00,1014.00,1013.00,1013.00,1013.00,1013.09,1100,11.14,21,1000,90.91
RECLTD,N2,2014-12-10,1021.55,1017.01,1026.00,1017.01,1026.00,1026.00,1024.40,500,5.12,4,450,90.00
RECLTD,N8,2014-12-10,1099.99,1077.00,1077.01,1077.00,1077.01,1077.01,1077.01,100,1.08,2,100,100.00
RECLTD,N9,2014-12-10,1143.90,1144.99,1144.99,1138.99,1140.00,1140.00,1139.78,2176,24.80,22,1915,88.01
RECLTD,NA,2014-12-10,1132.00,1055.05,1055.05,1055.05,1055.05,1055.05,1055.05,100,1.06,1,100,100.00
RECLTD,EQ,2014-12-11,324.40,323.70,324.90,312.65,316.85,317.20,318.17,1872960,5959.18,28716,593645,31.70
RECLTD,N1,2014-12-11,1013.00,1013.00,1013.00,1007.00,1007.60,1007.60,1009.71,1870,18.88,26,1860,99.47
RECLTD,N8,2014-12-11,1077.01,1070.00,1075.99,1070.00,1075.99,1075.99,1070.06,1010,10.81,10,1000,99.01
RECLTD,N9,2014-12-11,1140.00,1140.45,1144.50,1140.00,1143.00,1143.00,1143.75,816,9.33,11,736,90.20
RECLTD,EQ,2014-12-12,317.20,317.90,323.75,312.60,314.10,315.10,318.52,1986116,6326.15,42940,901959,45.41
RECLTD,N1,2014-12-12,1007.60,1017.00,1023.49,1013.50,1013.50,1013.50,1014.34,245,2.49,11,223,91.02
RECLTD,N2,2014-12-12,1026.00,1029.99,1029.99,1029.99,1029.99,1029.99,1029.99,500,5.15,3,500,100.00
RECLTD,N8,2014-12-12,1075.99,1069.95,1075.00,1069.95,1075.00,1075.00,1073.32,225,2.41,5,225,100.00
RECLTD,N9,2014-12-12,1143.00,1139.06,1143.99,1139.00,1140.00,1139.86,1140.04,4930,56.20,55,4222,85.64
RECLTD,NE,2014-12-12,1020.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,575,6.33,2,575,100.00
RECLTD,EQ,2014-12-15,315.10,312.00,317.50,309.20,312.15,312.95,313.07,1468341,4596.87,28595,419501,28.57
RECLTD,N1,2014-12-15,1013.50,1015.00,1015.00,1012.00,1014.00,1014.00,1012.19,555,5.62,19,555,100.00
RECLTD,N2,2014-12-15,1029.99,1028.99,1033.95,1027.00,1033.95,1033.95,1029.99,1233,12.70,10,1233,100.00
RECLTD,N6,2014-12-15,1135.99,1120.00,1130.00,1120.00,1130.00,1130.00,1123.67,12000,134.84,5,12000,100.00
RECLTD,N9,2014-12-15,1139.86,1140.05,1150.00,1140.00,1148.00,1147.98,1145.97,13600,155.85,97,13161,96.77
RECLTD,EQ,2014-12-16,312.95,308.15,312.60,293.70,296.80,296.65,300.58,2210821,6645.19,36801,836039,37.82
RECLTD,N1,2014-12-16,1014.00,1006.61,1015.00,1006.61,1010.00,1010.00,1012.55,1233,12.48,30,1200,97.32
RECLTD,N6,2014-12-16,1130.00,1132.00,1132.00,1130.00,1130.00,1130.00,1131.96,510,5.77,3,510,100.00
RECLTD,N8,2014-12-16,1075.00,1089.99,1162.00,1089.99,1162.00,1162.00,1126.00,40,0.45,2,40,100.00
RECLTD,N9,2014-12-16,1147.98,1150.00,1150.50,1146.00,1146.00,1146.90,1149.40,3815,43.85,36,3349,87.79
RECLTD,NE,2014-12-16,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,500,5.50,2,500,100.00
RECLTD,NF,2014-12-16,1171.19,1170.00,1174.99,1166.00,1166.00,1166.00,1166.67,1120,13.07,5,1120,100.00
RECLTD,EQ,2014-12-17,296.65,293.70,318.90,293.70,312.80,311.55,307.14,4734916,14542.95,97402,1850807,39.09
RECLTD,N1,2014-12-17,1010.00,1012.00,1012.00,1012.00,1012.00,1012.00,1012.00,25,0.25,1,25,100.00
RECLTD,N2,2014-12-17,1033.95,1025.25,1025.25,1016.00,1017.50,1017.49,1019.96,15628,159.40,54,15525,99.34
RECLTD,N9,2014-12-17,1146.90,1147.99,1148.00,1132.05,1132.05,1133.20,1141.19,3343,38.15,49,2950,88.24
RECLTD,NF,2014-12-17,1166.00,1165.00,1165.00,1165.00,1165.00,1165.00,1165.00,404,4.71,3,404,100.00
RECLTD,EQ,2014-12-18,311.55,318.80,333.40,317.30,330.00,329.20,326.57,5152380,16825.90,104091,2251730,43.70
RECLTD,N2,2014-12-18,1017.49,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1,0.01,1,1,100.00
RECLTD,N9,2014-12-18,1133.20,1138.90,1149.99,1135.00,1145.00,1145.00,1143.21,912,10.43,21,795,87.17
RECLTD,NF,2014-12-18,1165.00,1169.90,1169.90,1169.90,1169.90,1169.90,1169.90,5,0.06,1,5,100.00
RECLTD,EQ,2014-12-19,329.20,335.70,335.85,325.60,328.20,329.75,330.82,3103464,10266.89,52382,1410843,45.46
RECLTD,N1,2014-12-19,1012.00,1012.00,1012.00,1012.00,1012.00,1012.00,1012.00,100,1.01,1,100,100.00
RECLTD,N2,2014-12-19,1027.00,1020.00,1020.00,1005.55,1020.00,1020.00,1010.91,7517,75.99,36,6899,91.78
RECLTD,N8,2014-12-19,1162.00,1066.10,1074.99,1066.10,1074.99,1074.99,1067.30,45,0.48,3,40,88.89
RECLTD,N9,2014-12-19,1145.00,1137.00,1147.79,1137.00,1147.79,1147.79,1145.90,97,1.11,3,80,82.47
RECLTD,NF,2014-12-19,1169.90,1169.80,1169.80,1150.00,1150.00,1150.00,1150.40,99,1.14,4,99,100.00
RECLTD,NG,2014-12-19,1225.00,1470.00,1470.00,1270.00,1270.00,1270.00,1370.00,200,2.74,5,100,50.00
RECLTD,EQ,2014-12-22,329.75,330.00,335.45,326.00,334.00,333.90,332.27,1389335,4616.39,31794,506098,36.43
RECLTD,N1,2014-12-22,1012.00,1012.00,1012.00,1012.00,1012.00,1012.00,1012.00,300,3.04,1,300,100.00
RECLTD,N2,2014-12-22,1020.00,1026.90,1026.90,1020.25,1023.99,1023.99,1023.06,2183,22.33,29,2170,99.40
RECLTD,N8,2014-12-22,1074.99,1061.00,1061.00,1061.00,1061.00,1061.00,1061.00,50,0.53,1,50,100.00
RECLTD,N9,2014-12-22,1147.79,1138.00,1138.00,1125.00,1131.00,1125.88,1125.88,2132,24.00,19,2107,98.83
RECLTD,EQ,2014-12-23,333.90,334.00,336.80,325.20,327.15,327.20,329.23,2024686,6665.84,45880,639468,31.58
RECLTD,N1,2014-12-23,1012.00,1012.00,1012.00,1012.00,1012.00,1012.00,1012.00,6,0.06,1,6,100.00
RECLTD,N2,2014-12-23,1023.99,1021.00,1021.00,1020.00,1020.00,1020.00,1020.99,101,1.03,2,100,99.01
RECLTD,N8,2014-12-23,1061.00,1060.14,1060.14,1060.00,1060.00,1060.00,1060.05,325,3.45,4,325,100.00
RECLTD,N9,2014-12-23,1125.88,1145.00,1145.00,1135.00,1139.99,1138.12,1137.50,5341,60.75,38,4485,83.97
RECLTD,NF,2014-12-23,1150.00,1150.00,1150.00,1150.00,1150.00,1150.00,1150.00,10,0.12,1,10,100.00
RECLTD,EQ,2014-12-24,327.20,329.00,329.50,319.20,325.80,324.25,323.33,2720149,8795.08,27775,1236379,45.45
RECLTD,N1,2014-12-24,1012.00,1012.00,1020.00,1012.00,1020.00,1020.00,1013.60,25,0.25,2,25,100.00
RECLTD,N2,2014-12-24,1020.00,1020.00,1027.00,1020.00,1027.00,1027.00,1021.67,669,6.83,20,667,99.70
RECLTD,N6,2014-12-24,1130.00,1130.00,1130.00,1130.00,1130.00,1130.00,1130.00,900,10.17,1,900,100.00
RECLTD,N8,2014-12-24,1060.00,1080.00,1080.00,1080.00,1080.00,1080.00,1080.00,1,0.01,1,1,100.00
RECLTD,N9,2014-12-24,1138.12,1139.99,1145.90,1135.64,1135.64,1136.01,1140.13,1354,15.44,21,980,72.38
RECLTD,NF,2014-12-24,1150.00,1150.00,1166.00,1150.00,1153.00,1153.00,1162.00,105,1.22,6,105,100.00
RECLTD,EQ,2014-12-26,324.25,325.90,336.50,323.35,334.60,335.15,333.12,1702545,5671.50,31882,438848,25.78
RECLTD,N1,2014-12-26,1020.00,1010.00,1020.00,1010.00,1020.00,1020.00,1010.48,105,1.06,2,105,100.00
RECLTD,N2,2014-12-26,1027.00,1018.00,1026.90,1018.00,1026.90,1026.90,1022.88,185,1.89,5,135,72.97
RECLTD,N8,2014-12-26,1080.00,1051.43,1051.43,1051.43,1051.43,1051.43,1051.43,10,0.11,1,10,100.00
RECLTD,N9,2014-12-26,1136.01,1136.00,1139.00,1135.99,1139.00,1139.00,1136.14,210,2.39,5,200,95.24
RECLTD,NE,2014-12-26,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,275,3.03,2,275,100.00
RECLTD,NF,2014-12-26,1153.00,1174.00,1174.00,1173.00,1174.00,1174.00,1173.90,100,1.17,3,100,100.00
RECLTD,NG,2014-12-26,1270.00,1524.00,1524.00,1523.00,1523.00,1523.00,1523.50,50,0.76,3,50,100.00
RECLTD,EQ,2014-12-29,335.15,336.50,341.00,332.50,332.50,333.35,336.91,1106286,3727.17,20382,233972,21.15
RECLTD,N1,2014-12-29,1020.00,1020.00,1020.00,1013.50,1014.10,1014.10,1014.67,115,1.17,4,115,100.00
RECLTD,N2,2014-12-29,1026.90,1013.00,1028.00,1013.00,1025.99,1025.99,1018.50,1773,18.06,7,1175,66.27
RECLTD,N6,2014-12-29,1130.00,1131.00,1131.00,1131.00,1131.00,1131.00,1131.00,100,1.13,1,100,100.00
RECLTD,N8,2014-12-29,1051.43,1072.00,1074.99,1064.05,1064.05,1064.05,1072.05,928,9.95,5,925,99.68
RECLTD,N9,2014-12-29,1139.00,1137.00,1138.90,1137.00,1138.00,1138.11,1137.98,2282,25.97,39,2270,99.47
RECLTD,NF,2014-12-29,1174.00,1174.00,1184.00,1174.00,1183.90,1183.90,1182.75,260,3.08,11,260,100.00
RECLTD,EQ,2014-12-30,333.35,335.30,337.35,329.00,331.60,331.80,332.13,1038639,3449.59,18968,229274,22.07
RECLTD,N1,2014-12-30,1014.10,1012.10,1012.10,1012.10,1012.10,1012.10,1012.10,20,0.20,1,20,100.00
RECLTD,N2,2014-12-30,1025.99,1024.00,1025.85,1020.50,1025.85,1025.85,1024.24,252,2.58,8,226,89.68
RECLTD,N8,2014-12-30,1064.05,1078.00,1160.00,1078.00,1160.00,1094.71,1094.72,200,2.19,5,200,100.00
RECLTD,N9,2014-12-30,1138.11,1146.99,1146.99,1138.00,1146.49,1146.44,1141.19,820,9.36,14,795,96.95
RECLTD,EQ,2014-12-31,331.80,332.00,337.75,330.60,335.00,335.15,334.71,1110666,3717.52,15295,292332,26.32
RECLTD,N2,2014-12-31,1025.85,1025.99,1030.00,1025.99,1030.00,1030.00,1026.39,2000,20.53,5,2000,100.00
RECLTD,N9,2014-12-31,1146.44,1145.99,1154.90,1145.99,1150.00,1149.99,1149.22,319,3.67,16,289,90.60
RECLTD,EQ,2015-01-01,335.15,334.60,337.50,332.00,336.15,335.70,335.20,768258,2575.23,11548,158460,20.63
RECLTD,N1,2015-01-01,1012.10,1017.00,1017.00,1012.10,1012.10,1012.60,1012.61,35,0.35,5,25,71.43
RECLTD,N2,2015-01-01,1030.00,1029.00,1029.00,1026.55,1026.55,1026.55,1027.28,600,6.16,4,600,100.00
RECLTD,N8,2015-01-01,1094.71,1065.05,1065.05,1065.05,1065.05,1065.05,1065.05,25,0.27,1,25,100.00
RECLTD,N9,2015-01-01,1149.99,1150.00,1150.00,1149.99,1150.00,1150.00,1150.00,562,6.46,17,562,100.00
RECLTD,NA,2015-01-01,1055.05,1266.00,1266.00,1266.00,1266.00,1266.00,1266.00,10,0.13,1,10,100.00
RECLTD,EQ,2015-01-02,335.70,335.90,344.45,334.00,334.95,334.90,340.04,1438699,4892.18,23003,344309,23.93
RECLTD,N1,2015-01-02,1012.60,1012.00,1022.00,1012.00,1013.15,1013.15,1014.80,830,8.42,9,759,91.45
RECLTD,N2,2015-01-02,1026.55,1028.01,1028.01,1025.00,1025.00,1025.00,1025.90,1000,10.26,10,1000,100.00
RECLTD,N9,2015-01-02,1150.00,1149.49,1149.49,1136.25,1137.00,1137.08,1138.88,1049,11.95,31,878,83.70
RECLTD,EQ,2015-01-05,334.90,335.00,337.00,332.70,334.00,333.95,334.45,1694286,5666.58,19375,928628,54.81
RECLTD,N1,2015-01-05,1013.15,1014.00,1014.00,1013.15,1014.00,1014.00,1013.79,40,0.41,3,40,100.00
RECLTD,N6,2015-01-05,1131.00,1100.15,1111.00,1100.00,1111.00,1111.00,1100.60,2100,23.11,5,2000,95.24
RECLTD,N8,2015-01-05,1065.05,1089.00,1089.00,1089.00,1089.00,1089.00,1089.00,2,0.02,1,2,100.00
RECLTD,N9,2015-01-05,1137.08,1140.00,1145.00,1140.00,1140.00,1140.00,1141.90,1108,12.65,23,788,71.12
RECLTD,EQ,2015-01-06,333.95,333.05,333.05,318.25,319.90,319.85,323.94,1548311,5015.67,25976,589476,38.07
RECLTD,N1,2015-01-06,1014.00,1013.00,1013.00,1013.00,1013.00,1013.00,1013.00,110,1.11,2,110,100.00
RECLTD,N2,2015-01-06,1025.00,1025.00,1025.00,1023.00,1023.00,1023.00,1024.00,300,3.07,3,300,100.00
RECLTD,N8,2015-01-06,1089.00,1082.85,1082.85,1082.85,1082.85,1082.85,1082.85,5,0.05,1,5,100.00
RECLTD,N9,2015-01-06,1140.00,1132.00,1139.95,1132.00,1136.00,1137.12,1135.49,4339,49.27,85,2980,68.68
RECLTD,NB,2015-01-06,1000.00,1016.21,1016.60,1016.21,1016.60,1016.60,1016.41,100,1.02,2,50,50.00
RECLTD,EQ,2015-01-07,319.85,320.40,323.30,310.50,318.85,317.85,318.03,2242262,7131.03,40527,923506,41.19
RECLTD,N1,2015-01-07,1013.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,200,2.05,1,200,100.00
RECLTD,N2,2015-01-07,1023.00,1024.01,1024.01,1024.01,1024.01,1024.01,1024.01,7,0.07,1,7,100.00
RECLTD,N4,2015-01-07,999.00,931.10,1000.00,931.10,1000.00,1000.00,973.75,210,2.04,3,130,61.90
RECLTD,N8,2015-01-07,1082.85,1077.00,1077.90,901.60,1051.10,1051.10,1032.80,530,5.47,10,505,95.28
