Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,2014-12-03,962.65,958.55,974.00,958.55,966.75,968.35,967.87,2237796,21658.93,53340,1275018,56.98
RELIANCE,EQ,2014-12-04,968.35,968.10,974.95,955.70,957.90,958.55,964.05,2463051,23745.11,48124,1465678,59.51
RELIANCE,EQ,2014-12-05,958.55,961.00,967.00,955.10,956.90,957.35,960.49,2296865,22061.23,60064,1334187,58.09
RELIANCE,EQ,2014-12-08,957.35,960.00,962.85,942.25,944.10,944.60,951.53,2340414,22269.79,82516,1514966,64.73
RELIANCE,EQ,2014-12-09,944.60,941.00,950.70,931.00,939.75,939.85,940.54,2422696,22786.34,64424,1150009,47.47
RELIANCE,EQ,2014-12-10,939.85,931.45,940.95,930.00,931.40,932.55,934.48,3027071,28287.40,69131,1938978,64.05
RELIANCE,EQ,2014-12-11,932.55,929.00,929.00,903.35,906.00,906.15,913.18,5170702,47217.70,122251,3208061,62.04
RELIANCE,EQ,2014-12-12,906.15,907.00,911.00,879.35,883.15,882.35,893.67,4085890,36514.54,91513,2346306,57.42
RELIANCE,EQ,2014-12-15,882.35,877.95,881.80,872.00,881.40,878.80,877.27,2891112,25362.98,61690,1659479,57.40
RELIANCE,EQ,2014-12-16,878.80,876.80,883.25,859.70,867.00,864.60,871.92,4774252,41627.72,95487,2999219,62.82
RELIANCE,EQ,2014-12-17,864.60,865.25,874.90,864.45,871.60,869.50,870.08,4749947,41328.20,110568,2951528,62.14
RELIANCE,EQ,2014-12-18,869.50,881.55,884.80,864.65,880.25,880.10,876.60,3422050,29997.71,77641,1770464,51.74
RELIANCE,EQ,2014-12-19,880.10,885.10,908.40,882.50,900.45,900.55,899.32,4588473,41265.18,107582,2800249,61.03
RELIANCE,EQ,2014-12-22,900.55,902.00,906.80,891.00,904.75,904.90,898.63,1898416,17059.77,53810,994495,52.39
RELIANCE,EQ,2014-12-23,904.90,902.35,904.15,891.80,894.00,893.75,897.15,2419143,21703.28,79030,1562286,64.58
RELIANCE,EQ,2014-12-24,893.75,893.75,897.15,880.00,886.00,884.15,886.83,5138493,45569.83,46204,3632601,70.69
RELIANCE,EQ,2014-12-26,884.15,886.60,892.65,880.10,889.70,888.85,885.42,1117804,9897.27,23646,377986,33.82
RELIANCE,EQ,2014-12-29,888.85,888.50,899.05,886.95,897.50,897.00,895.10,1584461,14182.45,32127,856901,54.08
RELIANCE,EQ,2014-12-30,897.00,897.10,898.40,877.10,882.20,880.15,882.21,2657831,23447.75,52295,1585020,59.64
RELIANCE,EQ,2014-12-31,880.15,880.00,893.90,879.05,892.05,891.15,888.28,1934955,17187.75,43317,1195047,61.76
RELIANCE,EQ,2015-01-01,891.15,886.30,892.00,883.65,888.00,887.90,887.62,677439,6013.06,16263,286377,42.27
RELIANCE,EQ,2015-01-02,887.90,888.10,896.05,884.30,884.95,885.55,889.39,1675827,14904.61,31269,1048543,62.57
RELIANCE,EQ,2015-01-05,885.55,885.00,890.90,874.10,875.55,875.85,881.88,2309591,20367.81,67035,1393132,60.32
RELIANCE,EQ,2015-01-06,875.85,870.00,873.00,832.00,832.50,836.10,847.60,4258043,36091.33,120767,2353273,55.27
RELIANCE,EQ,2015-01-07,836.10,837.10,858.80,837.00,858.00,854.30,849.81,4736315,40249.72,125939,2885468,60.92
RELIANCE,EQ,2015-01-08,854.30,860.10,862.90,840.15,843.00,842.05,845.70,4542457,38415.74,77800,2663830,58.64
RELIANCE,EQ,2015-01-09,842.05,848.40,862.00,845.00,861.50,860.30,852.15,3061366,26087.41,56795,1697823,55.46
RELIANCE,EQ,2015-01-12,860.30,860.50,861.00,841.60,852.50,850.30,847.51,2308716,19566.62,59103,1263612,54.73
RELIANCE,EQ,2015-01-13,850.30,853.00,854.95,840.50,845.00,843.15,844.77,2274108,19211.07,50755,1310196,57.61
RELIANCE,EQ,2015-01-14,843.15,843.00,847.00,831.20,837.00,834.95,836.09,2601286,21749.13,80257,1468754,56.46
RELIANCE,EQ,2015-01-15,834.95,840.00,871.10,840.00,863.00,864.25,857.07,3869247,33162.04,78705,2364008,61.10
RELIANCE,EQ,2015-01-16,864.25,860.00,875.00,852.05,867.50,869.70,867.39,4374388,37943.07,100057,2654750,60.69
RELIANCE,EQ,2015-01-19,869.70,870.20,886.00,858.75,879.75,879.65,877.24,3049291,26749.72,75661,965555,31.66
RELIANCE,EQ,2015-01-20,879.65,881.50,905.55,878.85,902.55,903.05,894.34,3054173,27314.70,66755,1481484,48.51
RELIANCE,EQ,2015-01-21,903.05,905.00,911.40,892.05,907.05,906.75,903.73,3905183,35292.38,84816,1996975,51.14
RELIANCE,EQ,2015-01-22,906.75,905.15,907.20,879.50,884.20,883.75,888.39,5422365,48171.56,117060,3881123,71.58
RELIANCE,EQ,2015-01-23,883.75,890.00,897.80,877.00,886.85,886.90,887.29,4132897,36670.65,96749,2451611,59.32
RELIANCE,EQ,2015-01-27,886.90,892.90,896.70,880.50,887.25,889.05,888.34,4100754,36428.49,139067,2715836,66.23
RELIANCE,EQ,2015-01-28,889.05,886.10,909.80,886.10,906.55,906.85,898.00,4411227,39612.82,80550,2626389,59.54
RELIANCE,EQ,2015-01-29,906.85,907.10,934.50,906.90,927.95,929.40,926.40,8255888,76482.31,171319,5054578,61.22
RELIANCE,EQ,2015-01-30,929.40,930.00,931.25,909.00,916.35,915.25,918.15,4970953,45640.56,84169,2810831,56.55
RELIANCE,EQ,2015-02-02,915.25,916.05,919.90,905.70,908.20,908.05,912.65,4412275,40268.71,50967,2196576,49.78
RELIANCE,EQ,2015-02-03,908.05,913.20,940.85,913.20,936.30,937.60,930.35,3907020,36348.96,93747,1799461,46.06
RELIANCE,EQ,2015-02-04,937.60,939.10,943.80,925.90,926.70,928.80,936.76,3216827,30133.88,59577,1633822,50.79
RELIANCE,EQ,2015-02-05,928.80,936.00,939.90,917.60,921.60,923.70,930.11,2826578,26290.35,58327,1217769,43.08
RELIANCE,EQ,2015-02-06,923.70,924.10,930.00,903.00,911.15,909.90,916.30,2067728,18946.68,50276,906160,43.82
RELIANCE,EQ,2015-02-09,909.90,901.20,918.00,892.00,894.35,896.70,905.54,2020605,18297.48,55988,880015,43.55
RELIANCE,EQ,2015-02-10,896.70,898.00,904.50,861.30,884.60,882.00,887.96,3120391,27707.94,83170,1215405,38.95
RELIANCE,EQ,2015-02-11,882.00,886.00,904.75,883.00,901.50,900.70,894.64,2235774,20002.18,43905,1002752,44.85
RELIANCE,EQ,2015-02-12,900.70,908.00,913.95,887.25,912.55,909.15,899.35,1990874,17904.99,54081,744878,37.41
RELIANCE,EQ,2015-02-13,909.15,914.00,920.80,909.05,920.05,917.50,916.17,1690071,15483.93,39163,759743,44.95
RELIANCE,EQ,2015-02-16,917.50,918.70,924.20,900.00,902.15,902.80,910.85,2803961,25539.75,75984,1577530,56.26
RELIANCE,EQ,2015-02-18,902.80,900.00,908.00,894.40,901.10,901.65,901.29,2248124,20262.11,65950,1239873,55.15
RELIANCE,EQ,2015-02-19,901.65,906.95,907.60,887.55,901.15,902.05,896.86,2183115,19579.50,57260,1006768,46.12
RELIANCE,EQ,2015-02-20,902.05,895.25,896.00,871.30,872.80,873.10,876.92,4278437,37518.37,111545,2125610,49.68
RELIANCE,EQ,2015-02-23,873.10,869.95,876.75,847.10,848.10,851.45,860.98,3224043,27758.39,71325,1703516,52.84
RELIANCE,EQ,2015-02-24,851.45,854.25,856.80,837.00,842.20,841.45,843.77,4559370,38470.76,135555,2380353,52.21
RELIANCE,EQ,2015-02-25,841.45,848.80,856.50,841.05,844.55,843.15,847.86,3491406,29602.07,77841,2114395,60.56
RELIANCE,EQ,2015-02-26,843.15,846.10,850.00,836.60,848.50,842.00,841.76,4905338,41290.95,85739,3299306,67.26
RELIANCE,EQ,2015-02-27,842.00,847.55,861.00,844.60,859.30,855.55,851.92,4265220,36336.41,68505,2942881,69.00
RELIANCE,EQ,2015-02-28,855.55,862.80,868.40,846.60,867.00,865.15,860.13,2093776,18009.27,45333,641311,30.63
RELIANCE,EQ,2015-03-02,865.15,869.00,875.50,855.55,864.95,864.25,862.25,3332631,28735.65,65921,1693328,50.81
RELIANCE,EQ,2015-03-03,864.25,869.00,906.45,867.40,900.15,900.80,894.08,4717254,42175.79,113396,2087683,44.26
RELIANCE,EQ,2015-03-04,900.80,906.00,909.65,880.05,886.25,887.85,894.98,3308981,29614.80,74794,1655923,50.04
RELIANCE,EQ,2015-03-05,887.85,892.50,898.75,878.15,886.00,884.95,887.43,2449658,21738.92,61861,1127363,46.02
RELIANCE,EQ,2015-03-09,884.95,885.10,891.75,864.15,865.40,869.65,878.60,3215112,28247.81,81492,1652011,51.38
RELIANCE,EQ,2015-03-10,869.65,868.95,875.80,855.40,858.00,859.15,863.46,3482250,30067.77,106079,2053139,58.96
RELIANCE,EQ,2015-03-11,859.15,860.95,869.60,852.40,853.50,855.95,860.98,2659765,22899.94,51290,1375936,51.73
RELIANCE,EQ,2015-03-12,855.95,858.00,867.40,855.60,863.50,863.80,860.09,2693254,23164.48,69814,1429665,53.08
RELIANCE,EQ,2015-03-13,863.80,869.00,869.60,847.00,852.40,850.10,856.33,2956988,25321.46,65593,1637601,55.38
RELIANCE,EQ,2015-03-16,850.10,851.50,853.95,840.30,843.20,842.10,843.28,3163589,26678.04,69775,1882510,59.51
RELIANCE,EQ,2015-03-17,842.10,850.55,859.90,841.00,856.05,856.85,850.60,4359100,37078.61,110131,2454813,56.31
RELIANCE,EQ,2015-03-18,856.85,857.00,872.25,854.70,868.95,868.65,863.08,2118940,18288.14,53546,912999,43.09
RELIANCE,EQ,2015-03-19,868.65,875.55,876.70,854.10,854.70,856.15,864.62,3185218,27540.01,72258,1832137,57.52
RELIANCE,EQ,2015-03-20,856.15,857.90,861.15,848.60,858.00,854.10,854.68,2378572,20329.07,56037,1375418,57.83
RELIANCE,EQ,2015-03-23,854.10,856.50,864.00,838.10,842.00,841.95,846.02,3029112,25627.00,84186,1628343,53.76
RELIANCE,EQ,2015-03-24,841.95,842.10,854.30,842.10,848.90,847.95,848.15,2111750,17910.89,67428,1084758,51.37
RELIANCE,EQ,2015-03-25,847.95,849.00,849.50,841.00,842.00,844.90,843.72,2346393,19796.96,63316,1681761,71.67
RELIANCE,EQ,2015-03-26,844.90,841.10,849.25,824.10,831.00,829.30,835.77,4713693,39395.43,81113,2809895,59.61
RELIANCE,EQ,2015-03-27,829.30,833.90,835.00,801.45,810.00,811.70,815.70,5332142,43494.19,112001,2938300,55.11
RELIANCE,EQ,2015-03-30,811.70,816.60,817.70,796.45,814.10,810.75,807.78,3961481,32000.04,105633,2057695,51.94
RELIANCE,EQ,2015-03-31,810.75,818.00,832.90,818.00,822.90,826.00,826.68,4625471,38237.72,125251,2610631,56.44
RELIANCE,EQ,2015-04-01,826.00,824.90,839.00,813.10,835.15,836.05,825.50,3334693,27527.96,87280,1731987,51.94
RELIANCE,EQ,2015-04-06,836.05,836.00,838.00,821.40,823.65,824.65,826.20,2819367,23293.66,92986,1890668,67.06
RELIANCE,EQ,2015-04-07,824.65,826.05,836.10,826.05,832.15,832.85,831.39,4863211,40432.17,76000,3073880,63.21
RELIANCE,EQ,2015-04-08,832.85,833.50,869.50,832.90,863.00,865.90,855.45,5673710,48535.73,112110,3013003,53.10
RELIANCE,EQ,2015-04-09,865.90,865.50,899.00,858.80,897.00,895.10,880.85,6234931,54920.68,132040,3314067,53.15
RELIANCE,EQ,2015-04-10,895.10,894.95,908.80,889.10,904.00,904.35,899.40,5788462,52061.41,111502,3098215,53.52
RELIANCE,EQ,2015-04-13,904.35,906.80,924.75,898.75,922.30,922.50,914.98,4612201,42200.87,163738,2699653,58.53
RELIANCE,EQ,2015-04-15,922.50,921.00,939.60,907.20,923.90,923.65,919.83,5081693,46743.15,117445,2582704,50.82
RELIANCE,EQ,2015-04-16,923.65,924.50,938.00,919.00,929.55,928.35,928.04,4612192,42802.90,88219,2190459,47.49
RELIANCE,EQ,2015-04-17,928.35,935.05,944.30,922.60,924.10,926.85,934.15,5476551,51159.23,143446,2563930,46.82
RELIANCE,EQ,2015-04-20,926.85,937.30,937.45,878.50,883.75,885.65,901.51,8601165,77540.14,213701,3769134,43.82
RELIANCE,EQ,2015-04-21,885.65,890.15,895.50,872.45,876.45,876.45,885.51,4047524,35841.23,96711,1995403,49.30
RELIANCE,EQ,2015-04-22,876.45,881.90,886.75,867.00,879.00,879.75,877.90,3374188,29621.98,79083,1544890,45.79
