Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIFIN,N1,2014-12-04,1083.31,1080.00,1088.99,1080.00,1088.00,1088.00,1082.00,65,0.70,3,65,100.00
RELIFIN,N2,2014-12-04,1261.50,1257.00,1257.00,1257.00,1257.00,1257.00,1257.00,30,0.38,1,30,100.00
RELIFIN,N4,2014-12-04,1088.50,1091.10,1091.10,1088.50,1088.50,1088.50,1088.79,450,4.90,3,450,100.00
RELIFIN,N6,2014-12-04,1280.00,1280.00,1280.00,1280.00,1280.00,1280.00,1280.00,50,0.64,1,50,100.00
RELIFIN,N8,2014-12-04,1288.00,1288.00,1288.00,1267.00,1267.00,1267.00,1269.74,23,0.29,4,23,100.00
RELIFIN,N1,2014-12-05,1088.00,1084.00,1084.00,1083.30,1083.30,1083.83,1083.83,21,0.23,3,21,100.00
RELIFIN,N2,2014-12-05,1257.00,1261.00,1261.00,1261.00,1261.00,1261.00,1261.00,50,0.63,1,50,100.00
RELIFIN,N8,2014-12-05,1267.00,1268.00,1288.00,1262.00,1288.00,1288.00,1275.16,49,0.62,5,29,59.18
RELIFIN,N1,2014-12-08,1083.83,1085.00,1085.00,1085.00,1085.00,1085.00,1085.00,150,1.63,1,150,100.00
RELIFIN,N8,2014-12-08,1288.00,1295.00,1296.00,1295.00,1296.00,1296.00,1295.36,139,1.80,6,139,100.00
RELIFIN,N1,2014-12-09,1085.00,1085.00,1085.30,1082.01,1082.01,1082.05,1084.17,915,9.92,13,790,86.34
RELIFIN,N4,2014-12-09,1088.50,1061.00,1091.70,1061.00,1091.00,1091.09,1090.35,321,3.50,7,311,96.88
RELIFIN,N6,2014-12-09,1280.00,1301.00,1301.00,1301.00,1301.00,1301.00,1301.00,195,2.54,9,195,100.00
RELIFIN,N8,2014-12-09,1296.00,1295.00,1296.00,1295.00,1296.00,1296.00,1295.03,238,3.08,4,238,100.00
RELIFIN,N1,2014-12-10,1082.05,1080.34,1085.00,1080.34,1085.00,1085.00,1083.96,231,2.50,6,231,100.00
RELIFIN,N2,2014-12-10,1261.00,1262.25,1262.25,1262.25,1262.25,1262.25,1262.25,25,0.32,1,25,100.00
RELIFIN,N3,2014-12-10,1050.00,1062.00,1062.00,1062.00,1062.00,1062.00,1062.00,4,0.04,1,4,100.00
RELIFIN,N1,2014-12-11,1085.00,1084.00,1084.00,1084.00,1084.00,1084.00,1084.00,10,0.11,1,10,100.00
RELIFIN,N3,2014-12-11,1062.00,1063.00,1063.00,1063.00,1063.00,1063.00,1063.00,9,0.10,1,9,100.00
RELIFIN,N4,2014-12-11,1091.09,1095.00,1095.00,1095.00,1095.00,1095.00,1095.00,400,4.38,17,400,100.00
RELIFIN,N8,2014-12-11,1296.00,1300.00,1302.00,1300.00,1302.00,1302.00,1301.67,6,0.08,2,6,100.00
RELIFIN,N1,2014-12-12,1084.00,1086.00,1086.00,1084.00,1084.00,1084.00,1085.89,53,0.58,2,53,100.00
RELIFIN,N8,2014-12-12,1302.00,1305.00,1305.00,1305.00,1305.00,1305.00,1305.00,10,0.13,1,10,100.00
RELIFIN,N1,2014-12-15,1084.00,1085.00,1086.00,1085.00,1086.00,1086.00,1085.16,53,0.58,5,53,100.00
RELIFIN,N2,2014-12-15,1262.25,1270.50,1270.50,1270.50,1270.50,1270.50,1270.50,10,0.13,1,10,100.00
RELIFIN,N4,2014-12-15,1095.00,1095.00,1095.00,1093.50,1093.50,1094.43,1094.44,200,2.19,2,200,100.00
RELIFIN,N8,2014-12-15,1305.00,1306.25,1330.00,1306.25,1330.00,1330.00,1310.18,70,0.92,7,50,71.43
RELIFIN,N1,2014-12-16,1086.00,1083.51,1084.01,1083.51,1084.01,1084.01,1083.87,35,0.38,2,35,100.00
RELIFIN,N2,2014-12-16,1270.50,1290.00,1290.00,1290.00,1290.00,1290.00,1290.00,48,0.62,3,48,100.00
RELIFIN,N4,2014-12-16,1094.43,1085.01,1085.01,1085.01,1085.01,1085.01,1085.01,15,0.16,1,15,100.00
RELIFIN,N8,2014-12-16,1330.00,1307.30,1307.35,1307.30,1307.30,1307.30,1307.30,142,1.86,10,142,100.00
RELIFIN,N1,2014-12-17,1084.01,1128.99,1128.99,1094.97,1094.97,1094.97,1127.68,26,0.29,2,26,100.00
RELIFIN,N2,2014-12-17,1290.00,1289.90,1290.00,1289.90,1290.00,1289.97,1289.97,35,0.45,2,35,100.00
RELIFIN,N4,2014-12-17,1085.01,1095.00,1095.00,1095.00,1095.00,1095.00,1095.00,15,0.16,1,15,100.00
RELIFIN,N6,2014-12-17,1301.00,1280.00,1312.00,1275.00,1312.00,1312.00,1288.14,70,0.90,4,60,85.71
RELIFIN,N8,2014-12-17,1307.30,1287.00,1301.00,1286.00,1301.00,1301.00,1294.38,65,0.84,4,55,84.62
RELIFIN,N1,2014-12-18,1094.97,1094.96,1094.96,1082.02,1094.89,1093.06,1089.93,450,4.90,15,295,65.56
RELIFIN,N2,2014-12-18,1289.97,1275.80,1275.80,1275.80,1275.80,1275.80,1275.80,10,0.13,1,10,100.00
RELIFIN,N8,2014-12-18,1301.00,1307.00,1307.00,1307.00,1307.00,1307.00,1307.00,45,0.59,2,45,100.00
RELIFIN,N1,2014-12-19,1093.06,1085.00,1092.99,1082.30,1085.00,1085.00,1083.80,371,4.02,12,257,69.27
RELIFIN,N8,2014-12-19,1307.00,1301.00,1301.00,1301.00,1301.00,1301.00,1301.00,30,0.39,2,30,100.00
RELIFIN,N1,2014-12-22,1085.00,1050.00,1099.90,1050.00,1088.90,1088.90,1083.95,210,2.28,10,125,59.52
RELIFIN,N4,2014-12-22,1095.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,50,0.55,1,50,100.00
RELIFIN,N8,2014-12-22,1301.00,1308.01,1309.02,1308.01,1309.02,1309.02,1308.08,54,0.71,2,54,100.00
RELIFIN,N1,2014-12-23,1088.90,1090.00,1096.99,1090.00,1096.99,1096.99,1094.62,53,0.58,7,43,81.13
RELIFIN,N1,2014-12-24,1096.99,1090.10,1098.84,1090.00,1098.84,1098.84,1090.56,159,1.73,5,110,69.18
RELIFIN,N2,2014-12-24,1275.80,1275.00,1275.00,1275.00,1275.00,1275.00,1275.00,10,0.13,1,10,100.00
RELIFIN,N6,2014-12-24,1312.00,1311.00,1311.00,1311.00,1311.00,1311.00,1311.00,5,0.07,1,5,100.00
RELIFIN,N1,2014-12-26,1098.84,1093.00,1095.00,1089.60,1095.00,1095.00,1093.59,165,1.80,9,165,100.00
RELIFIN,N4,2014-12-26,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,60,0.66,1,60,100.00
RELIFIN,N1,2014-12-29,1095.00,1081.33,1099.79,1081.33,1096.99,1096.99,1097.84,27,0.30,4,22,81.48
RELIFIN,N2,2014-12-29,1275.00,1295.00,1304.00,1278.00,1304.00,1304.00,1288.75,20,0.26,3,15,75.00
RELIFIN,N8,2014-12-29,1309.02,1293.00,1293.00,1293.00,1293.00,1293.00,1293.00,17,0.22,2,17,100.00
RELIFIN,N1,2014-12-30,1096.99,1093.00,1093.80,1091.00,1091.00,1091.00,1091.66,392,4.28,12,390,99.49
RELIFIN,N4,2014-12-30,1100.00,1099.01,1099.01,1099.01,1099.01,1099.01,1099.01,20,0.22,1,20,100.00
RELIFIN,N1,2014-12-31,1091.00,1091.30,1095.00,1091.25,1091.60,1091.60,1091.51,133,1.45,6,133,100.00
RELIFIN,N2,2014-12-31,1304.00,1275.00,1275.00,1275.00,1275.00,1275.00,1275.00,8,0.10,1,8,100.00
RELIFIN,N1,2015-01-01,1091.60,1093.00,1099.98,1093.00,1099.97,1099.97,1095.88,161,1.76,7,161,100.00
RELIFIN,N4,2015-01-01,1099.01,1087.01,1100.00,1087.01,1100.00,1100.00,1093.51,28,0.31,2,14,50.00
RELIFIN,N6,2015-01-01,1311.00,1316.00,1316.00,1313.00,1313.00,1314.80,1314.80,10,0.13,2,10,100.00
RELIFIN,N8,2015-01-01,1293.00,1294.00,1300.00,1294.00,1300.00,1299.54,1297.63,84,1.09,4,84,100.00
RELIFIN,N1,2015-01-02,1099.97,1094.05,1098.99,1088.00,1098.99,1098.96,1091.88,437,4.77,9,334,76.43
RELIFIN,N2,2015-01-02,1275.00,1298.00,1309.70,1298.00,1309.70,1309.70,1303.85,2,0.03,2,1,50.00
RELIFIN,N6,2015-01-02,1314.80,1290.00,1315.00,1290.00,1315.00,1315.00,1308.57,35,0.46,4,30,85.71
RELIFIN,N8,2015-01-02,1299.54,1310.00,1310.00,1310.00,1310.00,1310.00,1310.00,29,0.38,1,29,100.00
RELIFIN,N1,2015-01-05,1098.96,1092.00,1097.00,1091.50,1097.00,1097.00,1094.42,60,0.66,3,60,100.00
RELIFIN,N4,2015-01-05,1100.00,1101.00,1101.00,1101.00,1101.00,1101.00,1101.00,60,0.66,2,60,100.00
RELIFIN,N1,2015-01-06,1097.00,1000.00,1096.00,1000.00,1096.00,1096.00,1067.49,95,1.01,7,65,68.42
RELIFIN,N8,2015-01-06,1310.00,1340.00,1340.00,1301.00,1301.00,1301.75,1326.75,60,0.80,10,40,66.67
RELIFIN,N2,2015-01-07,1309.70,1284.11,1284.11,1280.00,1280.03,1280.03,1280.70,180,2.31,7,180,100.00
RELIFIN,N6,2015-01-07,1315.00,1275.00,1275.00,1275.00,1275.00,1275.00,1275.00,10,0.13,1,10,100.00
RELIFIN,N1,2015-01-08,1096.00,1050.00,1092.50,1050.00,1092.50,1092.50,1076.98,70,0.75,3,45,64.29
RELIFIN,N2,2015-01-08,1280.03,1290.00,1290.00,1290.00,1290.00,1290.00,1290.00,3,0.04,1,3,100.00
RELIFIN,N3,2015-01-08,1063.00,1070.00,1070.00,1070.00,1070.00,1070.00,1070.00,50,0.54,1,50,100.00
RELIFIN,N4,2015-01-08,1101.00,1148.09,1148.09,1100.00,1100.00,1100.00,1124.05,200,2.25,3,100,50.00
RELIFIN,N8,2015-01-08,1301.75,1300.00,1300.00,1300.00,1300.00,1300.00,1300.00,169,2.20,6,169,100.00
RELIFIN,N1,2015-01-09,1092.50,1092.51,1093.00,1092.51,1093.00,1093.00,1092.68,36,0.39,6,35,97.22
RELIFIN,N2,2015-01-09,1290.00,1308.00,1308.00,1308.00,1308.00,1308.00,1308.00,138,1.81,1,138,100.00
RELIFIN,N8,2015-01-09,1300.00,1310.00,1310.00,1310.00,1310.00,1310.00,1310.00,119,1.56,8,119,100.00
RELIFIN,N1,2015-01-12,1093.00,1088.01,1099.86,1088.01,1090.61,1090.61,1089.42,211,2.30,9,210,99.53
RELIFIN,N6,2015-01-12,1275.00,1315.50,1315.50,1315.50,1315.50,1315.50,1315.50,10,0.13,1,10,100.00
RELIFIN,N8,2015-01-12,1310.00,1312.00,1312.00,1312.00,1312.00,1312.00,1312.00,101,1.33,3,101,100.00
RELIFIN,N1,2015-01-13,1090.61,1092.00,1102.00,1091.50,1099.99,1099.99,1097.80,271,2.98,20,256,94.46
RELIFIN,N2,2015-01-13,1308.00,1285.50,1285.50,1285.50,1285.50,1285.50,1285.50,10,0.13,1,10,100.00
