Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELINFRA,EQ,2014-12-04,606.05,606.70,612.80,591.50,594.00,595.85,598.99,1898530,11371.94,38584,446871,23.54
RELINFRA,EQ,2014-12-05,595.85,598.00,600.55,584.50,584.80,587.65,594.39,1783648,10601.75,31789,408160,22.88
RELINFRA,EQ,2014-12-08,587.65,587.10,593.00,570.05,572.00,572.55,581.58,1746068,10154.82,33376,346322,19.83
RELINFRA,EQ,2014-12-09,572.55,568.20,577.40,551.50,552.40,553.15,563.86,1687724,9516.47,34943,356379,21.12
RELINFRA,EQ,2014-12-10,553.15,552.00,566.00,548.25,566.00,562.65,559.26,2041465,11417.16,43403,424848,20.81
RELINFRA,EQ,2014-12-11,562.65,561.00,565.00,544.30,546.20,547.45,551.49,1969133,10859.62,39361,235703,11.97
RELINFRA,EQ,2014-12-12,547.45,549.10,554.25,525.00,525.00,529.10,539.72,2442361,13181.87,62582,609746,24.97
RELINFRA,EQ,2014-12-15,529.10,522.80,531.55,517.20,522.65,524.15,524.76,1865902,9791.47,36189,383325,20.54
RELINFRA,EQ,2014-12-16,524.15,518.90,526.60,493.60,496.35,496.80,509.64,2501041,12746.18,52351,503906,20.15
RELINFRA,EQ,2014-12-17,496.80,493.00,499.00,472.20,480.30,481.10,486.30,3520336,17119.54,68003,825373,23.45
RELINFRA,EQ,2014-12-18,481.10,491.10,507.85,491.10,507.00,504.85,502.37,2311868,11614.03,36660,350676,15.17
RELINFRA,EQ,2014-12-19,504.85,510.55,514.95,490.30,493.00,492.75,503.05,1992125,10021.46,34752,361577,18.15
RELINFRA,EQ,2014-12-22,492.75,492.50,509.45,486.20,507.60,506.75,497.76,2283928,11368.50,44241,573736,25.12
RELINFRA,EQ,2014-12-23,506.75,506.00,507.45,486.40,491.60,490.45,495.83,2128956,10556.08,41185,458233,21.52
RELINFRA,EQ,2014-12-24,490.45,487.65,506.50,485.85,498.30,498.50,497.80,3090700,15385.53,57617,933323,30.20
RELINFRA,EQ,2014-12-26,498.50,500.05,501.00,490.10,495.00,496.05,494.76,1462812,7237.41,27095,136923,9.36
RELINFRA,EQ,2014-12-29,496.05,496.60,519.00,496.50,507.00,507.55,510.50,2456847,12542.24,40925,290501,11.82
RELINFRA,EQ,2014-12-30,507.55,509.00,511.90,502.70,509.55,508.80,507.72,1777141,9022.98,30040,264037,14.86
RELINFRA,EQ,2014-12-31,508.80,508.35,516.90,506.55,512.80,512.05,512.31,1310816,6715.49,23665,177021,13.50
RELINFRA,EQ,2015-01-01,512.05,509.10,516.00,507.65,512.30,512.25,512.63,833198,4271.24,14481,82195,9.87
RELINFRA,EQ,2015-01-02,512.25,512.30,526.00,511.25,518.35,518.05,520.32,1738267,9044.58,29916,206065,11.85
RELINFRA,EQ,2015-01-05,518.05,518.90,523.80,512.00,516.10,515.05,517.44,1325028,6856.29,25204,128609,9.71
RELINFRA,EQ,2015-01-06,515.05,509.90,510.00,485.05,488.30,487.55,495.41,2099712,10402.26,35635,526034,25.05
RELINFRA,EQ,2015-01-07,487.55,487.00,491.00,472.50,479.25,476.70,479.45,2064801,9899.63,37444,345796,16.75
RELINFRA,EQ,2015-01-08,476.70,485.00,494.60,480.10,489.00,488.55,488.56,2379775,11626.55,48630,388593,16.33
RELINFRA,EQ,2015-01-09,488.55,495.35,498.20,478.20,484.50,485.35,487.15,2059545,10033.14,37599,296274,14.39
RELINFRA,EQ,2015-01-12,485.35,485.00,491.95,478.20,486.00,485.05,484.82,1474108,7146.84,31922,217002,14.72
RELINFRA,EQ,2015-01-13,485.05,486.35,492.00,472.25,477.05,475.95,481.63,1859062,8953.76,63000,454681,24.46
RELINFRA,EQ,2015-01-14,475.95,479.00,479.50,458.80,462.25,462.10,465.57,2318205,10792.76,54349,576750,24.88
RELINFRA,EQ,2015-01-15,462.10,476.00,489.80,466.35,485.50,486.85,479.32,2801539,13428.22,56384,962204,34.35
RELINFRA,EQ,2015-01-16,486.85,484.40,494.85,476.65,485.00,485.75,487.01,1988487,9684.17,42847,309785,15.58
RELINFRA,EQ,2015-01-19,485.75,486.25,495.80,486.00,491.00,490.05,490.86,1242509,6099.02,22968,156276,12.58
RELINFRA,EQ,2015-01-20,490.05,492.00,500.65,490.15,496.45,495.45,495.31,1807424,8952.38,34520,262815,14.54
RELINFRA,EQ,2015-01-21,495.45,498.40,499.35,479.50,481.55,482.60,485.58,1869280,9076.90,39453,476340,25.48
RELINFRA,EQ,2015-01-22,482.60,483.00,487.50,472.25,477.90,477.10,479.76,1785509,8566.17,37710,388688,21.77
RELINFRA,EQ,2015-01-23,477.10,483.00,488.20,465.30,483.35,484.25,478.45,3265868,15625.60,58951,695067,21.28
RELINFRA,EQ,2015-01-27,484.25,487.00,489.95,477.20,481.25,483.10,483.75,1660616,8033.21,34639,325195,19.58
RELINFRA,EQ,2015-01-28,483.10,482.80,487.70,474.10,481.00,481.05,481.24,1641798,7900.98,30627,283016,17.24
RELINFRA,EQ,2015-01-29,481.05,481.95,484.30,476.05,480.50,479.50,480.32,1219310,5856.59,26289,235553,19.32
RELINFRA,EQ,2015-01-30,479.50,482.00,514.30,482.00,508.75,508.25,504.50,4284961,21617.55,70216,847450,19.78
RELINFRA,EQ,2015-02-02,508.25,506.50,521.95,503.40,517.40,517.25,515.51,2257809,11639.27,42921,382953,16.96
