Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RRSLGETF,EQ,2016-07-14,15.40,15.60,15.60,15.60,15.60,15.60,15.60,51,0.01,1,51,100.00
RRSLGETF,EQ,2016-07-22,15.60,15.63,15.65,15.63,15.65,15.65,15.64,8948,1.40,4,8948,100.00
RRSLGETF,EQ,2016-07-25,15.65,15.66,15.66,15.66,15.66,15.66,15.66,662,0.10,2,662,100.00
RRSLGETF,EQ,2016-08-01,15.66,15.83,15.83,15.83,15.83,15.83,15.83,5,0.00,1,5,100.00
RRSLGETF,EQ,2016-08-03,15.83,15.77,15.77,15.77,15.77,15.77,15.77,200,0.03,1,200,100.00
RRSLGETF,EQ,2016-08-10,15.77,15.90,15.93,15.90,15.93,15.93,15.91,15000,2.39,4,15000,100.00
RRSLGETF,EQ,2016-08-11,15.93,15.92,15.92,15.92,15.92,15.92,15.92,647,0.10,1,647,100.00
RRSLGETF,EQ,2016-08-16,15.92,15.95,15.95,15.95,15.95,15.95,15.95,5000,0.80,1,5000,100.00
RRSLGETF,EQ,2016-08-17,15.95,15.91,15.91,15.91,15.91,15.91,15.91,600,0.10,1,600,100.00
RRSLGETF,EQ,2016-08-22,15.91,15.91,15.91,15.91,15.91,15.91,15.91,5000,0.80,1,5000,100.00
RRSLGETF,EQ,2016-08-25,15.91,15.92,15.92,15.91,15.91,15.91,15.91,3610,0.57,2,3610,100.00
RRSLGETF,EQ,2016-08-26,15.91,15.95,15.95,15.95,15.95,15.95,15.95,326,0.05,2,326,100.00
RRSLGETF,EQ,2016-09-01,15.95,16.00,16.01,16.00,16.01,16.01,16.01,2,0.00,2,1,50.00
RRSLGETF,EQ,2016-09-02,16.01,15.96,15.96,15.96,15.96,15.96,15.96,1,0.00,1,1,100.00
RRSLGETF,EQ,2016-09-08,15.96,16.07,16.07,16.07,16.07,16.07,16.07,3,0.00,1,3,100.00
RRSLGETF,EQ,2016-09-22,16.07,16.07,16.07,16.07,16.07,16.07,16.07,100000,16.07,1,100000,100.00
RRSLGETF,EQ,2016-09-26,16.07,16.20,16.20,16.20,16.20,16.20,16.20,2,0.00,2,2,100.00
RRSLGETF,EQ,2016-09-28,16.20,16.22,16.22,16.22,16.22,16.22,16.22,100000,16.22,1,100000,100.00
RRSLGETF,EQ,2016-10-03,16.22,16.30,16.30,16.30,16.30,16.30,16.30,103,0.02,2,103,100.00
RRSLGETF,EQ,2016-10-04,16.30,16.33,16.34,16.33,16.34,16.34,16.34,2000,0.33,2,2000,100.00
RRSLGETF,EQ,2016-10-07,16.34,16.40,16.40,16.40,16.40,16.40,16.40,107,0.02,2,107,100.00
RRSLGETF,EQ,2016-10-10,16.40,16.38,16.38,16.36,16.36,16.36,16.36,10058,1.65,5,10058,100.00
RRSLGETF,EQ,2016-10-13,16.36,16.40,16.40,16.40,16.40,16.40,16.40,1,0.00,1,1,100.00
RRSLGETF,EQ,2016-10-14,16.40,16.43,16.43,16.43,16.43,16.43,16.43,1,0.00,1,1,100.00
RRSLGETF,EQ,2016-10-17,16.43,16.32,16.32,16.31,16.31,16.31,16.32,2000,0.33,2,2000,100.00
RRSLGETF,EQ,2016-10-19,16.31,16.42,16.42,16.42,16.42,16.42,16.42,16,0.00,3,16,100.00
RRSLGETF,EQ,2016-10-26,16.42,16.40,16.40,16.40,16.40,16.40,16.40,294,0.05,1,294,100.00
RRSLGETF,EQ,2016-11-01,16.40,16.40,16.40,16.35,16.35,16.35,16.38,11,0.00,5,3,27.27
RRSLGETF,EQ,2016-11-03,16.35,16.39,16.39,16.39,16.39,16.39,16.39,625,0.10,1,625,100.00
RRSLGETF,EQ,2016-11-08,16.39,16.37,16.37,16.37,16.37,16.37,16.37,25,0.00,1,25,100.00
RRSLGETF,EQ,2016-11-16,16.37,16.74,16.74,16.74,16.74,16.74,16.74,294,0.05,1,294,100.00
RRSLGETF,EQ,2016-11-18,16.74,16.80,16.82,16.80,16.82,16.82,16.81,3335,0.56,3,3335,100.00
RRSLGETF,EQ,2016-11-25,16.82,17.06,17.06,17.06,17.06,17.06,17.06,22,0.00,1,22,100.00
RRSLGETF,EQ,2016-11-30,17.06,17.04,17.11,17.04,17.11,17.11,17.05,1225,0.21,2,1225,100.00
RRSLGETF,EQ,2016-12-01,17.11,17.14,17.14,17.14,17.14,17.14,17.14,1579,0.27,3,1579,100.00
RRSLGETF,EQ,2016-12-07,17.14,17.12,17.13,17.12,17.13,17.13,17.13,110,0.02,2,100,90.91
RRSLGETF,EQ,2016-12-09,17.13,16.90,16.90,16.90,16.90,16.90,16.90,100,0.02,1,100,100.00
RRSLGETF,EQ,2016-12-12,16.90,16.82,16.82,16.82,16.82,16.82,16.82,50,0.01,1,50,100.00
RRSLGETF,EQ,2016-12-13,16.82,16.81,16.81,16.81,16.81,16.81,16.81,6,0.00,1,6,100.00
RRSLGETF,EQ,2016-12-16,16.81,16.81,16.81,16.81,16.81,16.81,16.81,300,0.05,1,300,100.00
RRSLGETF,EQ,2016-12-26,16.81,16.75,16.75,16.75,16.75,16.75,16.75,4894,0.82,2,4894,100.00
RRSLGETF,EQ,2017-01-02,16.75,16.90,16.90,16.90,16.90,16.90,16.90,3,0.00,1,3,100.00
RRSLGETF,EQ,2017-01-09,16.90,16.90,16.90,16.90,16.90,16.90,16.90,1111,0.19,1,1111,100.00
RRSLGETF,EQ,2017-01-11,16.90,16.79,16.79,16.79,16.79,16.79,16.79,300,0.05,1,300,100.00
RRSLGETF,EQ,2017-01-12,16.79,16.92,16.92,16.89,16.89,16.89,16.90,8108,1.37,4,8108,100.00
RRSLGETF,EQ,2017-01-18,16.89,16.96,16.96,16.96,16.96,16.96,16.96,1,0.00,1,1,100.00
RRSLGETF,EQ,2017-01-20,16.96,16.89,16.89,16.89,16.89,16.89,16.89,100,0.02,1,100,100.00
RRSLGETF,EQ,2017-02-01,16.89,16.97,16.97,16.97,16.97,16.97,16.97,103,0.02,2,103,100.00
RRSLGETF,EQ,2017-02-07,16.97,16.98,16.98,16.98,16.98,16.98,16.98,100,0.02,1,100,100.00
