Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SABTN,EQ,2014-12-04,173.95,174.00,185.00,171.00,185.00,182.60,176.11,13027,22.94,267,3563,27.35
SABTN,EQ,2014-12-05,182.60,182.60,195.05,182.50,186.00,188.60,189.27,26125,49.45,525,9676,37.04
SABTN,EQ,2014-12-08,188.60,188.60,198.00,185.25,186.85,186.30,189.12,18733,35.43,323,8019,42.81
SABTN,EQ,2014-12-09,186.30,188.00,191.00,172.85,185.25,184.00,186.64,18173,33.92,490,3646,20.06
SABTN,EQ,2014-12-10,184.00,186.00,187.75,182.05,185.00,184.75,185.25,15943,29.54,315,2026,12.71
SABTN,EQ,2014-12-11,184.75,185.45,197.00,184.20,184.20,184.55,186.28,28042,52.24,419,12165,43.38
SABTN,EQ,2014-12-12,184.55,185.50,190.00,185.00,187.90,185.90,186.15,41988,78.16,286,28328,67.47
SABTN,EQ,2014-12-15,185.90,185.95,187.95,184.30,186.00,185.60,185.53,14150,26.25,145,5482,38.74
SABTN,EQ,2014-12-16,185.60,185.65,187.90,185.00,185.00,185.25,185.65,16537,30.70,206,3383,20.46
SABTN,EQ,2014-12-17,185.25,185.70,186.90,180.10,186.00,183.15,183.73,24497,45.01,199,15237,62.20
SABTN,EQ,2014-12-18,183.15,183.20,186.75,183.00,186.00,184.25,184.75,29317,54.16,266,16402,55.95
SABTN,EQ,2014-12-19,184.25,186.00,212.00,185.55,209.90,208.00,194.85,75139,146.41,1031,46726,62.19
SABTN,EQ,2014-12-22,208.00,214.80,225.95,208.50,218.15,217.90,215.19,31637,68.08,778,8522,26.94
SABTN,EQ,2014-12-23,217.90,216.10,216.10,199.60,201.00,203.75,209.33,21617,45.25,939,3414,15.79
SABTN,EQ,2014-12-24,203.75,203.75,206.95,199.90,206.95,205.80,204.06,23293,47.53,271,9389,40.31
SABTN,EQ,2014-12-26,205.80,205.70,212.50,204.00,208.00,206.85,208.26,16511,34.39,300,2317,14.03
SABTN,EQ,2014-12-29,206.85,206.95,214.00,206.90,210.55,210.35,210.30,16051,33.75,190,2975,18.53
SABTN,EQ,2014-12-30,210.35,210.00,215.00,209.10,210.00,210.85,211.28,14185,29.97,341,849,5.99
SABTN,EQ,2014-12-31,210.85,210.90,214.40,208.00,209.00,209.00,209.93,13339,28.00,118,658,4.93
SABTN,EQ,2015-01-01,209.00,209.10,214.00,208.00,210.95,210.35,209.70,10845,22.74,104,420,3.87
SABTN,EQ,2015-01-02,210.35,212.00,212.05,205.10,210.00,209.90,210.78,36160,76.22,313,14767,40.84
SABTN,EQ,2015-01-05,209.90,210.50,212.00,209.15,209.20,209.60,210.42,10759,22.64,85,415,3.86
SABTN,EQ,2015-01-06,209.60,208.00,210.80,203.00,204.00,203.70,206.82,13116,27.13,219,1726,13.16
SABTN,EQ,2015-01-07,203.70,206.00,210.90,201.80,203.20,203.20,204.12,10991,22.43,166,543,4.94
SABTN,EQ,2015-01-08,203.20,210.00,220.00,206.10,215.15,213.70,214.86,15708,33.75,377,3579,22.78
SABTN,EQ,2015-01-09,213.70,210.20,234.40,210.20,220.00,219.75,219.39,19289,42.32,403,6473,33.56
SABTN,EQ,2015-01-12,219.75,216.00,229.00,211.00,221.25,223.55,222.47,36397,80.97,319,23556,64.72
SABTN,EQ,2015-01-13,223.55,220.00,224.90,217.90,218.00,218.30,220.64,13659,30.14,251,1015,7.43
SABTN,EQ,2015-01-14,218.30,224.95,224.95,216.00,220.95,220.60,220.13,14943,32.89,398,1116,7.47
SABTN,EQ,2015-01-15,220.60,225.05,244.90,215.05,235.00,235.35,228.56,21939,50.14,594,9562,43.58
SABTN,EQ,2015-01-16,235.35,235.45,243.00,233.85,233.85,234.85,238.25,13590,32.38,236,667,4.91
SABTN,EQ,2015-01-19,234.85,250.00,250.00,233.95,234.00,235.00,236.65,13632,32.26,186,686,5.03
SABTN,EQ,2015-01-20,235.00,235.00,240.85,232.45,236.50,234.25,235.34,15373,36.18,426,2129,13.85
SABTN,EQ,2015-01-21,234.25,234.15,244.95,231.50,231.50,235.05,234.74,11248,26.40,280,1976,17.57
SABTN,EQ,2015-01-22,235.05,235.00,243.00,231.30,235.50,234.30,234.46,14068,32.98,236,1390,9.88
SABTN,EQ,2015-01-23,234.30,240.00,246.00,231.65,238.05,239.40,238.64,17497,41.76,461,3136,17.92
SABTN,EQ,2015-01-27,239.40,240.00,245.00,237.00,245.00,244.45,241.26,14322,34.55,248,5964,41.64
SABTN,EQ,2015-01-28,244.45,244.55,251.45,241.10,244.00,244.30,243.58,19457,47.39,210,2744,14.10
SABTN,EQ,2015-01-29,244.30,252.00,257.80,244.45,257.80,255.15,250.21,18413,46.07,360,5097,27.68
SABTN,EQ,2015-01-30,255.15,262.00,262.00,248.75,249.50,250.95,253.80,13168,33.42,282,750,5.70
SABTN,EQ,2015-02-02,250.95,251.00,251.75,246.20,247.00,247.60,249.24,13194,32.89,256,504,3.82
SABTN,EQ,2015-02-03,247.60,246.00,252.90,241.05,241.05,246.50,247.61,14494,35.89,377,1755,12.11
SABTN,EQ,2015-02-04,246.50,246.95,252.50,244.00,249.05,249.45,247.25,14442,35.71,260,1802,12.48
SABTN,EQ,2015-02-05,249.45,235.00,252.00,235.00,252.00,250.80,247.38,13609,33.67,373,1000,7.35
SABTN,EQ,2015-02-06,250.80,250.00,254.90,241.15,246.00,247.80,248.77,18636,46.36,344,6082,32.64
SABTN,EQ,2015-02-09,247.80,232.00,249.20,232.00,245.00,245.45,246.24,29471,72.57,208,16731,56.77
SABTN,EQ,2015-02-10,245.45,247.00,250.55,239.00,244.00,245.40,245.93,24557,60.39,339,12031,48.99
SABTN,EQ,2015-02-11,245.40,247.00,250.00,245.10,247.00,247.00,248.07,13452,33.37,283,680,5.06
SABTN,EQ,2015-02-12,247.00,246.00,246.30,231.55,244.00,244.10,243.02,14873,36.14,323,1646,11.07
SABTN,EQ,2015-02-13,244.10,245.00,249.65,236.10,245.00,243.60,243.25,14296,34.77,313,1052,7.36
SABTN,EQ,2015-02-16,243.60,245.05,249.90,239.50,245.00,247.15,244.49,14330,35.04,354,1647,11.49
SABTN,EQ,2015-02-18,247.15,246.95,247.95,242.00,246.90,245.00,245.54,13338,32.75,253,863,6.47
SABTN,EQ,2015-02-19,245.00,244.00,249.90,237.00,241.30,243.30,242.99,13955,33.91,340,1271,9.11
SABTN,EQ,2015-02-20,243.30,241.80,248.50,236.10,240.20,241.90,243.59,15112,36.81,331,1658,10.97
SABTN,EQ,2015-02-23,241.90,240.00,245.00,235.00,242.90,242.25,242.49,18445,44.73,239,6300,34.16
SABTN,EQ,2015-02-24,242.25,247.00,247.00,230.00,243.00,242.30,240.99,16415,39.56,508,1811,11.03
