Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SAKUMA,EQ,2014-12-04,21.50,20.65,21.40,20.65,21.05,21.20,21.11,913,0.19,9,513,56.19
SAKUMA,EQ,2014-12-05,21.20,20.45,21.00,20.45,20.70,20.65,20.71,406,0.08,6,303,74.63
SAKUMA,EQ,2014-12-08,20.65,21.00,21.40,21.00,21.00,21.00,21.21,620,0.13,6,620,100.00
SAKUMA,EQ,2014-12-09,21.00,20.50,20.50,20.50,20.50,20.50,20.50,650,0.13,4,650,100.00
SAKUMA,EQ,2014-12-10,20.50,20.50,20.95,20.50,20.95,20.95,20.73,1585,0.33,10,1575,99.37
SAKUMA,EQ,2014-12-11,20.95,20.10,20.90,20.10,20.10,20.10,20.34,1821,0.37,11,1800,98.85
SAKUMA,EQ,2014-12-12,20.10,20.25,20.25,20.05,20.05,20.05,20.12,3023,0.61,7,2923,96.69
SAKUMA,EQ,2014-12-15,20.05,21.00,21.00,20.05,20.05,20.05,20.11,1602,0.32,5,1001,62.48
SAKUMA,EQ,2014-12-16,20.05,19.55,20.00,18.00,19.00,19.00,19.49,2056,0.40,19,1704,82.88
SAKUMA,EQ,2014-12-18,19.00,18.80,20.70,18.65,18.70,18.85,19.47,86,0.02,9,38,44.19
SAKUMA,EQ,2014-12-19,18.85,19.80,19.80,19.80,19.80,19.80,19.80,100,0.02,1,100,100.00
SAKUMA,EQ,2014-12-22,19.80,19.80,20.00,19.15,19.15,19.15,19.79,2208,0.44,11,1784,80.80
SAKUMA,EQ,2014-12-23,19.15,19.75,20.65,19.75,20.65,20.60,20.61,800,0.16,2,800,100.00
SAKUMA,EQ,2014-12-26,20.60,20.00,21.60,18.55,21.60,20.95,20.87,3302,0.69,16,2750,83.28
SAKUMA,EQ,2014-12-29,20.95,20.00,20.80,20.00,20.75,20.75,20.55,2954,0.61,9,2904,98.31
SAKUMA,EQ,2014-12-30,20.75,20.30,20.50,19.80,20.35,20.35,20.34,2001,0.41,11,1500,74.96
SAKUMA,EQ,2014-12-31,20.35,19.45,20.00,19.45,20.00,20.00,19.97,2041,0.41,11,1942,95.15
SAKUMA,EQ,2015-01-02,20.00,20.05,20.50,20.05,20.10,20.10,20.22,2333,0.47,12,2010,86.16
SAKUMA,EQ,2015-01-05,20.10,19.50,20.50,19.50,20.50,20.50,20.17,933,0.19,6,733,78.56
SAKUMA,EQ,2015-01-06,20.50,19.60,21.30,19.05,20.85,20.95,19.66,2797,0.55,25,1976,70.65
SAKUMA,EQ,2015-01-07,20.95,20.05,20.05,20.05,20.05,20.05,20.05,106,0.02,1,106,100.00
SAKUMA,EQ,2015-01-08,20.05,21.25,21.25,20.70,20.70,20.70,20.89,453,0.09,6,350,77.26
SAKUMA,EQ,2015-01-09,20.70,20.55,21.65,20.25,20.90,20.85,21.00,5432,1.14,45,2169,39.93
SAKUMA,EQ,2015-01-12,20.85,21.15,21.45,20.50,21.45,21.45,20.74,2052,0.43,11,1552,75.63
SAKUMA,EQ,2015-01-13,21.45,21.95,22.00,21.05,21.50,21.50,21.65,1400,0.30,12,910,65.00
SAKUMA,EQ,2015-01-14,21.50,22.00,22.50,21.55,22.50,22.50,21.90,401,0.09,6,401,100.00
SAKUMA,EQ,2015-01-15,22.50,21.35,21.50,20.35,20.50,20.65,20.98,1999,0.42,19,1839,92.00
SAKUMA,EQ,2015-01-16,20.65,21.45,22.20,20.35,22.20,21.65,21.43,3123,0.67,16,1923,61.58
SAKUMA,EQ,2015-01-19,21.65,22.45,22.90,21.50,22.20,22.10,22.16,6813,1.51,36,3946,57.92
SAKUMA,EQ,2015-01-20,22.10,20.70,22.40,20.65,22.00,21.50,21.76,4215,0.92,19,1912,45.36
SAKUMA,EQ,2015-01-21,21.50,21.50,22.00,20.80,20.80,20.80,21.38,882,0.19,11,781,88.55
SAKUMA,EQ,2015-01-22,20.80,22.00,23.00,20.90,21.30,21.30,22.50,718,0.16,6,500,69.64
SAKUMA,EQ,2015-01-23,21.30,21.00,21.25,20.55,20.80,21.05,20.99,2626,0.55,14,2301,87.62
SAKUMA,EQ,2015-01-27,21.05,20.80,21.35,20.15,21.00,21.00,20.76,1450,0.30,7,350,24.14
SAKUMA,EQ,2015-01-28,21.00,22.00,22.00,20.45,21.10,20.50,20.80,2138,0.44,13,1830,85.59
SAKUMA,EQ,2015-01-29,20.50,20.45,22.00,20.35,22.00,22.00,21.00,1294,0.27,12,874,67.54
SAKUMA,EQ,2015-01-30,22.00,20.65,21.20,20.45,21.20,21.20,20.74,1552,0.32,9,1052,67.78
SAKUMA,EQ,2015-02-02,21.20,20.20,21.50,20.20,21.50,21.50,21.20,308,0.07,6,301,97.73
SAKUMA,EQ,2015-02-03,21.50,22.30,22.30,22.30,22.30,22.30,22.30,500,0.11,3,500,100.00
SAKUMA,EQ,2015-02-04,22.30,22.45,22.45,22.15,22.15,22.15,22.22,705,0.16,5,705,100.00
SAKUMA,EQ,2015-02-05,22.15,22.00,22.00,20.20,21.40,21.40,20.93,2377,0.50,15,2048,86.16
SAKUMA,EQ,2015-02-06,21.40,20.65,20.70,20.65,20.70,20.70,20.65,513,0.11,3,513,100.00
SAKUMA,EQ,2015-02-09,20.70,19.00,21.85,19.00,21.50,21.60,19.93,13518,2.69,55,4660,34.47
SAKUMA,EQ,2015-02-10,21.60,21.00,21.00,19.70,20.80,20.65,20.67,2542,0.53,37,659,25.92
SAKUMA,EQ,2015-02-11,20.65,20.70,21.75,20.70,21.75,21.75,20.72,610,0.13,4,605,99.18
SAKUMA,EQ,2015-02-12,21.75,20.90,21.65,20.70,21.00,20.95,20.91,1253,0.26,10,775,61.85
SAKUMA,EQ,2015-02-13,20.95,20.65,22.05,20.65,22.05,22.05,21.60,1229,0.27,16,963,78.36
SAKUMA,EQ,2015-02-16,22.05,21.95,21.95,21.95,21.95,21.95,21.95,206,0.05,4,203,98.54
SAKUMA,EQ,2015-02-18,21.95,22.00,22.00,21.65,21.65,21.65,21.80,3930,0.86,10,3930,100.00
SAKUMA,EQ,2015-02-19,21.65,22.90,22.90,21.00,22.00,21.95,21.68,1274,0.28,9,887,69.62
SAKUMA,EQ,2015-02-20,21.95,23.00,23.00,22.80,22.80,22.80,22.87,3,0.00,3,1,33.33
SAKUMA,EQ,2015-02-24,22.80,22.00,23.00,21.65,21.65,21.65,22.05,701,0.15,7,500,71.33
