Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,EQ,2014-12-04,317.95,319.85,321.00,314.05,319.90,320.30,318.15,13809486,43934.47,112216,4361498,31.58
SBIN,N1,2014-12-04,10748.33,10756.00,10756.00,10730.00,10754.55,10747.27,10745.28,20,2.15,7,20,100.00
SBIN,N3,2014-12-04,10930.00,10930.00,10975.00,10930.00,10975.00,10975.00,10965.22,23,2.52,2,23,100.00
SBIN,N5,2014-12-04,11379.30,11380.10,11395.00,11367.00,11376.00,11380.86,11377.41,159,18.09,22,159,100.00
SBIN,EQ,2014-12-05,320.30,320.00,321.30,316.00,316.50,317.55,318.83,11391988,36320.79,91179,4165504,36.57
SBIN,N1,2014-12-05,10747.27,10748.90,10760.00,10748.90,10760.00,10760.00,10749.54,24,2.58,4,24,100.00
SBIN,N2,2014-12-05,11030.00,11100.00,11100.00,11100.00,11100.00,11100.00,11100.00,108,11.99,3,108,100.00
SBIN,N3,2014-12-05,10975.00,10915.00,10920.00,10902.00,10920.00,10919.30,10912.66,100,10.91,17,76,76.00
SBIN,N4,2014-12-05,10599.00,10505.25,12490.00,10505.00,10640.00,10653.00,10750.32,54,5.81,15,26,48.15
SBIN,N5,2014-12-05,11380.86,11395.00,11440.00,11373.10,11395.00,11395.00,11394.19,157,17.89,22,156,99.36
SBIN,EQ,2014-12-08,317.55,318.60,318.60,312.30,313.00,312.90,314.52,9814223,30867.88,115724,4283175,43.64
SBIN,N1,2014-12-08,10760.00,10655.60,10655.60,10655.60,10655.60,10655.60,10655.60,3,0.32,1,3,100.00
SBIN,N2,2014-12-08,11100.00,11100.00,11100.00,11100.00,11100.00,11100.00,11100.00,5,0.56,1,5,100.00
SBIN,N3,2014-12-08,10919.30,10910.00,10920.00,10910.00,10910.00,10910.00,10911.72,109,11.89,14,109,100.00
SBIN,N5,2014-12-08,11395.00,11410.00,11499.98,11410.00,11445.00,11446.28,11440.52,118,13.50,31,107,90.68
SBIN,EQ,2014-12-09,312.90,312.70,314.40,305.50,306.40,306.55,308.97,14926558,46118.59,126498,6996985,46.88
SBIN,N1,2014-12-09,10655.60,10540.50,10709.75,10540.50,10700.00,10700.00,10654.25,38,4.05,10,27,71.05
SBIN,N2,2014-12-09,11100.00,11139.00,11250.00,11120.00,11120.00,11120.00,11151.60,67,7.47,14,34,50.75
SBIN,N3,2014-12-09,10910.00,10910.00,10969.99,10910.00,10929.99,10928.79,10935.50,75,8.20,21,46,61.33
SBIN,N4,2014-12-09,10653.00,10600.00,10600.00,10600.00,10600.00,10600.00,10600.00,30,3.18,8,30,100.00
SBIN,N5,2014-12-09,11446.28,11460.00,11495.00,11460.00,11461.00,11461.00,11470.39,231,26.50,40,231,100.00
SBIN,EQ,2014-12-10,306.55,303.50,317.20,303.30,316.80,315.95,311.73,15381613,47949.28,152998,6486886,42.17
SBIN,N1,2014-12-10,10700.00,10671.00,10671.00,10671.00,10671.00,10671.00,10671.00,3,0.32,1,3,100.00
SBIN,N2,2014-12-10,11120.00,11125.00,11180.00,11125.00,11180.00,11130.51,11130.52,29,3.23,5,29,100.00
SBIN,N3,2014-12-10,10928.79,10900.00,10999.99,10900.00,10940.10,10940.10,10946.77,47,5.14,11,41,87.23
SBIN,N5,2014-12-10,11461.00,11470.00,11490.00,11468.00,11490.00,11487.55,11484.40,75,8.61,8,75,100.00
SBIN,N6,2014-12-10,10800.01,11300.00,11300.00,11000.00,11000.00,11150.00,11150.00,4,0.45,4,4,100.00
SBIN,EQ,2014-12-11,315.95,313.60,318.55,310.45,313.80,314.05,314.33,13151866,41339.87,118987,3786526,28.79
SBIN,N1,2014-12-11,10671.00,10660.00,10671.00,10660.00,10660.00,10660.00,10665.50,14,1.49,4,14,100.00
SBIN,N2,2014-12-11,11130.51,11220.00,11220.00,11150.05,11155.01,11202.00,11202.00,16,1.79,5,10,62.50
SBIN,N3,2014-12-11,10940.10,10921.00,10922.00,10920.01,10921.00,10921.00,10920.56,18,1.97,7,18,100.00
SBIN,N5,2014-12-11,11487.55,11480.00,11500.00,11480.00,11499.00,11497.93,11489.24,225,25.85,29,225,100.00
SBIN,EQ,2014-12-12,314.05,313.65,316.90,309.00,312.05,311.35,312.84,11727933,36690.11,108669,4396033,37.48
SBIN,N2,2014-12-12,11202.00,10985.10,11150.00,10985.10,11121.21,11121.21,11085.44,30,3.33,3,20,66.67
SBIN,N3,2014-12-12,10921.00,10931.00,10931.00,10918.00,10918.10,10919.02,10930.03,109,11.91,7,106,97.25
SBIN,N5,2014-12-12,11497.93,11485.00,11490.00,11485.00,11486.10,11488.81,11487.03,89,10.22,17,89,100.00
SBIN,N6,2014-12-12,11150.00,11152.00,11152.00,11152.00,11152.00,11152.00,11152.00,9,1.00,1,9,100.00
SBIN,EQ,2014-12-15,311.35,308.30,316.00,307.55,309.60,310.55,312.25,15117938,47205.59,150237,7079490,46.83
SBIN,N1,2014-12-15,10660.00,10700.00,10750.00,10700.00,10750.00,10750.00,10740.00,25,2.69,5,25,100.00
SBIN,N3,2014-12-15,10919.02,10915.00,10950.00,10915.00,10950.00,10948.00,10932.01,168,18.37,19,163,97.02
SBIN,N5,2014-12-15,11488.81,11500.00,11518.98,11500.00,11510.00,11511.65,11506.44,244,28.08,25,211,86.48
SBIN,EQ,2014-12-16,310.55,308.10,311.00,293.00,294.90,295.60,301.10,20951938,63086.92,211851,8079122,38.56
SBIN,N1,2014-12-16,10750.00,10700.00,10700.00,10660.00,10660.00,10660.00,10669.60,25,2.67,6,25,100.00
SBIN,N3,2014-12-16,10948.00,10950.00,10950.00,10925.00,10925.55,10925.94,10927.94,64,6.99,14,53,82.81
SBIN,N5,2014-12-16,11511.65,11510.00,11510.00,11470.00,11490.00,11490.00,11492.53,329,37.81,33,322,97.87
SBIN,EQ,2014-12-17,295.60,294.40,306.40,287.00,302.85,301.75,297.83,28290440,84258.05,273555,9555900,33.78
SBIN,N1,2014-12-17,10660.00,10660.00,10660.00,10630.00,10630.00,10630.00,10646.55,11,1.17,6,11,100.00
SBIN,N2,2014-12-17,11121.21,11150.00,11150.00,11150.00,11150.00,11150.00,11150.00,5,0.56,1,5,100.00
SBIN,N3,2014-12-17,10925.94,10925.94,10925.94,10916.00,10924.00,10924.00,10921.95,119,13.00,26,118,99.16
SBIN,N5,2014-12-17,11490.00,11485.01,11510.00,11485.00,11509.90,11509.15,11499.07,343,39.44,44,340,99.13
SBIN,EQ,2014-12-18,301.75,310.80,312.60,304.50,307.00,307.10,308.43,18921827,58360.48,175235,8562602,45.25
SBIN,N1,2014-12-18,10630.00,10748.00,10748.00,10701.00,10745.00,10744.99,10740.41,31,3.33,7,31,100.00
SBIN,N2,2014-12-18,11150.00,11150.00,11150.00,11150.00,11150.00,11150.00,11150.00,10,1.12,1,10,100.00
