Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SDBL,EQ,2014-12-04,199.45,199.50,209.80,198.00,199.00,199.10,200.65,21836,43.81,178,1187,5.44
SDBL,EQ,2014-12-05,199.10,200.00,207.00,199.00,207.00,205.80,201.27,22205,44.69,181,1402,6.31
SDBL,EQ,2014-12-08,205.80,205.50,209.00,204.00,207.00,207.35,206.60,21557,44.54,86,979,4.54
SDBL,EQ,2014-12-09,207.35,208.00,213.85,204.00,204.00,204.00,208.85,21626,45.17,79,1202,5.56
SDBL,EQ,2014-12-10,204.00,204.50,210.00,203.00,204.10,208.15,207.04,20812,43.09,66,505,2.43
SDBL,EQ,2014-12-11,208.15,208.50,218.00,202.95,204.00,204.00,206.87,20955,43.35,75,780,3.72
SDBL,EQ,2014-12-12,204.00,204.00,206.00,202.45,204.00,204.95,205.02,20863,42.77,68,529,2.54
SDBL,EQ,2014-12-15,204.95,205.55,206.65,200.20,206.00,203.55,203.73,21693,44.20,150,730,3.37
SDBL,EQ,2014-12-16,203.55,203.95,204.00,198.00,200.00,200.70,201.36,21770,43.84,120,1131,5.20
SDBL,EQ,2014-12-17,200.70,200.00,203.00,195.00,203.00,201.00,200.15,21281,42.59,146,758,3.56
SDBL,EQ,2014-12-18,201.00,201.45,209.10,199.35,206.65,205.00,204.71,21219,43.44,117,708,3.34
SDBL,EQ,2014-12-19,205.00,204.00,209.10,203.95,209.10,208.40,206.95,21247,43.97,87,850,4.00
SDBL,EQ,2014-12-22,208.40,208.00,212.80,205.10,205.10,209.10,209.17,21534,45.04,106,964,4.48
SDBL,EQ,2014-12-23,209.10,209.00,211.00,204.00,207.40,205.30,207.65,22169,46.04,99,540,2.44
SDBL,EQ,2014-12-24,205.30,205.50,215.00,203.15,214.00,212.30,209.51,21546,45.14,99,767,3.56
SDBL,EQ,2014-12-26,212.30,212.00,217.00,206.20,217.00,213.10,212.52,21251,45.16,95,800,3.76
SDBL,EQ,2014-12-29,213.10,212.00,224.95,208.10,208.10,210.85,212.95,21762,46.34,138,699,3.21
SDBL,EQ,2014-12-30,210.85,210.00,214.70,206.25,210.10,212.45,209.75,20865,43.76,80,731,3.50
SDBL,EQ,2014-12-31,212.45,212.50,213.00,206.20,209.00,209.00,209.87,22812,47.88,75,730,3.20
SDBL,EQ,2015-01-01,209.00,209.00,212.60,203.60,210.00,210.00,209.65,21632,45.35,67,500,2.31
SDBL,EQ,2015-01-02,210.00,210.50,215.00,204.10,211.00,211.00,211.09,22109,46.67,94,876,3.96
SDBL,EQ,2015-01-05,211.00,214.00,214.15,207.00,207.05,207.50,210.00,21292,44.71,77,900,4.23
SDBL,EQ,2015-01-06,207.50,212.00,213.00,203.50,203.50,204.90,209.82,21156,44.39,73,760,3.59
SDBL,EQ,2015-01-07,204.90,204.50,210.00,202.00,210.00,208.30,205.22,21013,43.12,69,610,2.90
SDBL,EQ,2015-01-08,208.30,212.00,213.50,205.00,206.00,207.85,207.65,21016,43.64,76,733,3.49
SDBL,EQ,2015-01-09,207.85,205.00,210.80,205.00,207.50,207.70,207.55,20924,43.43,109,317,1.52
SDBL,EQ,2015-01-12,207.70,204.95,208.00,197.95,201.10,202.20,206.58,21517,44.45,189,1104,5.13
SDBL,EQ,2015-01-13,202.20,201.00,206.95,200.15,206.95,206.80,203.76,21021,42.83,73,636,3.03
SDBL,EQ,2015-01-14,206.80,203.95,209.00,201.50,208.90,208.90,205.98,21236,43.74,85,640,3.01
SDBL,EQ,2015-01-15,208.90,208.00,208.00,203.55,205.50,205.65,206.02,21156,43.59,89,746,3.53
