Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SELMCL,EQ,2014-12-04,3.85,3.90,4.10,3.80,3.95,4.00,3.97,375199,14.89,283,262887,70.07
SELMCL,EQ,2014-12-05,4.00,4.00,4.45,4.00,4.15,4.20,4.25,600078,25.50,484,331003,55.16
SELMCL,EQ,2014-12-08,4.20,4.35,4.35,3.95,4.05,4.00,4.04,246014,9.95,232,174819,71.06
SELMCL,EQ,2014-12-09,4.00,4.05,4.05,3.60,3.70,3.75,3.81,466496,17.76,417,338115,72.48
SELMCL,EQ,2014-12-10,3.75,3.70,3.90,3.65,3.75,3.80,3.81,124851,4.76,176,92853,74.37
SELMCL,EQ,2014-12-11,3.80,3.85,3.95,3.75,3.85,3.80,3.84,241779,9.29,184,145387,60.13
SELMCL,EQ,2014-12-12,3.80,3.80,3.90,3.60,3.80,3.75,3.71,318461,11.82,320,210815,66.20
SELMCL,EQ,2014-12-15,3.75,3.75,3.80,3.60,3.60,3.65,3.69,151433,5.59,166,123857,81.79
SELMCL,EQ,2014-12-16,3.65,3.60,3.70,3.50,3.65,3.60,3.62,366624,13.26,241,237630,64.82
SELMCL,EQ,2014-12-17,3.60,3.65,3.75,3.40,3.65,3.60,3.58,387581,13.86,231,312066,80.52
SELMCL,EQ,2014-12-18,3.60,3.60,4.10,3.60,3.85,3.90,3.94,344958,13.58,446,229476,66.52
SELMCL,EQ,2014-12-19,3.90,3.90,4.05,3.85,3.85,3.90,3.93,88439,3.48,110,66146,74.79
SELMCL,EQ,2014-12-22,3.90,3.85,3.85,3.70,3.75,3.75,3.76,174630,6.56,140,153369,87.83
SELMCL,EQ,2014-12-23,3.75,3.85,3.90,3.65,3.65,3.70,3.70,129540,4.79,147,66524,51.35
SELMCL,EQ,2014-12-24,3.70,3.75,4.05,3.70,3.80,3.75,3.77,97637,3.68,119,64169,65.72
SELMCL,EQ,2014-12-26,3.75,3.70,3.90,3.70,3.80,3.90,3.80,170318,6.47,145,123879,72.73
SELMCL,EQ,2014-12-29,3.90,3.80,3.95,3.80,3.90,3.85,3.89,147928,5.75,143,84931,57.41
SELMCL,EQ,2014-12-30,3.85,3.95,3.95,3.85,3.95,3.90,3.92,97177,3.81,116,56257,57.89
SELMCL,EQ,2014-12-31,3.90,3.90,4.10,3.90,4.10,4.05,4.00,201009,8.05,194,149909,74.58
SELMCL,EQ,2015-01-01,4.05,4.00,4.35,4.00,4.10,4.10,4.17,225578,9.40,209,134152,59.47
SELMCL,EQ,2015-01-02,4.10,4.25,4.25,3.85,4.15,4.05,4.05,358898,14.53,250,211133,58.83
SELMCL,EQ,2015-01-05,4.05,4.15,4.35,4.00,4.05,4.05,4.17,336300,14.03,335,190612,56.68
SELMCL,EQ,2015-01-06,4.05,4.00,4.20,3.90,4.00,4.00,4.02,262059,10.55,281,140233,53.51
SELMCL,EQ,2015-01-07,4.00,4.00,4.10,3.90,3.90,3.90,3.97,142505,5.65,163,88867,62.36
SELMCL,EQ,2015-01-08,3.90,4.05,4.15,3.80,3.85,3.85,3.89,133792,5.20,151,107670,80.48
SELMCL,EQ,2015-01-09,3.85,3.90,3.95,3.80,3.80,3.85,3.88,166379,6.46,142,99120,59.57
SELMCL,EQ,2015-01-12,3.85,3.90,3.95,3.80,3.80,3.80,3.87,106512,4.12,108,77648,72.90
SELMCL,EQ,2015-01-13,3.80,3.80,3.85,3.75,3.85,3.80,3.82,135551,5.18,142,94064,69.39
SELMCL,EQ,2015-01-14,3.80,3.85,4.50,3.80,4.25,4.25,4.26,1373210,58.48,1171,832780,60.64
SELMCL,EQ,2015-01-15,4.25,4.10,4.40,4.05,4.15,4.15,4.20,404838,17.01,386,216341,53.44
SELMCL,EQ,2015-01-16,4.15,4.10,4.20,4.10,4.10,4.15,4.14,114946,4.75,106,80019,69.61
SELMCL,EQ,2015-01-19,4.15,4.05,4.25,3.95,4.00,4.00,4.07,200088,8.15,202,159126,79.53
SELMCL,EQ,2015-01-20,4.00,4.05,4.10,3.90,3.90,3.95,3.97,223274,8.87,190,188693,84.51
SELMCL,EQ,2015-01-21,3.95,4.05,4.15,3.95,3.95,3.95,4.03,174189,7.02,168,127570,73.24
SELMCL,EQ,2015-01-22,3.95,4.00,4.00,3.85,3.85,3.85,3.93,138144,5.42,133,102435,74.15
SELMCL,EQ,2015-01-23,3.85,3.85,3.90,3.75,3.85,3.80,3.82,221419,8.47,195,183809,83.01
SELMCL,EQ,2015-01-27,3.80,3.95,3.95,3.65,3.70,3.70,3.76,176622,6.64,150,151191,85.60
SELMCL,EQ,2015-01-28,3.70,3.70,3.85,3.65,3.75,3.70,3.76,194550,7.32,221,106561,54.77
SELMCL,EQ,2015-01-29,3.70,3.70,3.80,3.70,3.70,3.70,3.72,211880,7.89,163,132920,62.73
SELMCL,EQ,2015-01-30,3.70,3.75,3.90,3.70,3.85,3.80,3.77,243294,9.16,158,145103,59.64
SELMCL,EQ,2015-02-02,3.80,3.85,4.10,3.80,3.80,3.80,3.85,203084,7.82,145,147340,72.55
SELMCL,EQ,2015-02-03,3.80,3.90,4.05,3.75,3.95,4.00,3.94,374612,14.74,256,262082,69.96
SELMCL,EQ,2015-02-04,4.00,3.90,4.15,3.80,3.85,3.90,4.01,361261,14.49,285,216637,59.97
SELMCL,EQ,2015-02-05,3.90,3.85,3.95,3.75,3.80,3.80,3.83,233916,8.97,196,140152,59.92
SELMCL,EQ,2015-02-06,3.80,3.80,3.85,3.70,3.80,3.75,3.76,148068,5.57,116,112347,75.88
SELMCL,EQ,2015-02-09,3.75,3.90,3.90,3.50,3.60,3.60,3.60,375127,13.50,299,258493,68.91
SELMCL,EQ,2015-02-10,3.60,3.60,3.95,3.60,3.80,3.70,3.81,347332,13.24,269,255973,73.70
SELMCL,EQ,2015-02-11,3.70,3.75,3.85,3.70,3.75,3.75,3.77,102591,3.87,110,74775,72.89
SELMCL,EQ,2015-02-12,3.75,3.80,3.95,3.65,3.85,3.90,3.80,261878,9.96,190,172913,66.03
SELMCL,EQ,2015-02-13,3.90,3.80,3.90,3.75,3.80,3.75,3.78,98566,3.73,102,65703,66.66
SELMCL,EQ,2015-02-16,3.75,3.85,4.00,3.80,3.90,3.95,3.93,423774,16.64,236,262395,61.92
SELMCL,EQ,2015-02-18,3.95,3.85,4.20,3.85,4.05,4.05,4.09,284093,11.61,252,201331,70.87
SELMCL,EQ,2015-02-19,4.05,4.05,4.20,4.00,4.05,4.10,4.10,232400,9.52,197,160566,69.09
SELMCL,EQ,2015-02-20,4.10,4.10,4.10,3.90,3.95,3.95,4.02,153480,6.17,130,121450,79.13
SELMCL,EQ,2015-02-23,3.95,4.00,4.05,3.90,3.90,3.90,3.96,101167,4.01,97,76766,75.88
SELMCL,EQ,2015-02-24,3.90,3.85,3.95,3.85,3.85,3.85,3.89,123527,4.80,100,80281,64.99
SELMCL,EQ,2015-02-25,3.85,3.90,4.00,3.85,4.00,3.95,3.91,182118,7.13,88,82465,45.28
SELMCL,EQ,2015-02-26,3.95,3.95,3.95,3.80,3.85,3.85,3.87,112776,4.36,80,55692,49.38
SELMCL,EQ,2015-02-27,3.85,3.85,3.90,3.70,3.80,3.70,3.76,377770,14.22,267,298273,78.96
SELMCL,EQ,2015-02-28,3.70,3.75,3.95,3.70,3.95,3.90,3.83,499414,19.12,249,263927,52.85
SELMCL,EQ,2015-03-02,3.90,3.95,4.00,3.85,3.85,3.90,3.91,165055,6.45,105,89979,54.51
SELMCL,EQ,2015-03-03,3.90,3.90,3.90,3.75,3.75,3.80,3.85,198336,7.63,154,135359,68.25
SELMCL,EQ,2015-03-04,3.80,3.80,3.85,3.60,3.75,3.65,3.74,579732,21.66,222,368298,63.53
SELMCL,EQ,2015-03-05,3.65,3.75,3.75,3.65,3.75,3.70,3.70,163166,6.04,129,118883,72.86
SELMCL,EQ,2015-03-09,3.70,3.65,3.75,3.00,3.60,3.60,3.45,710715,24.49,349,438725,61.73
SELMCL,EQ,2015-03-10,3.60,3.60,3.80,3.20,3.75,3.65,3.56,577029,20.52,264,414362,71.81
