Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SEZAL,EQ,2014-12-03,5.20,5.05,5.30,5.05,5.20,5.20,5.20,4305,0.22,10,4305,100.00
SEZAL,EQ,2014-12-04,5.20,5.05,5.45,5.05,5.40,5.40,5.25,3359,0.18,10,3349,99.70
SEZAL,EQ,2014-12-05,5.40,5.15,5.55,5.15,5.55,5.55,5.52,3173,0.18,8,3083,97.16
SEZAL,EQ,2014-12-08,5.55,5.30,5.40,5.30,5.40,5.40,5.32,2575,0.14,5,2575,100.00
SEZAL,EQ,2014-12-09,5.40,5.50,5.60,5.50,5.60,5.60,5.58,1000,0.06,2,1000,100.00
SEZAL,EQ,2014-12-10,5.60,5.50,5.50,5.50,5.50,5.50,5.50,50,0.00,1,50,100.00
SEZAL,EQ,2014-12-11,5.50,5.25,5.25,5.25,5.25,5.25,5.25,20,0.00,1,20,100.00
SEZAL,EQ,2014-12-12,5.25,5.05,5.45,5.00,5.20,5.20,5.04,1922,0.10,15,1821,94.75
SEZAL,EQ,2014-12-15,5.20,5.30,5.30,4.95,4.95,4.95,5.09,698,0.04,10,514,73.64
SEZAL,EQ,2014-12-16,4.95,4.75,4.75,4.75,4.75,4.75,4.75,200,0.01,4,200,100.00
SEZAL,EQ,2014-12-17,4.75,4.60,4.80,4.55,4.55,4.55,4.59,7002,0.32,12,7002,100.00
SEZAL,EQ,2014-12-19,4.55,4.40,4.55,4.40,4.55,4.50,4.45,235,0.01,5,235,100.00
SEZAL,EQ,2014-12-22,4.50,4.65,4.65,4.35,4.45,4.45,4.35,211,0.01,6,210,99.53
SEZAL,EQ,2014-12-24,4.45,4.25,4.25,4.25,4.25,4.25,4.25,38,0.00,2,38,100.00
SEZAL,EQ,2014-12-29,4.25,4.05,4.35,4.05,4.35,4.30,4.08,131,0.01,5,129,98.47
SEZAL,EQ,2014-12-30,4.30,4.30,4.30,4.20,4.20,4.20,4.25,200,0.01,3,200,100.00
SEZAL,EQ,2014-12-31,4.20,4.35,4.35,4.05,4.35,4.30,4.31,1681,0.07,7,1681,100.00
SEZAL,EQ,2015-01-01,4.30,4.15,4.15,4.15,4.15,4.15,4.15,15,0.00,1,15,100.00
SEZAL,EQ,2015-01-02,4.15,4.15,4.35,4.15,4.35,4.35,4.20,725,0.03,4,715,98.62
SEZAL,EQ,2015-01-05,4.35,4.50,4.55,4.50,4.55,4.55,4.54,4944,0.22,36,4944,100.00
SEZAL,EQ,2015-01-06,4.55,4.75,4.75,4.40,4.40,4.40,4.75,405,0.02,6,400,98.77
