Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SGBAUG24,GB,2016-09-01,2951.60,3119.00,3150.00,3060.00,3095.10,3099.25,3112.79,851,26.49,153,840,98.71
SGBAUG24,GB,2016-09-02,3099.25,3099.25,3107.00,3071.00,3107.00,3105.64,3098.93,1134,35.14,93,1099,96.91
SGBAUG24,GB,2016-09-06,3105.64,3101.00,3121.00,3100.05,3117.00,3116.78,3115.32,1235,38.47,140,1118,90.53
SGBAUG24,GB,2016-09-07,3116.78,3120.05,3125.00,3105.05,3120.00,3121.69,3117.83,1831,57.09,218,1640,89.57
SGBAUG24,GB,2016-09-08,3121.69,3100.05,3190.00,3100.05,3125.00,3129.87,3125.43,1906,59.57,174,1473,77.28
SGBAUG24,GB,2016-09-09,3129.87,3130.00,3130.00,3100.05,3120.00,3120.07,3122.00,2391,74.65,225,2253,94.23
SGBAUG24,GB,2016-09-12,3120.07,3115.00,3170.00,3086.00,3119.90,3118.55,3108.07,1109,34.47,98,833,75.11
SGBAUG24,GB,2016-09-14,3118.55,3090.05,3119.00,3090.00,3105.00,3096.96,3102.03,235,7.29,77,218,92.77
SGBAUG24,GB,2016-09-15,3096.96,3095.00,3115.00,3094.00,3104.00,3098.79,3103.45,345,10.71,46,332,96.23
SGBAUG24,GB,2016-09-16,3098.79,3090.00,3102.00,3080.00,3086.50,3085.81,3090.90,869,26.86,80,547,62.95
SGBAUG24,GB,2016-09-19,3085.81,3086.50,3095.00,3052.00,3078.00,3079.44,3078.55,773,23.80,68,607,78.53
SGBAUG24,GB,2016-09-20,3079.44,3061.00,3098.00,3061.00,3081.00,3096.71,3088.44,352,10.87,34,336,95.45
SGBAUG24,GB,2016-09-21,3096.71,3052.00,3111.00,3052.00,3100.00,3097.41,3088.29,176,5.44,32,126,71.59
SGBAUG24,GB,2016-09-22,3097.41,3130.00,3130.00,3096.00,3110.00,3107.25,3104.48,186,5.77,42,186,100.00
SGBAUG24,GB,2016-09-23,3107.25,3085.00,3120.00,3085.00,3105.00,3106.12,3104.55,150,4.66,23,125,83.33
SGBAUG24,GB,2016-09-26,3106.12,3122.00,3122.00,3093.05,3100.00,3104.38,3100.63,107,3.32,27,103,96.26
SGBAUG24,GB,2016-09-27,3104.38,3097.00,3125.00,3094.00,3101.00,3105.00,3107.98,759,23.59,82,585,77.08
SGBAUG24,GB,2016-09-28,3105.00,3094.00,3115.00,3090.00,3114.95,3105.60,3104.95,341,10.59,56,323,94.72
SGBAUG24,GB,2016-09-29,3105.60,3111.00,3115.00,3092.00,3110.00,3102.08,3105.13,306,9.50,26,305,99.67
SGBAUG24,GB,2016-09-30,3102.08,3100.00,3114.95,3096.25,3106.00,3106.00,3102.58,372,11.54,51,296,79.57
SGBAUG24,GB,2016-10-03,3106.00,3100.00,3107.00,3090.00,3100.00,3097.10,3095.29,156,4.83,30,156,100.00
SGBAUG24,GB,2016-10-04,3097.10,3088.00,3125.00,3087.00,3095.00,3095.00,3097.94,116,3.59,32,115,99.14
SGBAUG24,GB,2016-10-05,3095.00,3075.02,3090.00,3071.00,3080.05,3080.03,3079.82,966,29.75,81,914,94.62
SGBAUG24,GB,2016-10-06,3080.03,3080.00,3100.00,3075.00,3075.00,3078.21,3080.20,419,12.91,39,407,97.14
SGBAUG24,GB,2016-10-07,3078.21,3071.00,3078.20,3058.10,3060.00,3059.85,3065.10,229,7.02,45,219,95.63
SGBAUG24,GB,2016-10-10,3059.85,3051.00,3090.00,3025.01,3060.00,3060.77,3063.39,403,12.35,52,370,91.81
SGBAUG24,GB,2016-10-13,3060.77,3060.00,3088.90,3050.00,3050.00,3050.00,3064.96,253,7.75,37,248,98.02
SGBAUG24,GB,2016-10-14,3050.00,3030.00,3075.00,3000.00,3028.00,3018.04,3032.09,545,16.52,75,437,80.18
SGBAUG24,GB,2016-10-17,3018.04,3028.00,3031.00,3000.00,3024.00,3023.08,3015.14,479,14.44,62,419,87.47
SGBAUG24,GB,2016-10-18,3023.08,3024.00,3040.00,3019.00,3040.00,3032.88,3034.70,86,2.61,19,86,100.00
SGBAUG24,GB,2016-10-19,3032.88,3018.00,3040.00,3015.00,3036.00,3036.00,3034.54,90,2.73,23,89,98.89
SGBAUG24,GB,2016-10-20,3036.00,3040.00,3093.00,3023.10,3030.00,3033.98,3039.98,123,3.74,29,119,96.75
SGBAUG24,GB,2016-10-21,3033.98,3031.00,3125.00,3031.00,3060.00,3060.00,3077.37,750,23.08,35,319,42.53
SGBAUG24,GB,2016-10-24,3060.00,3018.00,3050.00,3002.00,3009.05,3009.05,3010.02,397,11.95,68,318,80.10
SGBAUG24,GB,2016-10-25,3009.05,3006.00,3022.99,2997.10,3000.00,3003.18,3003.88,152,4.57,27,149,98.03
SGBAUG24,GB,2016-10-26,3003.18,3015.00,3022.90,3001.50,3022.00,3019.60,3008.71,218,6.56,35,211,96.79
SGBAUG24,GB,2016-10-27,3019.60,2991.25,3040.00,2941.00,3002.00,3004.58,3003.46,271,8.14,43,249,91.88
SGBAUG24,GB,2016-10-28,3004.58,3020.00,3050.00,3007.00,3048.95,3048.95,3034.99,392,11.90,137,346,88.27
SGBAUG24,GB,2016-10-30,3048.95,3078.00,3078.00,3042.00,3050.00,3052.09,3052.49,202,6.17,59,201,99.50
SGBAUG24,GB,2016-11-01,3052.09,2986.00,3052.00,2986.00,3011.10,3018.11,3017.18,216,6.52,26,188,87.04
SGBAUG24,GB,2016-11-02,3018.11,3005.05,3050.00,3005.05,3007.50,3010.29,3021.72,776,23.45,51,681,87.76
SGBAUG24,GB,2016-11-03,3010.29,3007.01,3024.00,3001.00,3010.50,3011.35,3015.88,586,17.67,66,542,92.49
SGBAUG24,GB,2016-11-04,3011.35,3025.00,3025.00,2995.05,3000.10,3000.10,3004.99,272,8.17,26,272,100.00
SGBAUG24,GB,2016-11-07,3000.10,3017.00,3017.00,3001.00,3010.00,3010.00,3006.76,107,3.22,18,103,96.26
SGBAUG24,GB,2016-11-08,3010.00,3005.00,3019.00,3000.00,3000.00,3000.00,3010.09,288,8.67,32,255,88.54
SGBAUG24,GB,2016-11-09,3000.00,3040.00,3055.00,3015.00,3020.00,3019.55,3034.64,1368,41.51,109,1162,84.94
SGBAUG24,GB,2016-11-10,3019.55,2980.00,3030.00,2980.00,2990.00,2989.23,2989.40,1137,33.99,169,697,61.30
SGBAUG24,GB,2016-11-11,2989.23,2989.40,2989.40,2930.00,2930.00,2936.78,2955.40,1172,34.64,131,990,84.47
SGBAUG24,GB,2016-11-15,2936.78,2930.00,2936.78,2870.00,2900.00,2890.17,2895.54,973,28.17,104,795,81.71
SGBAUG24,GB,2016-11-16,2890.17,2900.00,2925.00,2881.00,2910.00,2910.43,2909.59,263,7.65,37,245,93.16
SGBAUG24,GB,2016-11-17,2910.43,2910.00,2910.00,2891.00,2900.00,2900.55,2901.09,331,9.60,39,256,77.34
SGBAUG24,GB,2016-11-18,2900.55,2897.85,2897.85,2872.00,2880.00,2889.90,2887.87,268,7.74,29,268,100.00
SGBAUG24,GB,2016-11-21,2889.90,2940.00,2940.00,2890.08,2905.10,2905.10,2913.05,185,5.39,39,123,66.49
SGBAUG24,GB,2016-11-22,2905.10,2905.00,2915.00,2891.00,2900.25,2900.78,2901.06,142,4.12,27,131,92.25
SGBAUG24,GB,2016-11-23,2900.78,2877.00,2930.00,2877.00,2910.00,2910.00,2921.44,18,0.53,5,17,94.44
SGBAUG24,GB,2016-11-24,2910.00,2910.00,2910.00,2875.05,2897.99,2897.99,2907.96,71,2.06,8,71,100.00
SGBAUG24,GB,2016-11-25,2897.99,2900.00,2900.00,2860.00,2890.00,2885.49,2866.64,272,7.80,31,257,94.49
SGBAUG24,GB,2016-11-28,2885.49,2885.00,2900.00,2885.00,2900.00,2900.00,2889.17,90,2.60,11,70,77.78
SGBAUG24,GB,2016-11-29,2900.00,2905.00,2928.00,2875.00,2910.00,2895.33,2900.25,387,11.22,28,335,86.56
SGBAUG24,GB,2016-11-30,2895.33,2890.00,2890.00,2883.00,2883.00,2885.33,2885.34,15,0.43,4,15,100.00
SGBAUG24,GB,2016-12-01,2885.33,2899.90,2899.90,2860.00,2875.00,2879.16,2864.53,531,15.21,50,445,83.80
SGBAUG24,GB,2016-12-02,2879.16,2888.00,2888.00,2846.00,2846.00,2846.00,2861.94,431,12.33,51,-,-
SGBAUG24,GB,2016-12-02,2879.16,2888.00,2888.00,2846.00,2846.00,2846.00,2861.94,431,12.33,51,391,90.72
SGBAUG24,GB,2016-12-05,2846.00,2867.95,2925.00,2830.10,2838.00,2842.17,2864.23,473,13.55,68,353,74.63
SGBAUG24,GB,2016-12-06,2842.17,2865.00,2865.00,2826.00,2830.50,2834.87,2835.48,186,5.27,52,175,94.09
SGBAUG24,GB,2016-12-07,2834.87,2832.00,2850.00,2825.00,2850.00,2842.02,2830.98,556,15.74,42,552,99.28
SGBAUG24,GB,2016-12-08,2842.02,2845.00,2849.00,2830.00,2830.00,2832.88,2833.80,321,9.10,31,257,80.06
SGBAUG24,GB,2016-12-09,2832.88,2842.00,2855.00,2808.25,2845.00,2836.25,2827.32,117,3.31,32,109,93.16
SGBAUG24,GB,2016-12-12,2836.25,2820.10,2820.10,2797.00,2800.00,2801.42,2813.55,351,9.88,56,348,99.15
SGBAUG24,GB,2016-12-13,2801.42,2802.01,2820.00,2794.05,2809.00,2808.27,2806.82,257,7.21,36,240,93.39
SGBAUG24,GB,2016-12-14,2808.27,2802.00,2830.00,2800.00,2815.00,2817.08,2811.86,89,2.50,22,82,92.13
SGBAUG24,GB,2016-12-15,2817.08,2800.00,2815.00,2795.00,2796.00,2796.00,2796.69,333,9.31,64,328,98.50
SGBAUG24,GB,2016-12-16,2796.00,2790.00,2790.00,2765.00,2767.00,2777.94,2775.86,343,9.52,51,343,100.00
SGBAUG24,GB,2016-12-19,2777.94,2770.00,2780.00,2767.00,2767.95,2767.95,2770.12,94,2.60,22,94,100.00
SGBAUG24,GB,2016-12-20,2767.95,2755.00,2779.95,2750.00,2750.00,2754.34,2758.46,360,9.93,51,351,97.50
SGBAUG24,GB,2016-12-21,2754.34,2754.34,2794.90,2748.00,2750.30,2750.30,2769.71,159,4.40,21,154,96.86
SGBAUG24,GB,2016-12-22,2750.30,2701.10,2775.00,2701.10,2720.00,2722.95,2738.28,175,4.79,41,140,80.00
SGBAUG24,GB,2016-12-23,2722.95,2769.98,2769.98,2720.00,2720.00,2720.78,2728.43,196,5.35,36,183,93.37
SGBAUG24,GB,2016-12-26,2720.78,2740.00,2750.00,2689.00,2711.00,2713.00,2711.49,91,2.47,23,85,93.41
SGBAUG24,GB,2016-12-27,2713.00,2715.00,2760.00,2715.00,2760.00,2752.27,2732.27,146,3.99,23,134,91.78
SGBAUG24,GB,2016-12-28,2752.27,2775.00,2775.00,2720.00,2729.00,2729.00,2727.13,653,17.81,40,597,91.42
SGBAUG24,GB,2016-12-29,2729.00,2750.00,2750.00,2720.01,2739.99,2729.59,2729.44,106,2.89,29,104,98.11
SGBAUG24,GB,2016-12-30,2729.59,2750.00,2794.99,2700.00,2730.00,2733.65,2720.03,567,15.42,73,395,69.66
SGBAUG24,GB,2017-01-02,2733.65,2749.99,2750.00,2720.00,2737.10,2736.82,2741.93,88,2.41,20,68,77.27
SGBAUG24,GB,2017-01-03,2736.82,2769.99,2769.99,2731.00,2731.00,2731.00,2750.45,46,1.27,12,46,100.00
SGBAUG24,GB,2017-01-04,2731.00,2732.20,2770.00,2732.20,2755.00,2754.84,2755.45,115,3.17,13,112,97.39
SGBAUG24,GB,2017-01-05,2754.84,2780.00,2780.00,2745.00,2764.00,2763.99,2761.80,131,3.62,12,109,83.21
SGBAUG24,GB,2017-01-06,2763.99,2770.00,2779.95,2730.25,2750.00,2737.53,2753.15,241,6.64,24,218,90.46
SGBAUG24,GB,2017-01-09,2737.53,2730.00,2779.90,2730.00,2730.50,2737.23,2744.90,194,5.33,13,193,99.48
SGBAUG24,GB,2017-01-10,2737.23,2770.00,2794.00,2741.00,2741.00,2741.68,2755.84,194,5.35,25,181,93.30
SGBAUG24,GB,2017-01-11,2741.68,2741.00,2780.00,2741.00,2780.00,2762.62,2758.62,155,4.28,18,133,85.81
SGBAUG24,GB,2017-01-12,2762.62,2774.95,2800.00,2774.95,2800.00,2797.29,2794.41,166,4.64,20,156,93.98
SGBAUG24,GB,2017-01-13,2797.29,2790.00,2808.95,2790.00,2805.95,2805.95,2803.50,51,1.43,20,49,96.08
SGBAUG24,GB,2017-01-16,2805.95,2814.00,2816.45,2781.00,2812.00,2812.00,2806.21,87,2.44,14,54,62.07
SGBAUG24,GB,2017-01-17,2812.00,2818.00,2832.00,2811.15,2830.00,2829.20,2824.63,284,8.02,42,236,83.10
SGBAUG24,GB,2017-01-18,2829.20,2790.00,2833.00,2776.00,2805.00,2804.99,2802.76,77,2.16,19,32,41.56
SGBAUG24,GB,2017-01-19,2804.99,2814.00,2814.00,2780.00,2802.00,2802.00,2792.31,32,0.89,11,29,90.62
SGBAUG24,GB,2017-01-20,2802.00,2802.00,2818.00,2772.10,2780.10,2794.10,2790.75,71,1.98,21,69,97.18
SGBAUG24,GB,2017-01-23,2794.10,2805.00,2825.00,2795.00,2825.00,2812.14,2811.46,196,5.51,26,191,97.45
SGBAUG24,GB,2017-01-24,2812.14,2800.00,2825.00,2790.00,2805.00,2805.00,2808.80,41,1.15,9,30,73.17
SGBAUG24,GB,2017-01-25,2805.00,2832.00,2832.00,2761.05,2765.00,2791.33,2778.12,172,4.78,20,107,62.21
SGBAUG24,GB,2017-01-27,2791.33,2770.00,2798.00,2742.00,2751.10,2751.40,2756.89,71,1.96,27,58,81.69
SGBAUG24,GB,2017-01-30,2751.40,2799.90,2799.90,2736.08,2751.00,2751.00,2751.28,26,0.72,9,21,80.77
SGBAUG24,GB,2017-01-31,2751.00,2780.00,2780.00,2727.00,2731.00,2742.05,2747.51,223,6.13,21,203,91.03
SGBAUG24,GB,2017-02-01,2742.05,2740.00,2897.00,2740.00,2760.00,2757.14,2759.49,285,7.86,22,280,98.25
