Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SGBSEP24,GB,2016-10-19,2994.55,3000.00,3029.00,2962.00,3029.00,3020.56,2986.44,605,18.07,142,436,72.07
SGBSEP24,GB,2016-10-20,3020.56,2980.05,3150.00,2977.00,3020.01,3020.01,3014.73,161,4.85,34,121,75.16
SGBSEP24,GB,2016-10-21,3020.01,2975.10,3150.00,2975.10,3022.00,3050.45,3074.02,194,5.96,47,143,73.71
SGBSEP24,GB,2016-10-24,3050.45,3022.00,3022.00,3010.00,3011.00,3011.00,3010.49,101,3.04,20,101,100.00
SGBSEP24,GB,2016-10-25,3011.00,2975.00,3132.00,2975.00,3132.00,3051.66,3037.68,179,5.44,34,149,83.24
SGBSEP24,GB,2016-10-26,3051.66,3010.01,3030.00,2900.00,2976.00,2975.75,2963.87,603,17.87,75,435,72.14
SGBSEP24,GB,2016-10-27,2975.75,2971.05,3017.94,2965.00,2995.00,2995.00,2990.03,31,0.93,17,29,93.55
SGBSEP24,GB,2016-10-28,2995.00,3047.00,3047.00,2993.00,3038.00,3035.14,3010.09,713,21.46,185,637,89.34
SGBSEP24,GB,2016-10-30,3035.14,3035.14,3135.00,2995.00,3059.00,3038.51,3056.76,68,2.08,34,52,76.47
SGBSEP24,GB,2016-11-01,3038.51,2990.00,3060.00,2980.01,3010.00,3010.88,3018.59,86,2.60,14,84,97.67
SGBSEP24,GB,2016-11-02,3010.88,3050.00,3140.32,2995.00,3001.25,3044.36,3014.91,816,24.60,72,680,83.33
SGBSEP24,GB,2016-11-03,3044.36,3011.05,3050.00,3002.00,3005.00,3005.00,3010.47,218,6.56,27,202,92.66
SGBSEP24,GB,2016-11-04,3005.00,3065.00,3065.00,2996.96,2997.10,2997.10,2998.79,80,2.40,21,79,98.75
SGBSEP24,GB,2016-11-07,2997.10,2981.00,2995.00,2980.00,2989.00,2983.09,2984.68,700,20.89,53,506,72.29
SGBSEP24,GB,2016-11-08,2983.09,2965.00,3025.00,2965.00,3000.00,3000.00,2990.91,76,2.27,20,74,97.37
SGBSEP24,GB,2016-11-09,3000.00,3001.00,3060.00,3001.00,3029.00,3029.00,3021.74,275,8.31,42,193,70.18
SGBSEP24,GB,2016-11-10,3029.00,3020.00,3020.00,2985.50,3000.00,3000.00,2993.91,35,1.05,8,35,100.00
SGBSEP24,GB,2016-11-11,3000.00,3000.00,3000.00,2930.00,2937.00,2942.82,2951.10,412,12.16,48,360,87.38
SGBSEP24,GB,2016-11-15,2942.82,2936.00,2936.00,2863.00,2900.00,2900.50,2898.45,139,4.03,35,137,98.56
SGBSEP24,GB,2016-11-16,2900.50,2886.00,2901.20,2886.00,2899.35,2899.35,2897.67,23,0.67,12,20,86.96
SGBSEP24,GB,2016-11-17,2899.35,2880.01,2985.00,2880.01,2900.00,2899.05,2904.10,68,1.97,23,67,98.53
SGBSEP24,GB,2016-11-18,2899.05,2984.40,2984.40,2883.00,2885.00,2885.54,2892.45,94,2.72,24,93,98.94
SGBSEP24,GB,2016-11-21,2885.54,2853.00,2917.70,2853.00,2900.00,2900.00,2895.57,113,3.27,29,113,100.00
SGBSEP24,GB,2016-11-22,2900.00,2900.00,2910.00,2883.50,2890.00,2890.12,2889.73,546,15.78,44,546,100.00
SGBSEP24,GB,2016-11-23,2890.12,2882.00,2891.00,2880.00,2890.00,2890.00,2889.50,268,7.74,22,268,100.00
SGBSEP24,GB,2016-11-24,2890.00,2840.00,2895.00,2840.00,2885.00,2891.53,2871.10,231,6.63,28,231,100.00
SGBSEP24,GB,2016-11-25,2891.53,2883.00,2899.95,2882.00,2882.00,2882.00,2882.80,25,0.72,5,25,100.00
SGBSEP24,GB,2016-11-28,2882.00,2890.00,2900.00,2884.00,2890.00,2889.74,2890.00,274,7.92,37,274,100.00
SGBSEP24,GB,2016-11-29,2889.74,2880.10,3150.00,2880.10,2920.00,2911.18,2964.06,450,13.34,51,226,50.22
SGBSEP24,GB,2016-11-30,2911.18,2885.00,2900.00,2870.00,2870.00,2871.94,2877.87,344,9.90,27,344,100.00
SGBSEP24,GB,2016-12-01,2871.94,2879.95,2880.00,2866.00,2880.00,2879.90,2875.62,149,4.28,32,149,100.00
SGBSEP24,GB,2016-12-02,2879.90,2880.00,2880.00,2835.00,2835.00,2845.97,2856.78,194,5.54,32,-,-
SGBSEP24,GB,2016-12-02,2879.90,2880.00,2880.00,2835.00,2835.00,2845.97,2856.78,194,5.54,32,193,99.48
SGBSEP24,GB,2016-12-05,2845.97,2885.00,2885.00,2837.00,2849.90,2843.45,2848.67,20,0.57,14,14,70.00
SGBSEP24,GB,2016-12-06,2843.45,2825.00,2873.00,2825.00,2834.00,2844.47,2845.53,68,1.93,14,68,100.00
SGBSEP24,GB,2016-12-07,2844.47,2817.00,2850.00,2817.00,2850.00,2850.00,2840.48,30,0.85,10,30,100.00
SGBSEP24,GB,2016-12-08,2850.00,2850.00,2929.00,2850.00,2852.00,2852.00,2879.34,29,0.84,13,23,79.31
SGBSEP24,GB,2016-12-09,2852.00,2817.50,2870.00,2817.00,2870.00,2851.68,2842.77,36,1.02,16,34,94.44
SGBSEP24,GB,2016-12-12,2851.68,2831.00,2845.00,2818.00,2818.00,2819.00,2821.13,56,1.58,25,53,94.64
SGBSEP24,GB,2016-12-13,2819.00,2822.00,2860.00,2817.10,2860.00,2852.22,2833.60,23,0.65,14,19,82.61
SGBSEP24,GB,2016-12-14,2852.22,2825.00,2835.00,2810.00,2821.00,2821.00,2822.78,76,2.15,16,67,88.16
SGBSEP24,GB,2016-12-15,2821.00,2800.00,2820.00,2795.00,2808.00,2808.00,2811.96,37,1.04,14,37,100.00
SGBSEP24,GB,2016-12-16,2808.00,2750.00,2798.00,2750.00,2770.00,2773.63,2774.76,94,2.61,21,93,98.94
SGBSEP24,GB,2016-12-19,2773.63,2790.00,2795.00,2775.00,2795.00,2795.00,2777.12,26,0.72,7,26,100.00
SGBSEP24,GB,2016-12-20,2795.00,2755.00,2791.00,2755.00,2755.00,2755.00,2774.72,32,0.89,10,27,84.38
SGBSEP24,GB,2016-12-21,2755.00,2730.00,2759.00,2701.00,2734.00,2715.44,2722.26,255,6.94,48,201,78.82
SGBSEP24,GB,2016-12-22,2715.44,2702.10,2753.70,2702.10,2725.00,2720.65,2715.51,56,1.52,15,41,73.21
SGBSEP24,GB,2016-12-23,2720.65,2721.10,2721.10,2721.10,2721.10,2721.10,2721.10,2,0.05,2,2,100.00
SGBSEP24,GB,2016-12-26,2721.10,2513.00,2828.00,2512.00,2725.00,2725.00,2644.53,26,0.69,13,24,92.31
SGBSEP24,GB,2016-12-27,2725.00,2705.10,2760.00,2705.05,2730.00,2730.00,2730.15,38,1.04,14,37,97.37
SGBSEP24,GB,2016-12-28,2730.00,2779.00,2779.00,2705.05,2753.50,2753.50,2707.84,327,8.85,13,317,96.94
SGBSEP24,GB,2016-12-29,2753.50,2760.00,2760.00,2725.00,2739.00,2738.66,2735.19,144,3.94,22,104,72.22
