Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHALPAINTS,EQ,2014-12-04,177.00,178.45,178.45,170.00,171.00,171.50,173.96,111364,193.73,2063,38643,34.70
SHALPAINTS,EQ,2014-12-05,171.50,172.90,176.00,170.00,171.00,171.15,172.91,111469,192.74,2056,33071,29.67
SHALPAINTS,EQ,2014-12-08,171.15,172.65,176.80,165.25,167.30,167.60,172.17,142699,245.69,2927,50185,35.17
SHALPAINTS,EQ,2014-12-09,167.60,169.80,171.75,158.55,160.40,160.50,164.62,115207,189.65,2441,46740,40.57
SHALPAINTS,EQ,2014-12-10,160.50,161.80,165.60,160.50,163.15,162.75,163.48,70505,115.27,1415,23262,32.99
SHALPAINTS,EQ,2014-12-11,162.75,163.80,164.05,158.15,160.05,159.70,160.41,68090,109.22,1765,21614,31.74
SHALPAINTS,EQ,2014-12-12,159.70,161.00,162.90,151.65,155.70,155.80,158.79,60776,96.51,1705,24162,39.76
SHALPAINTS,EQ,2014-12-15,155.80,154.25,154.95,149.00,149.35,150.80,152.26,52780,80.36,1756,26087,49.43
SHALPAINTS,EQ,2014-12-16,150.80,146.35,150.70,145.00,145.50,146.25,147.75,54937,81.17,1159,29466,53.64
SHALPAINTS,EQ,2014-12-17,146.25,145.15,154.15,138.10,147.40,147.30,147.33,72466,106.76,2188,24866,34.31
SHALPAINTS,EQ,2014-12-18,147.30,148.55,157.90,148.55,150.50,150.30,153.51,102805,157.82,2526,32994,32.09
SHALPAINTS,EQ,2014-12-19,150.30,151.70,156.90,150.00,150.65,150.55,153.17,53155,81.42,1490,20408,38.39
SHALPAINTS,EQ,2014-12-22,150.55,151.15,156.00,149.60,151.95,152.30,153.05,56104,85.87,1429,15075,26.87
SHALPAINTS,EQ,2014-12-23,152.30,152.55,153.65,143.10,144.85,145.35,147.87,46467,68.71,1387,22891,49.26
SHALPAINTS,EQ,2014-12-24,145.35,144.55,149.50,144.00,145.30,145.70,146.39,55841,81.75,1509,17070,30.57
SHALPAINTS,EQ,2014-12-26,145.70,146.90,150.90,144.05,149.25,148.75,148.49,42998,63.85,1162,19995,46.50
SHALPAINTS,EQ,2014-12-29,148.75,149.65,154.50,148.20,149.30,149.10,151.04,69009,104.23,1200,20096,29.12
SHALPAINTS,EQ,2014-12-30,149.10,152.50,154.90,151.00,152.85,152.30,152.98,111963,171.28,2490,25398,22.68
SHALPAINTS,EQ,2014-12-31,152.30,152.30,153.60,151.50,152.90,151.85,152.34,31796,48.44,792,13609,42.80
SHALPAINTS,EQ,2015-01-01,151.85,152.10,157.80,152.10,153.90,153.65,155.12,49825,77.29,1110,18666,37.46
SHALPAINTS,EQ,2015-01-02,153.65,153.00,172.45,153.00,163.75,163.80,167.06,858492,1434.16,12214,156866,18.27
SHALPAINTS,EQ,2015-01-05,163.80,164.80,167.00,157.65,158.95,158.45,163.10,191723,312.70,3856,65086,33.95
