Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHANTIGEAR,EQ,2014-12-04,134.10,134.50,139.70,134.00,136.70,138.15,137.67,36639,50.44,1191,21336,58.23
SHANTIGEAR,EQ,2014-12-05,138.15,138.50,142.20,132.30,135.40,135.90,138.50,38466,53.28,859,19356,50.32
SHANTIGEAR,EQ,2014-12-08,135.90,137.20,137.20,128.10,130.75,129.85,131.42,43291,56.89,1153,26963,62.28
SHANTIGEAR,EQ,2014-12-09,129.85,134.90,134.90,123.95,125.70,125.90,125.84,65215,82.06,1061,51797,79.42
SHANTIGEAR,EQ,2014-12-10,125.90,128.00,129.70,125.35,128.75,127.00,126.98,17408,22.11,723,8280,47.56
SHANTIGEAR,EQ,2014-12-11,127.00,127.10,128.00,125.00,126.20,125.55,125.73,16884,21.23,463,11787,69.81
SHANTIGEAR,EQ,2014-12-12,125.55,124.55,131.50,123.00,125.20,125.50,127.12,59185,75.24,1682,35830,60.54
SHANTIGEAR,EQ,2014-12-15,125.50,124.00,126.00,118.30,122.45,122.30,122.37,20673,25.30,729,11922,57.67
SHANTIGEAR,EQ,2014-12-16,122.30,121.50,121.95,118.05,120.25,120.10,120.17,38062,45.74,1538,30310,79.63
SHANTIGEAR,EQ,2014-12-17,120.10,119.90,124.70,118.25,119.30,119.90,120.09,77519,93.09,2664,60772,78.40
SHANTIGEAR,EQ,2014-12-18,119.90,121.00,125.65,121.00,125.50,125.10,123.87,16187,20.05,709,7752,47.89
SHANTIGEAR,EQ,2014-12-19,125.10,124.05,127.95,124.05,125.05,125.05,125.93,10630,13.39,665,7123,67.01
SHANTIGEAR,EQ,2014-12-22,125.05,125.10,129.30,124.70,126.00,125.80,127.00,24041,30.53,924,11958,49.74
SHANTIGEAR,EQ,2014-12-23,125.80,124.50,127.00,124.00,125.00,124.95,124.80,27221,33.97,574,15962,58.64
SHANTIGEAR,EQ,2014-12-24,124.95,124.30,126.60,123.05,125.05,125.50,125.12,14214,17.78,475,8707,61.26
SHANTIGEAR,EQ,2014-12-26,125.50,124.55,126.85,124.10,125.00,125.10,124.99,27831,34.79,322,21620,77.68
SHANTIGEAR,EQ,2014-12-29,125.10,126.40,128.70,124.65,125.60,125.20,125.60,15992,20.09,452,11700,73.16
SHANTIGEAR,EQ,2014-12-30,125.20,124.00,136.00,122.70,131.00,131.20,130.58,97880,127.81,2120,59759,61.05
SHANTIGEAR,EQ,2014-12-31,131.20,131.10,137.90,128.10,132.45,132.85,132.74,848666,1126.50,3277,605426,71.34
SHANTIGEAR,EQ,2015-01-01,132.85,132.05,132.05,125.45,130.60,129.95,128.93,87396,112.68,2711,34192,39.12
SHANTIGEAR,EQ,2015-01-02,129.95,129.90,130.85,126.85,127.00,127.35,128.86,37661,48.53,1188,18470,49.04
SHANTIGEAR,EQ,2015-01-05,127.35,128.05,128.50,125.65,125.65,125.75,126.64,15395,19.50,346,11286,73.31
SHANTIGEAR,EQ,2015-01-06,125.75,125.75,125.75,117.95,120.90,120.40,120.37,54738,65.89,1295,28227,51.57
SHANTIGEAR,EQ,2015-01-07,120.40,120.50,121.90,118.55,120.00,118.95,119.39,20724,24.74,379,9026,43.55
SHANTIGEAR,EQ,2015-01-08,118.95,122.45,123.95,119.85,122.95,123.05,121.92,29194,35.59,683,19562,67.01
SHANTIGEAR,EQ,2015-01-09,123.05,123.10,126.00,121.90,124.00,123.90,123.38,57337,70.74,940,38646,67.40
SHANTIGEAR,EQ,2015-01-12,123.90,123.30,125.95,123.30,125.05,125.15,125.15,17681,22.13,679,14169,80.14
SHANTIGEAR,EQ,2015-01-13,125.15,128.90,128.90,125.00,126.70,126.10,125.97,17631,22.21,404,13534,76.76
SHANTIGEAR,EQ,2015-01-14,126.10,126.60,128.70,126.45,126.45,127.10,127.25,22339,28.43,565,17198,76.99
SHANTIGEAR,EQ,2015-01-15,127.10,126.50,128.70,125.00,127.00,127.95,126.95,15771,20.02,489,11342,71.92
SHANTIGEAR,EQ,2015-01-16,127.95,126.65,130.80,126.05,130.00,130.00,129.59,48123,62.36,653,45868,95.31
SHANTIGEAR,EQ,2015-01-19,130.00,130.25,156.00,130.25,156.00,156.00,141.42,2807750,3970.58,14990,1701812,60.61
