Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHILPAMED,EQ,2014-12-04,532.55,545.00,545.00,525.00,525.05,526.25,530.79,7428,39.43,342,5358,72.13
SHILPAMED,EQ,2014-12-05,526.25,534.95,546.85,523.65,536.90,536.35,533.63,8712,46.49,512,4883,56.05
SHILPAMED,EQ,2014-12-08,536.35,535.90,535.90,517.50,524.90,523.30,526.03,7348,38.65,371,4423,60.19
SHILPAMED,EQ,2014-12-09,523.30,525.05,544.90,525.00,540.00,539.50,534.95,12302,65.81,617,8549,69.49
SHILPAMED,EQ,2014-12-10,539.50,536.00,545.00,532.05,532.10,536.15,540.47,6340,34.27,581,4053,63.93
SHILPAMED,EQ,2014-12-11,536.15,533.00,545.40,530.05,543.00,543.50,541.22,5630,30.47,449,4015,71.31
SHILPAMED,EQ,2014-12-12,543.50,540.00,544.85,526.00,535.00,530.85,537.62,6488,34.88,417,3989,61.48
SHILPAMED,EQ,2014-12-15,530.85,533.00,560.00,533.00,549.00,545.45,551.20,19900,109.69,1112,12468,62.65
SHILPAMED,EQ,2014-12-16,545.45,549.00,555.55,533.05,544.00,545.30,546.45,19823,108.32,1393,10782,54.39
SHILPAMED,EQ,2014-12-17,545.30,549.00,552.00,525.25,537.95,537.40,538.67,17772,95.73,1080,8466,47.64
SHILPAMED,EQ,2014-12-18,537.40,541.00,619.40,534.00,615.00,610.55,586.68,45572,267.36,2209,21742,47.71
SHILPAMED,EQ,2014-12-19,610.55,612.05,648.00,612.05,617.00,620.40,627.51,22449,140.87,1274,11719,52.20
SHILPAMED,EQ,2014-12-22,620.40,625.00,645.00,606.70,615.80,611.95,626.10,74242,464.83,1701,59379,79.98
SHILPAMED,EQ,2014-12-23,611.95,616.00,639.90,582.65,615.30,618.10,621.50,36649,227.77,1332,19538,53.31
SHILPAMED,EQ,2014-12-24,618.10,620.05,622.25,600.30,618.00,619.05,617.77,6694,41.35,471,3555,53.11
SHILPAMED,EQ,2014-12-26,619.05,622.00,634.35,616.30,625.00,624.95,625.20,8782,54.90,590,4100,46.69
SHILPAMED,EQ,2014-12-29,624.95,643.95,643.95,625.00,634.00,627.80,628.82,9769,61.43,570,5248,53.72
SHILPAMED,EQ,2014-12-30,627.80,625.10,649.80,625.00,649.20,643.10,637.34,15943,101.61,750,8947,56.12
SHILPAMED,EQ,2014-12-31,643.10,650.00,742.00,643.00,709.80,711.80,715.33,141705,1013.66,7762,43132,30.44
SHILPAMED,EQ,2015-01-01,711.80,714.70,718.70,706.25,711.65,712.20,712.45,24843,176.99,1760,9082,36.56
SHILPAMED,EQ,2015-01-02,712.20,713.00,715.95,705.10,710.00,709.25,712.24,18771,133.69,848,8991,47.90
SHILPAMED,EQ,2015-01-05,709.25,713.90,727.00,710.10,714.95,712.60,714.08,18429,131.60,928,9178,49.80
SHILPAMED,EQ,2015-01-06,712.60,715.05,715.05,686.00,688.00,690.50,695.90,18715,130.24,1211,11741,62.74
SHILPAMED,EQ,2015-01-07,690.50,691.00,704.85,680.50,689.90,685.35,691.98,15724,108.81,1789,6026,38.32
SHILPAMED,EQ,2015-01-08,685.35,700.00,768.00,697.95,743.50,740.85,736.80,51662,380.64,3280,18705,36.21
SHILPAMED,EQ,2015-01-09,740.85,738.50,748.80,720.10,741.15,744.65,737.43,17397,128.29,950,10308,59.25
SHILPAMED,EQ,2015-01-12,744.65,752.40,764.05,725.25,758.95,759.95,752.65,17536,131.99,736,9836,56.09
SHILPAMED,EQ,2015-01-13,759.95,748.00,814.00,745.60,794.05,800.85,788.50,39420,310.83,2784,17990,45.64
SHILPAMED,EQ,2015-01-14,800.85,806.40,899.95,806.40,866.00,868.40,862.36,232008,2000.75,11457,55722,24.02
SHILPAMED,EQ,2015-01-15,868.40,883.00,899.00,848.00,852.00,858.55,876.45,70668,619.37,4459,33200,46.98
SHILPAMED,EQ,2015-01-16,858.55,862.90,890.00,855.00,887.95,884.15,882.20,46553,410.69,2625,20628,44.31
SHILPAMED,EQ,2015-01-19,884.15,909.00,925.00,890.00,921.00,917.20,911.51,83549,761.56,4311,37013,44.30
SHILPAMED,EQ,2015-01-20,917.20,917.75,998.00,917.75,976.50,962.10,973.04,146690,1427.35,8772,44100,30.06
SHILPAMED,EQ,2015-01-21,962.10,969.90,994.00,925.00,950.00,947.75,959.89,64844,622.43,3982,25466,39.27
SHILPAMED,EQ,2015-01-22,947.75,945.45,984.80,945.45,962.30,965.50,966.78,38472,371.94,2123,16942,44.04
SHILPAMED,EQ,2015-01-23,965.50,970.75,980.00,921.10,938.00,936.30,941.45,42293,398.17,2890,14018,33.14
SHILPAMED,EQ,2015-01-27,936.30,940.00,943.90,894.30,907.80,908.55,914.67,31518,288.29,2246,14970,47.50
SHILPAMED,EQ,2015-01-28,908.55,908.00,923.00,884.00,894.00,893.55,905.33,34021,308.00,2423,14566,42.81
SHILPAMED,EQ,2015-01-29,893.55,893.70,898.90,880.00,897.25,893.50,889.49,22391,199.17,1313,11780,52.61
SHILPAMED,EQ,2015-01-30,893.50,892.70,923.00,892.00,902.85,896.95,904.40,16396,148.29,1551,6136,37.42
SHILPAMED,EQ,2015-02-02,896.95,900.00,948.80,897.00,935.00,938.80,931.35,32803,305.51,2191,14430,43.99
SHILPAMED,EQ,2015-02-03,938.80,942.00,963.00,928.00,941.10,940.95,946.60,19096,180.76,1528,7701,40.33
SHILPAMED,EQ,2015-02-04,940.95,944.00,955.50,916.20,920.00,923.80,934.76,30726,287.21,1270,23772,77.37
SHILPAMED,EQ,2015-02-05,923.80,923.00,934.00,891.10,905.00,901.10,913.68,9359,85.51,922,5608,59.92
SHILPAMED,EQ,2015-02-06,901.10,903.70,911.90,870.00,874.15,875.75,881.41,17097,150.69,1585,9178,53.68
SHILPAMED,EQ,2015-02-09,875.75,873.00,877.50,850.50,860.00,853.40,860.17,9920,85.33,892,5464,55.08
SHILPAMED,EQ,2015-02-10,853.40,850.00,882.45,830.25,855.00,856.85,854.42,19624,167.67,1280,11902,60.65
SHILPAMED,EQ,2015-02-11,856.85,855.00,904.00,850.25,900.00,889.05,877.80,12110,106.30,1400,5937,49.03
SHILPAMED,EQ,2015-02-12,889.05,892.35,955.90,892.35,934.20,930.20,931.14,15262,142.11,1358,8046,52.72
SHILPAMED,EQ,2015-02-13,930.20,933.00,958.00,933.00,942.95,942.85,946.56,32579,308.38,1972,15665,48.08
SHILPAMED,EQ,2015-02-16,942.85,923.00,935.95,888.20,901.00,895.25,903.88,31264,282.59,2177,16620,53.16
SHILPAMED,EQ,2015-02-18,895.25,897.95,911.00,886.05,893.15,891.55,899.24,15223,136.89,980,7030,46.18
SHILPAMED,EQ,2015-02-19,891.55,894.90,905.05,869.00,871.15,874.60,879.33,15120,132.96,1192,8504,56.24
SHILPAMED,EQ,2015-02-20,874.60,878.00,888.00,869.00,871.00,870.40,874.55,7015,61.35,557,4938,70.39
SHILPAMED,EQ,2015-02-23,870.40,868.05,880.20,831.15,845.05,842.50,849.60,15948,135.49,1445,10175,63.80
SHILPAMED,EQ,2015-02-24,842.50,842.00,850.00,805.05,814.95,816.75,823.87,18666,153.78,1792,11661,62.47
SHILPAMED,EQ,2015-02-25,816.75,819.90,838.00,805.45,810.00,815.45,822.20,10665,87.69,1303,5271,49.42
SHILPAMED,EQ,2015-02-26,815.45,818.00,821.00,805.00,807.00,807.65,812.15,6543,53.14,601,3872,59.18
SHILPAMED,EQ,2015-02-27,807.65,810.00,839.60,805.00,828.00,827.95,822.69,17640,145.12,1208,9525,54.00
SHILPAMED,EQ,2015-02-28,827.95,831.00,837.90,805.50,819.15,813.80,819.57,8238,67.52,916,3925,47.65
SHILPAMED,EQ,2015-03-02,813.80,817.00,824.95,807.00,824.00,817.80,814.31,8832,71.92,678,5362,60.71
SHILPAMED,EQ,2015-03-03,817.80,820.95,820.95,762.35,774.00,779.75,787.84,52179,411.09,3404,26103,50.03
SHILPAMED,EQ,2015-03-04,779.75,785.95,800.15,780.80,792.00,786.05,789.65,19689,155.47,963,12159,61.76
SHILPAMED,EQ,2015-03-05,786.05,783.00,789.00,767.00,777.70,773.85,776.59,9598,74.54,1001,6556,68.31
SHILPAMED,EQ,2015-03-09,773.85,767.00,798.95,767.00,788.50,784.95,788.10,21159,166.75,1290,11638,55.00
SHILPAMED,EQ,2015-03-10,784.95,803.00,941.90,803.00,918.00,925.15,912.92,252227,2302.63,11321,62269,24.69
SHILPAMED,EQ,2015-03-11,925.15,929.90,1018.00,882.20,980.10,983.95,970.76,363215,3525.93,20249,62849,17.30
SHILPAMED,EQ,2015-03-12,983.95,984.90,998.00,953.60,990.00,987.45,983.57,116866,1149.45,6677,26959,23.07
SHILPAMED,EQ,2015-03-13,987.45,990.00,1025.00,972.15,982.95,977.30,1001.52,121014,1211.98,5780,33654,27.81
