Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHRIRAMCIT,EQ,2014-12-04,1705.15,1692.00,1734.95,1692.00,1697.00,1698.80,1700.41,38614,656.60,371,37453,96.99
SHRIRAMCIT,N3,2014-12-04,1098.50,1098.00,1098.50,1084.02,1098.49,1098.49,1095.14,460,5.04,13,453,98.48
SHRIRAMCIT,N7,2014-12-04,1060.00,1060.00,1061.50,1060.00,1061.50,1061.50,1060.11,220,2.33,6,220,100.00
SHRIRAMCIT,NE,2014-12-04,1061.00,1060.00,1065.00,1060.00,1065.00,1065.00,1062.28,220,2.34,14,220,100.00
SHRIRAMCIT,EQ,2014-12-05,1698.80,1702.00,1708.95,1675.00,1675.00,1685.40,1680.45,53465,898.45,322,52346,97.91
SHRIRAMCIT,N3,2014-12-05,1098.49,1099.95,1099.95,1091.33,1091.40,1091.41,1091.55,58,0.63,5,58,100.00
SHRIRAMCIT,N7,2014-12-05,1061.50,1060.05,1060.05,1060.05,1060.05,1060.05,1060.05,20,0.21,1,20,100.00
SHRIRAMCIT,N8,2014-12-05,1075.00,1080.00,1080.00,1079.00,1079.00,1079.00,1079.40,250,2.70,4,250,100.00
SHRIRAMCIT,ND,2014-12-05,1090.00,1086.05,1087.40,1086.05,1087.40,1087.40,1086.73,300,3.26,4,150,50.00
SHRIRAMCIT,EQ,2014-12-08,1685.40,1677.00,1692.75,1670.00,1682.75,1684.05,1684.35,3815,64.26,293,3445,90.30
SHRIRAMCIT,N8,2014-12-08,1079.00,1078.10,1078.10,1078.10,1078.10,1078.10,1078.10,100,1.08,2,100,100.00
SHRIRAMCIT,NB,2014-12-08,1067.70,1067.00,1075.32,1067.00,1075.32,1075.32,1068.39,120,1.28,3,110,91.67
SHRIRAMCIT,NC,2014-12-08,1065.00,1066.10,1066.10,1066.10,1066.10,1066.10,1066.10,30,0.32,1,30,100.00
SHRIRAMCIT,ND,2014-12-08,1087.40,1088.01,1088.01,1088.01,1088.01,1088.01,1088.01,25,0.27,1,25,100.00
SHRIRAMCIT,NE,2014-12-08,1065.00,1060.01,1060.01,1060.01,1060.01,1060.01,1060.01,10,0.11,1,10,100.00
SHRIRAMCIT,EQ,2014-12-09,1684.05,1672.45,1710.00,1672.45,1710.00,1692.90,1682.90,17968,302.38,297,17611,98.01
SHRIRAMCIT,N3,2014-12-09,1091.41,1093.00,1105.79,1090.00,1105.79,1105.79,1093.54,225,2.46,5,225,100.00
SHRIRAMCIT,N7,2014-12-09,1060.05,1060.05,1060.05,1060.05,1060.05,1060.05,1060.05,100,1.06,1,100,100.00
SHRIRAMCIT,N9,2014-12-09,1242.50,1245.00,1245.00,1245.00,1245.00,1245.00,1245.00,100,1.25,1,100,100.00
SHRIRAMCIT,NB,2014-12-09,1075.32,1076.10,1076.10,1074.30,1075.00,1074.65,1075.98,210,2.26,5,205,97.62
SHRIRAMCIT,EQ,2014-12-10,1692.90,1692.90,1705.00,1680.00,1691.00,1690.05,1681.62,8809,148.13,134,8407,95.44
SHRIRAMCIT,N3,2014-12-10,1105.79,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,120,1.32,3,120,100.00
SHRIRAMCIT,NA,2014-12-10,1226.30,1260.00,1260.00,1255.00,1255.00,1255.00,1256.15,260,3.27,32,260,100.00
SHRIRAMCIT,NB,2014-12-10,1074.65,1000.01,1010.00,1000.01,1005.00,1005.00,1003.48,252,2.53,10,121,48.02
SHRIRAMCIT,NC,2014-12-10,1066.10,1040.00,1040.00,1040.00,1040.00,1040.00,1040.00,10,0.10,1,10,100.00
SHRIRAMCIT,ND,2014-12-10,1088.01,1018.99,1018.99,1018.99,1018.99,1018.99,1018.99,10,0.10,1,10,100.00
