Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHYAMCENT,BE,2015-07-28,167.70,10.00,10.00,9.50,9.50,9.50,9.61,43685,4.20,27,-,-
SHYAMCENT,BE,2015-07-29,9.50,9.05,9.05,9.05,9.05,9.05,9.05,3645,0.33,10,-,-
SHYAMCENT,BE,2015-07-30,9.05,8.60,8.60,8.60,8.60,8.60,8.60,11187,0.96,10,-,-
SHYAMCENT,BL,2015-07-30,167.70,8.60,8.60,8.60,8.60,8.60,8.60,1000000,86.00,1,1000000,100.00
SHYAMCENT,BE,2015-07-31,8.60,8.20,8.20,8.20,8.20,8.20,8.20,1805,0.15,10,-,-
SHYAMCENT,BL,2015-07-31,8.60,8.60,8.60,8.60,8.60,8.60,8.60,1500000,129.00,1,1500000,100.00
SHYAMCENT,BE,2015-08-03,8.20,7.80,7.80,7.80,7.80,7.80,7.80,20596,1.61,23,-,-
SHYAMCENT,BE,2015-08-04,7.80,7.45,7.45,7.45,7.45,7.45,7.45,3490,0.26,12,-,-
SHYAMCENT,BL,2015-08-04,8.60,7.45,7.45,7.45,7.45,7.45,7.45,2500000,186.25,2,2500000,100.00
SHYAMCENT,BE,2015-08-05,7.45,7.10,7.10,7.10,7.10,7.10,7.10,13125,0.93,11,-,-
SHYAMCENT,BL,2015-08-05,7.45,7.10,7.10,7.10,7.10,7.10,7.10,2200000,156.20,1,2200000,100.00
SHYAMCENT,BE,2015-08-06,7.10,6.75,6.75,6.75,6.75,6.75,6.75,1505,0.10,4,-,-
SHYAMCENT,BL,2015-08-06,7.10,6.75,6.75,6.75,6.75,6.75,6.75,4500000,303.75,2,4500000,100.00
SHYAMCENT,BE,2015-08-07,6.75,6.45,6.45,6.45,6.45,6.45,6.45,42548,2.74,22,-,-
SHYAMCENT,BL,2015-08-07,6.75,6.45,6.45,6.45,6.45,6.45,6.45,5300000,341.85,2,5300000,100.00
SHYAMCENT,BE,2015-08-10,6.45,6.20,6.75,6.15,6.75,6.75,6.23,173131,10.78,103,-,-
SHYAMCENT,BL,2015-08-10,6.45,6.15,6.15,6.15,6.15,6.15,6.15,6310088,388.07,4,6310088,100.00
SHYAMCENT,EQ,2015-08-11,6.75,8.10,8.10,8.00,8.10,8.10,8.09,60701,4.91,75,52700,86.82
SHYAMCENT,EQ,2015-08-12,8.10,9.65,9.70,9.05,9.70,9.70,9.70,173165,16.80,205,161379,93.19
SHYAMCENT,EQ,2015-08-13,9.70,10.65,10.65,10.65,10.65,10.65,10.65,134049,14.28,70,119035,88.80
SHYAMCENT,EQ,2015-08-14,10.65,11.70,11.70,11.70,11.70,11.70,11.70,174776,20.45,110,144269,82.55
SHYAMCENT,EQ,2015-08-17,11.70,12.85,12.85,10.70,12.60,12.60,12.69,476936,60.51,723,348620,73.10
SHYAMCENT,EQ,2015-08-18,12.60,13.15,13.15,12.00,12.00,12.00,12.49,414567,51.80,444,338091,81.55
SHYAMCENT,BL,2015-08-19,6.15,11.75,12.00,11.75,12.00,11.90,11.89,10488000,1246.76,4,10488000,100.00
SHYAMCENT,EQ,2015-08-19,12.00,11.40,12.45,11.40,11.40,11.40,11.63,189344,22.03,291,143026,75.54
SHYAMCENT,BL,2015-08-20,11.90,11.05,11.05,11.05,11.05,11.05,11.05,1000000,110.50,1,1000000,100.00
SHYAMCENT,EQ,2015-08-20,11.40,10.85,11.15,10.85,10.85,10.85,10.89,46017,5.01,56,45552,98.99
SHYAMCENT,BL,2015-08-21,11.05,10.35,10.35,10.35,10.35,10.35,10.35,2500000,258.75,1,2500000,100.00
SHYAMCENT,EQ,2015-08-21,10.85,10.95,10.95,10.35,10.35,10.35,10.36,18543,1.92,25,18543,100.00
SHYAMCENT,BL,2015-08-24,10.35,10.25,10.25,10.25,10.25,10.25,10.25,3500000,358.75,2,3500000,100.00
SHYAMCENT,EQ,2015-08-24,10.35,9.85,9.85,9.85,9.85,9.85,9.85,8280,0.82,9,8280,100.00
SHYAMCENT,BL,2015-08-25,10.25,9.40,9.40,9.40,9.40,9.40,9.40,1000000,94.00,1,1000000,100.00
SHYAMCENT,EQ,2015-08-25,9.85,9.40,9.40,9.40,9.40,9.40,9.40,6339,0.60,19,6338,99.98
SHYAMCENT,EQ,2015-08-26,9.40,8.95,8.95,8.95,8.95,8.95,8.95,2458,0.22,13,2458,100.00
SHYAMCENT,EQ,2015-08-27,8.95,8.55,8.55,8.55,8.55,8.55,8.55,16010,1.37,13,16010,100.00
SHYAMCENT,EQ,2015-08-28,8.55,8.15,8.85,8.15,8.15,8.15,8.24,177081,14.60,176,144427,81.56
SHYAMCENT,EQ,2015-08-31,8.15,7.75,7.75,7.75,7.75,7.75,7.75,51793,4.01,35,51255,98.96
SHYAMCENT,EQ,2015-09-01,7.75,7.40,7.50,7.40,7.40,7.40,7.42,30840,2.29,22,30840,100.00
SHYAMCENT,EQ,2015-09-02,7.40,7.05,7.05,7.05,7.05,7.05,7.05,12137,0.86,15,12136,99.99
SHYAMCENT,EQ,2015-09-03,7.05,6.70,7.40,6.70,6.70,6.70,6.78,492082,33.39,329,391895,79.64
SHYAMCENT,EQ,2015-09-04,6.70,6.65,6.65,6.40,6.40,6.40,6.40,35828,2.29,34,28977,80.88
SHYAMCENT,EQ,2015-09-07,6.40,6.10,6.70,6.10,6.10,6.10,6.24,159675,9.96,177,141986,88.92
SHYAMCENT,EQ,2015-09-08,6.10,5.90,6.10,5.80,5.90,5.95,5.85,70801,4.14,90,54161,76.50
SHYAMCENT,EQ,2015-09-09,5.95,5.70,6.20,5.70,5.70,5.70,5.80,211233,12.25,223,177519,84.04
SHYAMCENT,EQ,2015-09-10,5.70,5.70,5.70,5.45,5.45,5.45,5.51,86498,4.77,79,66386,76.75
SHYAMCENT,EQ,2015-09-11,5.45,5.40,5.70,5.20,5.70,5.70,5.40,146275,7.90,122,105796,72.33
SHYAMCENT,EQ,2015-09-14,5.70,5.95,5.95,5.95,5.95,5.95,5.95,259,0.02,4,259,100.00
SHYAMCENT,EQ,2015-09-15,5.95,6.20,6.20,6.20,6.20,6.20,6.20,1959,0.12,8,1959,100.00
SHYAMCENT,EQ,2015-09-16,6.20,6.50,6.50,6.50,6.50,6.50,6.50,6719,0.44,8,6660,99.12
SHYAMCENT,EQ,2015-09-18,6.50,6.80,6.80,6.80,6.80,6.80,6.80,1986,0.14,8,1986,100.00
SHYAMCENT,EQ,2015-09-21,6.80,7.10,7.10,7.10,7.10,7.10,7.10,16492,1.17,17,16491,99.99
SHYAMCENT,EQ,2015-09-22,7.10,7.45,7.45,7.45,7.45,7.45,7.45,1490,0.11,8,1487,99.80
SHYAMCENT,EQ,2015-09-23,7.45,7.80,7.80,7.80,7.80,7.80,7.80,15120,1.18,7,15120,100.00
SHYAMCENT,EQ,2015-09-24,7.80,8.15,8.15,8.15,8.15,8.15,8.15,208,0.02,3,208,100.00
SHYAMCENT,EQ,2015-09-28,8.15,8.55,8.55,8.55,8.55,8.55,8.55,1003,0.09,5,1003,100.00
SHYAMCENT,EQ,2015-09-29,8.55,8.95,8.95,8.95,8.95,8.95,8.95,844,0.08,3,822,97.39
SHYAMCENT,EQ,2015-09-30,8.95,9.35,9.35,9.35,9.35,9.35,9.35,509,0.05,3,509,100.00
SHYAMCENT,EQ,2015-10-01,9.35,9.80,9.80,9.80,9.80,9.80,9.80,13797,1.35,25,13795,99.99
SHYAMCENT,EQ,2015-10-05,9.80,10.20,10.25,9.35,9.45,9.45,9.58,126607,12.13,222,102215,80.73
SHYAMCENT,EQ,2015-10-06,9.45,9.80,9.80,9.00,9.15,9.00,9.04,82550,7.46,102,61097,74.01
SHYAMCENT,EQ,2015-10-07,9.00,9.40,9.40,8.80,9.10,9.10,9.19,18446,1.69,29,17302,93.80
SHYAMCENT,EQ,2015-10-08,9.10,9.10,9.40,8.70,9.05,9.05,9.03,27413,2.48,52,27075,98.77
SHYAMCENT,EQ,2015-10-09,9.05,8.80,9.35,8.80,8.80,8.85,9.01,17604,1.59,50,14604,82.96
SHYAMCENT,EQ,2015-10-12,8.85,8.50,9.15,8.50,9.05,8.80,8.77,15175,1.33,27,10815,71.27
SHYAMCENT,EQ,2015-10-13,8.80,8.65,8.65,8.40,8.40,8.50,8.50,16515,1.40,43,14216,86.08
SHYAMCENT,EQ,2015-10-14,8.50,8.40,8.40,8.10,8.10,8.10,8.13,45460,3.69,82,39755,87.45
SHYAMCENT,EQ,2015-10-15,8.10,7.70,7.85,7.70,7.70,7.70,7.73,19879,1.54,50,17345,87.25
SHYAMCENT,EQ,2015-10-16,7.70,7.85,7.85,7.35,7.65,7.40,7.39,53207,3.93,76,47327,88.95
SHYAMCENT,EQ,2015-10-19,7.40,7.75,7.75,7.05,7.75,7.75,7.56,22283,1.69,48,16098,72.24
SHYAMCENT,EQ,2015-10-20,7.75,7.95,8.10,7.95,8.10,8.10,8.00,2635,0.21,11,1935,73.43
SHYAMCENT,EQ,2015-10-21,8.10,8.35,8.50,8.35,8.50,8.50,8.49,6778,0.58,12,6778,100.00
SHYAMCENT,EQ,2015-10-23,8.50,8.90,8.90,8.90,8.90,8.90,8.90,3774,0.34,12,3774,100.00
SHYAMCENT,EQ,2015-10-26,8.90,9.30,9.30,9.30,9.30,9.30,9.30,9578,0.89,18,9578,100.00
SHYAMCENT,EQ,2015-10-27,9.30,9.75,9.75,9.10,9.60,9.35,9.59,34564,3.32,62,34564,100.00
SHYAMCENT,EQ,2015-10-28,9.35,9.75,9.75,8.90,9.00,9.00,9.02,23759,2.14,46,20809,87.58
SHYAMCENT,EQ,2015-10-29,9.00,8.90,9.45,8.90,9.45,9.45,9.38,22173,2.08,38,20435,92.16
SHYAMCENT,EQ,2015-10-30,9.45,9.40,9.90,9.40,9.45,9.50,9.68,28840,2.79,68,17020,59.02
SHYAMCENT,EQ,2015-11-02,9.50,9.50,9.90,9.05,9.10,9.05,9.27,33108,3.07,59,29011,87.63
SHYAMCENT,EQ,2015-11-03,9.05,9.30,9.50,8.75,9.50,9.45,9.33,24940,2.33,40,19731,79.11
