Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHYAMTEL,EQ,2014-12-04,31.10,32.55,32.55,30.50,30.60,31.15,31.02,1267,0.39,37,706,55.72
SHYAMTEL,EQ,2014-12-05,31.15,31.00,31.55,30.70,31.05,31.00,31.05,2618,0.81,47,1845,70.47
SHYAMTEL,EQ,2014-12-08,31.00,30.10,31.50,30.10,30.80,30.80,31.35,265,0.08,8,261,98.49
SHYAMTEL,EQ,2014-12-09,30.80,30.55,31.00,30.40,30.50,30.55,30.58,2073,0.63,30,1609,77.62
SHYAMTEL,EQ,2014-12-10,30.55,30.90,31.90,30.25,30.90,30.90,31.07,1392,0.43,29,846,60.78
SHYAMTEL,EQ,2014-12-11,30.90,31.50,31.50,30.20,30.20,30.20,31.26,751,0.23,9,737,98.14
SHYAMTEL,EQ,2014-12-12,30.20,29.50,32.00,29.30,32.00,31.70,31.02,2423,0.75,29,1774,73.22
SHYAMTEL,EQ,2014-12-15,31.70,30.50,30.85,30.05,30.05,30.15,30.25,2474,0.75,40,1629,65.84
SHYAMTEL,EQ,2014-12-16,30.15,31.90,31.90,29.00,29.40,29.10,29.59,1888,0.56,98,1089,57.68
SHYAMTEL,EQ,2014-12-17,29.10,28.35,30.95,28.00,30.00,29.65,28.81,941,0.27,68,655,69.61
SHYAMTEL,EQ,2014-12-18,29.65,29.35,30.00,29.00,29.65,29.55,29.42,2526,0.74,49,1285,50.87
SHYAMTEL,EQ,2014-12-19,29.55,29.45,31.50,29.30,31.00,30.65,30.73,2352,0.72,59,1629,69.26
SHYAMTEL,EQ,2014-12-22,30.65,30.00,31.45,29.50,30.55,30.50,30.25,903,0.27,55,305,33.78
SHYAMTEL,EQ,2014-12-23,30.50,30.00,31.40,29.00,29.50,29.70,30.66,1405,0.43,91,334,23.77
SHYAMTEL,EQ,2014-12-24,29.70,29.65,29.65,26.50,29.15,28.85,28.31,11713,3.32,152,7921,67.63
SHYAMTEL,EQ,2014-12-26,28.85,28.00,31.60,27.50,31.40,31.40,30.16,4770,1.44,93,3070,64.36
SHYAMTEL,EQ,2014-12-29,31.40,31.45,31.60,28.65,31.60,31.40,30.83,8228,2.54,136,5404,65.68
SHYAMTEL,EQ,2014-12-30,31.40,31.40,31.95,30.20,30.35,30.30,31.05,3345,1.04,33,2943,87.98
SHYAMTEL,EQ,2014-12-31,30.30,30.30,30.50,30.00,30.00,30.00,30.10,3694,1.11,19,3080,83.38
SHYAMTEL,EQ,2015-01-01,30.00,30.00,31.70,29.10,31.70,31.65,31.06,4332,1.35,50,3513,81.09
SHYAMTEL,EQ,2015-01-02,31.65,31.00,32.50,30.00,31.05,31.05,31.80,2849,0.91,69,1795,63.00
SHYAMTEL,EQ,2015-01-05,31.05,30.00,31.90,29.40,30.65,30.65,30.70,521,0.16,19,427,81.96
SHYAMTEL,EQ,2015-01-06,30.65,32.00,32.35,30.10,31.80,31.05,31.14,1338,0.42,109,264,19.73
SHYAMTEL,EQ,2015-01-07,31.05,30.05,30.50,30.00,30.00,30.10,30.09,1046,0.31,16,645,61.66
SHYAMTEL,EQ,2015-01-08,30.10,32.05,32.05,30.15,30.75,30.65,30.48,1979,0.60,74,791,39.97
SHYAMTEL,EQ,2015-01-09,30.65,30.60,32.00,29.90,32.00,31.00,30.88,4953,1.53,32,3868,78.09
SHYAMTEL,EQ,2015-01-12,31.00,30.30,30.50,30.00,30.10,30.10,30.28,1026,0.31,20,602,58.67
SHYAMTEL,EQ,2015-01-13,30.10,29.50,34.60,29.20,32.70,32.65,32.08,23896,7.67,153,8530,35.70
SHYAMTEL,EQ,2015-01-14,32.65,32.15,34.20,31.55,31.70,32.00,33.16,13558,4.50,111,6278,46.30
SHYAMTEL,EQ,2015-01-15,32.00,33.70,33.70,30.90,30.90,31.20,31.95,2049,0.65,57,1594,77.79
SHYAMTEL,EQ,2015-01-16,31.20,31.00,32.40,31.00,32.00,31.75,31.89,1314,0.42,23,1184,90.11
SHYAMTEL,EQ,2015-01-19,31.75,30.35,35.80,30.35,32.00,31.85,32.70,21984,7.19,322,5514,25.08
SHYAMTEL,EQ,2015-01-20,31.85,31.00,33.55,31.00,33.00,32.90,32.92,6013,1.98,73,5097,84.77
SHYAMTEL,EQ,2015-01-21,32.90,33.00,33.25,32.20,32.60,32.35,32.53,7764,2.53,40,7149,92.08
SHYAMTEL,EQ,2015-01-22,32.35,32.00,33.00,31.70,31.70,31.70,32.05,3662,1.17,47,2444,66.74
SHYAMTEL,EQ,2015-01-23,31.70,33.60,33.60,30.60,31.25,31.35,31.38,3366,1.06,97,2002,59.48
