Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SIGNET,EQ,2015-03-13,127.60,127.00,127.00,118.00,122.00,122.00,121.99,62,0.08,6,59,95.16
SIGNET,EQ,2015-03-16,122.00,105.00,126.90,105.00,126.00,124.50,112.17,10341,11.60,62,10029,96.98
SIGNET,EQ,2015-03-17,124.50,120.00,126.00,108.25,112.00,114.30,112.09,8231,9.23,36,7934,96.39
SIGNET,EQ,2015-03-18,114.30,114.10,114.50,110.00,111.30,113.10,111.61,576,0.64,19,472,81.94
SIGNET,EQ,2015-03-19,113.10,117.00,129.90,113.15,119.50,119.50,121.97,419,0.51,15,402,95.94
SIGNET,EQ,2015-03-20,119.50,120.00,120.00,111.60,111.75,111.75,116.60,171,0.20,6,120,70.18
SIGNET,EQ,2015-03-23,111.75,112.00,112.00,91.10,108.00,108.00,103.20,868,0.90,33,620,71.43
SIGNET,EQ,2015-03-24,108.00,106.50,106.50,106.50,106.50,106.50,106.50,91,0.10,1,91,100.00
SIGNET,EQ,2015-03-25,106.50,111.50,111.50,111.00,111.00,111.00,111.17,75,0.08,2,75,100.00
SIGNET,EQ,2015-03-26,111.00,102.50,102.50,102.50,102.50,102.50,102.50,22,0.02,1,22,100.00
SIGNET,EQ,2015-03-27,102.50,99.00,112.00,94.60,100.00,104.00,99.46,14,0.01,6,6,42.86
SIGNET,EQ,2015-03-30,104.00,87.25,115.80,87.25,96.70,104.60,99.49,2547,2.53,39,489,19.20
SIGNET,EQ,2015-03-31,104.60,100.30,107.80,100.30,101.35,104.50,104.48,4112,4.30,27,112,2.72
SIGNET,EQ,2015-04-01,104.50,105.10,106.00,98.65,104.00,102.70,102.07,1186,1.21,17,700,59.02
SIGNET,EQ,2015-04-06,102.70,112.00,112.00,99.05,105.95,103.30,103.38,1203,1.24,13,1,0.08
SIGNET,EQ,2015-04-07,103.30,104.00,109.00,104.00,109.00,109.00,108.34,842,0.91,26,762,90.50
SIGNET,EQ,2015-04-08,109.00,103.10,114.95,103.10,110.00,110.00,106.89,8400,8.98,14,100,1.19
SIGNET,EQ,2015-04-09,110.00,114.00,114.00,104.20,113.00,108.60,109.87,525,0.58,6,125,23.81
SIGNET,EQ,2015-04-10,108.60,117.00,117.00,110.00,110.00,110.00,110.85,82,0.09,2,82,100.00
SIGNET,EQ,2015-04-13,110.00,119.95,132.00,115.00,125.00,123.65,122.82,1230,1.51,49,770,62.60
SIGNET,EQ,2015-04-15,123.65,124.00,134.70,122.00,127.00,127.15,126.68,1695,2.15,32,1575,92.92
SIGNET,EQ,2015-04-16,127.15,123.30,152.55,114.35,152.55,152.05,140.12,58051,81.34,578,23085,39.77
SIGNET,EQ,2015-04-17,152.05,153.00,167.25,142.30,167.25,165.45,163.04,156011,254.36,1479,18805,12.05
SIGNET,EQ,2015-04-20,165.45,164.90,170.00,158.00,160.00,159.30,162.95,25705,41.89,458,8543,33.23
SIGNET,EQ,2015-04-21,159.30,164.00,165.00,156.50,158.20,158.20,160.61,11848,19.03,168,3331,28.11
SIGNET,EQ,2015-04-22,158.20,160.00,166.50,153.00,160.30,160.20,160.07,37825,60.55,123,30797,81.42
SIGNET,EQ,2015-04-23,160.20,160.85,160.95,157.95,157.95,158.10,158.77,7994,12.69,41,1610,20.14
SIGNET,EQ,2015-04-24,158.10,162.00,162.00,148.00,153.50,153.50,151.06,1517,2.29,64,1013,66.78
SIGNET,EQ,2015-04-27,153.50,142.70,152.90,141.00,144.00,144.00,144.23,5881,8.48,51,5654,96.14
SIGNET,EQ,2015-04-28,144.00,144.00,152.00,144.00,150.00,150.90,148.96,996,1.48,28,946,94.98
SIGNET,EQ,2015-04-29,150.90,155.00,158.00,152.00,152.00,152.00,152.36,2541,3.87,14,2464,96.97
SIGNET,EQ,2015-04-30,152.00,152.50,154.40,149.20,150.00,150.05,150.21,1867,2.80,22,1831,98.07
SIGNET,EQ,2015-05-04,150.05,145.00,173.90,145.00,161.00,160.65,165.05,7077,11.68,154,3580,50.59
SIGNET,EQ,2015-05-05,160.65,155.00,175.00,150.05,159.65,162.90,162.77,9667,15.73,177,1990,20.59
SIGNET,EQ,2015-05-06,162.90,160.05,162.00,153.10,162.00,160.95,157.99,252,0.40,22,226,89.68
SIGNET,EQ,2015-05-07,160.95,155.00,159.50,154.00,159.00,159.00,157.56,144,0.23,8,72,50.00
SIGNET,EQ,2015-05-08,159.00,164.00,164.00,158.00,158.00,158.00,159.85,669,1.07,15,512,76.53
SIGNET,EQ,2015-05-11,158.00,151.00,162.90,145.00,162.90,162.70,146.37,16771,24.55,84,16668,99.39
SIGNET,EQ,2015-05-12,162.70,162.00,162.00,157.70,159.00,159.85,159.43,914,1.46,26,729,79.76
SIGNET,EQ,2015-05-13,159.85,158.90,163.00,157.00,163.00,162.15,161.45,882,1.42,15,851,96.49
SIGNET,EQ,2015-05-14,162.15,162.15,180.00,162.15,165.00,166.90,172.81,7404,12.79,139,4023,54.34
SIGNET,EQ,2015-05-15,166.90,166.90,170.05,157.00,168.00,168.90,168.65,1087,1.83,40,921,84.73
SIGNET,EQ,2015-05-18,168.90,170.00,177.50,165.00,176.90,173.85,172.11,2888,4.97,75,2030,70.29
SIGNET,EQ,2015-05-19,173.85,180.00,190.00,173.00,177.10,178.15,177.43,2069,3.67,61,1497,72.35
SIGNET,EQ,2015-05-20,178.15,180.00,201.50,178.00,197.00,195.60,189.25,8420,15.94,231,4325,51.37
SIGNET,EQ,2015-05-21,195.60,193.00,223.00,192.20,210.00,213.75,215.33,28981,62.41,471,11399,39.33
SIGNET,EQ,2015-05-22,213.75,213.70,217.90,207.00,216.90,211.10,212.25,2471,5.24,119,1232,49.86
SIGNET,EQ,2015-05-25,211.10,218.85,218.85,211.10,212.10,212.15,213.26,584,1.25,26,453,77.57
SIGNET,EQ,2015-05-26,212.15,209.50,212.15,196.95,203.00,203.85,203.80,3336,6.80,120,720,21.58
SIGNET,EQ,2015-05-27,203.85,200.00,205.50,195.70,202.00,202.00,201.87,2397,4.84,48,1364,56.90
SIGNET,EQ,2015-05-28,202.00,178.00,209.00,177.00,203.00,203.25,199.06,786,1.56,41,462,58.78
SIGNET,EQ,2015-05-29,203.25,198.05,212.75,198.05,204.00,203.50,204.12,23165,47.28,159,20248,87.41
SIGNET,EQ,2015-06-01,203.50,223.45,223.45,196.70,203.90,202.30,201.92,1419,2.87,65,981,69.13
SIGNET,EQ,2015-06-02,202.30,200.00,204.90,198.00,198.00,200.90,200.79,532,1.07,14,430,80.83
SIGNET,EQ,2015-06-03,200.90,195.20,205.00,190.00,204.00,198.05,200.54,1517,3.04,78,1222,80.55
SIGNET,EQ,2015-06-04,198.05,198.05,215.00,198.05,199.10,201.00,203.39,2136,4.34,76,1250,58.52
SIGNET,EQ,2015-06-05,201.00,202.10,219.10,202.00,214.40,213.25,208.18,4471,9.31,97,3346,74.84
SIGNET,EQ,2015-06-08,213.25,216.60,216.60,209.10,211.95,210.55,212.19,4052,8.60,79,3121,77.02
SIGNET,EQ,2015-06-09,210.55,210.00,217.95,209.00,211.00,211.95,210.44,21113,44.43,90,10000,47.36
SIGNET,EQ,2015-06-10,211.95,207.10,212.90,207.10,210.00,210.30,208.87,185,0.39,6,150,81.08
SIGNET,EQ,2015-06-11,210.30,205.10,213.00,205.10,211.00,210.75,210.54,1004,2.11,14,609,60.66
SIGNET,EQ,2015-06-12,210.75,206.40,215.00,206.40,215.00,211.10,210.38,2346,4.94,61,2230,95.06
SIGNET,EQ,2015-06-15,211.10,208.80,218.80,208.80,218.80,215.85,213.69,1915,4.09,26,1614,84.28
SIGNET,EQ,2015-06-16,215.85,218.40,224.80,217.50,220.05,220.10,220.38,1669,3.68,37,1280,76.69
SIGNET,EQ,2015-06-17,220.10,215.00,223.00,208.10,217.00,218.90,219.97,286,0.63,20,141,49.30
SIGNET,EQ,2015-06-18,218.90,215.10,221.00,215.00,215.00,216.05,216.30,261,0.56,12,260,99.62
SIGNET,EQ,2015-06-19,216.05,210.00,215.00,205.60,211.05,211.10,212.80,616,1.31,25,498,80.84
SIGNET,EQ,2015-06-22,211.10,213.40,234.10,213.40,230.00,228.05,223.34,9431,21.06,229,3526,37.39
SIGNET,EQ,2015-06-23,228.05,225.50,268.40,225.50,250.00,246.55,243.65,21419,52.19,633,5206,24.31
SIGNET,EQ,2015-06-24,246.55,245.00,270.10,245.00,260.00,260.40,258.29,18186,46.97,405,3610,19.85
