Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SIL,BE,2014-12-03,17.55,18.10,18.10,17.50,17.50,17.50,17.99,61,0.01,4,-,-
SIL,BE,2014-12-04,17.50,17.00,17.90,17.00,17.55,17.60,17.50,1052,0.18,8,-,-
SIL,BE,2014-12-05,17.60,17.40,17.60,17.35,17.35,17.35,17.48,1001,0.17,12,-,-
SIL,BE,2014-12-08,17.35,17.40,17.75,17.00,17.00,17.40,17.47,11247,1.97,63,-,-
SIL,BE,2014-12-09,17.40,16.75,17.25,16.70,17.20,17.20,17.11,10322,1.77,26,-,-
SIL,BE,2014-12-10,17.20,16.70,17.60,16.70,17.60,17.60,17.42,16514,2.88,34,-,-
SIL,BE,2014-12-11,17.60,17.10,17.50,17.10,17.25,17.25,17.18,1586,0.27,12,-,-
SIL,BE,2014-12-12,17.25,17.30,17.75,17.30,17.50,17.50,17.40,12588,2.19,40,-,-
SIL,BE,2014-12-15,17.50,17.50,17.50,16.80,16.80,16.80,16.89,4050,0.68,7,-,-
SIL,BE,2014-12-16,16.80,16.75,17.55,16.75,17.55,17.35,17.16,5454,0.94,53,-,-
SIL,BE,2014-12-17,17.35,17.00,17.25,17.00,17.25,17.20,17.15,4561,0.78,17,-,-
SIL,BE,2014-12-18,17.20,16.85,18.05,16.85,17.90,17.70,18.00,1113,0.20,4,-,-
SIL,BE,2014-12-19,17.70,17.15,18.05,16.85,16.90,16.90,17.09,5141,0.88,20,-,-
SIL,BE,2014-12-22,16.90,16.65,17.55,16.65,17.55,17.55,17.00,3951,0.67,5,-,-
SIL,BE,2014-12-23,17.55,17.70,17.85,17.30,17.85,17.50,17.47,1260,0.22,9,-,-
SIL,BE,2014-12-24,17.50,17.15,17.60,17.15,17.50,17.50,17.38,3288,0.57,11,-,-
SIL,BE,2014-12-26,17.50,17.50,18.10,17.25,18.10,18.10,17.53,9845,1.73,13,-,-
SIL,BE,2014-12-29,18.10,18.20,19.00,18.20,19.00,19.00,18.31,27410,5.02,27,-,-
SIL,BE,2014-12-30,19.00,18.55,19.25,18.55,18.90,18.90,18.80,7635,1.44,16,-,-
SIL,BE,2014-12-31,18.90,19.55,19.80,19.55,19.75,19.75,19.74,1013,0.20,9,-,-
SIL,BE,2015-01-01,19.75,20.50,20.50,19.95,20.35,20.35,20.03,1386,0.28,12,-,-
SIL,BE,2015-01-02,20.35,20.50,20.50,19.70,20.00,19.90,19.99,9339,1.87,29,-,-
SIL,BE,2015-01-05,19.90,19.30,19.50,19.05,19.10,19.10,19.28,9699,1.87,42,-,-
SIL,BE,2015-01-06,19.10,18.75,19.00,18.75,18.95,18.95,18.93,16960,3.21,14,-,-
SIL,BE,2015-01-07,18.95,19.00,19.20,18.20,18.55,18.55,18.58,25060,4.66,19,-,-
SIL,BE,2015-01-08,18.55,19.00,19.40,18.50,18.50,18.70,19.00,795,0.15,9,-,-
SIL,BE,2015-01-09,18.70,18.30,19.10,18.30,18.75,18.75,18.53,1566,0.29,8,-,-
SIL,BE,2015-01-12,18.75,19.00,19.00,18.10,18.90,18.90,18.47,6258,1.16,20,-,-
SIL,BE,2015-01-13,18.90,19.25,19.55,18.35,18.35,18.35,19.36,4660,0.90,18,-,-
SIL,BE,2015-01-14,18.35,18.35,19.00,17.90,18.25,18.25,18.27,2812,0.51,17,-,-
SIL,BE,2015-01-15,18.25,18.70,18.70,18.70,18.70,18.70,18.70,867,0.16,1,-,-
SIL,BE,2015-01-16,18.70,18.50,18.55,18.35,18.55,18.55,18.47,4103,0.76,6,-,-
SIL,BE,2015-01-19,18.55,18.65,19.00,18.65,18.70,18.70,18.72,2736,0.51,14,-,-
SIL,BE,2015-01-20,18.70,18.50,19.60,18.50,19.60,19.60,19.32,9426,1.82,15,-,-
SIL,BE,2015-01-21,19.60,19.90,20.55,19.90,20.55,20.55,20.51,22025,4.52,29,-,-
SIL,BE,2015-01-22,20.55,21.50,21.55,21.50,21.55,21.55,21.55,16714,3.60,23,-,-
SIL,BE,2015-01-23,21.55,22.60,22.60,22.60,22.60,22.60,22.60,18351,4.15,21,-,-
SIL,BE,2015-01-27,22.60,23.60,23.60,21.50,21.50,21.50,23.17,32614,7.56,67,-,-
SIL,BE,2015-01-28,21.50,22.55,22.55,20.45,21.00,20.70,20.52,17184,3.53,48,-,-
SIL,BE,2015-01-29,20.70,21.70,21.70,21.00,21.70,21.70,21.55,5090,1.10,40,-,-
SIL,BE,2015-01-30,21.70,21.20,21.70,21.20,21.20,21.45,21.42,840,0.18,6,-,-
SIL,BE,2015-02-02,21.45,20.60,21.25,20.50,21.25,21.05,20.88,2187,0.46,15,-,-
SIL,BE,2015-02-03,21.05,20.40,20.50,20.00,20.00,20.35,20.37,2550,0.52,15,-,-
SIL,BE,2015-02-04,20.35,19.40,20.80,19.40,20.25,20.25,20.27,5300,1.07,16,-,-
SIL,BE,2015-02-05,20.25,19.80,20.20,19.25,19.85,19.40,19.61,7653,1.50,34,-,-
SIL,BE,2015-02-06,19.40,19.00,19.75,18.70,18.70,18.70,19.06,5600,1.07,10,-,-
SIL,BE,2015-02-09,18.70,18.10,18.20,18.10,18.15,18.15,18.14,208,0.04,4,-,-
SIL,BE,2015-02-10,18.15,19.00,19.00,18.55,18.55,18.55,18.89,334,0.06,4,-,-
SIL,BE,2015-02-11,18.55,18.75,18.75,17.65,18.20,18.20,18.52,6302,1.17,19,-,-
SIL,BE,2015-02-12,18.20,18.75,19.10,18.75,19.10,19.10,18.76,527,0.10,5,-,-
SIL,BE,2015-02-13,19.10,18.50,19.15,18.40,19.15,19.15,18.59,2819,0.52,13,-,-
SIL,BE,2015-02-16,19.15,18.80,18.80,18.60,18.60,18.75,18.73,750,0.14,2,-,-
SIL,BE,2015-02-18,18.75,18.25,19.00,18.25,19.00,19.00,18.82,1914,0.36,8,-,-
SIL,BE,2015-02-19,19.00,18.65,18.65,18.60,18.60,18.60,18.65,4297,0.80,13,-,-
SIL,BE,2015-02-20,18.60,19.35,19.50,19.10,19.50,19.50,19.38,2097,0.41,10,-,-
SIL,BE,2015-02-23,19.50,19.00,20.00,19.00,20.00,19.90,19.96,5103,1.02,14,-,-
SIL,BE,2015-02-24,19.90,19.70,20.00,19.70,20.00,20.00,19.80,436,0.09,6,-,-
SIL,BE,2015-02-25,20.00,19.55,20.60,19.00,19.55,19.00,19.43,5988,1.16,21,-,-
SIL,BE,2015-02-26,19.00,19.05,19.05,19.00,19.00,19.05,19.05,513,0.10,2,-,-
SIL,BE,2015-02-27,19.05,18.25,19.30,18.25,19.30,19.30,19.00,350,0.07,2,-,-
SIL,BE,2015-02-28,19.30,18.75,19.65,18.75,19.65,19.65,19.10,201,0.04,7,-,-
SIL,BE,2015-03-02,19.65,18.90,18.95,18.80,18.80,18.80,18.87,2170,0.41,14,-,-
SIL,BE,2015-03-03,18.80,18.05,19.70,18.05,19.30,19.60,19.35,5905,1.14,17,-,-
SIL,BE,2015-03-04,19.60,18.90,19.20,18.90,19.05,19.05,19.04,988,0.19,8,-,-
SIL,BE,2015-03-05,19.05,18.55,19.45,18.55,19.45,19.45,19.17,488,0.09,2,-,-
SIL,BE,2015-03-09,19.45,18.95,19.90,18.55,18.55,18.95,19.32,10300,1.99,24,-,-
SIL,BE,2015-03-10,18.95,19.85,19.85,19.85,19.85,19.85,19.85,800,0.16,6,-,-
