Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SIYSIL,EQ,2014-12-04,813.70,816.40,826.00,801.35,801.35,803.50,814.19,2640,21.49,209,1883,71.33
SIYSIL,EQ,2014-12-05,803.50,802.00,817.05,787.00,800.00,802.65,805.49,3638,29.30,381,1648,45.30
SIYSIL,EQ,2014-12-08,802.65,805.05,814.90,790.05,791.50,792.80,801.32,19010,152.33,538,16709,87.90
SIYSIL,EQ,2014-12-09,792.80,800.00,800.05,790.00,790.00,790.10,793.35,4867,38.61,255,4131,84.88
SIYSIL,EQ,2014-12-10,790.10,790.05,805.05,790.05,795.50,803.05,801.97,6067,48.66,237,5471,90.18
SIYSIL,EQ,2014-12-11,803.05,799.40,805.05,790.00,805.00,800.45,799.86,43497,347.92,554,42963,98.77
SIYSIL,EQ,2014-12-12,800.45,802.50,829.95,802.50,815.00,815.35,821.89,7269,59.74,403,5695,78.35
SIYSIL,EQ,2014-12-15,815.35,818.05,835.30,790.00,830.00,827.20,828.81,7798,64.63,369,6276,80.48
SIYSIL,EQ,2014-12-16,827.20,827.10,828.00,812.00,822.00,820.55,822.47,18657,153.45,457,10645,57.06
SIYSIL,EQ,2014-12-17,820.55,815.05,833.00,792.05,828.00,828.45,818.71,3435,28.12,159,2891,84.16
SIYSIL,EQ,2014-12-18,828.45,829.95,890.00,829.95,889.00,880.20,859.21,12798,109.96,619,9939,77.66
SIYSIL,EQ,2014-12-19,880.20,874.05,918.00,874.05,917.00,912.40,910.38,11300,102.87,524,8925,78.98
SIYSIL,EQ,2014-12-22,912.40,911.95,932.00,904.00,915.20,916.10,919.34,6608,60.75,467,4792,72.52
SIYSIL,EQ,2014-12-23,916.10,919.90,927.90,900.00,901.00,903.10,910.35,2887,26.28,323,1501,51.99
SIYSIL,EQ,2014-12-24,903.10,903.35,920.00,900.00,904.00,905.40,902.85,2075,18.73,166,1577,76.00
SIYSIL,EQ,2014-12-26,905.40,901.10,911.00,899.00,900.00,900.00,901.03,2856,25.73,169,2075,72.65
SIYSIL,EQ,2014-12-29,900.00,906.00,919.85,900.00,905.00,902.05,906.20,1933,17.52,149,1395,72.17
SIYSIL,EQ,2014-12-30,902.05,908.00,912.45,902.00,909.80,908.75,908.56,2262,20.55,182,1925,85.10
SIYSIL,EQ,2014-12-31,908.75,911.95,939.95,907.05,925.35,928.70,928.54,6833,63.45,330,5671,82.99
SIYSIL,EQ,2015-01-01,928.70,929.95,945.00,928.00,940.00,940.15,938.58,5541,52.01,241,4501,81.23
SIYSIL,EQ,2015-01-02,940.15,946.00,960.00,943.00,955.00,957.45,951.55,6714,63.89,289,5466,81.41
SIYSIL,EQ,2015-01-05,957.45,951.00,966.00,949.05,966.00,962.55,961.22,5435,52.24,437,3994,73.49
SIYSIL,EQ,2015-01-06,962.55,956.00,967.50,924.95,960.00,955.85,946.95,10839,102.64,856,8251,76.12
SIYSIL,EQ,2015-01-07,955.85,943.05,972.30,934.00,972.30,950.70,945.80,2768,26.18,216,2047,73.95
SIYSIL,EQ,2015-01-08,950.70,945.05,980.00,912.30,950.00,947.90,959.62,4759,45.67,318,2957,62.13
SIYSIL,EQ,2015-01-09,947.90,960.70,964.95,920.05,929.00,932.90,940.59,2846,26.77,259,2157,75.79
SIYSIL,EQ,2015-01-12,932.90,915.85,969.00,911.30,960.00,964.80,949.93,3056,29.03,342,1889,61.81
SIYSIL,EQ,2015-01-13,964.80,962.25,974.00,950.00,960.00,962.35,962.75,3333,32.09,196,2470,74.11
SIYSIL,EQ,2015-01-14,962.35,935.05,999.00,935.05,996.95,990.25,980.71,6233,61.13,315,5219,83.73
SIYSIL,EQ,2015-01-15,990.25,995.30,1018.00,975.20,980.00,983.25,997.20,7094,70.74,627,3465,48.84
SIYSIL,EQ,2015-01-16,983.25,993.70,1040.00,975.00,1030.00,1028.65,1022.53,8972,91.74,707,7412,82.61
SIYSIL,EQ,2015-01-19,1028.65,1044.00,1048.00,999.95,1011.00,1006.95,1028.20,7755,79.74,619,5631,72.61
SIYSIL,EQ,2015-01-20,1006.95,1000.35,1041.00,1000.30,1035.00,1038.25,1029.51,5603,57.68,394,3120,55.68
SIYSIL,EQ,2015-01-21,1038.25,1040.50,1048.00,1025.15,1037.00,1039.10,1037.74,3120,32.38,310,2338,74.94
SIYSIL,EQ,2015-01-22,1039.10,980.00,989.00,952.05,980.00,982.00,972.86,38867,378.12,1226,33393,85.92
SIYSIL,EQ,2015-01-23,982.00,985.00,1000.00,979.00,991.00,994.70,988.30,4833,47.76,235,3554,73.54
SIYSIL,EQ,2015-01-27,994.70,991.00,1010.00,961.85,1007.00,992.85,991.17,4859,48.16,313,4144,85.29
SIYSIL,EQ,2015-01-28,992.85,989.10,1002.80,989.05,991.10,990.85,997.31,6910,68.91,226,6312,91.35
SIYSIL,EQ,2015-01-29,990.85,988.00,1009.00,987.35,991.00,999.70,999.29,5663,56.59,233,5149,90.92
SIYSIL,EQ,2015-01-30,999.70,996.00,999.00,960.85,998.95,992.50,989.63,1579,15.63,215,1061,67.19
SIYSIL,EQ,2015-02-02,992.50,990.00,1000.00,987.95,991.00,993.25,992.20,1275,12.65,131,995,78.04
SIYSIL,EQ,2015-02-03,993.25,997.00,997.00,963.00,964.00,978.15,984.95,301,2.96,86,149,49.50
SIYSIL,EQ,2015-02-04,978.15,981.90,996.00,961.10,976.20,970.70,981.10,981,9.62,140,699,71.25
SIYSIL,EQ,2015-02-05,970.70,967.00,974.00,940.00,945.00,942.20,949.99,976,9.27,168,665,68.14
SIYSIL,EQ,2015-02-06,942.20,946.00,961.95,920.00,925.00,926.85,930.39,1510,14.05,223,828,54.83
SIYSIL,EQ,2015-02-09,926.85,924.05,924.05,870.00,894.80,885.45,893.12,1858,16.59,200,1486,79.98
SIYSIL,EQ,2015-02-10,885.45,909.95,930.00,866.00,920.00,919.20,906.35,2726,24.71,199,2165,79.42
SIYSIL,EQ,2015-02-11,919.20,921.90,938.00,913.95,925.00,921.30,923.11,425,3.92,77,287,67.53
SIYSIL,EQ,2015-02-12,921.30,924.90,924.95,905.00,920.00,912.25,915.35,848,7.76,118,653,77.00
SIYSIL,EQ,2015-02-13,912.25,909.00,920.00,870.05,920.00,912.90,898.69,2948,26.49,273,2036,69.06
SIYSIL,EQ,2015-02-16,912.90,910.10,919.00,900.00,919.00,910.10,907.20,1607,14.58,165,997,62.04
SIYSIL,EQ,2015-02-18,910.10,912.90,920.00,880.05,915.00,911.40,908.14,2337,21.22,258,1391,59.52
SIYSIL,EQ,2015-02-19,911.40,915.00,925.00,878.05,923.00,921.00,907.95,3461,31.42,325,2480,71.66
SIYSIL,EQ,2015-02-20,921.00,918.00,945.00,902.00,930.05,932.30,927.08,6059,56.17,280,4805,79.30
SIYSIL,EQ,2015-02-23,932.30,929.00,947.15,900.00,923.00,915.70,925.38,5230,48.40,249,4465,85.37
SIYSIL,EQ,2015-02-24,915.70,918.90,942.00,912.00,940.00,937.80,933.93,3780,35.30,293,2862,75.71
SIYSIL,EQ,2015-02-25,937.80,934.00,959.95,915.15,955.00,949.55,944.48,6403,60.47,347,5409,84.48
SIYSIL,EQ,2015-02-26,949.55,952.95,975.00,922.10,954.95,946.65,955.68,7306,69.82,668,4897,67.03
SIYSIL,EQ,2015-02-27,946.65,943.10,951.65,928.05,949.75,942.85,942.04,1146,10.80,150,613,53.49
SIYSIL,EQ,2015-02-28,942.85,946.00,969.80,920.20,920.20,934.10,946.87,1808,17.12,239,1273,70.41
SIYSIL,EQ,2015-03-02,934.10,937.00,937.00,900.00,910.00,903.60,907.60,3240,29.41,260,2432,75.06
SIYSIL,EQ,2015-03-03,903.60,907.00,939.00,905.05,925.00,919.90,917.21,3164,29.02,247,2038,64.41
SIYSIL,EQ,2015-03-04,919.90,923.00,939.00,903.50,915.30,925.80,920.56,5584,51.40,333,3567,63.88
SIYSIL,EQ,2015-03-05,925.80,923.00,930.00,910.00,930.00,922.60,919.54,1769,16.27,141,1086,61.39
SIYSIL,EQ,2015-03-09,922.60,919.00,930.00,918.00,929.00,925.05,922.94,1077,9.94,112,803,74.56
SIYSIL,EQ,2015-03-10,925.05,928.00,928.00,901.05,911.45,907.55,912.97,1122,10.24,159,640,57.04
SIYSIL,EQ,2015-03-11,907.55,904.00,925.00,904.00,925.00,916.25,913.74,1228,11.22,156,781,63.60
