Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SOTL,EQ,2014-12-04,731.00,730.95,753.00,720.15,737.10,736.55,740.49,5441,40.29,382,3191,58.65
SOTL,EQ,2014-12-05,736.55,734.60,763.00,732.75,740.00,747.75,749.30,5975,44.77,448,2729,45.67
SOTL,EQ,2014-12-08,747.75,733.05,753.95,725.05,725.05,737.00,741.37,2811,20.84,237,1720,61.19
SOTL,EQ,2014-12-09,737.00,742.00,778.00,718.70,726.00,732.75,756.91,26474,200.39,1350,6032,22.78
SOTL,EQ,2014-12-10,732.75,737.95,754.00,721.00,730.00,733.55,736.61,7754,57.12,463,2348,30.28
SOTL,EQ,2014-12-11,733.55,730.00,740.55,725.10,728.00,730.20,736.06,1619,11.92,128,1137,70.23
SOTL,EQ,2014-12-12,730.20,735.00,739.90,720.95,721.00,722.45,729.28,1878,13.70,137,1112,59.21
SOTL,EQ,2014-12-15,722.45,727.00,734.80,711.40,720.00,718.15,726.06,2368,17.19,115,934,39.44
SOTL,EQ,2014-12-16,718.15,713.00,722.00,688.00,693.00,693.00,700.69,5707,39.99,268,2299,40.28
SOTL,EQ,2014-12-17,693.00,693.00,714.90,642.40,698.00,697.90,675.30,5782,39.05,385,2327,40.25
SOTL,EQ,2014-12-18,697.90,691.00,710.00,683.20,683.20,695.30,697.29,2108,14.70,173,1250,59.30
SOTL,EQ,2014-12-19,695.30,697.00,724.90,697.00,724.90,716.10,705.70,1949,13.75,158,1453,74.55
SOTL,EQ,2014-12-22,716.10,711.00,716.00,693.00,700.50,706.60,706.22,2502,17.67,219,381,15.23
SOTL,EQ,2014-12-23,706.60,702.00,712.50,701.20,707.00,705.80,706.23,2125,15.01,107,452,21.27
SOTL,EQ,2014-12-24,705.80,701.05,709.85,692.00,703.00,699.35,700.14,894,6.26,76,488,54.59
SOTL,EQ,2014-12-26,699.35,695.05,715.00,695.05,704.10,714.00,713.86,41386,295.44,160,40848,98.70
SOTL,EQ,2014-12-29,714.00,709.10,749.00,705.00,714.00,716.55,717.57,45054,323.30,493,41563,92.25
SOTL,EQ,2014-12-30,716.55,721.00,737.00,711.40,712.00,721.15,728.11,1449,10.55,213,691,47.69
SOTL,EQ,2014-12-31,721.15,716.00,740.00,716.00,724.00,725.40,728.59,4217,30.72,239,3254,77.16
SOTL,EQ,2015-01-01,725.40,727.95,734.80,721.00,734.80,731.70,730.22,716,5.23,80,409,57.12
SOTL,EQ,2015-01-02,731.70,729.05,749.00,727.05,740.00,737.50,738.94,3335,24.64,389,1205,36.13
SOTL,EQ,2015-01-05,737.50,733.05,747.40,726.00,726.00,729.35,734.26,2301,16.90,212,1425,61.93
SOTL,EQ,2015-01-06,729.35,724.00,744.00,715.00,722.00,721.25,726.63,1715,12.46,191,1079,62.92
SOTL,EQ,2015-01-07,721.25,739.00,739.00,706.00,731.00,726.70,719.50,2058,14.81,178,1054,51.21
SOTL,EQ,2015-01-08,726.70,717.50,740.00,717.50,734.50,735.20,734.73,1289,9.47,183,837,64.93
SOTL,EQ,2015-01-09,735.20,729.50,737.00,725.10,734.30,733.35,732.14,2309,16.91,155,634,27.46
SOTL,EQ,2015-01-12,733.35,735.10,740.00,722.60,733.90,729.65,730.97,1987,14.52,131,515,25.92
SOTL,EQ,2015-01-13,729.65,726.75,747.95,723.10,739.00,739.80,735.93,2155,15.86,181,1374,63.76
SOTL,EQ,2015-01-14,739.80,736.65,744.85,713.25,715.05,719.10,723.97,3191,23.10,221,1273,39.89
SOTL,EQ,2015-01-15,719.10,717.10,739.75,717.10,725.00,730.35,732.05,1061,7.77,123,362,34.12
SOTL,EQ,2015-01-16,730.35,721.00,745.00,721.00,725.55,732.60,734.90,2487,18.28,367,775,31.16
SOTL,EQ,2015-01-19,732.60,734.75,744.00,733.25,740.00,739.75,740.08,512,3.79,81,335,65.43
SOTL,EQ,2015-01-20,739.75,748.80,760.00,730.50,743.00,741.70,742.14,824,6.12,83,538,65.29
SOTL,EQ,2015-01-21,741.70,734.25,740.00,726.05,735.40,736.80,735.02,535,3.93,114,227,42.43
SOTL,EQ,2015-01-22,736.80,735.00,773.00,732.15,748.00,752.65,757.88,17410,131.95,588,4311,24.76
SOTL,EQ,2015-01-23,752.65,735.30,760.00,730.00,730.00,731.35,736.81,1280,9.43,118,1102,86.09
SOTL,EQ,2015-01-27,731.35,757.95,757.95,731.80,743.00,740.45,740.56,1793,13.28,201,986,54.99
SOTL,EQ,2015-01-28,740.45,747.00,747.00,731.40,741.00,734.70,736.27,1485,10.93,111,906,61.01
