Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SPENTEX,EQ,2014-12-04,5.00,5.00,5.00,4.90,5.00,4.90,4.99,9471,0.47,24,9321,98.42
SPENTEX,EQ,2014-12-05,4.90,4.70,5.00,4.70,4.80,4.80,4.91,1701,0.08,6,1500,88.18
SPENTEX,EQ,2014-12-08,4.80,4.55,5.30,4.55,5.00,5.00,5.05,15158,0.77,35,13103,86.44
SPENTEX,EQ,2014-12-09,5.00,4.80,5.15,4.80,5.00,5.10,5.02,21118,1.06,44,15881,75.20
SPENTEX,EQ,2014-12-10,5.10,4.60,5.40,4.50,5.40,5.40,4.97,9709,0.48,18,8654,89.13
SPENTEX,EQ,2014-12-11,5.40,4.80,5.80,4.75,5.00,5.00,5.59,4341,0.24,12,4138,95.32
SPENTEX,EQ,2014-12-12,5.00,4.80,5.05,4.70,5.05,5.05,4.81,3941,0.19,13,1976,50.14
SPENTEX,EQ,2014-12-15,5.05,4.80,5.20,4.75,4.75,4.75,4.75,2442,0.12,10,2441,99.96
SPENTEX,EQ,2014-12-16,4.75,4.80,4.80,4.35,4.40,4.45,4.48,5465,0.24,26,5306,97.09
SPENTEX,EQ,2014-12-17,4.45,4.40,4.90,4.00,4.45,4.50,4.53,3950,0.18,16,3335,84.43
SPENTEX,EQ,2014-12-18,4.50,4.05,4.90,4.05,4.80,4.80,4.48,494,0.02,9,89,18.02
SPENTEX,EQ,2014-12-19,4.80,4.40,4.85,4.40,4.85,4.85,4.53,1087,0.05,7,1086,99.91
SPENTEX,EQ,2014-12-22,4.85,4.75,4.75,4.55,4.55,4.55,4.68,1791,0.08,7,1791,100.00
SPENTEX,EQ,2014-12-23,4.55,4.50,4.50,4.50,4.50,4.50,4.50,477,0.02,4,477,100.00
SPENTEX,EQ,2014-12-24,4.50,4.50,4.50,4.10,4.50,4.50,4.40,4050,0.18,5,3050,75.31
SPENTEX,EQ,2014-12-26,4.50,4.30,4.60,4.30,4.50,4.50,4.35,2672,0.12,13,2485,93.00
SPENTEX,EQ,2014-12-29,4.50,4.30,4.50,4.30,4.45,4.40,4.38,2066,0.09,16,1161,56.20
SPENTEX,EQ,2014-12-30,4.40,4.50,4.80,4.20,4.60,4.60,4.32,7053,0.30,12,5528,78.38
SPENTEX,EQ,2014-12-31,4.60,4.45,5.15,4.45,4.85,4.90,4.88,3063,0.15,10,3063,100.00
SPENTEX,EQ,2015-01-01,4.90,4.55,5.75,4.55,5.15,5.00,5.00,10380,0.52,32,9398,90.54
SPENTEX,EQ,2015-01-02,5.00,4.90,5.00,4.80,5.00,5.00,4.94,603,0.03,7,458,75.95
SPENTEX,EQ,2015-01-05,5.00,5.20,5.20,4.65,4.75,4.75,4.72,9966,0.47,20,9541,95.74
SPENTEX,EQ,2015-01-06,4.75,4.05,5.00,4.05,4.55,4.55,4.56,8930,0.41,21,5845,65.45
SPENTEX,EQ,2015-01-07,4.55,5.20,5.20,4.55,4.85,4.95,4.82,5257,0.25,24,4057,77.17
SPENTEX,EQ,2015-01-08,4.95,5.15,5.40,4.75,4.90,5.20,5.15,3539,0.18,17,2839,80.22
SPENTEX,EQ,2015-01-09,5.20,5.40,5.40,4.90,4.95,4.95,5.16,106,0.01,4,56,52.83
SPENTEX,EQ,2015-01-12,4.95,4.80,5.15,4.80,5.15,5.10,5.01,1876,0.09,12,1868,99.57
SPENTEX,EQ,2015-01-13,5.10,4.55,5.35,4.55,4.80,4.80,4.82,3372,0.16,22,2352,69.75
SPENTEX,EQ,2015-01-14,4.80,5.30,5.30,4.70,4.70,4.70,4.72,550,0.03,7,528,96.00
SPENTEX,EQ,2015-01-15,4.70,4.70,5.00,4.65,5.00,5.00,4.70,4720,0.22,14,4500,95.34
SPENTEX,EQ,2015-01-16,5.00,4.55,4.90,4.55,4.90,4.80,4.69,7886,0.37,54,5020,63.66
SPENTEX,EQ,2015-01-19,4.80,4.20,5.00,4.20,5.00,4.85,4.66,2398,0.11,14,1904,79.40
SPENTEX,EQ,2015-01-20,4.85,5.25,5.35,4.70,4.75,5.00,5.08,4885,0.25,42,3862,79.06
SPENTEX,EQ,2015-01-21,5.00,4.70,4.90,4.70,4.75,4.90,4.83,4136,0.20,20,3505,84.74
SPENTEX,EQ,2015-01-22,4.90,4.75,4.90,4.60,4.90,4.90,4.69,966,0.05,9,801,82.92
SPENTEX,EQ,2015-01-23,4.90,4.30,4.80,4.30,4.70,4.70,4.65,3224,0.15,20,2606,80.83
SPENTEX,EQ,2015-01-27,4.70,4.70,4.75,4.70,4.75,4.75,4.74,1700,0.08,7,1700,100.00
SPENTEX,EQ,2015-01-28,4.75,4.50,5.00,4.40,4.50,4.50,4.58,2760,0.13,30,1968,71.30
SPENTEX,EQ,2015-01-29,4.50,4.50,4.95,4.25,4.30,4.50,4.38,3226,0.14,20,2891,89.62
SPENTEX,EQ,2015-01-30,4.50,4.30,4.55,4.20,4.50,4.50,4.40,3340,0.15,12,3240,97.01
SPENTEX,EQ,2015-02-02,4.50,4.30,4.60,3.95,4.00,4.00,4.07,107655,4.39,99,105105,97.63
SPENTEX,EQ,2015-02-03,4.00,4.00,4.05,3.90,4.00,4.00,4.00,6005,0.24,15,6005,100.00
SPENTEX,EQ,2015-02-04,4.00,4.45,4.50,4.00,4.10,4.10,4.20,25903,1.09,47,18698,72.18
