Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SPIC,EQ,2014-12-04,22.70,22.70,24.35,22.70,23.70,23.75,23.57,1121336,264.27,2708,575867,51.36
SPIC,EQ,2014-12-05,23.75,23.90,25.20,23.90,24.70,24.70,24.62,1037386,255.41,2859,499633,48.16
SPIC,EQ,2014-12-08,24.70,24.50,24.90,23.85,24.00,24.05,24.31,445165,108.21,1232,262321,58.93
SPIC,EQ,2014-12-09,24.05,24.65,24.65,23.30,24.05,23.75,23.85,455771,108.69,1444,263933,57.91
SPIC,EQ,2014-12-10,23.75,23.75,24.40,23.60,23.85,23.80,23.90,395291,94.48,1301,220732,55.84
SPIC,EQ,2014-12-11,23.80,24.10,24.70,23.00,24.20,24.15,23.80,756014,179.95,2758,314276,41.57
SPIC,EQ,2014-12-12,24.15,24.20,24.30,23.25,23.45,23.40,23.65,387067,91.54,1067,262679,67.86
SPIC,EQ,2014-12-15,23.40,23.25,23.85,23.00,23.05,23.20,23.31,286487,66.77,857,136785,47.75
SPIC,EQ,2014-12-16,23.20,23.15,23.20,21.55,21.75,21.65,22.16,700017,155.11,1567,489161,69.88
SPIC,EQ,2014-12-17,21.65,21.75,22.05,20.50,21.85,21.80,21.43,310365,66.52,1467,179573,57.86
SPIC,EQ,2014-12-18,21.80,22.05,22.85,22.05,22.80,22.75,22.58,173347,39.14,869,108245,62.44
SPIC,EQ,2014-12-19,22.75,22.50,23.15,22.45,22.60,22.55,22.70,157147,35.67,596,86745,55.20
SPIC,EQ,2014-12-22,22.55,22.30,23.00,22.30,22.80,22.75,22.75,217127,49.39,975,116511,53.66
SPIC,EQ,2014-12-23,22.75,22.50,24.00,22.50,23.15,22.90,23.27,554176,128.95,2054,302763,54.63
SPIC,EQ,2014-12-24,22.90,22.90,23.50,22.55,22.60,22.65,22.90,300567,68.84,1149,141343,47.03
SPIC,EQ,2014-12-26,22.65,22.85,23.20,22.70,22.95,22.90,22.95,182789,41.94,597,113371,62.02
SPIC,EQ,2014-12-29,22.90,23.10,23.20,22.30,22.30,22.35,22.58,317983,71.80,894,212515,66.83
SPIC,EQ,2014-12-30,22.35,22.40,24.90,22.40,24.75,24.05,23.89,1068054,255.16,2537,447948,41.94
SPIC,EQ,2014-12-31,24.05,24.75,24.85,23.30,23.50,23.50,23.83,711421,169.51,2322,373241,52.46
SPIC,EQ,2015-01-01,23.50,23.55,23.90,23.25,23.50,23.60,23.63,293613,69.40,824,175265,59.69
SPIC,EQ,2015-01-02,23.60,23.65,24.40,23.30,23.85,23.75,23.93,480179,114.90,1532,246393,51.31
SPIC,EQ,2015-01-05,23.75,23.25,24.15,23.15,23.25,23.25,23.63,311061,73.50,1178,169041,54.34
SPIC,EQ,2015-01-06,23.25,23.25,23.25,22.10,22.10,22.20,22.54,424560,95.69,1417,318079,74.92
SPIC,EQ,2015-01-07,22.20,22.45,23.15,22.15,22.55,22.40,22.63,725982,164.31,2157,292482,40.29
SPIC,EQ,2015-01-08,22.40,22.90,23.40,22.65,22.75,22.80,22.93,418535,95.96,1430,159672,38.15
SPIC,EQ,2015-01-09,22.80,23.20,23.40,22.50,23.00,23.00,22.90,359570,82.33,1277,159132,44.26
SPIC,EQ,2015-01-12,23.00,23.00,24.90,22.70,23.80,23.75,24.16,1507166,364.06,4308,435920,28.92
SPIC,EQ,2015-01-13,23.75,24.00,24.00,23.10,23.45,23.30,23.52,219088,51.53,675,110238,50.32
SPIC,EQ,2015-01-14,23.30,23.20,23.70,22.65,22.80,22.80,23.03,304526,70.14,947,172707,56.71
SPIC,EQ,2015-01-15,22.80,23.00,23.35,22.65,22.75,22.80,22.92,217170,49.79,881,95580,44.01
SPIC,EQ,2015-01-16,22.80,22.70,23.05,22.55,22.55,22.60,22.69,267996,60.81,837,155395,57.98
SPIC,EQ,2015-01-19,22.60,22.50,23.00,22.50,22.75,22.75,22.75,409055,93.06,1137,213119,52.10
SPIC,EQ,2015-01-20,22.75,23.00,23.40,22.30,22.40,22.40,22.73,509274,115.74,1604,260073,51.07
SPIC,EQ,2015-01-21,22.40,22.35,22.65,21.60,21.70,21.70,21.91,477833,104.69,1418,285733,59.80
SPIC,EQ,2015-01-22,21.70,21.90,22.30,21.30,21.55,21.55,21.74,483412,105.10,1501,244897,50.66
SPIC,EQ,2015-01-23,21.55,21.85,21.90,21.05,21.20,21.20,21.35,303144,64.73,965,159308,52.55
SPIC,EQ,2015-01-27,21.20,21.65,21.65,20.55,20.60,20.60,20.87,297089,62.01,855,207311,69.78
SPIC,EQ,2015-01-28,20.60,20.70,21.20,20.05,21.05,21.05,20.59,443546,91.32,1531,189958,42.83
SPIC,EQ,2015-01-29,21.05,20.90,21.30,20.25,20.65,20.60,20.69,246516,51.01,948,108442,43.99
