Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SREEL,EQ,2014-12-09,255.00,256.50,256.80,256.50,256.80,256.80,256.65,1000,2.57,2,1000,100.00
SREEL,EQ,2014-12-10,256.80,255.00,261.00,255.00,257.00,257.00,256.80,1002,2.57,4,1001,99.90
SREEL,EQ,2014-12-11,257.00,256.60,256.60,256.60,256.60,256.60,256.60,500,1.28,1,500,100.00
SREEL,EQ,2014-12-12,256.60,263.00,265.00,255.00,255.00,255.00,258.26,9011,23.27,11,8010,88.89
SREEL,EQ,2014-12-15,255.00,255.00,265.00,255.00,265.00,265.00,261.35,5003,13.08,6,5001,99.96
SREEL,EQ,2014-12-16,265.00,257.05,265.00,255.00,265.00,265.00,261.06,34,0.09,9,4,11.76
SREEL,EQ,2014-12-17,265.00,260.35,261.65,260.35,261.65,261.65,261.03,5000,13.05,8,5000,100.00
SREEL,EQ,2014-12-18,261.65,260.00,260.00,260.00,260.00,260.00,260.00,10,0.03,1,10,100.00
SREEL,EQ,2014-12-19,260.00,256.00,256.00,254.25,254.25,254.25,254.77,158,0.40,6,150,94.94
SREEL,EQ,2014-12-22,254.25,255.00,265.00,255.00,265.00,265.00,264.62,52,0.14,2,50,96.15
SREEL,EQ,2014-12-24,265.00,255.00,265.00,255.00,265.00,265.00,260.00,2,0.01,2,0,0.00
SREEL,EQ,2014-12-29,265.00,255.00,255.00,251.00,251.00,251.00,253.33,380,0.96,5,380,100.00
SREEL,EQ,2014-12-30,251.00,251.00,251.00,251.00,251.00,251.00,251.00,5,0.01,1,5,100.00
SREEL,EQ,2014-12-31,251.00,256.10,257.50,256.10,257.50,257.50,256.72,5034,12.92,16,3534,70.20
SREEL,EQ,2015-01-01,257.50,258.00,259.35,256.50,256.50,257.20,258.52,13920,35.99,33,13920,100.00
SREEL,EQ,2015-01-02,257.20,255.00,255.45,255.00,255.45,255.45,255.17,10000,25.52,52,10000,100.00
SREEL,EQ,2015-01-07,255.45,244.00,264.00,244.00,264.00,264.00,254.00,2,0.01,2,1,50.00
SREEL,EQ,2015-01-12,264.00,255.00,255.00,250.80,250.80,252.20,252.20,3,0.01,3,3,100.00
SREEL,EQ,2015-01-15,252.20,251.50,251.50,251.50,251.50,251.50,251.50,11,0.03,1,11,100.00
SREEL,EQ,2015-01-19,251.50,244.75,245.00,244.75,245.00,245.00,244.80,5,0.01,2,5,100.00
SREEL,EQ,2015-01-20,245.00,244.75,244.75,233.00,233.00,233.00,241.05,854,2.06,21,854,100.00
