Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SREINFRA,EQ,2014-12-04,48.95,49.20,49.40,47.45,47.90,47.95,48.03,642074,308.36,3445,327210,50.96
SREINFRA,NJ,2014-12-04,995.00,900.00,975.00,900.00,950.00,970.00,935.00,120,1.12,6,60,50.00
SREINFRA,NR,2014-12-04,955.00,1010.00,1010.00,1010.00,1010.00,1010.00,1010.00,200,2.02,1,200,100.00
SREINFRA,EQ,2014-12-05,47.95,48.30,49.20,47.10,47.65,47.50,48.30,794173,383.58,4926,386132,48.62
SREINFRA,NM,2014-12-05,1010.00,978.80,978.80,978.80,978.80,978.80,978.80,4,0.04,2,4,100.00
SREINFRA,EQ,2014-12-08,47.50,47.90,48.75,45.10,46.05,46.00,47.29,696524,329.41,5178,325032,46.66
SREINFRA,NJ,2014-12-08,970.00,999.99,999.99,999.99,999.99,999.99,999.99,40,0.40,2,40,100.00
SREINFRA,NM,2014-12-08,978.80,967.00,1009.00,955.00,1009.00,1009.00,976.17,300,2.93,20,284,94.67
SREINFRA,EQ,2014-12-09,46.00,45.50,46.85,44.90,45.40,45.05,45.51,440790,200.62,2632,266814,60.53
SREINFRA,NP,2014-12-09,1027.24,1001.00,1001.00,1001.00,1001.00,1001.00,1001.00,5,0.05,2,5,100.00
SREINFRA,NU,2014-12-09,920.00,1015.00,1015.00,1015.00,1015.00,1015.00,1015.00,1,0.01,1,1,100.00
SREINFRA,EQ,2014-12-10,45.05,44.60,46.00,44.55,45.20,45.30,45.19,459311,207.54,3199,164839,35.89
SREINFRA,NJ,2014-12-10,999.99,950.00,999.99,950.00,999.99,999.99,995.45,55,0.55,2,55,100.00
SREINFRA,NU,2014-12-10,1015.00,1015.00,1015.00,1015.00,1015.00,1015.00,1015.00,69,0.70,3,69,100.00
SREINFRA,EQ,2014-12-11,45.30,44.80,53.95,44.65,52.55,52.95,51.16,5738803,2935.99,22530,2599036,45.29
SREINFRA,NA,2014-12-11,1041.11,1045.11,1045.11,1045.11,1045.11,1045.11,1045.11,10,0.10,1,10,100.00
SREINFRA,EQ,2014-12-12,52.95,52.70,53.60,49.15,50.10,50.15,51.44,2724826,1401.57,13908,894719,32.84
SREINFRA,EQ,2014-12-15,50.15,49.65,52.70,48.55,50.85,50.75,51.21,1781440,912.34,9017,588086,33.01
SREINFRA,EQ,2014-12-16,50.75,49.40,50.60,46.35,47.00,46.90,48.42,1110577,537.76,8993,597371,53.79
SREINFRA,EQ,2014-12-17,46.90,46.50,47.90,44.55,44.65,44.85,46.09,2708185,1248.26,9915,957312,35.35
SREINFRA,NF,2014-12-17,900.01,925.00,925.00,925.00,925.00,925.00,925.00,1,0.01,1,1,100.00
SREINFRA,NP,2014-12-17,1001.00,1002.05,1003.05,960.00,1003.00,1003.00,982.78,100,0.98,8,50,50.00
SREINFRA,EQ,2014-12-18,44.85,45.65,48.95,45.65,48.35,48.35,47.74,1527137,729.03,8676,576893,37.78
SREINFRA,EQ,2014-12-19,48.35,49.20,50.90,46.05,47.25,47.10,49.27,2322109,1144.05,8710,1173129,50.52
SREINFRA,NU,2014-12-19,1015.00,1015.00,1015.00,1015.00,1015.00,1015.00,1015.00,100,1.02,3,100,100.00
SREINFRA,EQ,2014-12-22,47.10,47.80,49.90,47.30,49.40,49.20,48.56,729233,354.14,4712,420974,57.73
SREINFRA,NJ,2014-12-22,999.99,999.99,999.99,999.99,999.99,999.99,999.99,100,1.00,1,100,100.00
SREINFRA,NR,2014-12-22,1010.00,1010.00,1010.00,1010.00,1010.00,1010.00,1010.00,1,0.01,1,1,100.00
SREINFRA,EQ,2014-12-23,49.20,49.50,51.30,47.95,48.20,48.30,49.76,1517544,755.10,6936,525535,34.63
SREINFRA,NJ,2014-12-23,999.99,999.90,999.99,999.90,999.99,999.99,999.98,50,0.50,2,50,100.00
SREINFRA,NM,2014-12-23,1009.00,975.00,975.00,975.00,975.00,975.00,975.00,50,0.49,5,50,100.00
SREINFRA,EQ,2014-12-24,48.30,48.20,49.25,47.50,48.35,48.20,48.39,541740,262.14,3415,205378,37.91
SREINFRA,NJ,2014-12-24,999.99,999.99,999.99,999.99,999.99,999.99,999.99,15,0.15,1,15,100.00
SREINFRA,EQ,2014-12-26,48.20,47.75,49.00,47.05,47.60,47.45,47.99,503519,241.65,3009,172775,34.31
SREINFRA,NA,2014-12-26,1045.11,1020.00,1020.00,1020.00,1020.00,1020.00,1020.00,50,0.51,5,50,100.00
SREINFRA,EQ,2014-12-29,47.45,47.60,48.65,47.35,47.60,47.55,48.01,348587,167.34,2283,146375,41.99
SREINFRA,NJ,2014-12-29,999.99,801.00,980.00,801.00,980.00,980.00,802.19,151,1.21,3,150,99.34
