Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SRF,EQ,2014-12-04,881.70,875.00,921.00,870.00,901.00,903.45,902.12,585262,5279.77,18611,130889,22.36
SRF,EQ,2014-12-05,903.45,905.00,915.00,876.10,882.60,881.70,899.63,187419,1686.08,5915,56216,29.99
SRF,EQ,2014-12-08,881.70,882.10,922.90,880.10,883.05,885.50,902.82,441574,3986.64,17009,76545,17.33
SRF,EQ,2014-12-09,885.50,882.25,898.00,861.15,874.00,872.25,879.80,170068,1496.26,6510,37638,22.13
SRF,EQ,2014-12-10,872.25,867.30,884.80,861.45,863.20,865.30,870.88,165922,1444.99,6723,31144,18.77
SRF,EQ,2014-12-11,865.30,861.60,873.80,850.00,852.85,853.55,861.40,138978,1197.15,5065,29989,21.58
SRF,EQ,2014-12-12,853.55,857.00,889.80,855.00,866.65,867.55,872.45,321211,2802.39,10243,85555,26.64
SRF,EQ,2014-12-15,867.55,863.25,874.70,850.70,857.10,858.25,859.71,319928,2750.46,6736,152711,47.73
SRF,EQ,2014-12-16,858.25,851.10,858.90,831.00,841.00,840.60,841.38,178141,1498.85,5324,77083,43.27
SRF,EQ,2014-12-17,840.60,835.00,858.50,829.50,844.00,840.25,840.21,156229,1312.66,5602,75379,48.25
SRF,EQ,2014-12-18,840.25,848.00,860.00,845.00,845.00,849.05,852.64,83133,708.83,3546,25899,31.15
SRF,EQ,2014-12-19,849.05,856.20,868.70,845.50,854.30,853.95,855.77,93586,800.89,3026,26622,28.45
SRF,EQ,2014-12-22,853.95,856.40,875.00,848.05,858.00,858.75,863.84,175064,1512.27,5847,63322,36.17
SRF,EQ,2014-12-23,858.75,862.00,869.80,850.00,854.15,854.40,858.32,97957,840.78,3508,26672,27.23
SRF,EQ,2014-12-24,854.40,855.20,866.70,851.00,853.50,854.65,858.01,129678,1112.65,4070,46188,35.62
SRF,EQ,2014-12-26,854.65,855.00,869.35,845.00,859.50,860.20,857.96,82444,707.34,3733,25361,30.76
SRF,EQ,2014-12-29,860.20,867.70,886.85,858.35,867.00,868.25,873.14,204413,1784.80,7083,64886,31.74
SRF,EQ,2014-12-30,868.25,866.20,887.00,861.10,861.60,864.15,876.23,291171,2551.33,9456,99301,34.10
SRF,EQ,2014-12-31,864.15,865.05,880.00,864.45,871.55,875.15,874.10,204077,1783.83,5517,121753,59.66
SRF,EQ,2015-01-01,875.15,877.00,888.35,871.25,875.00,876.40,881.02,108364,954.71,2807,30350,28.01
SRF,EQ,2015-01-02,876.40,909.00,971.40,909.00,921.90,921.75,944.80,1449954,13699.20,40889,212162,14.63
SRF,EQ,2015-01-05,921.75,928.00,935.00,901.30,907.80,907.45,917.36,370407,3397.95,11687,129212,34.88
SRF,EQ,2015-01-06,907.45,901.00,901.00,863.50,863.50,867.40,876.53,189835,1663.96,7534,71859,37.85
SRF,EQ,2015-01-07,867.40,865.00,871.85,845.00,862.00,857.75,854.79,243982,2085.53,6291,117424,48.13
