Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SRSLTD,EQ,2014-12-04,27.30,27.00,27.90,25.75,26.00,26.05,26.67,130099,34.70,657,74092,56.95
SRSLTD,EQ,2014-12-05,26.05,26.00,26.60,25.60,25.75,26.00,26.30,113731,29.91,462,69786,61.36
SRSLTD,EQ,2014-12-08,26.00,26.50,26.50,26.10,26.10,26.30,26.28,100347,26.37,317,63621,63.40
SRSLTD,EQ,2014-12-09,26.30,26.50,26.75,25.80,26.00,26.00,26.30,82997,21.83,449,37813,45.56
SRSLTD,EQ,2014-12-10,26.00,25.80,28.20,25.70,27.35,27.30,27.37,372583,101.99,1313,180455,48.43
SRSLTD,EQ,2014-12-11,27.30,27.80,27.80,26.25,26.90,26.80,27.05,183038,49.52,543,128910,70.43
SRSLTD,EQ,2014-12-12,26.80,25.55,27.30,25.55,26.25,26.35,26.57,87857,23.35,414,44736,50.92
SRSLTD,EQ,2014-12-15,26.35,26.30,26.50,25.90,25.90,26.15,26.30,70979,18.67,336,31908,44.95
SRSLTD,EQ,2014-12-16,26.15,28.30,28.30,25.10,25.30,25.20,25.88,77965,20.18,483,34136,43.78
SRSLTD,EQ,2014-12-17,25.20,25.90,25.90,24.30,24.70,24.80,24.81,89629,22.24,396,44113,49.22
SRSLTD,EQ,2014-12-18,24.80,25.30,27.45,25.05,26.00,26.15,26.24,137575,36.10,832,39827,28.95
SRSLTD,EQ,2014-12-19,26.15,26.50,26.85,26.00,26.50,26.30,26.36,179927,47.42,529,128238,71.27
SRSLTD,EQ,2014-12-22,26.30,26.40,26.75,26.10,26.70,26.65,26.48,141051,37.35,268,108392,76.85
SRSLTD,EQ,2014-12-23,26.65,25.50,26.70,25.50,25.70,25.65,26.19,94329,24.70,415,55175,58.49
SRSLTD,EQ,2014-12-24,25.65,25.75,26.40,25.60,25.85,25.75,25.95,57681,14.97,329,22252,38.58
SRSLTD,EQ,2014-12-26,25.75,26.00,26.95,25.50,25.60,25.60,25.91,61192,15.86,266,23581,38.54
SRSLTD,EQ,2014-12-29,25.60,25.70,26.95,25.10,25.60,25.65,25.88,70338,18.20,378,24872,35.36
SRSLTD,EQ,2014-12-30,25.65,25.60,26.20,25.50,25.55,25.55,25.77,62490,16.10,236,28372,45.40
SRSLTD,EQ,2014-12-31,25.55,25.70,26.35,25.55,26.00,25.90,25.89,61104,15.82,311,21126,34.57
SRSLTD,EQ,2015-01-01,25.90,25.90,26.40,25.70,25.95,26.00,26.06,61387,16.00,341,21979,35.80
SRSLTD,EQ,2015-01-02,26.00,25.80,27.45,25.70,26.50,26.55,26.76,132858,35.55,659,57747,43.47
SRSLTD,EQ,2015-01-05,26.55,25.70,27.40,25.70,27.00,26.90,26.93,64236,17.30,450,24234,37.73
SRSLTD,EQ,2015-01-06,26.90,26.90,27.20,26.05,26.30,26.30,26.64,94539,25.19,454,52636,55.68
SRSLTD,EQ,2015-01-07,26.30,26.15,26.80,25.75,26.00,25.95,26.26,73645,19.34,368,35963,48.83
SRSLTD,EQ,2015-01-08,25.95,26.40,26.60,25.70,25.75,25.80,26.12,75781,19.79,306,36893,48.68
SRSLTD,EQ,2015-01-09,25.80,26.20,26.25,25.75,25.75,25.85,25.98,86574,22.49,294,49846,57.58
SRSLTD,EQ,2015-01-12,25.85,26.05,27.40,25.50,26.50,26.55,26.70,229922,61.39,890,90739,39.47
SRSLTD,EQ,2015-01-13,26.55,27.00,27.20,26.10,26.90,26.90,26.84,80018,21.48,489,33474,41.83
SRSLTD,EQ,2015-01-14,26.90,26.55,27.00,26.10,26.10,26.20,26.57,96379,25.61,486,40948,42.49
SRSLTD,EQ,2015-01-15,26.20,26.70,26.70,26.00,26.10,26.20,26.28,78408,20.60,398,42754,54.53
SRSLTD,EQ,2015-01-16,26.20,26.50,26.50,26.10,26.20,26.30,26.30,71901,18.91,323,37217,51.76
SRSLTD,EQ,2015-01-19,26.30,26.70,27.00,25.90,26.10,26.00,26.46,102544,27.13,503,61931,60.39
SRSLTD,EQ,2015-01-20,26.00,26.00,26.25,25.75,25.75,25.80,26.03,92589,24.11,316,48534,52.42
SRSLTD,EQ,2015-01-21,25.80,25.75,26.20,25.10,25.85,25.55,25.89,70350,18.21,288,33372,47.44
SRSLTD,EQ,2015-01-22,25.55,26.05,26.05,25.25,25.40,25.35,25.67,91198,23.41,386,46733,51.24
SRSLTD,EQ,2015-01-23,25.35,25.60,25.80,25.15,25.30,25.25,25.42,96611,24.56,399,58474,60.53
SRSLTD,EQ,2015-01-27,25.25,25.10,25.70,25.10,25.25,25.30,25.43,70670,17.97,300,28658,40.55
SRSLTD,EQ,2015-01-28,25.30,25.50,25.50,25.00,25.00,25.10,25.22,71440,18.02,312,28454,39.83
SRSLTD,EQ,2015-01-29,25.10,25.30,25.45,25.00,25.10,25.15,25.16,68318,17.19,334,31734,46.45
SRSLTD,EQ,2015-01-30,25.15,25.00,25.45,24.85,25.30,25.15,25.24,75944,19.17,320,39593,52.13
SRSLTD,EQ,2015-02-02,25.15,25.30,25.40,25.00,25.30,25.25,25.19,71934,18.12,300,30551,42.47
SRSLTD,EQ,2015-02-03,25.25,25.10,26.50,25.05,25.95,25.85,25.65,94680,24.28,462,44293,46.78
SRSLTD,EQ,2015-02-04,25.85,26.50,26.90,25.60,25.90,26.05,26.10,91110,23.78,423,44705,49.07
SRSLTD,EQ,2015-02-05,26.05,25.90,26.45,25.70,26.35,26.15,26.10,69977,18.27,387,31190,44.57
SRSLTD,EQ,2015-02-06,26.15,26.20,26.40,25.10,25.45,25.35,25.77,105867,27.28,416,46061,43.51
SRSLTD,EQ,2015-02-09,25.35,25.95,25.95,25.20,25.60,25.45,25.55,58196,14.87,183,26858,46.15
SRSLTD,EQ,2015-02-10,25.45,25.95,25.95,25.00,25.05,25.20,25.50,91205,23.26,461,42021,46.07
SRSLTD,EQ,2015-02-11,25.20,25.40,25.40,24.80,25.20,25.15,25.12,101389,25.47,415,51999,51.29
SRSLTD,EQ,2015-02-12,25.15,25.10,25.40,25.00,25.25,25.20,25.21,70185,17.70,288,33823,48.19
SRSLTD,EQ,2015-02-13,25.20,25.35,25.70,25.10,25.30,25.25,25.30,77434,19.59,343,39800,51.40
SRSLTD,EQ,2015-02-16,25.25,25.10,25.35,24.75,25.10,25.00,25.04,86327,21.62,303,43389,50.26
SRSLTD,EQ,2015-02-18,25.00,25.05,25.30,24.95,24.95,25.00,25.12,57394,14.41,215,28299,49.31
SRSLTD,EQ,2015-02-19,25.00,25.35,25.35,24.75,25.15,25.05,25.16,73274,18.43,297,38511,52.56
SRSLTD,EQ,2015-02-20,25.05,25.25,25.30,24.85,24.95,25.00,25.12,89978,22.60,340,47251,52.51
SRSLTD,EQ,2015-02-23,25.00,25.40,25.50,24.90,24.95,24.95,25.13,56265,14.14,206,25523,45.36
SRSLTD,EQ,2015-02-24,24.95,25.10,25.25,24.75,25.10,25.00,25.10,78676,19.75,346,29292,37.23
SRSLTD,EQ,2015-02-25,25.00,25.40,26.15,25.00,25.00,25.05,25.45,135418,34.47,581,48829,36.06
SRSLTD,EQ,2015-02-26,25.05,25.30,25.30,24.95,25.00,25.05,25.11,114372,28.72,264,70595,61.72
SRSLTD,EQ,2015-02-27,25.05,25.00,25.45,24.85,25.15,25.00,25.16,111054,27.94,398,50114,45.13
SRSLTD,EQ,2015-02-28,25.00,25.00,25.75,24.85,25.25,25.20,25.30,80730,20.43,384,36051,44.66
SRSLTD,EQ,2015-03-02,25.20,25.20,26.10,24.80,25.05,25.00,25.02,94823,23.72,330,40531,42.74
