Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
STINDIA,EQ,2014-12-08,6.80,7.10,7.10,7.10,7.10,7.10,7.10,100,0.01,1,100,100.00
STINDIA,EQ,2014-12-09,7.10,7.00,7.00,7.00,7.00,7.00,7.00,14,0.00,1,14,100.00
STINDIA,EQ,2014-12-10,7.00,7.35,7.35,7.35,7.35,7.35,7.35,400,0.03,2,400,100.00
STINDIA,EQ,2014-12-11,7.35,7.35,7.35,7.10,7.10,7.10,7.35,139,0.01,3,138,99.28
STINDIA,EQ,2014-12-12,7.10,7.10,7.10,6.85,6.85,6.85,7.10,101,0.01,2,100,99.01
STINDIA,EQ,2014-12-16,6.85,7.15,7.15,7.00,7.00,7.00,7.10,600,0.04,5,600,100.00
STINDIA,EQ,2014-12-18,7.00,6.65,6.70,6.65,6.70,6.70,6.68,200,0.01,2,200,100.00
STINDIA,EQ,2014-12-19,6.70,7.00,7.00,6.65,6.65,6.65,7.00,291,0.02,2,290,99.66
STINDIA,EQ,2014-12-22,6.65,6.35,6.95,6.35,6.40,6.40,6.91,215,0.01,3,210,97.67
STINDIA,EQ,2014-12-23,6.40,6.70,6.70,6.70,6.70,6.70,6.70,90,0.01,1,90,100.00
STINDIA,EQ,2014-12-24,6.70,6.65,6.65,6.65,6.65,6.65,6.65,100,0.01,1,100,100.00
STINDIA,EQ,2014-12-30,6.65,6.95,6.95,6.35,6.35,6.35,6.66,54,0.00,3,26,48.15
STINDIA,EQ,2015-01-01,6.35,6.65,6.65,6.65,6.65,6.65,6.65,500,0.03,1,500,100.00
STINDIA,EQ,2015-01-02,6.65,6.95,6.95,6.95,6.95,6.95,6.95,300,0.02,2,300,100.00
STINDIA,EQ,2015-01-05,6.95,7.25,7.25,7.25,7.25,7.25,7.25,100,0.01,1,100,100.00
STINDIA,EQ,2015-01-09,7.25,7.15,7.15,7.00,7.00,7.05,7.10,1021,0.07,3,1021,100.00
STINDIA,EQ,2015-01-12,7.05,6.75,6.75,6.75,6.75,6.75,6.75,105,0.01,3,105,100.00
STINDIA,EQ,2015-01-19,6.75,7.05,7.05,7.05,7.05,7.05,7.05,1000,0.07,1,1000,100.00
STINDIA,EQ,2015-01-21,7.05,7.40,7.40,7.40,7.40,7.40,7.40,1620,0.12,2,1620,100.00
STINDIA,EQ,2015-01-22,7.40,7.75,7.75,7.75,7.75,7.75,7.75,300,0.02,2,300,100.00
STINDIA,EQ,2015-01-23,7.75,7.80,7.80,7.80,7.80,7.80,7.80,200,0.02,2,200,100.00
STINDIA,EQ,2015-02-03,7.80,8.15,8.15,8.15,8.15,8.15,8.15,15,0.00,1,15,100.00
STINDIA,EQ,2015-02-04,8.15,8.55,8.55,8.50,8.55,8.55,8.52,300,0.03,3,300,100.00
STINDIA,EQ,2015-02-06,8.55,8.95,8.95,8.95,8.95,8.95,8.95,5,0.00,1,5,100.00
STINDIA,EQ,2015-02-10,8.95,8.55,9.35,8.55,9.35,9.35,8.95,8,0.00,2,4,50.00
STINDIA,EQ,2015-02-11,9.35,9.80,9.80,9.00,9.80,9.80,9.16,125,0.01,5,125,100.00
STINDIA,EQ,2015-02-16,9.80,10.25,10.25,10.25,10.25,10.25,10.25,45,0.00,2,45,100.00
STINDIA,EQ,2015-06-01,10.25,10.00,10.00,10.00,10.00,10.00,10.00,10,0.00,1,10,100.00
STINDIA,EQ,2015-06-09,10.00,10.20,10.20,10.20,10.20,10.20,10.20,25,0.00,1,25,100.00
STINDIA,EQ,2015-07-03,10.20,10.00,10.00,9.70,9.70,9.70,9.85,20,0.00,2,0,0.00
STINDIA,EQ,2015-07-16,9.70,9.70,9.70,9.70,9.70,9.70,9.70,500,0.05,1,500,100.00
STINDIA,EQ,2015-07-20,9.70,9.65,9.65,9.65,9.65,9.65,9.65,1,0.00,1,1,100.00
STINDIA,EQ,2015-07-24,9.65,9.60,9.60,9.60,9.60,9.60,9.60,10,0.00,1,10,100.00
STINDIA,EQ,2015-07-28,9.60,9.60,9.60,9.60,9.60,9.60,9.60,50,0.00,1,50,100.00
STINDIA,EQ,2015-07-30,9.60,9.55,10.00,9.55,10.00,10.00,9.73,1558,0.15,9,1558,100.00
STINDIA,EQ,2015-07-31,10.00,9.50,9.50,9.50,9.50,9.50,9.50,10,0.00,1,10,100.00
STINDIA,EQ,2015-08-03,9.50,9.50,9.50,9.50,9.50,9.50,9.50,10,0.00,1,10,100.00
STINDIA,EQ,2015-08-04,9.50,9.05,9.05,9.05,9.05,9.05,9.05,33,0.00,2,33,100.00
STINDIA,EQ,2015-08-05,9.05,9.00,9.50,8.60,8.60,9.15,9.04,580,0.05,7,547,94.31
STINDIA,EQ,2015-08-07,9.15,8.70,8.70,8.70,8.70,8.70,8.70,199,0.02,7,199,100.00
STINDIA,EQ,2015-08-10,8.70,8.40,8.40,8.40,8.40,8.40,8.40,49,0.00,1,49,100.00
STINDIA,EQ,2015-08-11,8.40,8.50,8.80,8.50,8.80,8.80,8.65,827,0.07,5,827,100.00
STINDIA,EQ,2015-08-12,8.80,8.80,8.80,8.80,8.80,8.80,8.80,6,0.00,1,6,100.00
STINDIA,EQ,2015-08-13,8.80,9.20,9.20,9.20,9.20,9.20,9.20,100,0.01,1,100,100.00
STINDIA,EQ,2015-08-17,9.20,9.65,9.65,9.65,9.65,9.65,9.65,250,0.02,2,250,100.00
STINDIA,EQ,2015-08-19,9.65,10.10,10.10,10.10,10.10,10.10,10.10,10,0.00,1,10,100.00
STINDIA,EQ,2015-08-20,10.10,9.65,9.65,9.65,9.65,9.65,9.65,500,0.05,2,500,100.00
