Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNDARMFIN,EQ,2014-12-04,1290.45,1307.00,1307.00,1266.70,1270.00,1275.85,1280.31,13465,172.39,1131,7763,57.65
SUNDARMFIN,EQ,2014-12-05,1275.85,1271.00,1296.70,1271.00,1278.00,1278.10,1284.86,7825,100.54,600,5081,64.93
SUNDARMFIN,EQ,2014-12-08,1278.10,1288.90,1297.45,1253.90,1254.15,1256.75,1263.38,9740,123.05,888,5042,51.77
SUNDARMFIN,EQ,2014-12-09,1256.75,1269.25,1269.25,1225.00,1226.00,1229.95,1245.01,6528,81.27,449,4849,74.28
SUNDARMFIN,EQ,2014-12-10,1229.95,1232.10,1262.80,1231.15,1242.25,1250.45,1242.31,32814,407.65,991,7176,21.87
SUNDARMFIN,EQ,2014-12-11,1250.45,1245.00,1260.00,1237.00,1253.00,1254.10,1250.06,11160,139.51,439,8985,80.51
SUNDARMFIN,EQ,2014-12-12,1254.10,1299.00,1309.00,1255.00,1268.00,1271.35,1286.50,24562,315.99,1816,7408,30.16
SUNDARMFIN,EQ,2014-12-15,1271.35,1265.05,1274.90,1224.00,1230.00,1227.75,1242.17,9855,122.42,822,6831,69.32
SUNDARMFIN,EQ,2014-12-16,1227.75,1239.35,1259.00,1225.90,1250.00,1243.25,1238.02,10382,128.53,1037,6895,66.41
SUNDARMFIN,EQ,2014-12-17,1243.25,1245.00,1253.85,1203.00,1250.00,1247.10,1227.67,14726,180.79,1186,7063,47.96
SUNDARMFIN,EQ,2014-12-18,1247.10,1253.00,1269.90,1230.30,1239.95,1238.00,1251.67,24938,312.14,2025,19143,76.76
SUNDARMFIN,EQ,2014-12-19,1238.00,1255.00,1265.00,1230.00,1255.00,1246.70,1253.20,47339,593.25,2601,34187,72.22
SUNDARMFIN,EQ,2014-12-22,1246.70,1255.00,1270.00,1250.00,1267.00,1262.25,1254.24,61174,767.27,4199,58813,96.14
SUNDARMFIN,EQ,2014-12-23,1262.25,1264.75,1306.55,1260.00,1294.00,1299.35,1287.36,56621,728.92,2318,37687,66.56
SUNDARMFIN,EQ,2014-12-24,1299.35,1299.00,1308.00,1286.55,1290.00,1294.20,1296.84,13429,174.15,1470,7765,57.82
SUNDARMFIN,EQ,2014-12-26,1294.20,1302.00,1304.75,1265.20,1279.00,1276.30,1281.54,6082,77.94,826,3438,56.53
SUNDARMFIN,EQ,2014-12-29,1276.30,1282.35,1314.70,1269.85,1279.75,1290.20,1297.87,19428,252.15,1430,12264,63.13
SUNDARMFIN,EQ,2014-12-30,1290.20,1297.20,1299.25,1276.15,1287.00,1293.05,1288.42,14033,180.80,889,9473,67.51
SUNDARMFIN,EQ,2014-12-31,1293.05,1299.90,1299.90,1280.00,1296.50,1295.60,1296.40,33252,431.08,2151,25277,76.02
SUNDARMFIN,EQ,2015-01-01,1295.60,1299.65,1301.00,1285.05,1295.00,1294.85,1296.05,12214,158.30,1226,7340,60.09
SUNDARMFIN,EQ,2015-01-02,1294.85,1287.00,1310.00,1287.00,1302.00,1300.45,1301.49,61520,800.67,1040,54022,87.81
SUNDARMFIN,EQ,2015-01-05,1300.45,1308.90,1308.90,1292.00,1293.00,1297.95,1298.69,26732,347.17,1293,20800,77.81
SUNDARMFIN,EQ,2015-01-06,1297.95,1293.00,1299.00,1258.15,1258.15,1276.65,1284.08,15132,194.31,1632,8155,53.89
SUNDARMFIN,EQ,2015-01-07,1276.65,1277.00,1288.70,1256.25,1260.00,1261.80,1265.57,8667,109.69,1211,5904,68.12
SUNDARMFIN,EQ,2015-01-08,1261.80,1284.95,1295.00,1272.30,1286.00,1291.00,1286.24,28759,369.91,847,24885,86.53
SUNDARMFIN,EQ,2015-01-09,1291.00,1295.00,1306.75,1280.05,1296.00,1304.70,1297.07,51022,661.79,1639,42998,84.27
SUNDARMFIN,EQ,2015-01-12,1304.70,1296.00,1324.00,1296.00,1310.00,1312.60,1309.83,33853,443.42,1910,20633,60.95
SUNDARMFIN,EQ,2015-01-13,1312.60,1322.95,1332.00,1313.20,1330.00,1327.80,1324.09,69116,915.16,2380,61370,88.79
SUNDARMFIN,EQ,2015-01-14,1327.80,1327.80,1340.00,1315.00,1320.00,1320.60,1322.18,27670,365.85,964,24311,87.86
SUNDARMFIN,EQ,2015-01-15,1320.60,1365.00,1399.00,1336.75,1375.00,1377.05,1369.21,100436,1375.18,3167,82218,81.86
SUNDARMFIN,EQ,2015-01-16,1377.05,1354.05,1515.00,1354.05,1470.00,1458.80,1423.76,103783,1477.62,4315,72587,69.94
SUNDARMFIN,EQ,2015-01-19,1458.80,1495.00,1495.00,1428.60,1474.00,1479.70,1463.27,38829,568.17,3026,22021,56.71
SUNDARMFIN,EQ,2015-01-20,1479.70,1485.00,1485.00,1414.05,1430.00,1434.95,1460.27,50436,736.50,3066,23612,46.82
SUNDARMFIN,EQ,2015-01-21,1434.95,1440.00,1454.90,1405.05,1445.00,1443.55,1430.86,15694,224.56,1297,9729,61.99
SUNDARMFIN,EQ,2015-01-22,1443.55,1448.00,1454.50,1440.00,1441.65,1444.50,1445.61,10191,147.32,885,6763,66.36
SUNDARMFIN,EQ,2015-01-23,1444.50,1449.00,1453.90,1410.00,1450.00,1447.40,1440.37,23358,336.44,1620,17814,76.27
SUNDARMFIN,EQ,2015-01-27,1447.40,1450.00,1525.00,1431.00,1490.00,1491.75,1474.09,51729,762.53,3090,32640,63.10
SUNDARMFIN,EQ,2015-01-28,1491.75,1491.75,1524.80,1487.05,1522.00,1520.15,1511.25,39391,595.29,3216,31924,81.04
SUNDARMFIN,EQ,2015-01-29,1520.15,1525.00,1534.85,1488.90,1495.00,1496.30,1508.68,114210,1723.06,1494,110489,96.74
SUNDARMFIN,EQ,2015-01-30,1496.30,1501.00,1553.00,1400.00,1520.00,1512.05,1504.77,68858,1036.16,3338,48478,70.40
SUNDARMFIN,EQ,2015-02-02,1512.05,1517.00,1530.00,1471.55,1499.00,1495.75,1496.24,35020,523.98,2470,25585,73.06
SUNDARMFIN,EQ,2015-02-03,1495.75,1492.05,1510.00,1480.00,1510.00,1506.20,1495.70,8400,125.64,1330,6153,73.25
SUNDARMFIN,EQ,2015-02-04,1506.20,1502.00,1510.00,1488.15,1496.00,1496.25,1493.95,21883,326.92,664,17003,77.70
SUNDARMFIN,EQ,2015-02-05,1496.25,1496.25,1500.00,1485.00,1486.05,1493.10,1494.99,39758,594.38,1324,35224,88.60
SUNDARMFIN,EQ,2015-02-06,1493.10,1495.90,1496.00,1465.50,1479.05,1482.70,1480.74,11564,171.23,707,8283,71.63
SUNDARMFIN,EQ,2015-02-09,1482.70,1451.00,1495.00,1451.00,1494.95,1486.55,1475.69,63269,933.66,756,57262,90.51
SUNDARMFIN,EQ,2015-02-10,1486.55,1494.00,1495.05,1475.05,1491.50,1494.85,1491.25,32855,489.95,2065,20337,61.90
SUNDARMFIN,EQ,2015-02-11,1494.85,1490.10,1624.40,1460.40,1549.00,1555.10,1527.95,40051,611.96,1701,24546,61.29
SUNDARMFIN,EQ,2015-02-12,1555.10,1532.10,1555.00,1520.00,1533.00,1544.75,1538.32,21608,332.40,2427,12995,60.14
SUNDARMFIN,EQ,2015-02-13,1544.75,1548.75,1554.95,1526.00,1541.55,1549.70,1544.62,16425,253.70,1148,10145,61.77
SUNDARMFIN,EQ,2015-02-16,1549.70,1545.00,1550.00,1530.00,1540.00,1543.05,1543.29,7933,122.43,556,5495,69.27
