Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNTECK,EQ,2014-12-04,291.35,291.05,293.30,288.55,289.50,289.90,289.73,25278,73.24,199,13643,53.97
SUNTECK,EQ,2014-12-05,289.90,288.60,294.70,285.80,288.25,288.95,288.97,50083,144.72,603,2080,4.15
SUNTECK,EQ,2014-12-08,288.95,302.95,302.95,282.00,286.00,288.60,291.37,85921,250.35,1102,50543,58.82
SUNTECK,EQ,2014-12-09,288.60,289.35,292.90,286.00,288.00,291.10,290.35,56696,164.62,717,25069,44.22
SUNTECK,EQ,2014-12-10,291.10,291.00,292.05,287.00,292.05,289.15,290.28,60215,174.79,497,30560,50.75
SUNTECK,EQ,2014-12-11,289.15,291.00,302.00,283.35,286.50,288.90,287.66,32198,92.62,651,2143,6.66
SUNTECK,EQ,2014-12-12,288.90,291.00,294.50,285.20,286.10,289.00,288.25,29705,85.62,321,7390,24.88
SUNTECK,EQ,2014-12-15,289.00,289.05,289.05,283.40,283.40,287.45,286.80,31563,90.52,251,11796,37.37
SUNTECK,EQ,2014-12-16,287.45,285.00,285.55,278.00,280.00,280.05,280.72,38987,109.44,461,12578,32.26
SUNTECK,EQ,2014-12-17,280.05,278.85,283.00,263.20,280.00,280.05,277.30,33133,91.88,426,6718,20.28
SUNTECK,EQ,2014-12-18,280.05,278.45,286.00,271.20,283.00,284.70,281.70,23808,67.07,262,3702,15.55
SUNTECK,EQ,2014-12-19,284.70,288.00,290.80,287.00,290.50,289.00,288.95,36895,106.61,181,15941,43.21
SUNTECK,EQ,2014-12-22,289.00,290.05,294.45,287.85,290.00,289.95,290.14,34542,100.22,257,14503,41.99
SUNTECK,EQ,2014-12-23,289.95,289.35,290.45,284.00,284.00,288.90,289.10,23097,66.77,224,3054,13.22
SUNTECK,EQ,2014-12-24,288.90,291.00,303.10,287.05,290.00,289.50,288.63,26233,75.72,206,6586,25.11
SUNTECK,EQ,2014-12-26,289.50,289.60,291.00,281.25,286.85,284.70,287.31,30738,88.31,349,8425,27.41
SUNTECK,EQ,2014-12-29,284.70,286.10,286.10,284.60,285.90,285.75,285.29,23574,67.25,302,3398,14.41
SUNTECK,EQ,2014-12-30,285.75,286.60,287.80,283.50,284.95,284.70,284.52,29197,83.07,208,10848,37.15
SUNTECK,EQ,2014-12-31,284.70,285.05,286.70,275.35,279.00,279.35,280.22,31436,88.09,2913,7674,24.41
SUNTECK,EQ,2015-01-01,279.35,282.00,285.00,278.35,282.95,283.00,279.79,34678,97.03,200,15714,45.31
SUNTECK,EQ,2015-01-02,283.00,285.00,288.00,282.30,284.00,284.70,283.73,22853,64.84,410,2069,9.05
SUNTECK,EQ,2015-01-05,284.70,285.60,287.80,283.00,285.90,285.30,285.17,24715,70.48,268,4938,19.98
SUNTECK,EQ,2015-01-06,285.30,283.45,286.00,270.05,270.10,272.65,276.52,56405,155.97,1270,31119,55.17
SUNTECK,EQ,2015-01-07,272.65,277.00,280.00,260.00,264.15,267.35,270.26,30573,82.63,824,7048,23.05
SUNTECK,EQ,2015-01-08,267.35,267.55,269.00,257.05,264.00,263.50,263.97,48788,128.79,566,28860,59.15
SUNTECK,EQ,2015-01-09,263.50,260.55,265.00,260.40,261.65,262.60,262.92,60770,159.78,243,47064,77.45
SUNTECK,EQ,2015-01-12,262.60,264.00,264.00,252.10,253.05,256.70,259.43,67832,175.98,1697,43918,64.75
SUNTECK,EQ,2015-01-13,256.70,258.05,259.00,238.00,239.95,241.30,247.55,88081,218.04,990,62987,71.51
SUNTECK,EQ,2015-01-14,241.30,241.50,241.50,223.00,230.00,232.00,229.97,135785,312.26,1602,91517,67.40
SUNTECK,EQ,2015-01-15,232.00,230.80,250.05,230.80,235.00,236.20,241.25,120625,291.01,1470,75825,62.86
SUNTECK,EQ,2015-01-16,236.20,245.80,245.80,217.40,223.00,221.60,222.39,210208,467.49,3406,128593,61.17
SUNTECK,EQ,2015-01-19,221.60,220.55,221.50,212.60,212.60,216.20,218.86,147223,322.21,1099,104945,71.28
SUNTECK,EQ,2015-01-20,216.20,218.00,224.00,205.00,219.00,214.65,211.15,284436,600.58,3045,178858,62.88
SUNTECK,EQ,2015-01-21,214.65,220.00,257.55,218.50,257.00,249.65,238.24,224836,535.65,4473,102267,45.49
SUNTECK,EQ,2015-01-22,249.65,271.20,272.40,251.15,263.00,263.45,261.86,176796,462.96,4517,43397,24.55
SUNTECK,EQ,2015-01-23,263.45,267.80,274.20,251.00,260.00,261.10,263.84,134891,355.89,3692,30668,22.74
SUNTECK,EQ,2015-01-27,261.10,262.00,269.20,254.45,262.00,262.80,262.34,61323,160.87,1211,10929,17.82
SUNTECK,EQ,2015-01-28,262.80,263.05,269.90,249.00,250.00,252.60,256.20,60141,154.08,1469,21807,36.26
SUNTECK,EQ,2015-01-29,252.60,248.20,254.75,246.05,248.25,252.70,253.36,27735,70.27,542,11611,41.86
SUNTECK,EQ,2015-01-30,252.70,253.00,258.90,242.75,248.00,249.35,249.13,37116,92.47,931,11383,30.67
SUNTECK,EQ,2015-02-02,249.35,245.45,258.45,245.10,256.00,256.45,254.42,56970,144.94,2777,15831,27.79
SUNTECK,EQ,2015-02-03,256.45,256.55,263.90,249.40,258.75,260.25,257.65,55304,142.49,3426,7165,12.96
SUNTECK,EQ,2015-02-04,260.25,263.95,263.95,252.10,259.95,258.25,256.94,45564,117.07,3216,11381,24.98
SUNTECK,EQ,2015-02-05,258.25,255.70,259.45,252.00,253.00,254.60,255.85,46374,118.65,1675,18039,38.90
SUNTECK,EQ,2015-02-06,254.60,258.90,258.90,243.00,250.00,252.50,252.79,32118,81.19,2456,5605,17.45
SUNTECK,EQ,2015-02-09,252.50,257.45,257.45,238.20,249.00,247.60,249.05,24391,60.75,1245,2604,10.68
SUNTECK,EQ,2015-02-10,247.60,246.95,250.95,242.95,243.15,246.20,247.31,37363,92.40,453,21687,58.04
