Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNTV,EQ,2014-12-04,358.10,361.65,378.45,360.20,374.35,374.85,369.20,3009759,11112.12,61740,1281210,42.57
SUNTV,EQ,2014-12-05,374.85,376.00,381.95,365.00,371.60,373.70,372.21,1093073,4068.57,23374,354118,32.40
SUNTV,EQ,2014-12-08,373.70,374.00,382.85,365.20,381.00,379.80,374.73,1264880,4739.90,29234,522168,41.28
SUNTV,EQ,2014-12-09,379.80,379.40,384.05,367.35,371.05,369.95,377.13,1227865,4630.61,20324,583593,47.53
SUNTV,EQ,2014-12-10,369.95,370.00,388.50,368.35,372.25,376.30,380.35,1213725,4616.40,23786,491713,40.51
SUNTV,EQ,2014-12-11,376.30,375.00,383.80,369.45,375.80,376.35,376.10,793149,2983.06,24613,239204,30.16
SUNTV,EQ,2014-12-12,376.35,378.80,379.35,320.55,346.70,344.70,348.06,2150608,7485.39,49728,375777,17.47
SUNTV,EQ,2014-12-15,344.70,340.70,355.00,337.10,349.50,349.65,348.79,769174,2682.79,16791,219278,28.51
SUNTV,EQ,2014-12-16,349.65,347.00,354.30,330.05,337.10,337.00,337.62,1398464,4721.44,45204,606116,43.34
SUNTV,EQ,2014-12-17,337.00,335.95,353.70,325.00,343.55,343.25,341.72,1380340,4716.88,38052,629170,45.58
SUNTV,EQ,2014-12-18,343.25,346.15,360.10,346.00,359.90,357.90,354.70,1340074,4753.23,38479,645939,48.20
SUNTV,EQ,2014-12-19,357.90,364.10,365.15,342.40,347.00,347.20,349.82,923204,3229.56,22881,411869,44.61
SUNTV,EQ,2014-12-22,347.20,345.00,360.60,342.10,360.00,359.10,352.61,918541,3238.90,24452,270553,29.45
SUNTV,EQ,2014-12-23,359.10,360.00,365.10,353.70,363.00,363.85,358.37,1022074,3662.82,21280,426761,41.75
SUNTV,EQ,2014-12-24,363.85,365.00,376.50,362.00,372.10,373.45,372.65,1169432,4357.91,29196,338015,28.90
SUNTV,EQ,2014-12-26,373.45,372.25,385.75,370.35,383.55,384.15,379.77,1180640,4483.70,26402,251717,21.32
SUNTV,EQ,2014-12-29,384.15,383.90,393.40,376.90,392.50,388.75,384.34,736006,2828.75,14016,173745,23.61
