Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUPREMEINF,EQ,2014-12-04,211.50,209.55,215.00,198.00,200.00,204.75,208.81,40456,84.48,435,37111,91.73
SUPREMEINF,EQ,2014-12-05,204.75,204.75,214.00,197.00,214.00,212.25,206.17,19563,40.33,568,10160,51.93
SUPREMEINF,EQ,2014-12-08,212.25,212.55,218.90,207.50,212.05,212.00,214.86,15385,33.06,337,13129,85.34
SUPREMEINF,EQ,2014-12-09,212.00,209.90,217.35,203.00,210.00,206.95,209.64,11616,24.35,230,8541,73.53
SUPREMEINF,EQ,2014-12-10,206.95,205.00,213.95,198.00,206.05,205.25,207.01,10234,21.19,284,6271,61.28
SUPREMEINF,EQ,2014-12-11,205.25,207.00,209.95,202.00,208.00,206.05,205.11,6271,12.86,206,3968,63.28
SUPREMEINF,EQ,2014-12-12,206.05,206.00,211.00,205.00,209.50,208.10,208.25,5614,11.69,171,3838,68.36
SUPREMEINF,EQ,2014-12-15,208.10,206.00,208.50,204.50,207.45,206.10,206.62,9118,18.84,107,8054,88.33
SUPREMEINF,EQ,2014-12-16,206.10,208.00,208.85,192.10,198.00,199.90,201.02,14963,30.08,170,13383,89.44
SUPREMEINF,EQ,2014-12-17,199.90,200.00,214.00,194.00,208.00,207.85,206.25,27310,56.33,250,23205,84.97
SUPREMEINF,EQ,2014-12-18,207.85,207.00,223.00,202.10,215.50,214.35,211.03,36815,77.69,511,27491,74.67
SUPREMEINF,EQ,2014-12-19,214.35,213.00,219.50,208.00,214.40,211.30,212.65,44430,94.48,386,37308,83.97
SUPREMEINF,EQ,2014-12-22,211.30,213.00,240.00,212.00,232.00,231.60,227.86,49999,113.93,1426,28799,57.60
SUPREMEINF,EQ,2014-12-23,231.60,233.00,256.40,227.95,252.50,250.75,246.45,58956,145.30,1352,33710,57.18
SUPREMEINF,EQ,2014-12-24,250.75,253.00,263.80,253.00,260.00,259.65,260.27,36533,95.09,769,22685,62.09
SUPREMEINF,EQ,2014-12-26,259.65,262.00,272.00,255.10,258.00,260.65,263.42,31111,81.95,739,15935,51.22
SUPREMEINF,EQ,2014-12-29,260.65,264.50,264.50,256.00,257.95,257.60,258.54,20663,53.42,298,13533,65.49
SUPREMEINF,EQ,2014-12-30,257.60,257.00,264.00,248.00,257.00,258.15,255.26,12881,32.88,255,7869,61.09
SUPREMEINF,EQ,2014-12-31,258.15,260.00,269.45,259.00,269.45,266.25,264.60,24614,65.13,488,17376,70.59
SUPREMEINF,EQ,2015-01-01,266.25,264.00,299.00,264.00,279.00,279.05,284.09,127103,361.09,2688,68715,54.06
SUPREMEINF,EQ,2015-01-02,279.05,281.00,295.00,280.05,286.00,288.85,288.75,93639,270.39,1989,37692,40.25
SUPREMEINF,EQ,2015-01-05,288.85,294.00,296.70,284.95,287.95,287.20,291.86,165296,482.43,2336,80403,48.64
SUPREMEINF,EQ,2015-01-06,287.20,287.00,294.40,275.00,278.00,276.40,284.86,116275,331.22,1399,83942,72.19
SUPREMEINF,EQ,2015-01-07,276.40,277.70,280.00,265.00,278.00,276.75,275.01,12911,35.51,531,5903,45.72
SUPREMEINF,EQ,2015-01-08,276.75,278.95,285.40,273.15,284.50,282.15,280.55,88772,249.05,752,74536,83.96
SUPREMEINF,EQ,2015-01-09,282.15,284.50,289.80,279.95,283.00,280.85,281.68,95940,270.25,1041,87366,91.06
SUPREMEINF,EQ,2015-01-12,280.85,278.65,291.00,278.65,281.55,284.25,286.52,82439,236.21,1106,55151,66.90
SUPREMEINF,EQ,2015-01-13,284.25,282.00,284.50,273.00,280.00,276.20,279.61,36787,102.86,641,25714,69.90
SUPREMEINF,EQ,2015-01-14,276.20,270.50,280.40,267.20,269.00,270.40,271.26,26366,71.52,442,20000,75.86
SUPREMEINF,EQ,2015-01-15,270.40,269.00,289.90,267.25,280.00,279.90,279.68,56725,158.65,824,38315,67.55
SUPREMEINF,EQ,2015-01-16,279.90,279.95,283.00,269.00,272.00,270.10,273.90,60373,165.36,487,50472,83.60
SUPREMEINF,EQ,2015-01-19,270.10,267.50,287.00,267.00,268.00,269.00,271.46,42037,114.11,458,32456,77.21
SUPREMEINF,EQ,2015-01-20,269.00,270.50,280.10,268.15,275.50,277.80,274.91,197742,543.62,2941,131064,66.28
SUPREMEINF,EQ,2015-01-21,277.80,279.00,280.10,273.00,275.10,275.10,276.48,52478,145.09,535,39375,75.03
