Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TANTIACONS,EQ,2014-12-04,22.75,22.30,23.40,22.15,22.15,22.30,22.71,2500,0.57,62,2100,84.00
TANTIACONS,EQ,2014-12-05,22.30,22.00,23.00,20.85,22.50,22.80,22.10,2223,0.49,46,1055,47.46
TANTIACONS,EQ,2014-12-08,22.80,22.00,22.50,21.40,21.40,21.55,21.96,2172,0.48,62,1228,56.54
TANTIACONS,EQ,2014-12-09,21.55,22.35,22.35,20.95,21.15,21.15,21.26,36,0.01,18,11,30.56
TANTIACONS,EQ,2014-12-10,21.15,21.00,21.90,20.45,21.10,21.10,20.95,570,0.12,32,364,63.86
TANTIACONS,EQ,2014-12-11,21.10,21.10,21.10,20.90,20.90,21.00,21.05,882,0.19,10,879,99.66
TANTIACONS,EQ,2014-12-12,21.00,20.80,21.45,20.80,20.90,20.95,21.11,1833,0.39,30,1821,99.35
TANTIACONS,EQ,2014-12-15,20.95,20.70,21.85,20.25,21.80,21.20,20.64,2116,0.44,60,1860,87.90
TANTIACONS,EQ,2014-12-16,21.20,21.40,21.40,18.65,18.70,18.70,19.40,5739,1.11,118,4766,83.05
TANTIACONS,EQ,2014-12-17,18.70,18.95,20.70,18.00,19.10,20.20,19.74,1910,0.38,47,1020,53.40
TANTIACONS,EQ,2014-12-18,20.20,19.75,20.95,19.50,19.90,19.90,20.43,3898,0.80,59,3252,83.43
TANTIACONS,EQ,2014-12-19,19.90,20.95,21.90,18.00,18.70,18.80,18.88,38751,7.32,162,25902,66.84
TANTIACONS,EQ,2014-12-22,18.80,19.65,20.00,19.15,19.35,19.30,19.55,3377,0.66,33,3167,93.78
TANTIACONS,EQ,2014-12-23,19.30,18.95,19.90,18.90,19.50,19.50,19.41,1258,0.24,27,1218,96.82
TANTIACONS,EQ,2014-12-24,19.50,19.50,20.00,18.90,19.20,19.30,19.63,1357,0.27,29,733,54.02
TANTIACONS,EQ,2014-12-26,19.30,18.95,19.30,18.85,18.85,19.00,19.04,4077,0.78,23,4071,99.85
TANTIACONS,EQ,2014-12-29,19.00,18.95,19.65,18.90,19.10,19.30,19.44,1250,0.24,11,1175,94.00
