Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATACHEM,EQ,2014-12-04,445.80,447.40,459.50,443.80,454.90,454.75,452.92,775473,3512.24,12915,204676,26.39
TATACHEM,EQ,2014-12-05,454.75,456.90,460.70,448.20,450.00,450.80,455.28,368477,1677.59,6641,134587,36.53
TATACHEM,EQ,2014-12-08,450.80,451.30,452.75,435.05,437.90,437.35,443.67,304161,1349.47,4545,83183,27.35
TATACHEM,EQ,2014-12-09,437.35,434.20,444.60,429.00,432.15,431.35,436.36,382986,1671.20,7595,140675,36.73
TATACHEM,EQ,2014-12-10,431.35,428.80,437.00,428.80,434.30,435.10,434.21,296420,1287.09,4979,105565,35.61
TATACHEM,EQ,2014-12-11,435.10,436.00,436.00,423.50,425.70,425.20,429.30,264041,1133.52,7261,122040,46.22
TATACHEM,EQ,2014-12-12,425.20,428.80,433.00,411.60,414.00,413.25,423.15,485575,2054.73,15734,176650,36.38
TATACHEM,EQ,2014-12-15,413.25,410.00,418.75,407.80,415.00,414.90,413.95,282230,1168.29,5413,80079,28.37
TATACHEM,EQ,2014-12-16,414.90,412.00,418.50,409.20,411.55,412.50,412.88,492062,2031.63,6772,283790,57.67
TATACHEM,EQ,2014-12-17,412.50,410.00,415.20,396.00,406.10,408.10,407.10,289903,1180.19,5883,80797,27.87
TATACHEM,EQ,2014-12-18,408.10,414.40,426.40,414.40,424.50,423.95,421.50,576440,2429.71,7772,250948,43.53
TATACHEM,EQ,2014-12-19,423.95,426.00,431.80,420.30,423.50,422.65,426.83,241303,1029.96,3993,57330,23.76
TATACHEM,EQ,2014-12-22,422.65,424.40,433.00,424.40,432.00,431.25,429.38,528340,2268.57,8225,241391,45.69
TATACHEM,EQ,2014-12-23,431.25,431.25,436.00,422.05,424.35,426.55,426.82,377858,1612.76,5072,161487,42.74
TATACHEM,EQ,2014-12-24,426.55,425.65,430.25,422.50,423.15,425.65,425.81,507827,2162.38,6180,238115,46.89
TATACHEM,EQ,2014-12-26,425.65,426.00,428.65,419.15,421.00,421.55,422.67,250499,1058.79,7500,83898,33.49
TATACHEM,EQ,2014-12-29,421.55,421.10,428.10,421.05,426.25,427.15,424.84,331039,1406.40,4946,58957,17.81
TATACHEM,EQ,2014-12-30,427.15,427.95,431.90,423.95,431.00,430.55,428.86,488383,2094.47,6414,159503,32.66
TATACHEM,EQ,2014-12-31,430.55,428.60,438.00,428.60,434.90,435.55,435.13,596140,2594.01,8525,198330,33.27
TATACHEM,EQ,2015-01-01,435.55,434.85,436.15,431.25,433.50,434.50,434.02,154115,668.89,2760,38557,25.02
TATACHEM,EQ,2015-01-02,434.50,437.00,441.95,435.60,437.05,438.15,439.26,417037,1831.87,5454,174369,41.81
TATACHEM,EQ,2015-01-05,438.15,438.00,442.40,435.00,435.30,435.75,438.44,166681,730.79,3015,64464,38.68
TATACHEM,EQ,2015-01-06,435.75,433.00,434.20,420.00,425.00,422.60,426.29,292656,1247.57,6538,77011,26.31
TATACHEM,EQ,2015-01-07,422.60,422.90,437.05,415.20,434.75,432.60,427.77,486768,2082.27,6049,202326,41.57
TATACHEM,EQ,2015-01-08,432.60,437.00,442.25,434.40,441.45,440.40,438.94,489479,2148.50,6533,147322,30.10
TATACHEM,EQ,2015-01-09,440.40,444.90,449.00,439.50,442.60,442.05,445.51,579266,2580.68,10410,157345,27.16
TATACHEM,EQ,2015-01-12,442.05,442.70,444.45,437.05,439.05,439.80,440.62,198923,876.49,4111,76981,38.70
TATACHEM,EQ,2015-01-13,439.80,442.00,454.00,438.70,448.70,447.85,448.64,553633,2483.80,10226,158405,28.61
TATACHEM,EQ,2015-01-14,447.85,448.50,456.70,441.75,442.20,443.05,447.54,681427,3049.69,11831,203725,29.90
TATACHEM,EQ,2015-01-15,443.05,450.00,453.95,442.30,443.65,445.80,447.83,416385,1864.71,6412,96453,23.16
TATACHEM,EQ,2015-01-16,445.80,444.20,447.80,443.00,443.30,444.05,445.29,238104,1060.25,3287,101550,42.65
TATACHEM,EQ,2015-01-19,444.05,446.00,450.90,443.10,445.00,444.70,446.70,344468,1538.73,4429,156968,45.57
TATACHEM,EQ,2015-01-20,444.70,442.60,451.30,442.60,445.25,444.75,447.24,460994,2061.74,7044,190381,41.30
TATACHEM,EQ,2015-01-21,444.75,444.10,447.65,438.10,439.00,438.80,441.88,383253,1693.51,5233,192345,50.19
TATACHEM,EQ,2015-01-22,438.80,437.00,446.00,437.00,441.20,441.60,441.90,414369,1831.08,5524,226637,54.69
TATACHEM,EQ,2015-01-23,441.60,444.00,445.25,438.30,440.00,440.65,442.19,469239,2074.94,6054,262204,55.88
