Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAELXSI,EQ,2014-12-04,636.10,642.15,653.65,633.00,635.00,637.80,643.64,412470,2654.82,10144,140780,34.13
TATAELXSI,EQ,2014-12-05,637.80,636.05,640.40,612.00,619.00,617.95,627.63,181574,1139.62,4822,82646,45.52
TATAELXSI,EQ,2014-12-08,617.95,614.25,621.70,602.00,613.00,610.00,611.45,122254,747.53,3862,47718,39.03
TATAELXSI,EQ,2014-12-09,610.00,605.00,616.40,600.00,604.75,601.90,607.26,136592,829.46,4086,62142,45.49
TATAELXSI,EQ,2014-12-10,601.90,600.00,614.90,600.00,608.70,607.75,608.45,145180,883.35,3986,35365,24.36
TATAELXSI,EQ,2014-12-11,607.75,608.00,610.60,593.35,602.80,601.95,603.32,108441,654.24,3342,37021,34.14
TATAELXSI,EQ,2014-12-12,601.95,603.00,624.50,603.00,604.35,605.00,613.25,384071,2355.32,11256,61427,15.99
TATAELXSI,EQ,2014-12-15,605.00,603.90,610.00,590.00,599.00,598.65,602.55,145548,877.01,4946,43759,30.06
TATAELXSI,EQ,2014-12-16,598.65,596.00,598.45,556.40,568.00,567.80,580.80,196199,1139.52,5858,88419,45.07
TATAELXSI,EQ,2014-12-17,567.80,567.95,582.75,540.10,562.25,564.55,566.15,213762,1210.21,6575,79307,37.10
TATAELXSI,EQ,2014-12-18,564.55,571.70,597.80,571.70,589.10,593.15,586.82,250461,1469.76,8074,60779,24.27
TATAELXSI,EQ,2014-12-19,593.15,599.80,607.00,578.00,583.50,581.65,592.71,207538,1230.10,6911,84436,40.68
TATAELXSI,EQ,2014-12-22,581.65,586.80,596.00,582.00,588.90,588.00,588.72,147064,865.80,5356,42536,28.92
TATAELXSI,EQ,2014-12-23,588.00,590.95,594.00,581.00,587.50,584.75,588.57,120310,708.10,3203,52765,43.86
TATAELXSI,EQ,2014-12-24,584.75,583.00,604.80,583.00,588.00,587.35,596.04,363775,2168.25,9619,77003,21.17
TATAELXSI,EQ,2014-12-26,587.35,589.40,604.40,585.00,588.00,589.75,596.58,332829,1985.60,9394,71437,21.46
TATAELXSI,EQ,2014-12-29,589.75,593.00,598.50,585.10,588.00,587.95,591.57,161637,956.20,5234,52068,32.21
TATAELXSI,EQ,2014-12-30,587.95,591.40,595.70,585.55,587.50,588.75,591.05,102208,604.10,4463,30181,29.53
TATAELXSI,EQ,2014-12-31,588.75,589.40,606.00,589.40,596.15,596.55,598.75,324447,1942.61,8040,87225,26.88
TATAELXSI,EQ,2015-01-01,596.55,597.00,617.20,596.00,604.50,603.75,607.79,483959,2941.46,12085,90089,18.62
TATAELXSI,EQ,2015-01-02,603.75,607.40,614.90,604.00,605.60,606.20,609.53,196465,1197.51,5321,58239,29.64
TATAELXSI,EQ,2015-01-05,606.20,601.50,624.45,601.50,616.00,617.15,616.72,478829,2953.03,12286,119623,24.98
TATAELXSI,EQ,2015-01-06,617.15,617.60,636.00,607.00,619.50,620.75,625.74,974011,6094.75,22983,282275,28.98
TATAELXSI,EQ,2015-01-07,620.75,619.10,664.90,619.00,662.00,650.75,641.02,1177602,7548.61,24722,381550,32.40
TATAELXSI,EQ,2015-01-08,650.75,667.00,681.75,645.20,646.00,648.15,664.01,953640,6332.28,22826,273193,28.65
