Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATASTEEL,EQ,2014-12-04,463.75,464.15,467.45,456.70,461.60,461.85,461.45,3321546,15327.17,60944,769697,23.17
TATASTEEL,EQ,2014-12-05,461.85,463.50,468.70,459.50,460.80,461.15,464.42,3067638,14246.60,47459,1078596,35.16
TATASTEEL,EQ,2014-12-08,461.15,464.00,466.00,450.45,450.90,451.85,457.56,3055870,13982.49,52961,1032424,33.78
TATASTEEL,EQ,2014-12-09,451.85,451.40,451.40,435.05,435.60,436.30,442.73,4066957,18005.79,67295,1211649,29.79
TATASTEEL,EQ,2014-12-10,436.30,432.40,443.00,427.60,434.20,432.50,436.21,4734292,20651.40,68636,1765360,37.29
TATASTEEL,EQ,2014-12-11,432.50,431.00,435.00,416.95,417.00,418.75,424.07,5271659,22355.41,97234,2093807,39.72
TATASTEEL,EQ,2014-12-12,418.75,420.00,422.90,400.05,400.50,402.70,412.53,6523297,26910.63,109945,2161652,33.14
TATASTEEL,EQ,2014-12-15,402.70,399.00,408.35,396.00,400.75,400.95,402.03,4797611,19287.83,82743,1176944,24.53
TATASTEEL,EQ,2014-12-16,400.95,397.00,402.80,387.00,387.00,389.65,392.95,5771833,22680.37,81261,1834850,31.79
TATASTEEL,EQ,2014-12-17,389.65,394.00,404.90,387.05,393.75,393.45,397.51,8016501,31866.69,128840,2403374,29.98
TATASTEEL,EQ,2014-12-18,393.45,401.05,405.90,399.50,403.00,401.60,402.47,4410200,17749.63,67585,1305314,29.60
TATASTEEL,EQ,2014-12-19,401.60,405.60,411.10,403.00,406.25,405.45,407.08,4630339,18849.09,75034,1581209,34.15
TATASTEEL,EQ,2014-12-22,405.45,406.45,409.60,398.70,404.75,404.05,403.41,3254302,13128.27,64327,1107376,34.03
TATASTEEL,EQ,2014-12-23,404.05,405.10,406.60,392.70,394.50,394.80,398.07,3784076,15063.42,58396,1293678,34.19
TATASTEEL,EQ,2014-12-24,394.80,391.25,399.70,391.10,397.00,395.25,395.17,7351514,29051.29,81795,3874108,52.70
TATASTEEL,EQ,2014-12-26,395.25,396.05,399.70,390.10,396.00,398.25,395.65,3020740,11951.41,46848,469749,15.55
TATASTEEL,EQ,2014-12-29,398.25,399.20,410.55,399.00,405.00,404.10,406.39,4077406,16569.98,63098,1011134,24.80
TATASTEEL,EQ,2014-12-30,404.10,404.40,405.90,395.25,396.50,396.30,398.80,2899074,11561.48,41907,784104,27.05
TATASTEEL,EQ,2014-12-31,396.30,397.00,401.75,395.55,399.15,399.40,398.83,2252991,8985.51,34327,361924,16.06
TATASTEEL,EQ,2015-01-01,399.40,397.10,406.00,397.10,405.85,404.45,402.47,2531499,10188.56,36733,547909,21.64
TATASTEEL,EQ,2015-01-02,404.45,406.00,413.00,406.00,411.00,410.75,409.65,3433980,14067.22,53347,848433,24.71
TATASTEEL,EQ,2015-01-05,410.75,413.00,421.45,413.00,417.95,416.70,418.04,5205645,21761.83,74723,1369990,26.32
TATASTEEL,EQ,2015-01-06,416.70,414.00,414.00,394.35,395.40,396.50,401.44,6170681,24771.69,80489,2529632,40.99
TATASTEEL,EQ,2015-01-07,396.50,397.80,397.80,383.60,388.60,388.90,389.94,4749099,18518.48,78902,1406508,29.62
TATASTEEL,EQ,2015-01-08,388.90,394.00,396.70,390.60,394.15,394.95,393.83,3169917,12483.97,51286,763860,24.10
TATASTEEL,EQ,2015-01-09,394.95,402.00,404.90,395.10,398.90,399.65,400.75,5061000,20281.80,68789,1222094,24.15
TATASTEEL,EQ,2015-01-12,399.65,399.50,399.50,393.00,396.90,396.75,395.99,2690982,10656.15,39164,610653,22.69
TATASTEEL,EQ,2015-01-13,396.75,397.00,398.85,390.20,391.40,391.50,394.42,3002748,11843.39,61548,799883,26.64
TATASTEEL,EQ,2015-01-14,391.50,391.45,391.45,375.50,375.95,376.85,380.72,7129562,27143.98,109690,3412295,47.86
TATASTEEL,EQ,2015-01-15,376.85,378.80,388.70,372.10,381.00,384.75,380.45,7011341,26674.53,104821,2215768,31.60
TATASTEEL,EQ,2015-01-16,384.75,382.00,385.50,376.30,384.15,383.40,382.35,4538517,17352.86,94192,1643998,36.22
TATASTEEL,EQ,2015-01-19,383.40,384.60,386.90,380.55,384.70,384.75,383.91,2789825,10710.37,44691,753684,27.02
TATASTEEL,EQ,2015-01-20,384.75,385.60,403.60,385.60,403.00,402.00,397.09,6017882,23896.31,82554,1848684,30.72
TATASTEEL,EQ,2015-01-21,402.00,405.00,406.00,393.50,396.10,397.10,398.50,3897727,15532.59,72569,1328060,34.07
TATASTEEL,EQ,2015-01-22,397.10,398.00,404.70,396.00,403.40,403.40,400.37,4527709,18127.42,109129,1785985,39.45
TATASTEEL,EQ,2015-01-23,403.40,410.00,412.00,399.00,401.60,403.10,404.33,4526581,18302.21,68407,1208432,26.70
TATASTEEL,EQ,2015-01-27,403.10,402.80,404.00,395.50,398.00,398.40,398.92,3972311,15846.51,95591,1927390,48.52
TATASTEEL,EQ,2015-01-28,398.40,397.00,397.00,388.90,389.75,391.15,391.93,3995448,15659.17,62476,1475520,36.93
TATASTEEL,EQ,2015-01-29,391.15,390.30,392.40,383.70,390.00,390.40,388.54,5162946,20060.13,69906,2740429,53.08
TATASTEEL,EQ,2015-01-30,390.40,392.50,395.00,386.50,390.70,390.45,391.27,3600813,14088.98,58070,1361691,37.82
TATASTEEL,EQ,2015-02-02,390.45,389.90,394.80,382.20,383.80,383.85,388.45,3179020,12348.90,48880,930230,29.26
TATASTEEL,EQ,2015-02-03,383.85,387.00,387.45,378.10,380.55,381.10,382.70,3443635,13178.74,60402,993083,28.84
TATASTEEL,EQ,2015-02-04,381.10,383.90,393.40,383.00,387.75,389.20,388.82,4420502,17187.84,56105,1196467,27.07
TATASTEEL,EQ,2015-02-05,389.20,391.70,392.80,378.05,378.55,379.25,385.37,3102143,11954.86,49533,881855,28.43
TATASTEEL,EQ,2015-02-06,379.25,380.00,380.70,367.00,367.10,368.65,371.56,4519435,16792.61,75971,1298954,28.74
TATASTEEL,EQ,2015-02-09,368.65,357.00,361.50,346.20,346.30,347.45,353.51,7535773,26639.79,120196,3039265,40.33
TATASTEEL,EQ,2015-02-10,347.45,345.00,360.00,345.00,358.50,357.75,353.16,5281226,18651.01,72784,1765209,33.42
TATASTEEL,EQ,2015-02-11,357.75,360.00,368.70,353.00,364.40,365.00,361.15,3956657,14289.61,55432,976320,24.68
TATASTEEL,EQ,2015-02-12,365.00,366.20,367.40,356.00,365.95,365.30,362.62,3415692,12385.96,51910,598600,17.52
TATASTEEL,EQ,2015-02-13,365.30,368.70,371.80,365.25,366.15,366.55,367.92,3736466,13747.37,51768,1538099,41.16
TATASTEEL,EQ,2015-02-16,366.55,368.75,374.45,368.35,369.15,369.80,371.44,2991370,11111.15,49164,1095361,36.62
TATASTEEL,EQ,2015-02-18,369.80,371.95,371.95,364.70,368.10,367.50,367.60,3232668,11883.24,50588,1649345,51.02
TATASTEEL,EQ,2015-02-19,367.50,368.00,379.80,368.00,375.50,375.25,375.21,7752626,29088.92,79882,3429093,44.23
TATASTEEL,EQ,2015-02-20,375.25,378.00,381.85,373.00,374.00,374.70,378.11,3442401,13016.15,50747,828271,24.06
TATASTEEL,EQ,2015-02-23,374.70,376.50,376.90,365.00,365.70,367.35,371.78,3085181,11470.08,47991,1278858,41.45
TATASTEEL,EQ,2015-02-24,367.35,368.10,370.00,357.20,358.50,359.10,361.65,3288127,11891.56,45692,889224,27.04
TATASTEEL,EQ,2015-02-25,359.10,362.80,364.80,350.10,350.95,350.90,356.85,3932349,14032.49,67057,1543710,39.26
TATASTEEL,EQ,2015-02-26,350.90,352.30,354.90,344.25,345.40,345.20,348.42,8064365,28097.52,93115,3754885,46.56
TATASTEEL,EQ,2015-02-27,345.20,347.45,354.70,345.80,351.35,350.65,350.81,5014678,17591.84,103510,2438019,48.62
TATASTEEL,EQ,2015-02-28,350.65,356.15,364.55,346.50,355.30,355.25,356.39,7496515,26717.09,87187,1300061,17.34
TATASTEEL,EQ,2015-03-02,355.25,357.40,359.20,349.00,352.50,352.55,352.23,4380314,15428.82,58122,1703840,38.90
TATASTEEL,EQ,2015-03-03,352.55,353.00,357.85,349.50,352.45,353.15,353.57,5121104,18106.76,61158,1926972,37.63
TATASTEEL,EQ,2015-03-04,353.15,356.00,357.15,345.60,346.45,348.15,352.54,4673329,16475.59,62960,1979065,42.35
TATASTEEL,EQ,2015-03-05,348.15,348.50,349.20,341.25,342.80,343.25,344.17,4770135,16417.15,70986,1885256,39.52
TATASTEEL,EQ,2015-03-09,343.25,343.25,343.70,335.00,335.35,336.30,339.14,4368765,14816.36,53791,2032088,46.51
TATASTEEL,EQ,2015-03-10,336.30,338.15,339.00,330.05,332.30,331.60,334.24,4091848,13676.69,57140,1626552,39.75
TATASTEEL,EQ,2015-03-11,331.60,333.00,335.00,324.25,325.40,325.30,328.67,4682270,15389.10,61175,1897333,40.52
TATASTEEL,EQ,2015-03-12,325.30,327.70,336.40,327.45,333.30,333.20,332.59,4324521,14382.82,60737,1045981,24.19
TATASTEEL,EQ,2015-03-13,333.20,336.00,336.45,325.00,327.75,326.50,328.60,3279674,10777.12,58178,964778,29.42
TATASTEEL,EQ,2015-03-16,326.50,328.85,328.85,323.10,326.50,326.20,325.49,2777100,9039.12,40519,593614,21.38
TATASTEEL,EQ,2015-03-17,326.20,330.00,336.45,327.10,332.55,332.55,332.06,4329067,14375.12,55655,898268,20.75
TATASTEEL,EQ,2015-03-18,332.55,335.70,335.70,329.35,329.90,331.75,332.52,3099693,10307.08,48036,978313,31.56
TATASTEEL,EQ,2015-03-19,331.75,334.25,344.80,333.65,334.65,336.60,339.87,6148738,20897.80,78270,1808987,29.42
TATASTEEL,EQ,2015-03-20,336.60,336.60,341.40,327.00,328.25,328.70,333.71,5776131,19275.76,84142,1428158,24.73
TATASTEEL,EQ,2015-03-23,328.70,330.45,335.00,328.60,331.70,331.40,331.88,3580330,11882.28,49770,969942,27.09
TATASTEEL,EQ,2015-03-24,331.40,330.10,333.90,324.25,327.00,327.15,328.59,4453740,14634.67,59615,1748483,39.26
TATASTEEL,EQ,2015-03-25,327.15,328.00,328.95,322.00,322.00,323.15,324.49,3544781,11502.44,52225,1484414,41.88
