Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCIDEVELOP,EQ,2014-12-04,289.10,283.10,294.90,280.00,286.05,289.95,284.18,531,1.51,22,480,90.40
TCIDEVELOP,EQ,2014-12-05,289.95,287.00,292.50,287.00,287.00,287.00,287.10,213,0.61,16,153,71.83
TCIDEVELOP,EQ,2014-12-08,287.00,297.90,297.90,280.00,287.00,283.85,284.66,357,1.02,23,338,94.68
TCIDEVELOP,EQ,2014-12-09,283.85,276.00,280.00,276.00,280.00,280.00,278.09,115,0.32,6,55,47.83
TCIDEVELOP,EQ,2014-12-10,280.00,280.00,286.00,279.00,280.00,280.00,280.87,61,0.17,6,35,57.38
TCIDEVELOP,EQ,2014-12-11,280.00,266.00,288.00,266.00,275.15,275.15,280.11,2248,6.30,12,28,1.25
TCIDEVELOP,EQ,2014-12-12,275.15,287.00,287.00,269.30,285.00,280.85,282.54,111,0.31,8,106,95.50
TCIDEVELOP,EQ,2014-12-15,280.85,270.00,270.70,270.00,270.00,270.00,270.08,127,0.34,4,127,100.00
TCIDEVELOP,EQ,2014-12-16,270.00,258.00,280.95,258.00,280.95,280.95,280.50,51,0.14,3,50,98.04
TCIDEVELOP,EQ,2014-12-17,280.95,260.00,278.80,258.40,271.40,271.05,270.69,145,0.39,18,81,55.86
TCIDEVELOP,EQ,2014-12-18,271.05,275.00,275.00,270.00,270.00,270.00,274.24,118,0.32,3,118,100.00
TCIDEVELOP,EQ,2014-12-19,270.00,271.50,288.00,271.50,277.60,277.35,276.21,317,0.88,17,190,59.94
TCIDEVELOP,EQ,2014-12-22,277.35,270.00,270.00,268.35,268.35,268.95,269.57,36,0.10,8,21,58.33
TCIDEVELOP,EQ,2014-12-23,268.95,268.60,274.30,268.60,272.90,271.45,270.78,174,0.47,10,87,50.00
TCIDEVELOP,EQ,2014-12-24,271.45,275.00,275.00,269.95,273.50,273.50,272.79,191,0.52,14,145,75.92
TCIDEVELOP,EQ,2014-12-26,273.50,307.00,320.00,272.20,282.00,274.70,286.25,1078,3.09,73,399,37.01
