Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TEXMOPIPES,EQ,2014-12-04,15.95,16.10,16.75,15.45,16.30,16.25,15.94,2256212,359.72,4116,691705,30.66
TEXMOPIPES,EQ,2014-12-05,16.25,16.40,17.10,16.25,16.65,16.50,16.65,643354,107.14,1564,398753,61.98
TEXMOPIPES,EQ,2014-12-08,16.50,16.70,16.70,15.95,16.25,16.20,16.27,173980,28.30,645,112485,64.65
TEXMOPIPES,EQ,2014-12-09,16.20,16.20,16.95,16.00,16.20,16.15,16.50,253259,41.79,954,94598,37.35
TEXMOPIPES,EQ,2014-12-10,16.15,16.60,16.60,16.05,16.05,16.10,16.21,184790,29.95,445,90746,49.11
TEXMOPIPES,EQ,2014-12-11,16.10,16.20,16.30,15.70,15.75,15.80,15.92,213881,34.06,544,127287,59.51
TEXMOPIPES,EQ,2014-12-12,15.80,15.85,16.20,15.50,15.60,15.60,15.78,215179,33.95,416,137569,63.93
TEXMOPIPES,EQ,2014-12-15,15.60,15.50,15.75,15.15,15.30,15.40,15.50,106116,16.45,346,55429,52.23
TEXMOPIPES,EQ,2014-12-16,15.40,15.20,15.20,14.10,14.10,14.30,14.52,255876,37.16,670,162183,63.38
TEXMOPIPES,EQ,2014-12-17,14.30,14.50,14.85,13.40,13.60,13.65,13.85,279348,38.68,735,150612,53.92
TEXMOPIPES,EQ,2014-12-18,13.65,14.40,14.80,14.10,14.60,14.60,14.54,199970,29.07,569,118199,59.11
TEXMOPIPES,EQ,2014-12-19,14.60,16.00,16.00,14.60,14.80,14.75,15.05,221875,33.40,661,124468,56.10
TEXMOPIPES,EQ,2014-12-22,14.75,14.80,15.25,14.65,15.10,15.15,14.89,114957,17.12,327,70869,61.65
TEXMOPIPES,EQ,2014-12-23,15.15,15.00,15.35,14.60,14.70,14.75,14.87,82143,12.22,263,48216,58.70
TEXMOPIPES,EQ,2014-12-24,14.75,14.50,14.95,14.25,14.75,14.80,14.73,117622,17.33,275,62230,52.91
TEXMOPIPES,EQ,2014-12-26,14.80,14.80,15.10,14.55,14.70,14.65,14.83,71788,10.65,454,51683,71.99
TEXMOPIPES,EQ,2014-12-29,14.65,14.65,15.05,14.65,14.75,14.80,14.85,83165,12.35,265,57513,69.16
TEXMOPIPES,EQ,2014-12-30,14.80,14.90,14.90,14.40,14.55,14.50,14.58,73718,10.75,296,46972,63.72
TEXMOPIPES,EQ,2014-12-31,14.50,14.55,15.40,14.20,15.00,14.85,15.00,189304,28.40,608,90130,47.61
TEXMOPIPES,EQ,2015-01-01,14.85,14.70,15.35,14.60,15.10,15.15,15.11,87786,13.26,301,54858,62.49
TEXMOPIPES,EQ,2015-01-02,15.15,15.00,15.50,15.00,15.30,15.20,15.31,160929,24.63,397,108841,67.63
TEXMOPIPES,EQ,2015-01-05,15.20,15.20,15.80,15.05,15.70,15.65,15.55,213643,33.23,588,122590,57.38
TEXMOPIPES,EQ,2015-01-06,15.65,15.40,15.40,15.00,15.00,15.15,15.17,189562,28.76,382,103067,54.37
TEXMOPIPES,EQ,2015-01-07,15.15,15.10,15.20,14.75,14.90,14.90,14.95,81293,12.16,243,55273,67.99
TEXMOPIPES,EQ,2015-01-08,14.90,15.85,15.85,15.00,15.05,15.00,15.15,81343,12.33,216,56267,69.17
TEXMOPIPES,EQ,2015-01-09,15.00,14.80,15.30,14.80,14.95,14.95,15.13,99111,15.00,205,64393,64.97
TEXMOPIPES,EQ,2015-01-12,14.95,14.80,15.40,14.65,15.20,15.15,15.21,70358,10.70,225,50190,71.34
TEXMOPIPES,EQ,2015-01-13,15.15,15.15,15.35,14.80,15.10,15.05,15.10,105914,15.99,282,53292,50.32
TEXMOPIPES,EQ,2015-01-14,15.05,14.85,15.40,14.25,15.00,14.95,14.97,80531,12.06,194,42719,53.05
TEXMOPIPES,EQ,2015-01-15,14.95,15.00,15.25,15.00,15.15,15.10,15.11,73420,11.09,180,52950,72.12
TEXMOPIPES,EQ,2015-01-16,15.10,15.00,15.30,14.60,14.80,14.80,15.02,104470,15.69,236,74868,71.66
TEXMOPIPES,EQ,2015-01-19,14.80,14.75,15.15,14.65,15.05,15.00,15.01,48145,7.23,180,30982,64.35
TEXMOPIPES,EQ,2015-01-20,15.00,15.30,15.45,15.00,15.05,15.10,15.17,150298,22.81,281,81748,54.39
TEXMOPIPES,EQ,2015-01-21,15.10,15.00,15.30,15.00,15.00,15.00,15.12,109292,16.53,197,66734,61.06
TEXMOPIPES,EQ,2015-01-22,15.00,14.80,15.10,14.60,14.60,14.65,14.84,88477,13.13,235,65863,74.44
TEXMOPIPES,EQ,2015-01-23,14.65,14.60,15.05,14.55,14.55,14.60,14.72,72044,10.60,143,60273,83.66
TEXMOPIPES,EQ,2015-01-27,14.60,14.80,14.90,14.55,14.70,14.65,14.73,50277,7.41,111,46023,91.54
TEXMOPIPES,EQ,2015-01-28,14.65,14.30,14.85,14.05,14.20,14.20,14.43,72718,10.49,212,60257,82.86
TEXMOPIPES,EQ,2015-01-29,14.20,14.05,14.30,13.70,14.25,14.15,14.01,93797,13.14,212,71054,75.75
TEXMOPIPES,EQ,2015-01-30,14.15,14.20,14.20,13.80,14.00,13.90,13.98,49488,6.92,144,33513,67.72
TEXMOPIPES,EQ,2015-02-02,13.90,14.00,14.50,13.80,13.85,13.90,13.99,38574,5.40,148,28741,74.51
TEXMOPIPES,EQ,2015-02-03,13.90,13.70,14.25,13.65,13.70,13.75,13.76,81134,11.16,224,61730,76.08
TEXMOPIPES,EQ,2015-02-04,13.75,14.10,16.25,13.80,15.50,15.45,15.39,676320,104.07,1725,364611,53.91
TEXMOPIPES,EQ,2015-02-05,15.45,15.45,15.90,14.75,14.85,15.10,15.48,288387,44.63,1002,182359,63.23
TEXMOPIPES,EQ,2015-02-06,15.10,14.80,15.25,14.20,14.35,14.35,14.58,90949,13.26,323,54196,59.59
TEXMOPIPES,EQ,2015-02-09,14.35,14.20,14.40,13.75,13.90,14.10,14.15,71810,10.16,201,56047,78.05
TEXMOPIPES,EQ,2015-02-10,14.10,14.00,14.80,13.85,14.00,13.95,14.12,83805,11.84,190,55882,66.68
TEXMOPIPES,EQ,2015-02-11,13.95,13.75,14.40,13.75,14.25,14.25,14.12,39151,5.53,128,28786,73.53
TEXMOPIPES,EQ,2015-02-12,14.25,14.75,14.75,14.10,14.35,14.40,14.49,54425,7.89,307,34729,63.81
TEXMOPIPES,EQ,2015-02-13,14.40,14.80,14.80,13.85,14.00,14.05,14.14,147753,20.89,353,91617,62.01
TEXMOPIPES,EQ,2015-02-16,14.05,14.05,14.40,13.05,13.40,13.35,13.47,248069,33.41,689,147828,59.59
TEXMOPIPES,EQ,2015-02-18,13.35,13.10,13.80,13.10,13.65,13.70,13.59,114528,15.56,270,86767,75.76
TEXMOPIPES,EQ,2015-02-19,13.70,13.65,13.90,13.50,13.65,13.55,13.67,67431,9.22,233,56356,83.58
TEXMOPIPES,EQ,2015-02-20,13.55,13.55,13.75,13.25,13.25,13.45,13.43,111693,15.00,339,64735,57.96
TEXMOPIPES,EQ,2015-02-23,13.45,13.45,13.80,13.10,13.20,13.15,13.31,80577,10.73,342,58447,72.54
TEXMOPIPES,EQ,2015-02-24,13.15,13.15,13.35,12.80,12.95,12.90,13.02,80403,10.47,274,60814,75.64
TEXMOPIPES,EQ,2015-02-25,12.90,12.80,13.25,12.80,13.00,13.05,13.09,57799,7.57,219,41483,71.77
TEXMOPIPES,EQ,2015-02-26,13.05,13.50,13.50,12.50,12.55,12.55,12.71,85056,10.81,327,58135,68.35
TEXMOPIPES,EQ,2015-02-27,12.55,12.40,13.05,12.40,12.80,12.80,12.83,81939,10.51,209,67070,81.85
TEXMOPIPES,EQ,2015-02-28,12.80,13.20,13.40,12.75,12.90,12.80,13.12,112548,14.76,291,66946,59.48
TEXMOPIPES,EQ,2015-03-02,12.80,12.50,13.15,12.50,12.65,12.60,12.64,67415,8.52,249,42360,62.83
TEXMOPIPES,EQ,2015-03-03,12.60,12.60,12.90,12.55,12.60,12.65,12.66,82438,10.44,246,46149,55.98
TEXMOPIPES,EQ,2015-03-04,12.65,13.00,13.00,12.15,12.25,12.25,12.50,79278,9.91,266,47778,60.27
TEXMOPIPES,EQ,2015-03-05,12.25,12.25,12.50,11.75,12.00,12.10,12.06,81123,9.79,372,44432,54.77
TEXMOPIPES,EQ,2015-03-09,12.10,12.75,12.75,12.00,12.25,12.30,12.25,38780,4.75,159,22520,58.07
TEXMOPIPES,EQ,2015-03-10,12.30,12.40,12.60,11.80,12.00,11.95,12.11,64541,7.82,263,49782,77.13
TEXMOPIPES,EQ,2015-03-11,11.95,12.30,12.30,11.20,11.30,11.40,11.62,95607,11.11,354,64243,67.19
TEXMOPIPES,EQ,2015-03-12,11.40,11.30,11.40,10.60,11.30,11.35,11.15,119059,13.28,429,79072,66.41
TEXMOPIPES,EQ,2015-03-13,11.35,11.40,11.40,10.90,11.10,11.15,11.08,120132,13.31,292,100333,83.52
TEXMOPIPES,EQ,2015-03-16,11.15,11.00,11.35,10.45,10.60,10.60,10.70,104340,11.16,283,61507,58.95
TEXMOPIPES,EQ,2015-03-17,10.60,10.65,10.90,9.95,10.15,10.10,10.13,172561,17.47,499,106666,61.81
TEXMOPIPES,EQ,2015-03-18,10.10,10.00,10.40,9.80,10.10,10.15,10.13,47140,4.78,162,29477,62.53
TEXMOPIPES,EQ,2015-03-19,10.15,10.15,10.35,9.85,9.85,9.90,10.07,49962,5.03,179,37641,75.34
TEXMOPIPES,EQ,2015-03-20,9.90,9.30,9.90,9.30,9.35,9.45,9.65,151095,14.58,258,106314,70.36
TEXMOPIPES,EQ,2015-03-23,9.45,9.40,9.40,8.55,8.60,8.65,8.92,93708,8.36,314,62545,66.74
TEXMOPIPES,EQ,2015-03-24,8.65,8.50,9.00,8.20,8.35,8.50,8.66,131725,11.40,352,89513,67.95
TEXMOPIPES,EQ,2015-03-25,8.50,8.75,8.75,7.50,7.50,7.60,7.91,188346,14.91,684,133266,70.76
TEXMOPIPES,EQ,2015-03-26,7.60,7.50,8.35,7.40,8.35,8.35,8.12,128843,10.46,396,97424,75.61
TEXMOPIPES,EQ,2015-03-27,8.35,8.50,9.15,8.50,9.15,9.15,9.09,229034,20.82,522,199039,86.90
TEXMOPIPES,EQ,2015-03-30,9.15,9.75,10.05,9.75,10.05,10.05,9.96,29994,2.99,69,22994,76.66
TEXMOPIPES,EQ,2015-03-31,10.05,10.55,10.55,10.55,10.55,10.55,10.55,8417,0.89,34,8417,100.00
TEXMOPIPES,EQ,2015-04-01,10.55,11.05,11.05,11.05,11.05,11.05,11.05,48566,5.37,68,38561,79.40
TEXMOPIPES,EQ,2015-04-06,11.05,11.35,11.60,10.50,11.30,11.30,11.03,173496,19.13,426,108468,62.52
TEXMOPIPES,EQ,2015-04-07,11.30,11.60,11.65,11.25,11.45,11.55,11.50,70298,8.08,255,49930,71.03
TEXMOPIPES,EQ,2015-04-08,11.55,11.85,11.85,11.00,11.05,11.05,11.18,146394,16.37,260,101790,69.53
TEXMOPIPES,EQ,2015-04-09,11.05,10.75,11.60,10.75,11.60,11.60,11.43,69875,7.99,136,55481,79.40
TEXMOPIPES,EQ,2015-04-10,11.60,11.75,12.15,11.50,12.00,12.10,12.02,116286,13.98,397,96071,82.62
TEXMOPIPES,EQ,2015-04-13,12.10,12.45,12.70,12.20,12.70,12.70,12.49,87417,10.92,260,66359,75.91
TEXMOPIPES,EQ,2015-04-15,12.70,12.75,13.10,12.35,12.50,12.65,12.83,69283,8.89,280,53503,77.22
TEXMOPIPES,EQ,2015-04-16,12.65,12.30,13.10,12.05,12.10,12.30,12.15,108310,13.16,183,57173,52.79
TEXMOPIPES,EQ,2015-04-17,12.30,11.80,12.50,11.80,12.45,12.30,12.22,27353,3.34,91,22384,81.83
TEXMOPIPES,EQ,2015-04-20,12.30,12.00,12.40,11.85,12.00,12.05,12.15,64907,7.88,124,42481,65.45
TEXMOPIPES,EQ,2015-04-21,12.05,12.00,12.35,11.80,12.20,12.20,12.13,37486,4.55,109,22664,60.46
TEXMOPIPES,EQ,2015-04-22,12.20,12.10,12.35,12.00,12.20,12.30,12.24,51974,6.36,102,37656,72.45
TEXMOPIPES,EQ,2015-04-23,12.30,12.05,12.30,11.95,11.95,12.05,12.09,61736,7.47,111,41683,67.52
TEXMOPIPES,EQ,2015-04-24,12.05,12.00,12.05,11.60,12.05,11.90,11.87,41129,4.88,126,29342,71.34
TEXMOPIPES,EQ,2015-04-27,11.90,12.00,12.00,11.35,11.35,11.40,11.57,73861,8.55,113,53313,72.18
TEXMOPIPES,EQ,2015-04-28,11.40,11.05,11.75,11.00,11.65,11.65,11.38,56777,6.46,84,42257,74.43
TEXMOPIPES,EQ,2015-04-29,11.65,11.90,11.90,11.65,11.85,11.85,11.80,30609,3.61,58,20391,66.62
TEXMOPIPES,EQ,2015-04-30,11.85,11.65,12.25,11.65,12.25,12.20,12.05,45743,5.51,120,30047,65.69
TEXMOPIPES,EQ,2015-05-04,12.20,12.20,12.45,11.80,12.30,12.30,12.24,34526,4.23,96,15435,44.71
TEXMOPIPES,EQ,2015-05-05,12.30,12.90,12.90,11.95,12.30,12.15,12.28,44857,5.51,100,22163,49.41
TEXMOPIPES,EQ,2015-05-06,12.15,11.80,12.20,11.70,11.80,12.05,11.91,47752,5.69,83,38535,80.70
TEXMOPIPES,EQ,2015-05-07,12.05,11.55,11.80,11.20,11.60,11.35,11.45,58090,6.65,128,36269,62.44
TEXMOPIPES,EQ,2015-05-08,11.35,11.60,11.95,11.00,11.90,11.90,11.53,75976,8.76,170,40196,52.91
TEXMOPIPES,EQ,2015-05-11,11.90,11.90,12.30,11.65,11.70,11.85,11.86,56780,6.74,181,34939,61.53
TEXMOPIPES,EQ,2015-05-12,11.85,12.00,12.00,11.10,11.35,11.25,11.30,93550,10.57,131,71604,76.54
TEXMOPIPES,EQ,2015-05-13,11.25,11.10,11.65,11.00,11.20,11.20,11.26,30372,3.42,81,18277,60.18
TEXMOPIPES,EQ,2015-05-14,11.20,11.00,11.65,11.00,11.60,11.60,11.45,54688,6.26,125,35491,64.90
TEXMOPIPES,EQ,2015-05-15,11.60,11.25,12.20,11.25,12.10,12.00,11.85,46275,5.48,147,38707,83.65
TEXMOPIPES,EQ,2015-05-18,12.00,11.60,12.25,11.60,11.75,11.80,11.94,25265,3.02,64,16267,64.39
TEXMOPIPES,EQ,2015-05-19,11.80,11.90,12.25,11.10,11.40,11.35,11.60,84829,9.84,154,51364,60.55
TEXMOPIPES,EQ,2015-05-20,11.35,11.80,11.90,11.25,11.30,11.30,11.38,29079,3.31,85,15651,53.82
TEXMOPIPES,EQ,2015-05-21,11.30,11.20,11.45,11.15,11.15,11.20,11.25,10696,1.20,42,8618,80.57
TEXMOPIPES,EQ,2015-05-22,11.20,11.15,11.45,11.15,11.15,11.20,11.27,26256,2.96,63,21617,82.33
TEXMOPIPES,EQ,2015-05-25,11.20,11.25,11.50,11.05,11.30,11.10,11.18,21872,2.45,57,16591,75.85
TEXMOPIPES,EQ,2015-05-26,11.10,11.50,12.20,11.25,12.15,12.15,11.90,122287,14.55,359,72892,59.61
TEXMOPIPES,EQ,2015-05-27,12.15,12.70,13.15,12.25,13.00,12.95,12.80,334690,42.83,875,208897,62.42
TEXMOPIPES,EQ,2015-05-28,12.95,13.00,14.05,12.55,14.05,13.55,13.35,245501,32.76,932,165998,67.62
TEXMOPIPES,EQ,2015-05-29,13.55,13.80,13.95,13.25,13.60,13.60,13.66,122546,16.73,449,87260,71.21
TEXMOPIPES,EQ,2015-06-01,13.60,13.55,13.60,13.10,13.25,13.25,13.39,57251,7.66,258,40666,71.03
TEXMOPIPES,EQ,2015-06-02,13.25,13.50,13.50,12.60,13.00,12.80,13.01,55582,7.23,182,38459,69.19
TEXMOPIPES,EQ,2015-06-03,12.80,12.25,13.20,11.55,11.80,11.70,11.88,84031,9.99,316,48251,57.42
TEXMOPIPES,EQ,2015-06-04,11.70,11.75,12.05,11.25,11.75,11.60,11.51,33223,3.82,98,21184,63.76
TEXMOPIPES,EQ,2015-06-05,11.60,11.95,12.60,11.80,12.30,12.10,12.22,33341,4.07,245,24393,73.16
TEXMOPIPES,EQ,2015-06-08,12.10,12.55,12.55,11.65,12.10,12.05,12.03,19157,2.30,76,16066,83.86
TEXMOPIPES,EQ,2015-06-09,12.05,12.00,12.00,11.50,11.95,11.70,11.82,21614,2.55,143,18751,86.75
TEXMOPIPES,EQ,2015-06-10,11.70,11.80,12.25,11.50,11.90,11.80,11.90,47562,5.66,198,33679,70.81
TEXMOPIPES,EQ,2015-06-11,11.80,12.00,12.10,11.10,11.10,11.30,11.52,41237,4.75,88,23364,56.66
TEXMOPIPES,EQ,2015-06-12,11.30,11.15,11.30,10.55,10.85,10.80,11.01,44270,4.88,130,35021,79.11
TEXMOPIPES,EQ,2015-06-15,10.80,10.70,12.25,10.45,11.80,11.70,11.76,77252,9.09,339,49005,63.44
TEXMOPIPES,EQ,2015-06-16,11.70,11.70,11.80,11.40,11.80,11.70,11.61,8962,1.04,46,6205,69.24
TEXMOPIPES,EQ,2015-06-17,11.70,12.00,12.10,11.55,11.60,11.60,11.70,45238,5.29,108,30632,67.71
TEXMOPIPES,EQ,2015-06-18,11.60,11.85,11.85,11.35,11.60,11.45,11.60,22892,2.65,108,17887,78.14
TEXMOPIPES,EQ,2015-06-19,11.45,11.80,11.90,11.50,11.50,11.55,11.63,29536,3.44,86,22662,76.73
TEXMOPIPES,EQ,2015-06-22,11.55,11.95,11.95,11.40,11.45,11.55,11.58,20925,2.42,72,17020,81.34
TEXMOPIPES,EQ,2015-06-23,11.55,11.85,11.85,11.45,11.60,11.50,11.56,22987,2.66,51,17098,74.38
TEXMOPIPES,EQ,2015-06-24,11.50,11.90,12.10,11.50,11.95,11.90,11.79,54389,6.41,156,34889,64.15
TEXMOPIPES,EQ,2015-06-25,11.90,11.90,11.90,11.00,11.85,11.80,11.67,34665,4.04,120,26548,76.58
TEXMOPIPES,EQ,2015-06-26,11.80,11.70,12.10,11.05,11.70,11.70,11.51,16443,1.89,92,9572,58.21
TEXMOPIPES,EQ,2015-06-29,11.70,11.70,12.00,11.10,11.30,11.25,11.26,28040,3.16,86,21732,77.50
TEXMOPIPES,EQ,2015-06-30,11.25,11.60,11.60,10.90,11.20,11.15,11.23,133123,14.95,247,74282,55.80
TEXMOPIPES,EQ,2015-07-01,11.15,11.15,11.90,11.15,11.35,11.40,11.49,51652,5.94,220,28900,55.95
TEXMOPIPES,EQ,2015-07-02,11.40,11.55,11.80,11.30,11.45,11.35,11.49,26122,3.00,126,13934,53.34
TEXMOPIPES,EQ,2015-07-03,11.35,11.80,11.80,11.40,11.75,11.70,11.60,42208,4.90,174,27543,65.26
TEXMOPIPES,EQ,2015-07-06,11.70,11.50,12.15,11.15,12.10,12.05,11.85,81885,9.70,232,58994,72.04
TEXMOPIPES,EQ,2015-07-07,12.05,12.60,14.45,12.40,14.00,13.95,13.78,647744,89.25,1776,271969,41.99
TEXMOPIPES,EQ,2015-07-08,13.95,13.40,15.20,13.30,14.05,14.05,14.34,498239,71.42,1411,206474,41.44
TEXMOPIPES,EQ,2015-07-09,14.05,14.20,14.80,13.80,14.00,14.00,14.30,138587,19.82,381,77471,55.90
TEXMOPIPES,EQ,2015-07-10,14.00,14.50,14.50,13.60,13.65,13.65,13.91,115967,16.13,352,82738,71.35
TEXMOPIPES,EQ,2015-07-13,13.65,13.40,13.80,13.10,13.30,13.35,13.32,94458,12.58,241,55115,58.35
TEXMOPIPES,EQ,2015-07-14,13.35,13.75,13.75,13.20,13.25,13.30,13.34,98156,13.10,172,64020,65.22
TEXMOPIPES,EQ,2015-07-15,13.30,13.30,13.50,13.05,13.15,13.20,13.28,58512,7.77,153,39941,68.26
